30/03/2022 10:14:46, File Created!
30/03/2022 10:15:16:210, 3, creating_exercise
30/03/2022 10:15:16:484, 5, creating_exercise
30/03/2022 10:15:16:753, 4, creating_exercise
30/03/2022 10:15:17:025, 6, creating_exercise
30/03/2022 10:15:17:293, 3, creating_exercise
30/03/2022 10:15:17:564, 4, creating_exercise
30/03/2022 10:15:17:836, 4, creating_exercise
30/03/2022 10:15:18:108, 4, creating_exercise
30/03/2022 10:15:18:380, 6, creating_exercise
30/03/2022 10:15:18:646, 2, creating_exercise
30/03/2022 10:15:18:921, 6, idle
30/03/2022 10:15:19:193, 6, idle
30/03/2022 10:15:19:459, 2, idle
30/03/2022 10:15:19:731, 3, creating_exercise
30/03/2022 10:15:20:002, 4, creating_exercise
30/03/2022 10:15:20:271, 2, creating_exercise
30/03/2022 10:15:20:541, 2, creating_exercise
30/03/2022 10:15:20:818, 8, creating_exercise
30/03/2022 10:15:21:086, 4, creating_exercise
30/03/2022 10:15:21:355, 3, creating_exercise
30/03/2022 10:15:21:626, 3, creating_exercise
30/03/2022 10:15:21:896, 2, creating_exercise
30/03/2022 10:15:22:168, 4, creating_exercise
30/03/2022 10:15:22:439, 5, creating_exercise
30/03/2022 10:15:22:708, 4, creating_exercise
30/03/2022 10:15:22:980, 5, creating_exercise
30/03/2022 10:15:23:252, 6, creating_exercise
30/03/2022 10:15:23:520, 3, creating_exercise
30/03/2022 10:15:23:791, 4, idle
30/03/2022 10:15:24:061, 3, idle
30/03/2022 10:15:24:333, 3, idle
30/03/2022 10:15:24:605, 4, idle
30/03/2022 10:15:35:574, 154, idle
30/03/2022 10:15:35:706, 16, idle
30/03/2022 10:15:35:963, 3, idle
30/03/2022 10:15:36:237, 7, idle
30/03/2022 10:15:36:504, 2, idle
30/03/2022 10:15:36:778, 5, idle
30/03/2022 10:15:37:050, 5, idle
30/03/2022 10:15:37:319, 4, idle
30/03/2022 10:15:37:590, 5, idle
30/03/2022 10:15:37:864, 7, idle
30/03/2022 10:15:38:132, 5, idle
30/03/2022 10:15:38:402, 4, idle
30/03/2022 10:15:38:672, 2, idle
30/03/2022 10:15:38:944, 4, idle
30/03/2022 10:15:39:214, 3, idle
30/03/2022 10:15:39:485, 4, idle
30/03/2022 10:15:39:756, 2, idle
30/03/2022 10:15:40:026, 2, idle
30/03/2022 10:15:40:300, 5, idle
30/03/2022 10:15:40:570, 5, idle
30/03/2022 10:15:40:844, 7, idle
30/03/2022 10:15:41:113, 5, idle
30/03/2022 10:15:41:385, 6, idle
30/03/2022 10:15:41:981, 61, repeating_exercise
30/03/2022 10:15:42:193, 2, repeating_exercise
30/03/2022 10:15:42:466, 5, repeating_exercise
30/03/2022 10:15:42:790, 57, repeating_exercise
30/03/2022 10:15:43:006, 2, repeating_exercise
30/03/2022 10:15:43:279, 3, repeating_exercise
30/03/2022 10:15:43:551, 4, repeating_exercise
30/03/2022 10:15:43:820, 3, repeating_exercise
30/03/2022 10:15:44:092, 4, repeating_exercise
30/03/2022 10:15:44:363, 5, repeating_exercise
30/03/2022 10:15:44:637, 8, repeating_exercise
30/03/2022 10:15:44:903, 3, repeating_exercise
30/03/2022 10:15:45:174, 4, repeating_exercise
30/03/2022 10:15:45:446, 4, repeating_exercise
30/03/2022 10:15:45:718, 4, repeating_exercise
30/03/2022 10:15:45:988, 4, repeating_exercise
30/03/2022 10:15:46:256, 2, repeating_exercise
30/03/2022 10:15:46:528, 3, repeating_exercise
30/03/2022 10:15:46:797, 2, repeating_exercise
30/03/2022 10:15:47:124, 59, repeating_exercise
30/03/2022 10:15:47:338, 2, repeating_exercise
30/03/2022 10:15:47:612, 6, repeating_exercise
30/03/2022 10:15:47:879, 3, repeating_exercise
30/03/2022 10:15:48:149, 3, repeating_exercise
30/03/2022 10:15:48:420, 3, repeating_exercise
30/03/2022 10:15:48:692, 5, repeating_exercise
30/03/2022 10:15:48:960, 2, repeating_exercise
30/03/2022 10:15:49:231, 3, repeating_exercise
30/03/2022 10:15:49:507, 8, repeating_exercise
30/03/2022 10:15:49:775, 2, repeating_exercise
30/03/2022 10:15:50:047, 4, repeating_exercise
30/03/2022 10:15:50:316, 1, repeating_exercise
30/03/2022 10:15:50:587, 2, repeating_exercise
30/03/2022 10:15:50:861, 4, repeating_exercise
30/03/2022 10:15:51:133, 5, repeating_exercise
30/03/2022 10:15:51:402, 4, idle
30/03/2022 10:15:51:671, 2, idle
30/03/2022 10:15:51:942, 3, idle
30/03/2022 10:15:52:214, 4, idle
30/03/2022 10:15:52:486, 4, idle
30/03/2022 10:15:52:755, 2, idle
30/03/2022 10:15:53:027, 4, idle
30/03/2022 10:15:53:298, 4, idle
30/03/2022 10:15:53:566, 2, idle
30/03/2022 10:15:53:838, 3, idle
30/03/2022 10:15:54:110, 5, idle
30/03/2022 10:15:54:382, 6, idle
30/03/2022 10:15:54:650, 4, idle
30/03/2022 10:15:54:918, 2, idle
30/03/2022 10:15:55:191, 4, idle
30/03/2022 10:15:55:464, 5, idle
30/03/2022 10:15:55:735, 3, idle
30/03/2022 10:15:56:004, 2, idle
30/03/2022 10:15:56:276, 3, idle
30/03/2022 10:15:56:547, 4, idle
30/03/2022 10:15:56:817, 3, idle
30/03/2022 10:15:57:177, 93, idle
30/03/2022 10:15:57:372, 18, idle
30/03/2022 10:15:57:638, 13, idle
30/03/2022 10:15:57:916, 18, idle
30/03/2022 10:15:58:173, 4, idle
30/03/2022 10:15:58:447, 7, idle
30/03/2022 10:15:58:729, 19, idle
30/03/2022 10:15:59:004, 24, idle
30/03/2022 10:15:59:272, 21, idle
30/03/2022 10:15:59:560, 22, idle
30/03/2022 10:15:59:848, 40, idle
30/03/2022 10:16:00:120, 24, idle
30/03/2022 10:16:00:391, 4, idle
30/03/2022 10:16:00:664, 7, idle
30/03/2022 10:16:00:940, 12, idle
30/03/2022 10:16:01:216, 18, idle
30/03/2022 10:16:01:488, 11, idle
30/03/2022 10:16:01:754, 5, idle
30/03/2022 10:16:02:068, 48, idle
30/03/2022 10:16:02:311, 5, idle
30/03/2022 10:16:02:580, 4, idle
30/03/2022 10:16:02:849, 2, idle
30/03/2022 10:16:03:120, 3, idle
30/03/2022 10:16:03:390, 2, idle
30/03/2022 10:16:03:663, 4, idle
30/03/2022 10:16:03:935, 4, idle
30/03/2022 10:16:04:206, 4, idle
30/03/2022 10:16:04:478, 4, idle
30/03/2022 10:16:04:749, 3, idle
30/03/2022 10:16:05:024, 5, idle
30/03/2022 10:16:05:294, 5, idle
30/03/2022 10:16:05:566, 6, idle
30/03/2022 10:16:05:834, 4, idle
30/03/2022 10:16:06:104, 3, idle
30/03/2022 10:16:06:375, 4, idle
30/03/2022 10:16:06:644, 2, idle
30/03/2022 10:16:06:918, 6, idle
30/03/2022 10:16:07:185, 2, idle
30/03/2022 10:16:07:458, 5, idle
30/03/2022 10:16:07:733, 10, idle
30/03/2022 10:16:08:000, 3, idle
30/03/2022 10:16:08:271, 3, idle
30/03/2022 10:16:08:544, 5, idle
30/03/2022 10:16:08:823, 12, idle
30/03/2022 10:16:09:093, 3, idle
30/03/2022 10:16:09:365, 3, idle
30/03/2022 10:16:09:638, 3, idle
30/03/2022 10:16:09:909, 4, idle
30/03/2022 10:16:10:181, 5, idle
30/03/2022 10:16:10:449, 3, idle
30/03/2022 10:16:10:721, 3, idle
30/03/2022 10:16:10:994, 5, idle
30/03/2022 10:16:11:265, 5, repeating_exercise
30/03/2022 10:16:11:535, 5, repeating_exercise
30/03/2022 10:16:11:805, 5, repeating_exercise
30/03/2022 10:16:12:075, 4, repeating_exercise
30/03/2022 10:16:12:345, 4, repeating_exercise
30/03/2022 10:16:12:619, 5, repeating_exercise
30/03/2022 10:16:12:887, 3, repeating_exercise
30/03/2022 10:16:13:159, 5, repeating_exercise
30/03/2022 10:16:13:435, 9, repeating_exercise
30/03/2022 10:16:13:699, 4, repeating_exercise
30/03/2022 10:16:13:968, 3, repeating_exercise
30/03/2022 10:16:14:239, 2, repeating_exercise
30/03/2022 10:16:14:511, 3, repeating_exercise
30/03/2022 10:16:14:782, 4, repeating_exercise
30/03/2022 10:16:15:053, 4, repeating_exercise
30/03/2022 10:16:15:324, 5, repeating_exercise
30/03/2022 10:16:15:594, 3, repeating_exercise
30/03/2022 10:16:15:865, 5, repeating_exercise
30/03/2022 10:16:16:134, 3, repeating_exercise
30/03/2022 10:16:16:405, 3, repeating_exercise
30/03/2022 10:16:16:675, 3, repeating_exercise
30/03/2022 10:16:16:948, 5, repeating_exercise
30/03/2022 10:16:17:218, 5, repeating_exercise
30/03/2022 10:16:17:486, 3, repeating_exercise
30/03/2022 10:16:17:759, 4, repeating_exercise
30/03/2022 10:16:18:031, 5, repeating_exercise
30/03/2022 10:16:18:299, 3, repeating_exercise
30/03/2022 10:16:18:569, 2, repeating_exercise
30/03/2022 10:16:18:840, 3, repeating_exercise
30/03/2022 10:16:19:114, 7, repeating_exercise
30/03/2022 10:16:19:386, 6, repeating_exercise
30/03/2022 10:16:19:656, 3, repeating_exercise
30/03/2022 10:16:19:928, 4, repeating_exercise
30/03/2022 10:16:20:197, 3, repeating_exercise
30/03/2022 10:16:20:468, 4, repeating_exercise
30/03/2022 10:16:20:739, 4, repeating_exercise
30/03/2022 10:16:21:008, 3, repeating_exercise
30/03/2022 10:16:21:280, 4, repeating_exercise
30/03/2022 10:16:21:553, 6, repeating_exercise
30/03/2022 10:16:21:821, 3, repeating_exercise
30/03/2022 10:16:22:091, 3, repeating_exercise
30/03/2022 10:16:22:362, 2, repeating_exercise
30/03/2022 10:16:22:634, 3, repeating_exercise
30/03/2022 10:16:22:904, 2, repeating_exercise
30/03/2022 10:16:23:182, 10, idle
30/03/2022 10:16:23:450, 7, idle
30/03/2022 10:16:23:724, 11, idle
30/03/2022 10:16:23:989, 2, idle
30/03/2022 10:16:24:269, 11, idle
30/03/2022 10:16:24:534, 5, repeating_exercise
30/03/2022 10:16:24:805, 6, repeating_exercise
30/03/2022 10:16:25:075, 4, idle
30/03/2022 10:16:25:347, 6, idle
30/03/2022 10:16:25:615, 3, idle
30/03/2022 10:16:25:904, 22, repeating_exercise
30/03/2022 10:16:26:506, 82, repeating_exercise
30/03/2022 10:16:26:705, 11, repeating_exercise
30/03/2022 10:16:26:970, 6, repeating_exercise
30/03/2022 10:16:27:238, 3, repeating_exercise
30/03/2022 10:16:27:511, 6, repeating_exercise
30/03/2022 10:16:27:779, 3, repeating_exercise
30/03/2022 10:16:28:051, 4, repeating_exercise
30/03/2022 10:16:28:321, 4, repeating_exercise
30/03/2022 10:16:28:590, 3, repeating_exercise
30/03/2022 10:16:28:861, 3, repeating_exercise
30/03/2022 10:16:29:191, 61, repeating_exercise
30/03/2022 10:16:29:403, 3, repeating_exercise
30/03/2022 10:16:29:675, 4, repeating_exercise
30/03/2022 10:16:29:949, 6, repeating_exercise
30/03/2022 10:16:30:216, 3, repeating_exercise
30/03/2022 10:16:30:489, 5, repeating_exercise
30/03/2022 10:16:30:757, 3, repeating_exercise
30/03/2022 10:16:31:028, 3, repeating_exercise
30/03/2022 10:16:31:300, 5, repeating_exercise
30/03/2022 10:16:31:570, 5, repeating_exercise
30/03/2022 10:16:31:854, 18, repeating_exercise
30/03/2022 10:16:32:112, 4, repeating_exercise
30/03/2022 10:16:32:383, 3, repeating_exercise
30/03/2022 10:16:32:654, 4, repeating_exercise
30/03/2022 10:16:32:924, 3, repeating_exercise
30/03/2022 10:16:33:246, 55, repeating_exercise
30/03/2022 10:16:33:465, 4, repeating_exercise
30/03/2022 10:16:33:737, 5, repeating_exercise
30/03/2022 10:16:34:006, 3, repeating_exercise
30/03/2022 10:16:34:276, 3, repeating_exercise
30/03/2022 10:16:34:580, 36, repeating_exercise
30/03/2022 10:16:34:819, 3, repeating_exercise
30/03/2022 10:16:35:144, 57, repeating_exercise
30/03/2022 10:16:35:362, 3, repeating_exercise
30/03/2022 10:16:35:632, 3, repeating_exercise
30/03/2022 10:16:35:962, 63, repeating_exercise
30/03/2022 10:16:36:172, 2, repeating_exercise
30/03/2022 10:16:36:443, 3, repeating_exercise
30/03/2022 10:16:36:713, 3, repeating_exercise
30/03/2022 10:16:36:984, 3, repeating_exercise
30/03/2022 10:16:37:256, 4, repeating_exercise
30/03/2022 10:16:37:528, 4, repeating_exercise
30/03/2022 10:16:37:798, 4, repeating_exercise
30/03/2022 10:16:38:107, 43, repeating_exercise
30/03/2022 10:16:38:342, 6, repeating_exercise
30/03/2022 10:16:38:612, 5, repeating_exercise
30/03/2022 10:16:38:880, 3, repeating_exercise
30/03/2022 10:16:39:157, 10, repeating_exercise
30/03/2022 10:16:39:425, 5, repeating_exercise
30/03/2022 10:16:39:698, 8, repeating_exercise
30/03/2022 10:16:39:993, 30, idle
30/03/2022 10:19:17:021, 4, idle
30/03/2022 10:19:17:294, 6, idle
30/03/2022 10:19:17:567, 9, idle
30/03/2022 10:19:17:834, 3, idle
30/03/2022 10:19:18:109, 7, idle
30/03/2022 10:19:18:376, 4, idle
30/03/2022 10:19:18:646, 2, idle
30/03/2022 10:19:18:917, 3, idle
30/03/2022 10:19:19:193, 8, idle
30/03/2022 10:19:19:464, 8, idle
30/03/2022 10:19:19:732, 4, idle
30/03/2022 10:19:20:003, 5, idle
30/03/2022 10:19:20:274, 5, idle
30/03/2022 10:19:20:541, 2, idle
30/03/2022 10:19:20:811, 2, idle
30/03/2022 10:19:21:083, 4, idle
30/03/2022 10:19:21:353, 3, idle
30/03/2022 10:19:21:623, 1, idle
30/03/2022 10:19:21:896, 2, idle
30/03/2022 10:19:22:174, 9, idle
30/03/2022 10:19:22:442, 5, idle
30/03/2022 10:19:22:709, 2, idle
30/03/2022 10:19:22:980, 3, idle
30/03/2022 10:19:23:250, 2, idle
30/03/2022 10:19:23:520, 2, creating_exercise
30/03/2022 10:19:23:794, 4, creating_exercise
30/03/2022 10:19:24:064, 4, creating_exercise
30/03/2022 10:19:24:335, 4, creating_exercise
30/03/2022 10:19:24:612, 8, creating_exercise
30/03/2022 10:19:24:881, 4, creating_exercise
30/03/2022 10:19:25:162, 14, creating_exercise
30/03/2022 10:19:25:431, 4, creating_exercise
30/03/2022 10:19:25:704, 6, creating_exercise
30/03/2022 10:19:25:972, 3, creating_exercise
30/03/2022 10:19:26:242, 2, creating_exercise
30/03/2022 10:19:26:512, 2, creating_exercise
30/03/2022 10:19:26:784, 2, creating_exercise
30/03/2022 10:19:31:656, 3, creating_exercise
30/03/2022 10:19:31:931, 6, idle
30/03/2022 10:19:32:198, 2, idle
30/03/2022 10:19:32:470, 3, idle
30/03/2022 10:19:32:739, 2, idle
30/03/2022 10:19:33:010, 2, idle
30/03/2022 10:19:33:281, 3, idle
30/03/2022 10:19:33:552, 3, creating_exercise
30/03/2022 10:19:33:827, 7, creating_exercise
30/03/2022 10:19:34:093, 2, creating_exercise
30/03/2022 10:19:34:367, 6, creating_exercise
30/03/2022 10:19:34:638, 4, creating_exercise
30/03/2022 10:19:34:907, 3, creating_exercise
30/03/2022 10:19:35:176, 1, creating_exercise
30/03/2022 10:19:35:454, 8, creating_exercise
30/03/2022 10:19:35:721, 2, creating_exercise
30/03/2022 10:19:35:993, 4, creating_exercise
30/03/2022 10:19:36:261, 2, creating_exercise
30/03/2022 10:19:36:533, 3, creating_exercise
30/03/2022 10:19:36:804, 3, creating_exercise
30/03/2022 10:19:37:076, 5, creating_exercise
30/03/2022 10:19:37:346, 5, creating_exercise
30/03/2022 10:19:37:619, 5, idle
30/03/2022 10:19:37:889, 4, idle
30/03/2022 10:19:38:160, 5, idle
30/03/2022 10:19:38:429, 4, idle
30/03/2022 10:19:38:701, 3, idle
30/03/2022 10:19:38:972, 4, idle
30/03/2022 10:19:39:242, 4, idle
30/03/2022 10:19:39:513, 3, idle
30/03/2022 10:19:39:789, 7, idle
30/03/2022 10:19:40:058, 3, idle
30/03/2022 10:19:40:330, 5, idle
30/03/2022 10:19:40:599, 4, idle
30/03/2022 10:19:40:870, 5, idle
30/03/2022 10:19:41:140, 4, idle
30/03/2022 10:19:41:413, 6, idle
30/03/2022 10:19:41:679, 2, idle
30/03/2022 10:19:41:949, 2, idle
30/03/2022 10:19:42:224, 6, idle
30/03/2022 10:19:42:492, 4, idle
30/03/2022 10:19:42:776, 15, idle
30/03/2022 10:19:43:072, 34, idle
30/03/2022 10:19:43:311, 2, idle
30/03/2022 10:19:43:583, 3, idle
30/03/2022 10:19:43:853, 2, idle
30/03/2022 10:19:44:124, 2, idle
30/03/2022 10:19:44:397, 5, idle
30/03/2022 10:19:44:670, 6, idle
30/03/2022 10:19:44:938, 3, idle
30/03/2022 10:19:45:207, 2, creating_exercise
30/03/2022 10:19:45:478, 3, creating_exercise
30/03/2022 10:19:45:748, 2, creating_exercise
30/03/2022 10:19:46:018, 2, creating_exercise
30/03/2022 10:19:46:294, 7, creating_exercise
30/03/2022 10:19:46:573, 16, creating_exercise
30/03/2022 10:19:46:837, 4, creating_exercise
30/03/2022 10:19:47:111, 7, creating_exercise
30/03/2022 10:19:47:377, 3, creating_exercise
30/03/2022 10:19:47:647, 1, creating_exercise
30/03/2022 10:19:47:918, 2, creating_exercise
30/03/2022 10:19:48:190, 3, creating_exercise
30/03/2022 10:19:48:459, 2, creating_exercise
30/03/2022 10:19:48:732, 4, creating_exercise
30/03/2022 10:19:49:000, 2, creating_exercise
30/03/2022 10:19:49:271, 2, idle
30/03/2022 10:19:49:542, 3, idle
30/03/2022 10:19:49:813, 3, idle
30/03/2022 10:19:50:085, 5, idle
30/03/2022 10:19:50:355, 4, creating_exercise
30/03/2022 10:19:50:627, 6, creating_exercise
30/03/2022 10:19:50:896, 3, creating_exercise
30/03/2022 10:19:51:165, 2, creating_exercise
30/03/2022 10:19:51:440, 6, creating_exercise
30/03/2022 10:19:51:709, 4, creating_exercise
30/03/2022 10:19:51:997, 22, creating_exercise
30/03/2022 10:19:52:257, 8, creating_exercise
30/03/2022 10:19:52:530, 4, creating_exercise
30/03/2022 10:19:52:805, 7, creating_exercise
30/03/2022 10:19:53:072, 3, creating_exercise
30/03/2022 10:19:53:352, 13, idle
30/03/2022 10:19:53:618, 2, idle
30/03/2022 10:19:53:891, 4, idle
30/03/2022 10:19:54:167, 8, idle
30/03/2022 10:19:54:450, 18, idle
30/03/2022 10:19:54:709, 7, idle
30/03/2022 10:19:54:978, 4, idle
30/03/2022 10:19:55:247, 2, idle
30/03/2022 10:19:55:519, 3, idle
30/03/2022 10:19:55:791, 3, idle
30/03/2022 10:19:56:065, 6, idle
30/03/2022 10:19:56:332, 2, idle
30/03/2022 10:19:56:609, 8, idle
30/03/2022 10:19:56:875, 4, idle
30/03/2022 10:19:57:147, 6, idle
30/03/2022 10:19:57:415, 4, idle
30/03/2022 10:19:57:688, 6, idle
30/03/2022 10:19:57:958, 6, idle
30/03/2022 10:19:58:232, 9, idle
30/03/2022 10:19:58:500, 5, idle
30/03/2022 10:19:58:779, 14, idle
30/03/2022 10:19:59:056, 10, idle
30/03/2022 10:19:59:325, 9, idle
30/03/2022 10:19:59:829, 242, idle
30/03/2022 10:20:01:018, 75, idle
30/03/2022 10:20:01:216, 3, idle
30/03/2022 10:20:01:498, 13, idle
30/03/2022 10:20:01:763, 2, idle
30/03/2022 10:20:02:041, 9, idle
30/03/2022 10:20:02:307, 3, idle
30/03/2022 10:20:02:576, 2, idle
30/03/2022 10:20:02:850, 5, idle
30/03/2022 10:20:03:120, 2, idle
30/03/2022 10:20:03:392, 4, idle
30/03/2022 10:20:03:662, 3, idle
30/03/2022 10:20:03:933, 3, idle
30/03/2022 10:20:04:206, 6, idle
30/03/2022 10:20:04:472, 2, idle
30/03/2022 10:20:04:744, 3, idle
30/03/2022 10:20:05:016, 5, idle
30/03/2022 10:20:05:286, 4, idle
30/03/2022 10:20:05:557, 5, idle
30/03/2022 10:20:05:977, 154, idle
30/03/2022 10:20:06:339, 246, idle
30/03/2022 10:20:06:368, 4, idle
30/03/2022 10:20:06:639, 3, idle
30/03/2022 10:20:06:910, 4, idle
30/03/2022 10:20:07:177, 1, idle
30/03/2022 10:20:07:450, 3, idle
30/03/2022 10:20:07:719, 2, idle
30/03/2022 10:20:07:994, 7, idle
30/03/2022 10:20:08:264, 4, idle
30/03/2022 10:20:08:535, 5, idle
30/03/2022 10:20:08:809, 8, idle
30/03/2022 10:20:09:076, 5, idle
30/03/2022 10:20:09:346, 4, idle
30/03/2022 10:20:09:617, 4, idle
30/03/2022 10:20:09:891, 8, idle
30/03/2022 10:20:10:160, 5, idle
30/03/2022 10:20:10:427, 2, idle
30/03/2022 10:20:10:803, 107, idle
30/03/2022 10:20:13:110, 250, idle
30/03/2022 10:20:13:164, 33, idle
30/03/2022 10:20:13:404, 3, idle
30/03/2022 10:20:13:677, 3, idle
30/03/2022 10:20:13:957, 12, idle
30/03/2022 10:20:14:231, 13, idle
30/03/2022 10:20:14:497, 4, idle
30/03/2022 10:20:14:766, 3, idle
30/03/2022 10:20:15:037, 3, idle
30/03/2022 10:20:15:307, 2, idle
30/03/2022 10:20:15:580, 4, idle
30/03/2022 10:20:15:850, 4, idle
30/03/2022 10:20:16:118, 2, idle
30/03/2022 10:20:16:400, 14, idle
30/03/2022 10:20:16:674, 8, idle
30/03/2022 10:20:16:945, 9, idle
30/03/2022 10:20:17:216, 7, idle
30/03/2022 10:20:17:485, 6, idle
30/03/2022 10:20:17:753, 4, idle
30/03/2022 10:20:18:028, 7, idle
30/03/2022 10:20:18:305, 9, idle
30/03/2022 10:20:18:571, 3, idle
30/03/2022 10:20:18:844, 5, idle
30/03/2022 10:20:19:113, 3, idle
30/03/2022 10:20:19:396, 16, idle
30/03/2022 10:20:19:660, 10, idle
30/03/2022 10:20:19:929, 6, idle
30/03/2022 10:20:20:204, 8, idle
30/03/2022 10:20:20:481, 14, idle
30/03/2022 10:20:20:741, 4, idle
30/03/2022 10:20:21:012, 4, idle
30/03/2022 10:20:21:280, 2, idle
30/03/2022 10:20:21:578, 29, idle
30/03/2022 10:20:21:875, 26, idle
30/03/2022 10:20:22:139, 4, idle
30/03/2022 10:20:22:470, 65, idle
30/03/2022 10:20:22:682, 5, idle
30/03/2022 10:20:22:957, 7, idle
30/03/2022 10:20:23:226, 6, idle
30/03/2022 10:20:23:499, 9, idle
30/03/2022 10:20:23:763, 3, idle
30/03/2022 10:20:24:041, 9, idle
30/03/2022 10:20:24:303, 2, idle
30/03/2022 10:20:24:575, 3, idle
30/03/2022 10:20:24:847, 5, idle
30/03/2022 10:20:25:120, 5, idle
30/03/2022 10:20:25:391, 3, idle
30/03/2022 10:20:25:666, 6, idle
30/03/2022 10:20:25:936, 4, idle
30/03/2022 10:20:26:205, 3, idle
30/03/2022 10:20:26:474, 2, idle
30/03/2022 10:20:26:748, 5, idle
30/03/2022 10:20:27:022, 8, idle
30/03/2022 10:20:27:295, 7, idle
30/03/2022 10:20:27:562, 4, idle
30/03/2022 10:20:27:832, 3, idle
30/03/2022 10:20:28:106, 6, idle
30/03/2022 10:20:28:374, 4, idle
30/03/2022 10:20:28:706, 46, idle
30/03/2022 10:20:28:957, 7, idle
