06/04/2022 14:47:27: File Created!
06/04/2022 14:47:27:644, robot_pos_w_timestamp, 1649252758364, 612.9, 280.95, 203.73, 2.36, -0.03, 3.07, tool_force, 0.17, 0.08, -0.09, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 0.02, joints_pos, 34.95, 59.07, -20.04, -66.97, 24.91, 54.8, 55.29, tool_torque, 0.269, -0.271, 0.349, tool_momentum, 0.271, -0.269, 0.349, robot_mode, normal, 
06/04/2022 14:47:33:725, robot_pos_w_timestamp, 1649252764492, 521.5, 110.19, 222.6, 2.36, -0.05, 3.1, tool_force, -1.56, 0.47, -0.22, actual_rep, 1, curr_step, 37, track_size, 99, robot_vel, 48.94, joints_pos, 25.56, 42.44, -19.49, -96.61, 23.69, 44.8, 38.62, tool_torque, 0.353, 0.198, 0.14, tool_momentum, 0.35, 0.191, 0.14, robot_mode, normal, 
06/04/2022 14:47:33:883, robot_pos_w_timestamp, 1649252764650, 515.58, 115.44, 224.79, 2.36, -0.05, 3.1, tool_force, -2.22, 0.22, 0.43, actual_rep, 1, curr_step, 37, track_size, 99, robot_vel, 48.86, joints_pos, 26.29, 41.71, -19.49, -97.57, 23.98, 44.8, 38.62, tool_torque, 0.292, 0.199, 0.205, tool_momentum, 0.311, 0.174, 0.211, robot_mode, normal, 
06/04/2022 14:47:34:031, robot_pos_w_timestamp, 1649252764801, 509.74, 119.71, 226.4, 2.37, -0.06, 3.1, tool_force, -2.13, -0.02, 0.05, actual_rep, 1, curr_step, 38, track_size, 99, robot_vel, 55.24, joints_pos, 26.86, 41.17, -19.47, -98.29, 24.21, 44.8, 38.63, tool_torque, 0.253, 0.232, 0.131, tool_momentum, 0.245, 0.231, 0.128, robot_mode, normal, 
06/04/2022 14:47:34:140, robot_pos_w_timestamp, 1649252764953, 504.05, 125.46, 226.98, 2.37, -0.06, 3.1, tool_force, -2.16, 0.12, 0.82, actual_rep, 1, curr_step, 40, track_size, 99, robot_vel, 55.3, joints_pos, 27.59, 40.72, -19.44, -99.02, 24.47, 44.69, 38.68, tool_torque, 0.2, 0.191, 0.115, tool_momentum, 0.209, 0.174, 0.115, robot_mode, normal, 
06/04/2022 14:47:34:334, robot_pos_w_timestamp, 1649252765104, 499.25, 131.08, 227.38, 2.38, -0.06, 3.1, tool_force, -3.35, 0.12, 0.91, actual_rep, 1, curr_step, 41, track_size, 99, robot_vel, 44.9, joints_pos, 28.42, 40.34, -19.47, -99.68, 24.53, 44.32, 38.97, tool_torque, 0.093, 0.543, -0.058, tool_momentum, 0.102, 0.535, -0.057, robot_mode, normal, 
06/04/2022 14:47:34:443, robot_pos_w_timestamp, 1649252765257, 494.86, 137.0, 228.2, 2.38, -0.06, 3.1, tool_force, -2.04, -0.19, 0.2, actual_rep, 1, curr_step, 42, track_size, 99, robot_vel, 45.63, joints_pos, 29.33, 39.95, -19.56, -100.26, 24.5, 43.86, 39.7, tool_torque, 0.024, 0.543, -0.119, tool_momentum, 0.024, 0.546, -0.12, robot_mode, normal, 
06/04/2022 14:47:34:640, robot_pos_w_timestamp, 1649252765411, 490.87, 142.64, 228.64, 2.38, -0.06, 3.09, tool_force, -2.71, 0.08, 0.56, actual_rep, 1, curr_step, 44, track_size, 99, robot_vel, 44.67, joints_pos, 30.06, 39.61, -19.55, -100.83, 24.94, 43.36, 40.27, tool_torque, 0.127, 0.528, -0.116, tool_momentum, 0.119, 0.535, -0.116, robot_mode, normal, 
06/04/2022 14:47:34:746, robot_pos_w_timestamp, 1649252765563, 487.5, 148.51, 229.31, 2.37, -0.06, 3.09, tool_force, -3.17, -0.03, 0.94, actual_rep, 1, curr_step, 45, track_size, 99, robot_vel, 43.62, joints_pos, 30.85, 39.37, -19.57, -101.14, 24.94, 43.2, 41.15, tool_torque, 0.021, 0.688, -0.123, tool_momentum, 0.021, 0.684, -0.123, robot_mode, normal, 
06/04/2022 14:47:34:940, robot_pos_w_timestamp, 1649252765714, 484.85, 154.37, 230.03, 2.37, -0.06, 3.09, tool_force, -1.94, 0.19, 0.42, actual_rep, 1, curr_step, 46, track_size, 99, robot_vel, 44.03, joints_pos, 31.58, 39.18, -19.57, -101.34, 24.94, 43.05, 41.86, tool_torque, 0.133, 0.459, -0.103, tool_momentum, 0.13, 0.465, -0.102, robot_mode, normal, 
06/04/2022 14:47:35:095, robot_pos_w_timestamp, 1649252765878, 482.25, 160.54, 230.85, 2.37, -0.06, 3.08, tool_force, -2.4, 0.23, 0.46, actual_rep, 1, curr_step, 47, track_size, 99, robot_vel, 43.21, joints_pos, 32.29, 38.95, -19.52, -101.6, 25.3, 42.69, 42.32, tool_torque, 0.195, 0.466, -0.071, tool_momentum, 0.137, 0.49, -0.083, robot_mode, normal, 
06/04/2022 14:47:35:246, robot_pos_w_timestamp, 1649252766019, 480.36, 165.89, 231.48, 2.37, -0.06, 3.08, tool_force, -2.51, 0.03, 0.45, actual_rep, 1, curr_step, 48, track_size, 99, robot_vel, 41.13, joints_pos, 32.92, 38.85, -19.53, -101.65, 25.31, 42.62, 42.95, tool_torque, 0.152, 0.482, -0.083, tool_momentum, 0.158, 0.475, -0.081, robot_mode, normal, 
06/04/2022 14:47:35:345, robot_pos_w_timestamp, 1649252766172, 478.4, 171.68, 232.02, 2.37, -0.06, 3.08, tool_force, -2.28, -0.03, 0.38, actual_rep, 1, curr_step, 49, track_size, 99, robot_vel, 41.24, joints_pos, 33.64, 38.77, -19.54, -101.67, 25.33, 42.57, 43.63, tool_torque, 0.152, 0.436, -0.073, tool_momentum, 0.161, 0.422, -0.074, robot_mode, normal, 
06/04/2022 14:47:35:550, robot_pos_w_timestamp, 1649252766325, 476.51, 177.54, 232.47, 2.37, -0.06, 3.08, tool_force, -2.13, -0.07, 0.73, actual_rep, 1, curr_step, 50, track_size, 99, robot_vel, 38.86, joints_pos, 34.33, 38.73, -19.56, -101.66, 25.33, 42.54, 44.33, tool_torque, 0.084, 0.532, -0.082, tool_momentum, 0.075, 0.534, -0.081, robot_mode, normal, 
06/04/2022 14:47:35:656, robot_pos_w_timestamp, 1649252766483, 474.86, 183.54, 232.96, 2.37, -0.06, 3.08, tool_force, -2.16, -0.58, 0.61, actual_rep, 1, curr_step, 51, track_size, 99, robot_vel, 38.35, joints_pos, 35.04, 38.72, -19.57, -101.59, 25.33, 42.53, 45.26, tool_torque, -0.0020, 0.502, -0.096, tool_momentum, -0.02, 0.514, -0.096, robot_mode, normal, 
06/04/2022 14:47:35:831, robot_pos_w_timestamp, 1649252766629, 473.65, 189.14, 233.51, 2.36, -0.06, 3.08, tool_force, -1.26, -0.37, 0.62, actual_rep, 1, curr_step, 52, track_size, 99, robot_vel, 36.59, joints_pos, 35.68, 38.72, -19.58, -101.45, 25.3, 42.53, 46.18, tool_torque, 0.0050, 0.339, -0.062, tool_momentum, -0.017, 0.357, -0.066, robot_mode, normal, 
06/04/2022 14:47:35:950, robot_pos_w_timestamp, 1649252766781, 472.93, 194.87, 234.08, 2.36, -0.06, 3.08, tool_force, -2.04, -1.02, 0.85, actual_rep, 1, curr_step, 53, track_size, 99, robot_vel, 38.88, joints_pos, 36.29, 38.79, -19.58, -101.2, 25.23, 42.62, 47.17, tool_torque, -0.24, 0.422, -0.094, tool_momentum, -0.235, 0.415, -0.092, robot_mode, normal, 
06/04/2022 14:47:36:102, robot_pos_w_timestamp, 1649252766931, 473.02, 200.75, 234.75, 2.35, -0.06, 3.08, tool_force, -1.62, -0.76, 0.54, actual_rep, 1, curr_step, 54, track_size, 99, robot_vel, 38.84, joints_pos, 36.89, 38.88, -19.59, -100.87, 25.14, 42.51, 48.18, tool_torque, -0.122, 0.408, -0.064, tool_momentum, -0.117, 0.407, -0.064, robot_mode, normal, 
06/04/2022 14:47:36:261, robot_pos_w_timestamp, 1649252767083, 473.27, 206.39, 235.59, 2.35, -0.05, 3.07, tool_force, -1.75, -1.03, 0.57, actual_rep, 1, curr_step, 55, track_size, 99, robot_vel, 40.29, joints_pos, 37.5, 38.95, -19.62, -100.58, 25.02, 42.3, 49.2, tool_torque, -0.161, 0.456, -0.078, tool_momentum, -0.158, 0.448, -0.077, robot_mode, normal, 
06/04/2022 14:47:36:475, robot_pos_w_timestamp, 1649252767235, 474.51, 212.33, 236.28, 2.34, -0.05, 3.07, tool_force, -1.41, -1.35, 0.8, actual_rep, 1, curr_step, 56, track_size, 99, robot_vel, 38.35, joints_pos, 38.03, 39.2, -19.66, -99.98, 24.95, 42.47, 50.18, tool_torque, -0.331, 0.396, -0.124, tool_momentum, -0.335, 0.409, -0.124, robot_mode, normal, 
06/04/2022 14:47:36:565, robot_pos_w_timestamp, 1649252767383, 476.56, 218.0, 236.99, 2.34, -0.05, 3.07, tool_force, -1.82, -0.94, 0.86, actual_rep, 1, curr_step, 58, track_size, 99, robot_vel, 43.52, joints_pos, 38.48, 39.46, -19.66, -99.33, 24.83, 42.44, 51.22, tool_torque, -0.192, 0.497, -0.13, tool_momentum, -0.208, 0.509, -0.13, robot_mode, normal, 
06/04/2022 14:47:36:770, robot_pos_w_timestamp, 1649252767550, 479.01, 224.36, 237.66, 2.33, -0.04, 3.06, tool_force, -1.72, -1.02, 0.51, actual_rep, 1, curr_step, 59, track_size, 99, robot_vel, 38.66, joints_pos, 39.01, 39.78, -19.7, -98.6, 24.64, 42.31, 52.64, tool_torque, -0.224, 0.497, -0.121, tool_momentum, -0.209, 0.503, -0.12, robot_mode, normal, 
06/04/2022 14:47:36:889, robot_pos_w_timestamp, 1649252767717, 482.36, 230.7, 237.94, 2.32, -0.04, 3.06, tool_force, -1.19, -1.44, 0.66, actual_rep, 1, curr_step, 60, track_size, 99, robot_vel, 39.11, joints_pos, 39.4, 40.29, -19.71, -97.59, 24.54, 42.59, 53.65, tool_torque, -0.324, 0.309, -0.117, tool_momentum, -0.318, 0.3, -0.115, robot_mode, normal, 
06/04/2022 14:47:37:074, robot_pos_w_timestamp, 1649252767850, 485.71, 235.91, 238.06, 2.31, -0.03, 3.05, tool_force, -1.57, -1.3, 0.2, actual_rep, 1, curr_step, 61, track_size, 99, robot_vel, 45.43, joints_pos, 39.76, 40.69, -19.71, -96.81, 24.29, 42.33, 54.76, tool_torque, -0.141, 0.48, -0.117, tool_momentum, -0.121, 0.473, -0.116, robot_mode, normal, 
