30/03/2022 14:21:00: File Created!
30/03/2022 14:21:00:537, robot_pos_w_timestamp, 1648642775568, 546.38, 294.63, 197.0, 2.31, 0.07, 3.07, tool_force, 0.2, -0.57, -0.04, actual_rep, 1, curr_step, 1, track_size, 78, robot_vel, 0.0, joints_pos, 60.12, 64.9, -53.09, -80.72, 55.4, 56.13, 44.04, tool_torque, 0.108, -0.468, 0.181, tool_momentum, 0.108, -0.468, 0.181, robot_mode, normal, 
30/03/2022 14:21:02:594, robot_pos_w_timestamp, 1648642777652, 567.37, 225.1, 216.07, 2.2, 0.11, 3.08, tool_force, 0.88, -0.2, -0.62, actual_rep, 1, curr_step, 8, track_size, 78, robot_vel, 40.45, joints_pos, 56.56, 64.48, -57.43, -82.81, 55.33, 57.94, 43.79, tool_torque, -0.019, -0.769, 0.102, tool_momentum, -0.014, -0.746, 0.1, robot_mode, normal, 
30/03/2022 14:21:02:745, robot_pos_w_timestamp, 1648642777803, 568.5, 219.43, 216.4, 2.19, 0.11, 3.08, tool_force, 0.07, -0.13, -1.04, actual_rep, 1, curr_step, 9, track_size, 78, robot_vel, 37.43, joints_pos, 56.18, 64.46, -57.59, -83.01, 55.34, 57.97, 43.83, tool_torque, 0.057, -0.586, 0.071, tool_momentum, 0.062, -0.596, 0.071, robot_mode, impedance, 
30/03/2022 14:21:02:894, robot_pos_w_timestamp, 1648642777953, 569.97, 214.02, 216.37, 2.18, 0.11, 3.09, tool_force, -0.24, 0.05, -0.95, actual_rep, 1, curr_step, 9, track_size, 78, robot_vel, 39.2, joints_pos, 55.78, 64.52, -57.73, -83.09, 55.34, 58.02, 43.89, tool_torque, 0.0080, -0.623, 0.025, tool_momentum, -0.0010, -0.622, 0.025, robot_mode, impedance, 
30/03/2022 14:21:03:049, robot_pos_w_timestamp, 1648642778107, 571.69, 208.29, 217.47, 2.16, 0.11, 3.09, tool_force, -0.96, 0.21, -0.86, actual_rep, 1, curr_step, 10, track_size, 78, robot_vel, 40.48, joints_pos, 55.32, 64.52, -57.96, -83.1, 55.34, 58.32, 43.95, tool_torque, -0.085, -0.714, 0.013, tool_momentum, -0.082, -0.726, 0.013, robot_mode, impedance, 
30/03/2022 14:21:03:204, robot_pos_w_timestamp, 1648642778258, 573.84, 201.5, 219.66, 2.15, 0.11, 3.09, tool_force, -3.13, 1.23, -0.22, actual_rep, 1, curr_step, 10, track_size, 78, robot_vel, 52.26, joints_pos, 54.75, 64.47, -58.28, -83.05, 55.34, 58.82, 43.87, tool_torque, -0.068, -0.774, -0.0010, tool_momentum, -0.071, -0.78, -0.0010, robot_mode, impedance, 
30/03/2022 14:21:03:354, robot_pos_w_timestamp, 1648642778409, 577.04, 193.99, 222.29, 2.15, 0.1, 3.09, tool_force, -5.79, 3.09, 0.24, actual_rep, 1, curr_step, 11, track_size, 78, robot_vel, 60.09, joints_pos, 53.95, 64.4, -58.53, -82.82, 55.38, 59.5, 43.59, tool_torque, -0.026, -0.877, -0.086, tool_momentum, -0.035, -0.874, -0.088, robot_mode, impedance, 
30/03/2022 14:21:03:502, robot_pos_w_timestamp, 1648642778560, 581.32, 186.49, 226.66, 2.14, 0.09, 3.1, tool_force, -7.22, 4.83, 0.56, actual_rep, 1, curr_step, 11, track_size, 78, robot_vel, 62.93, joints_pos, 52.93, 64.25, -58.77, -82.26, 55.43, 60.68, 43.34, tool_torque, 0.018, -0.766, -0.183, tool_momentum, 0.012, -0.747, -0.183, robot_mode, impedance, 
30/03/2022 14:21:03:658, robot_pos_w_timestamp, 1648642778712, 586.22, 181.93, 229.07, 2.14, 0.08, 3.1, tool_force, -7.58, 5.7, -0.22, actual_rep, 1, curr_step, 11, track_size, 78, robot_vel, 31.88, joints_pos, 51.96, 64.21, -58.65, -81.49, 55.38, 61.26, 43.04, tool_torque, 0.036, -1.016, -0.219, tool_momentum, 0.034, -0.998, -0.219, robot_mode, impedance, 
30/03/2022 14:21:03:803, robot_pos_w_timestamp, 1648642778861, 589.48, 180.92, 228.86, 2.14, 0.08, 3.1, tool_force, -8.1, 4.57, -1.25, actual_rep, 1, curr_step, 11, track_size, 78, robot_vel, 17.16, joints_pos, 51.41, 64.34, -58.41, -80.84, 55.14, 61.49, 43.15, tool_torque, -0.16, -0.895, -0.371, tool_momentum, -0.157, -0.897, -0.371, robot_mode, impedance, 
30/03/2022 14:21:03:952, robot_pos_w_timestamp, 1648642779011, 590.31, 180.79, 229.19, 2.14, 0.08, 3.1, tool_force, -5.99, 2.35, -2.71, actual_rep, 1, curr_step, 11, track_size, 78, robot_vel, 3.22, joints_pos, 51.28, 64.39, -58.4, -80.6, 55.02, 61.75, 43.32, tool_torque, -0.245, -0.97, -0.285, tool_momentum, -0.243, -0.968, -0.285, robot_mode, impedance, 
30/03/2022 14:21:04:104, robot_pos_w_timestamp, 1648642779162, 589.72, 181.52, 229.13, 2.14, 0.08, 3.1, tool_force, -6.95, 2.92, -2.19, actual_rep, 1, curr_step, 11, track_size, 78, robot_vel, 7.66, joints_pos, 51.39, 64.38, -58.41, -80.66, 55.01, 61.75, 43.4, tool_torque, -0.106, -0.672, -0.258, tool_momentum, -0.099, -0.68, -0.258, robot_mode, impedance, 
30/03/2022 14:21:04:259, robot_pos_w_timestamp, 1648642779312, 588.62, 181.66, 229.29, 2.14, 0.08, 3.1, tool_force, -6.79, 2.75, -2.69, actual_rep, 1, curr_step, 11, track_size, 78, robot_vel, 7.61, joints_pos, 51.54, 64.31, -58.46, -80.87, 54.99, 61.72, 43.45, tool_torque, 0.066, -0.644, -0.161, tool_momentum, 0.069, -0.644, -0.161, robot_mode, impedance, 
30/03/2022 14:21:04:408, robot_pos_w_timestamp, 1648642779461, 586.83, 181.75, 229.57, 2.13, 0.08, 3.11, tool_force, -5.07, 1.42, -3.11, actual_rep, 1, curr_step, 11, track_size, 78, robot_vel, 15.92, joints_pos, 51.73, 64.16, -58.49, -81.19, 54.92, 61.72, 43.5, tool_torque, 0.099, -0.7, 0.0, tool_momentum, 0.101, -0.701, 0.0, robot_mode, impedance, 
30/03/2022 14:21:04:560, robot_pos_w_timestamp, 1648642779613, 584.1, 183.11, 229.07, 2.13, 0.08, 3.11, tool_force, -3.07, 0.61, -2.47, actual_rep, 1, curr_step, 11, track_size, 78, robot_vel, 22.4, joints_pos, 52.07, 64.02, -58.44, -81.62, 54.93, 61.63, 43.57, tool_torque, 0.206, -0.586, 0.094, tool_momentum, 0.206, -0.549, 0.095, robot_mode, impedance, 
30/03/2022 14:21:04:713, robot_pos_w_timestamp, 1648642779762, 581.14, 185.62, 228.02, 2.13, 0.08, 3.11, tool_force, -1.01, 0.46, -1.35, actual_rep, 1, curr_step, 11, track_size, 78, robot_vel, 28.58, joints_pos, 52.52, 63.92, -58.38, -82.08, 55.05, 61.41, 43.69, tool_torque, 0.3, -0.541, 0.167, tool_momentum, 0.288, -0.529, 0.166, robot_mode, impedance, 
30/03/2022 14:21:04:857, robot_pos_w_timestamp, 1648642779912, 578.38, 188.13, 226.8, 2.13, 0.08, 3.11, tool_force, -0.55, 0.67, -0.14, actual_rep, 1, curr_step, 11, track_size, 78, robot_vel, 24.9, joints_pos, 52.99, 63.89, -58.38, -82.5, 55.19, 61.14, 43.79, tool_torque, 0.296, -0.326, 0.135, tool_momentum, 0.294, -0.325, 0.135, robot_mode, impedance, 
30/03/2022 14:21:05:011, robot_pos_w_timestamp, 1648642780066, 576.66, 189.37, 226.13, 2.13, 0.08, 3.1, tool_force, -0.5, 0.72, 0.23, actual_rep, 1, curr_step, 11, track_size, 78, robot_vel, 10.19, joints_pos, 53.29, 63.89, -58.43, -82.78, 55.27, 60.98, 43.83, tool_torque, 0.279, -0.276, 0.129, tool_momentum, 0.28, -0.276, 0.129, robot_mode, impedance, 
30/03/2022 14:21:05:163, robot_pos_w_timestamp, 1648642780214, 576.01, 189.8, 225.99, 2.13, 0.08, 3.1, tool_force, -0.77, 0.89, 0.52, actual_rep, 1, curr_step, 11, track_size, 78, robot_vel, 3.52, joints_pos, 53.41, 63.88, -58.47, -82.89, 55.33, 60.94, 43.84, tool_torque, 0.299, -0.226, 0.143, tool_momentum, 0.298, -0.226, 0.143, robot_mode, impedance, 
30/03/2022 14:21:05:313, robot_pos_w_timestamp, 1648642780366, 575.91, 189.82, 225.99, 2.13, 0.08, 3.1, tool_force, -0.51, 0.72, 0.43, actual_rep, 1, curr_step, 11, track_size, 78, robot_vel, 0.5, joints_pos, 53.42, 63.87, -58.47, -82.9, 55.33, 60.93, 43.84, tool_torque, 0.262, -0.291, 0.155, tool_momentum, 0.261, -0.291, 0.155, robot_mode, impedance, 
30/03/2022 14:21:05:474, robot_pos_w_timestamp, 1648642780517, 575.91, 189.8, 226.03, 2.13, 0.08, 3.1, tool_force, -0.41, 0.65, 0.37, actual_rep, 1, curr_step, 11, track_size, 78, robot_vel, 0.2, joints_pos, 53.42, 63.87, -58.47, -82.91, 55.33, 60.93, 43.84, tool_torque, 0.257, -0.318, 0.166, tool_momentum, 0.257, -0.318, 0.166, robot_mode, impedance, 
30/03/2022 14:21:05:617, robot_pos_w_timestamp, 1648642780665, 575.89, 189.8, 226.04, 2.13, 0.08, 3.1, tool_force, -0.4, 0.67, 0.36, actual_rep, 1, curr_step, 11, track_size, 78, robot_vel, 0.11, joints_pos, 53.42, 63.86, -58.46, -82.91, 55.33, 60.93, 43.84, tool_torque, 0.266, -0.324, 0.172, tool_momentum, 0.266, -0.324, 0.172, robot_mode, impedance, 
30/03/2022 14:21:05:768, robot_pos_w_timestamp, 1648642780814, 575.88, 189.8, 226.04, 2.13, 0.08, 3.1, tool_force, -0.35, 0.62, 0.34, actual_rep, 1, curr_step, 11, track_size, 78, robot_vel, 0.07, joints_pos, 53.42, 63.86, -58.46, -82.91, 55.33, 60.93, 43.84, tool_torque, 0.263, -0.331, 0.175, tool_momentum, 0.263, -0.33, 0.175, robot_mode, impedance, 
30/03/2022 14:21:05:912, robot_pos_w_timestamp, 1648642780962, 575.87, 189.79, 226.04, 2.13, 0.08, 3.1, tool_force, -0.37, 0.62, 0.32, actual_rep, 1, curr_step, 11, track_size, 78, robot_vel, 0.07, joints_pos, 53.42, 63.86, -58.46, -82.91, 55.33, 60.93, 43.84, tool_torque, 0.262, -0.328, 0.174, tool_momentum, 0.262, -0.328, 0.174, robot_mode, impedance, 
30/03/2022 14:21:06:070, robot_pos_w_timestamp, 1648642781111, 575.87, 189.78, 226.05, 2.13, 0.08, 3.1, tool_force, -0.37, 0.63, 0.35, actual_rep, 1, curr_step, 11, track_size, 78, robot_vel, 0.09, joints_pos, 53.42, 63.86, -58.46, -82.91, 55.32, 60.93, 43.84, tool_torque, 0.26, -0.327, 0.174, tool_momentum, 0.26, -0.328, 0.174, robot_mode, impedance, 
30/03/2022 14:21:06:224, robot_pos_w_timestamp, 1648642781264, 575.89, 189.85, 226.51, 2.13, 0.08, 3.1, tool_force, 0.3, -0.04, -1.86, actual_rep, 1, curr_step, 12, track_size, 78, robot_vel, 7.17, joints_pos, 53.42, 63.8, -58.46, -82.92, 55.31, 60.93, 43.84, tool_torque, 0.145, -0.276, 0.153, tool_momentum, 0.143, -0.271, 0.153, robot_mode, impedance, 
30/03/2022 14:21:06:376, robot_pos_w_timestamp, 1648642781415, 575.91, 187.61, 233.61, 2.12, 0.07, 3.1, tool_force, 0.31, -0.34, -5.94, actual_rep, 1, curr_step, 12, track_size, 78, robot_vel, 59.06, joints_pos, 53.4, 63.3, -59.06, -82.96, 55.31, 61.96, 43.92, tool_torque, -0.188, -0.693, 0.171, tool_momentum, -0.176, -0.702, 0.174, robot_mode, impedance, 
30/03/2022 14:21:06:523, robot_pos_w_timestamp, 1648642781563, 575.78, 182.96, 241.04, 2.12, 0.06, 3.11, tool_force, -0.13, 0.25, -5.08, actual_rep, 1, curr_step, 13, track_size, 78, robot_vel, 51.14, joints_pos, 53.17, 62.65, -59.53, -83.14, 55.23, 62.91, 43.68, tool_torque, -0.133, -0.757, 0.361, tool_momentum, -0.144, -0.756, 0.361, robot_mode, impedance, 
30/03/2022 14:21:06:679, robot_pos_w_timestamp, 1648642781711, 574.89, 178.96, 245.69, 2.12, 0.05, 3.11, tool_force, 0.74, 0.5, -2.74, actual_rep, 1, curr_step, 14, track_size, 78, robot_vel, 49.31, joints_pos, 52.84, 62.05, -59.63, -83.39, 55.26, 63.7, 43.18, tool_torque, 0.06, -0.837, 0.469, tool_momentum, 0.049, -0.82, 0.468, robot_mode, normal, 
30/03/2022 14:21:06:828, robot_pos_w_timestamp, 1648642781863, 574.2, 176.18, 250.83, 2.12, 0.04, 3.11, tool_force, 0.78, 0.5, 0.52, actual_rep, 1, curr_step, 14, track_size, 78, robot_vel, 35.46, joints_pos, 52.6, 61.37, -59.69, -83.63, 55.32, 64.27, 42.74, tool_torque, 0.171, -0.774, 0.451, tool_momentum, 0.183, -0.786, 0.451, robot_mode, normal, 
30/03/2022 14:21:06:978, robot_pos_w_timestamp, 1648642782010, 574.42, 174.3, 256.43, 2.11, 0.03, 3.1, tool_force, 0.75, 0.19, 0.46, actual_rep, 1, curr_step, 15, track_size, 78, robot_vel, 39.35, joints_pos, 52.45, 60.83, -59.91, -83.64, 55.28, 64.85, 42.62, tool_torque, 0.066, -0.667, 0.411, tool_momentum, 0.056, -0.663, 0.41, robot_mode, normal, 
30/03/2022 14:21:07:129, robot_pos_w_timestamp, 1648642782162, 574.59, 172.51, 262.28, 2.11, 0.02, 3.1, tool_force, 1.5, -0.25, 0.21, actual_rep, 1, curr_step, 16, track_size, 78, robot_vel, 42.6, joints_pos, 52.33, 60.31, -60.16, -83.64, 55.28, 65.47, 42.45, tool_torque, 0.025, -0.748, 0.431, tool_momentum, 0.033, -0.753, 0.431, robot_mode, normal, 
30/03/2022 14:21:07:278, robot_pos_w_timestamp, 1648642782308, 574.57, 171.62, 268.61, 2.11, 0.02, 3.1, tool_force, 2.29, -0.1, -1.12, actual_rep, 1, curr_step, 16, track_size, 78, robot_vel, 45.98, joints_pos, 52.28, 59.72, -60.43, -83.62, 55.25, 66.1, 42.33, tool_torque, -0.119, -0.678, 0.326, tool_momentum, -0.126, -0.668, 0.326, robot_mode, normal, 
30/03/2022 14:21:07:430, robot_pos_w_timestamp, 1648642782459, 574.18, 170.23, 273.79, 2.11, 0.01, 3.1, tool_force, 1.0, 0.21, 0.68, actual_rep, 1, curr_step, 17, track_size, 78, robot_vel, 38.65, joints_pos, 52.22, 59.24, -60.64, -83.64, 55.1, 66.69, 42.24, tool_torque, 0.063, -0.662, 0.421, tool_momentum, 0.036, -0.629, 0.418, robot_mode, normal, 
30/03/2022 14:21:07:578, robot_pos_w_timestamp, 1648642782606, 573.63, 169.21, 279.57, 2.11, 0.0, 3.1, tool_force, 0.84, -0.3, 0.13, actual_rep, 1, curr_step, 17, track_size, 78, robot_vel, 41.34, joints_pos, 52.21, 58.69, -60.87, -83.63, 54.82, 67.34, 42.19, tool_torque, 0.0050, -0.651, 0.425, tool_momentum, 0.0050, -0.652, 0.425, robot_mode, normal, 
30/03/2022 14:21:07:733, robot_pos_w_timestamp, 1648642782760, 572.78, 168.34, 285.51, 2.12, 0.0, 3.1, tool_force, 0.13, -0.14, 0.14, actual_rep, 1, curr_step, 18, track_size, 78, robot_vel, 39.47, joints_pos, 52.23, 58.1, -61.07, -83.61, 54.35, 68.01, 42.13, tool_torque, 0.0010, -0.542, 0.405, tool_momentum, 0.0020, -0.544, 0.405, robot_mode, normal, 
30/03/2022 14:21:07:887, robot_pos_w_timestamp, 1648642782911, 571.55, 167.37, 291.27, 2.12, 0.0, 3.11, tool_force, -1.34, -0.38, 0.95, actual_rep, 1, curr_step, 19, track_size, 78, robot_vel, 38.35, joints_pos, 52.26, 57.49, -61.2, -83.63, 53.72, 68.65, 42.08, tool_torque, 0.132, -0.406, 0.468, tool_momentum, 0.113, -0.406, 0.467, robot_mode, normal, 
30/03/2022 14:21:08:044, robot_pos_w_timestamp, 1648642783060, 570.14, 166.74, 296.9, 2.13, -0.01, 3.11, tool_force, -1.41, -0.31, 1.37, actual_rep, 1, curr_step, 19, track_size, 78, robot_vel, 38.58, joints_pos, 52.32, 56.88, -61.3, -83.62, 52.95, 69.29, 42.07, tool_torque, 0.182, -0.377, 0.462, tool_momentum, 0.18, -0.374, 0.462, robot_mode, normal, 
30/03/2022 14:21:08:188, robot_pos_w_timestamp, 1648642783207, 568.75, 165.74, 301.41, 2.13, -0.01, 3.12, tool_force, -1.84, -0.48, 1.18, actual_rep, 1, curr_step, 20, track_size, 78, robot_vel, 29.34, joints_pos, 52.36, 56.36, -61.35, -83.65, 52.16, 69.77, 42.07, tool_torque, 0.12, -0.281, 0.351, tool_momentum, 0.113, -0.284, 0.351, robot_mode, impedance, 
30/03/2022 14:21:08:336, robot_pos_w_timestamp, 1648642783360, 567.41, 164.32, 305.07, 2.13, -0.01, 3.13, tool_force, -2.98, 0.39, 2.48, actual_rep, 1, curr_step, 20, track_size, 78, robot_vel, 28.5, joints_pos, 52.36, 55.98, -61.45, -83.64, 51.44, 70.39, 42.07, tool_torque, 0.27, -0.307, 0.535, tool_momentum, 0.266, -0.302, 0.535, robot_mode, impedance, 
30/03/2022 14:21:08:488, robot_pos_w_timestamp, 1648642783506, 566.84, 163.99, 307.25, 2.14, -0.01, 3.13, tool_force, -2.01, 0.43, 2.54, actual_rep, 1, curr_step, 20, track_size, 78, robot_vel, 4.49, joints_pos, 52.33, 55.72, -61.39, -83.57, 50.99, 70.67, 42.07, tool_torque, 0.362, -0.478, 0.553, tool_momentum, 0.366, -0.471, 0.553, robot_mode, impedance, 
30/03/2022 14:21:08:636, robot_pos_w_timestamp, 1648642783656, 567.27, 164.42, 306.39, 2.14, -0.01, 3.13, tool_force, -1.58, 0.19, 1.99, actual_rep, 1, curr_step, 20, track_size, 78, robot_vel, 5.57, joints_pos, 52.26, 55.78, -61.25, -83.5, 51.0, 70.56, 42.11, tool_torque, 0.342, -0.51, 0.497, tool_momentum, 0.339, -0.514, 0.496, robot_mode, impedance, 
30/03/2022 14:21:08:790, robot_pos_w_timestamp, 1648642783804, 567.83, 165.12, 306.94, 2.14, -0.01, 3.13, tool_force, -0.63, -1.32, -0.32, actual_rep, 1, curr_step, 20, track_size, 78, robot_vel, 8.38, joints_pos, 52.26, 55.81, -61.29, -83.35, 51.08, 70.67, 42.13, tool_torque, -0.036, -0.417, 0.33, tool_momentum, -0.04, -0.41, 0.328, robot_mode, impedance, 
30/03/2022 14:21:08:942, robot_pos_w_timestamp, 1648642783954, 567.47, 166.23, 309.09, 2.14, -0.01, 3.13, tool_force, -0.48, -0.54, -0.86, actual_rep, 1, curr_step, 21, track_size, 78, robot_vel, 26.68, joints_pos, 52.36, 55.65, -61.4, -83.26, 51.09, 71.04, 42.13, tool_torque, -0.093, -0.227, 0.3, tool_momentum, -0.087, -0.227, 0.3, robot_mode, impedance, 
30/03/2022 14:21:09:092, robot_pos_w_timestamp, 1648642784102, 565.64, 167.12, 315.29, 2.15, -0.01, 3.14, tool_force, -2.31, 0.62, 0.38, actual_rep, 1, curr_step, 21, track_size, 78, robot_vel, 44.02, joints_pos, 52.67, 55.19, -61.76, -83.11, 50.3, 72.01, 42.22, tool_torque, -0.0010, -0.184, 0.391, tool_momentum, 0.0050, -0.182, 0.394, robot_mode, impedance, 
30/03/2022 14:21:09:242, robot_pos_w_timestamp, 1648642784252, 564.27, 166.18, 316.69, 2.15, -0.01, -3.14, tool_force, -6.29, 1.65, 2.81, actual_rep, 1, curr_step, 22, track_size, 78, robot_vel, 12.75, joints_pos, 52.71, 54.93, -61.71, -83.26, 49.79, 72.11, 42.38, tool_torque, 0.41, -0.213, 0.687, tool_momentum, 0.425, -0.234, 0.692, robot_mode, impedance, 
30/03/2022 14:21:09:397, robot_pos_w_timestamp, 1648642784403, 563.98, 163.97, 319.3, 2.15, -0.01, -3.13, tool_force, -8.09, 1.59, 5.91, actual_rep, 1, curr_step, 22, track_size, 78, robot_vel, 31.13, joints_pos, 52.57, 54.76, -61.85, -83.15, 49.35, 72.7, 42.24, tool_torque, 0.592, -0.362, 1.011, tool_momentum, 0.582, -0.362, 1.011, robot_mode, impedance, 
30/03/2022 14:21:09:545, robot_pos_w_timestamp, 1648642784552, 564.74, 162.27, 319.13, 2.15, -0.01, -3.13, tool_force, -7.56, 1.83, 5.98, actual_rep, 1, curr_step, 22, track_size, 78, robot_vel, 13.36, joints_pos, 52.24, 54.71, -61.63, -83.04, 49.19, 72.73, 42.14, tool_torque, 0.726, -0.551, 1.091, tool_momentum, 0.727, -0.566, 1.091, robot_mode, impedance, 
30/03/2022 14:21:09:694, robot_pos_w_timestamp, 1648642784699, 566.1, 161.76, 318.22, 2.15, -0.02, -3.13, tool_force, -5.93, 0.26, 5.33, actual_rep, 1, curr_step, 22, track_size, 78, robot_vel, 11.07, joints_pos, 51.95, 54.8, -61.41, -82.82, 49.19, 72.73, 42.09, tool_torque, 0.62, -0.571, 0.988, tool_momentum, 0.622, -0.567, 0.988, robot_mode, impedance, 
30/03/2022 14:21:09:849, robot_pos_w_timestamp, 1648642784855, 566.77, 162.25, 318.18, 2.15, -0.02, -3.13, tool_force, -5.53, 0.07, 5.33, actual_rep, 1, curr_step, 22, track_size, 78, robot_vel, 4.7, joints_pos, 51.88, 54.86, -61.34, -82.65, 49.19, 72.79, 42.1, tool_torque, 0.514, -0.618, 0.887, tool_momentum, 0.515, -0.615, 0.885, robot_mode, impedance, 
