30/03/2022 16:26:47: File Created!
30/03/2022 16:26:47:433, robot_pos_w_timestamp, 1648650321251, 601.49, 304.98, 182.99, 2.35, 0.05, 3.06, tool_force, 0.09, -0.14, 0.39, actual_rep, 1, curr_step, 1, track_size, 82, robot_vel, 45.2, joints_pos, 39.59, 60.85, -22.59, -68.08, 23.83, 49.76, 59.06, tool_torque, 0.025, -0.209, 0.142, tool_momentum, 0.026, -0.211, 0.142, robot_mode, normal, 
30/03/2022 16:26:49:028, robot_pos_w_timestamp, 1648650322886, 621.57, 252.47, 187.9, 2.32, 0.09, 3.07, tool_force, 1.98, 1.7, 1.1, actual_rep, 1, curr_step, 10, track_size, 82, robot_vel, 34.36, joints_pos, 36.39, 60.41, -24.65, -69.0, 23.61, 49.76, 56.94, tool_torque, 0.147, -0.36, 0.317, tool_momentum, 0.153, -0.37, 0.318, robot_mode, normal, 
30/03/2022 16:26:49:179, robot_pos_w_timestamp, 1648650323034, 622.96, 246.48, 188.6, 2.31, 0.09, 3.07, tool_force, -0.21, 3.18, 2.62, actual_rep, 1, curr_step, 10, track_size, 82, robot_vel, 42.2, joints_pos, 36.01, 60.28, -24.81, -69.23, 23.64, 49.73, 56.5, tool_torque, 0.295, -0.117, 0.214, tool_momentum, 0.311, -0.142, 0.214, robot_mode, normal, 
30/03/2022 16:26:49:326, robot_pos_w_timestamp, 1648650323183, 625.07, 241.37, 189.07, 2.31, 0.09, 3.07, tool_force, -0.72, 4.02, 3.08, actual_rep, 1, curr_step, 11, track_size, 82, robot_vel, 33.4, joints_pos, 35.58, 60.25, -24.88, -69.23, 23.68, 49.73, 56.19, tool_torque, 0.297, -0.148, 0.132, tool_momentum, 0.301, -0.158, 0.132, robot_mode, impedance, 
30/03/2022 16:26:49:486, robot_pos_w_timestamp, 1648650323334, 627.72, 236.9, 189.78, 2.31, 0.09, 3.07, tool_force, -2.47, 7.38, 4.69, actual_rep, 1, curr_step, 11, track_size, 82, robot_vel, 34.9, joints_pos, 35.2, 60.29, -25.01, -69.07, 23.66, 49.73, 55.79, tool_torque, 0.272, -0.09, -0.179, tool_momentum, 0.26, -0.09, -0.181, robot_mode, impedance, 
30/03/2022 16:26:49:625, robot_pos_w_timestamp, 1648650323481, 631.9, 233.24, 190.59, 2.31, 0.09, 3.07, tool_force, -5.24, 11.5, 6.13, actual_rep, 1, curr_step, 11, track_size, 82, robot_vel, 34.22, joints_pos, 34.7, 60.52, -25.05, -68.45, 23.66, 50.06, 55.37, tool_torque, 0.011, 0.035, -0.553, tool_momentum, 0.012, 0.023, -0.553, robot_mode, impedance, 
30/03/2022 16:26:49:782, robot_pos_w_timestamp, 1648650323632, 635.92, 234.44, 190.54, 2.32, 0.09, 3.07, tool_force, -6.62, 12.22, 7.19, actual_rep, 1, curr_step, 11, track_size, 82, robot_vel, 27.83, joints_pos, 34.38, 61.06, -24.96, -67.26, 23.66, 50.82, 55.36, tool_torque, -0.073, -0.048, -0.701, tool_momentum, -0.067, -0.054, -0.701, robot_mode, impedance, 
30/03/2022 16:26:49:932, robot_pos_w_timestamp, 1648650323780, 640.07, 231.75, 189.91, 2.31, 0.09, 3.08, tool_force, -10.92, 9.72, 7.95, actual_rep, 1, curr_step, 11, track_size, 82, robot_vel, 40.68, joints_pos, 34.05, 61.58, -25.23, -66.37, 23.66, 51.45, 55.4, tool_torque, -0.152, 0.256, -0.631, tool_momentum, -0.146, 0.255, -0.631, robot_mode, impedance, 
30/03/2022 16:26:50:082, robot_pos_w_timestamp, 1648650323930, 643.01, 229.02, 189.93, 2.31, 0.09, 3.08, tool_force, -12.22, 8.86, 8.54, actual_rep, 1, curr_step, 11, track_size, 82, robot_vel, 22.36, joints_pos, 33.64, 61.84, -25.24, -65.8, 23.71, 51.9, 55.26, tool_torque, -0.028, 0.115, -0.399, tool_momentum, -0.041, 0.132, -0.4, robot_mode, impedance, 
30/03/2022 16:26:50:239, robot_pos_w_timestamp, 1648650324080, 644.2, 226.74, 190.21, 2.31, 0.09, 3.08, tool_force, -12.9, 7.03, 6.98, actual_rep, 1, curr_step, 11, track_size, 82, robot_vel, 17.62, joints_pos, 33.38, 61.86, -25.2, -65.69, 23.72, 52.04, 55.12, tool_torque, 0.085, -0.115, -0.221, tool_momentum, 0.089, -0.114, -0.221, robot_mode, impedance, 
30/03/2022 16:26:50:383, robot_pos_w_timestamp, 1648650324231, 644.47, 224.79, 190.51, 2.31, 0.09, 3.08, tool_force, -14.13, 6.65, 6.71, actual_rep, 1, curr_step, 11, track_size, 82, robot_vel, 11.54, joints_pos, 33.24, 61.79, -25.21, -65.78, 23.72, 52.04, 54.99, tool_torque, 0.168, -0.06, -0.174, tool_momentum, 0.167, -0.057, -0.174, robot_mode, impedance, 
30/03/2022 16:26:50:536, robot_pos_w_timestamp, 1648650324379, 644.46, 223.97, 190.79, 2.31, 0.09, 3.08, tool_force, -14.38, 7.84, 6.81, actual_rep, 1, curr_step, 11, track_size, 82, robot_vel, 2.53, joints_pos, 33.18, 61.72, -25.2, -65.87, 23.72, 52.01, 54.87, tool_torque, 0.338, 0.0010, -0.217, tool_momentum, 0.338, -0.0010, -0.217, robot_mode, impedance, 
30/03/2022 16:26:50:682, robot_pos_w_timestamp, 1648650324529, 644.03, 224.89, 190.63, 2.31, 0.09, 3.08, tool_force, -12.33, 7.31, 6.3, actual_rep, 1, curr_step, 11, track_size, 82, robot_vel, 11.5, joints_pos, 33.19, 61.71, -25.08, -65.88, 23.73, 52.01, 54.87, tool_torque, 0.248, 0.022, -0.24, tool_momentum, 0.248, 0.022, -0.24, robot_mode, impedance, 
30/03/2022 16:26:50:838, robot_pos_w_timestamp, 1648650324677, 642.82, 225.86, 190.42, 2.31, 0.08, 3.08, tool_force, -11.69, 6.75, 6.82, actual_rep, 1, curr_step, 11, track_size, 82, robot_vel, 8.38, joints_pos, 33.28, 61.63, -25.02, -66.05, 23.75, 52.01, 54.92, tool_torque, 0.197, 0.26, -0.292, tool_momentum, 0.193, 0.27, -0.292, robot_mode, impedance, 
30/03/2022 16:26:50:982, robot_pos_w_timestamp, 1648650324827, 641.56, 225.54, 190.31, 2.31, 0.08, 3.08, tool_force, -10.8, 4.6, 5.84, actual_rep, 1, curr_step, 11, track_size, 82, robot_vel, 11.18, joints_pos, 33.34, 61.51, -25.02, -66.33, 23.75, 51.97, 54.96, tool_torque, 0.269, 0.337, -0.162, tool_momentum, 0.268, 0.335, -0.16, robot_mode, impedance, 
30/03/2022 16:26:51:134, robot_pos_w_timestamp, 1648650324975, 638.79, 226.01, 190.52, 2.31, 0.08, 3.09, tool_force, -6.39, 1.56, 3.36, actual_rep, 1, curr_step, 11, track_size, 82, robot_vel, 24.11, joints_pos, 33.52, 61.2, -24.95, -66.92, 23.76, 51.83, 55.02, tool_torque, 0.314, 0.252, 0.033, tool_momentum, 0.32, 0.247, 0.035, robot_mode, impedance, 
30/03/2022 16:26:51:287, robot_pos_w_timestamp, 1648650325124, 634.81, 227.57, 190.73, 2.31, 0.08, 3.08, tool_force, -4.36, 0.96, 1.87, actual_rep, 1, curr_step, 11, track_size, 82, robot_vel, 27.16, joints_pos, 33.92, 60.76, -24.93, -67.81, 23.76, 51.28, 55.12, tool_torque, 0.278, 0.265, 0.0040, tool_momentum, 0.281, 0.279, 0.0040, robot_mode, impedance, 
30/03/2022 16:26:51:436, robot_pos_w_timestamp, 1648650325275, 631.78, 227.62, 190.85, 2.31, 0.09, 3.08, tool_force, -4.58, 0.61, 2.24, actual_rep, 1, curr_step, 11, track_size, 82, robot_vel, 17.57, joints_pos, 34.23, 60.4, -25.03, -68.62, 23.75, 50.73, 55.13, tool_torque, 0.222, 0.37, -0.0010, tool_momentum, 0.221, 0.368, -0.0010, robot_mode, impedance, 
30/03/2022 16:26:51:587, robot_pos_w_timestamp, 1648650325424, 629.63, 227.9, 191.06, 2.31, 0.09, 3.08, tool_force, -3.09, 0.13, 1.34, actual_rep, 1, curr_step, 11, track_size, 82, robot_vel, 13.33, joints_pos, 34.4, 60.15, -25.01, -69.11, 23.75, 50.49, 55.15, tool_torque, 0.211, 0.321, 0.033, tool_momentum, 0.205, 0.322, 0.033, robot_mode, impedance, 
30/03/2022 16:26:51:740, robot_pos_w_timestamp, 1648650325575, 628.25, 228.36, 191.2, 2.31, 0.09, 3.08, tool_force, -2.57, 0.04, 0.8, actual_rep, 1, curr_step, 12, track_size, 82, robot_vel, 7.63, joints_pos, 34.51, 59.99, -24.99, -69.41, 23.74, 50.31, 55.19, tool_torque, 0.218, 0.297, 0.039, tool_momentum, 0.222, 0.291, 0.039, robot_mode, impedance, 
30/03/2022 16:26:51:889, robot_pos_w_timestamp, 1648650325723, 627.48, 224.63, 192.15, 2.3, 0.09, 3.08, tool_force, -0.42, 0.28, 0.25, actual_rep, 1, curr_step, 12, track_size, 82, robot_vel, 35.41, joints_pos, 34.49, 59.75, -25.25, -69.86, 23.69, 50.31, 55.09, tool_torque, 0.218, 0.077, 0.195, tool_momentum, 0.228, 0.075, 0.195, robot_mode, impedance, 
30/03/2022 16:26:52:039, robot_pos_w_timestamp, 1648650325873, 626.33, 219.74, 193.14, 2.3, 0.09, 3.09, tool_force, 0.25, 0.65, 0.34, actual_rep, 1, curr_step, 13, track_size, 82, robot_vel, 30.97, joints_pos, 34.32, 59.42, -25.39, -70.45, 23.69, 50.29, 54.75, tool_torque, 0.415, -0.152, 0.437, tool_momentum, 0.416, -0.156, 0.438, robot_mode, impedance, 
30/03/2022 16:26:52:191, robot_pos_w_timestamp, 1648650326022, 625.34, 214.49, 194.01, 2.3, 0.09, 3.09, tool_force, 0.69, 1.04, 0.13, actual_rep, 1, curr_step, 14, track_size, 82, robot_vel, 36.78, joints_pos, 34.09, 59.07, -25.49, -71.06, 23.69, 50.18, 54.25, tool_torque, 0.51, -0.35, 0.49, tool_momentum, 0.509, -0.345, 0.49, robot_mode, impedance, 
30/03/2022 16:26:52:346, robot_pos_w_timestamp, 1648650326173, 624.51, 208.84, 195.07, 2.3, 0.09, 3.09, tool_force, 0.0, 1.09, 0.31, actual_rep, 1, curr_step, 14, track_size, 82, robot_vel, 38.77, joints_pos, 33.81, 58.73, -25.59, -71.62, 23.69, 50.13, 53.62, tool_torque, 0.475, -0.251, 0.433, tool_momentum, 0.474, -0.257, 0.432, robot_mode, impedance, 
30/03/2022 16:26:52:494, robot_pos_w_timestamp, 1648650326323, 623.23, 202.63, 196.12, 2.31, 0.08, 3.1, tool_force, 0.94, 1.99, 0.57, actual_rep, 1, curr_step, 15, track_size, 82, robot_vel, 47.97, joints_pos, 33.42, 58.3, -25.6, -72.32, 23.88, 50.08, 52.63, tool_torque, 0.588, -0.369, 0.44, tool_momentum, 0.58, -0.36, 0.439, robot_mode, normal, 
30/03/2022 16:26:52:646, robot_pos_w_timestamp, 1648650326473, 621.27, 196.05, 197.43, 2.31, 0.08, 3.1, tool_force, 0.61, 1.33, 0.23, actual_rep, 1, curr_step, 16, track_size, 82, robot_vel, 41.75, joints_pos, 33.02, 57.75, -25.54, -73.21, 24.0, 49.88, 51.58, tool_torque, 0.541, -0.432, 0.447, tool_momentum, 0.554, -0.432, 0.447, robot_mode, normal, 
30/03/2022 16:26:52:795, robot_pos_w_timestamp, 1648650326623, 619.39, 190.2, 198.45, 2.32, 0.08, 3.1, tool_force, 0.59, 1.3, 0.25, actual_rep, 1, curr_step, 16, track_size, 82, robot_vel, 40.73, joints_pos, 32.69, 57.3, -25.53, -73.94, 24.0, 49.85, 50.83, tool_torque, 0.536, -0.385, 0.451, tool_momentum, 0.544, -0.374, 0.449, robot_mode, normal, 
30/03/2022 16:26:52:948, robot_pos_w_timestamp, 1648650326771, 617.4, 184.51, 199.31, 2.32, 0.07, 3.1, tool_force, 1.2, 1.55, 0.42, actual_rep, 1, curr_step, 17, track_size, 82, robot_vel, 39.43, joints_pos, 32.34, 56.87, -25.51, -74.67, 24.02, 49.85, 49.97, tool_torque, 0.581, -0.575, 0.454, tool_momentum, 0.562, -0.569, 0.453, robot_mode, normal, 
30/03/2022 16:26:53:093, robot_pos_w_timestamp, 1648650326921, 615.02, 178.69, 200.04, 2.32, 0.07, 3.11, tool_force, 0.83, 1.18, 1.2, actual_rep, 1, curr_step, 18, track_size, 82, robot_vel, 40.46, joints_pos, 32.0, 56.42, -25.48, -75.44, 24.07, 49.85, 49.12, tool_torque, 0.621, -0.445, 0.411, tool_momentum, 0.643, -0.467, 0.411, robot_mode, normal, 
30/03/2022 16:26:53:251, robot_pos_w_timestamp, 1648650327070, 612.44, 172.89, 200.95, 2.33, 0.07, 3.11, tool_force, 0.48, 1.16, -0.02, actual_rep, 1, curr_step, 19, track_size, 82, robot_vel, 44.21, joints_pos, 31.67, 55.94, -25.47, -76.26, 24.1, 49.84, 48.28, tool_torque, 0.603, -0.437, 0.433, tool_momentum, 0.609, -0.434, 0.433, robot_mode, normal, 
30/03/2022 16:26:53:402, robot_pos_w_timestamp, 1648650327221, 609.45, 167.04, 201.78, 2.33, 0.06, 3.12, tool_force, 0.84, 1.53, 0.06, actual_rep, 1, curr_step, 19, track_size, 82, robot_vel, 41.69, joints_pos, 31.33, 55.44, -25.44, -77.11, 24.15, 49.84, 47.45, tool_torque, 0.658, -0.513, 0.482, tool_momentum, 0.649, -0.509, 0.482, robot_mode, normal, 
30/03/2022 16:26:53:703, robot_pos_w_timestamp, 1648650327524, 602.32, 155.37, 203.51, 2.34, 0.05, 3.13, tool_force, 0.57, 1.31, 0.06, actual_rep, 1, curr_step, 21, track_size, 82, robot_vel, 45.75, joints_pos, 30.7, 54.33, -25.38, -79.05, 24.22, 49.75, 45.83, tool_torque, 0.643, -0.387, 0.436, tool_momentum, 0.642, -0.381, 0.436, robot_mode, normal, 
30/03/2022 16:26:53:907, robot_pos_w_timestamp, 1648650327674, 597.91, 149.5, 204.64, 2.34, 0.04, 3.13, tool_force, 0.45, 1.59, 0.18, actual_rep, 1, curr_step, 22, track_size, 82, robot_vel, 50.43, joints_pos, 30.4, 53.66, -25.31, -80.17, 24.25, 49.65, 45.05, tool_torque, 0.702, -0.473, 0.47, tool_momentum, 0.729, -0.467, 0.469, robot_mode, normal, 
30/03/2022 16:26:54:008, robot_pos_w_timestamp, 1648650327823, 592.29, 143.94, 206.05, 2.34, 0.04, 3.13, tool_force, 0.21, 2.0, 0.04, actual_rep, 1, curr_step, 23, track_size, 82, robot_vel, 54.57, joints_pos, 30.13, 52.84, -25.22, -81.53, 24.32, 49.47, 44.22, tool_torque, 0.736, -0.395, 0.462, tool_momentum, 0.7, -0.354, 0.462, robot_mode, normal, 
30/03/2022 16:26:54:161, robot_pos_w_timestamp, 1648650327972, 586.39, 139.78, 207.9, 2.34, 0.03, 3.13, tool_force, -0.39, 1.68, 1.26, actual_rep, 1, curr_step, 24, track_size, 82, robot_vel, 51.11, joints_pos, 29.94, 51.98, -25.06, -82.85, 24.34, 49.29, 43.53, tool_torque, 0.728, -0.265, 0.417, tool_momentum, 0.703, -0.255, 0.417, robot_mode, normal, 
30/03/2022 16:26:54:311, robot_pos_w_timestamp, 1648650328122, 580.75, 136.74, 210.17, 2.35, 0.02, 3.13, tool_force, -0.31, 1.6, 0.2, actual_rep, 1, curr_step, 25, track_size, 82, robot_vel, 44.27, joints_pos, 29.81, 51.08, -24.87, -84.13, 24.34, 49.04, 42.98, tool_torque, 0.685, -0.285, 0.443, tool_momentum, 0.665, -0.291, 0.443, robot_mode, normal, 
30/03/2022 16:26:54:462, robot_pos_w_timestamp, 1648650328271, 574.91, 134.66, 212.87, 2.35, 0.02, 3.13, tool_force, 0.01, 1.54, 0.09, actual_rep, 1, curr_step, 26, track_size, 82, robot_vel, 43.38, joints_pos, 29.77, 50.14, -24.68, -85.39, 24.34, 48.75, 42.58, tool_torque, 0.777, -0.345, 0.443, tool_momentum, 0.794, -0.352, 0.446, robot_mode, normal, 
30/03/2022 16:26:54:611, robot_pos_w_timestamp, 1648650328423, 568.87, 133.85, 215.83, 2.35, 0.01, 3.13, tool_force, 0.64, 1.28, 0.37, actual_rep, 1, curr_step, 27, track_size, 82, robot_vel, 41.93, joints_pos, 29.77, 49.14, -24.4, -86.68, 24.33, 48.42, 42.38, tool_torque, 0.671, -0.217, 0.435, tool_momentum, 0.694, -0.219, 0.435, robot_mode, normal, 
30/03/2022 16:26:54:762, robot_pos_w_timestamp, 1648650328569, 563.4, 133.97, 219.29, 2.35, 0.01, 3.12, tool_force, -0.63, 2.33, 0.72, actual_rep, 1, curr_step, 29, track_size, 82, robot_vel, 42.6, joints_pos, 29.8, 48.16, -24.09, -87.8, 24.26, 48.16, 42.31, tool_torque, 0.574, -0.06, 0.268, tool_momentum, 0.531, -0.046, 0.262, robot_mode, impedance, 
30/03/2022 16:26:54:912, robot_pos_w_timestamp, 1648650328720, 559.02, 134.12, 222.69, 2.35, 0.0, 3.12, tool_force, -3.31, 2.49, 1.22, actual_rep, 1, curr_step, 30, track_size, 82, robot_vel, 35.38, joints_pos, 29.8, 47.32, -23.85, -88.64, 24.2, 48.03, 42.31, tool_torque, 0.566, -0.014, 0.207, tool_momentum, 0.568, -0.01, 0.205, robot_mode, impedance, 
30/03/2022 16:26:55:064, robot_pos_w_timestamp, 1648650328870, 556.07, 135.42, 227.2, 2.35, 0.0, 3.12, tool_force, -4.35, 2.34, 1.37, actual_rep, 1, curr_step, 30, track_size, 82, robot_vel, 39.84, joints_pos, 29.82, 46.5, -23.56, -89.2, 24.09, 48.13, 42.31, tool_torque, 0.323, -0.123, 0.147, tool_momentum, 0.326, -0.12, 0.145, robot_mode, impedance, 
30/03/2022 16:26:55:217, robot_pos_w_timestamp, 1648650329020, 554.95, 135.3, 229.04, 2.35, 0.0, 3.11, tool_force, -8.65, 2.96, 1.14, actual_rep, 1, curr_step, 31, track_size, 82, robot_vel, 8.9, joints_pos, 29.8, 46.14, -23.45, -89.48, 23.9, 47.91, 42.33, tool_torque, 0.506, -0.133, 0.081, tool_momentum, 0.505, -0.145, 0.083, robot_mode, impedance, 
30/03/2022 16:26:55:365, robot_pos_w_timestamp, 1648650329171, 555.06, 133.8, 234.81, 2.35, 0.0, 3.11, tool_force, -8.5, 1.17, -6.53, actual_rep, 1, curr_step, 31, track_size, 82, robot_vel, 22.2, joints_pos, 29.76, 45.52, -23.59, -89.58, 23.63, 48.21, 42.35, tool_torque, 0.351, -0.965, 0.082, tool_momentum, 0.357, -0.962, 0.082, robot_mode, impedance, 
30/03/2022 16:26:55:516, robot_pos_w_timestamp, 1648650329320, 555.61, 132.14, 235.62, 2.35, 0.01, 3.11, tool_force, -8.95, 0.51, -10.43, actual_rep, 1, curr_step, 31, track_size, 82, robot_vel, 14.13, joints_pos, 29.63, 45.44, -23.61, -89.57, 23.41, 48.17, 42.35, tool_torque, 0.435, -1.27, 0.095, tool_momentum, 0.436, -1.275, 0.095, robot_mode, impedance, 
30/03/2022 16:26:55:664, robot_pos_w_timestamp, 1648650329471, 557.14, 131.4, 237.7, 2.35, 0.01, 3.11, tool_force, -10.12, 1.63, -15.08, actual_rep, 1, curr_step, 31, track_size, 82, robot_vel, 19.85, joints_pos, 29.6, 45.35, -23.69, -89.37, 23.16, 48.23, 42.38, tool_torque, 0.317, -1.766, -0.101, tool_momentum, 0.315, -1.771, -0.101, robot_mode, impedance, 
30/03/2022 16:26:55:859, robot_pos_w_timestamp, 1648650329621, 557.67, 132.12, 239.71, 2.35, 0.01, 3.11, tool_force, -8.28, 1.54, -18.98, actual_rep, 1, curr_step, 31, track_size, 82, robot_vel, 14.31, joints_pos, 29.66, 45.21, -23.69, -89.23, 22.96, 48.43, 42.55, tool_torque, 0.235, -2.055, -0.177, tool_momentum, 0.226, -2.052, -0.18, robot_mode, impedance, 
30/03/2022 16:26:55:965, robot_pos_w_timestamp, 1648650329771, 557.38, 132.97, 240.34, 2.35, 0.01, 3.11, tool_force, -9.23, 1.28, -20.15, actual_rep, 1, curr_step, 31, track_size, 82, robot_vel, 5.2, joints_pos, 29.76, 45.13, -23.68, -89.26, 22.81, 48.43, 42.72, tool_torque, 0.084, -1.895, -0.278, tool_momentum, 0.089, -1.903, -0.278, robot_mode, impedance, 
30/03/2022 16:26:56:124, robot_pos_w_timestamp, 1648650329927, 556.66, 132.79, 240.35, 2.35, 0.01, 3.11, tool_force, -8.61, 0.68, -20.15, actual_rep, 1, curr_step, 31, track_size, 82, robot_vel, 4.51, joints_pos, 29.78, 45.06, -23.69, -89.39, 22.78, 48.42, 42.78, tool_torque, 0.187, -1.872, -0.167, tool_momentum, 0.174, -1.872, -0.165, robot_mode, impedance, 
30/03/2022 16:26:56:274, robot_pos_w_timestamp, 1648650330078, 555.97, 132.21, 240.64, 2.35, 0.01, 3.11, tool_force, -8.49, -0.04, -21.07, actual_rep, 1, curr_step, 31, track_size, 82, robot_vel, 5.58, joints_pos, 29.78, 44.95, -23.71, -89.54, 22.72, 48.38, 42.8, tool_torque, 0.284, -1.916, -0.092, tool_momentum, 0.285, -1.917, -0.092, robot_mode, impedance, 
30/03/2022 16:26:56:430, robot_pos_w_timestamp, 1648650330233, 554.77, 131.99, 240.32, 2.35, 0.01, 3.11, tool_force, -7.06, -1.19, -19.62, actual_rep, 1, curr_step, 31, track_size, 82, robot_vel, 13.35, joints_pos, 29.8, 44.88, -23.67, -89.75, 22.71, 48.39, 42.82, tool_torque, 0.249, -1.759, 0.0010, tool_momentum, 0.25, -1.757, 0.0010, robot_mode, impedance, 
30/03/2022 16:26:56:626, robot_pos_w_timestamp, 1648650330387, 552.73, 133.32, 239.27, 2.35, 0.01, 3.11, tool_force, -4.69, -1.53, -17.72, actual_rep, 1, curr_step, 31, track_size, 82, robot_vel, 16.46, joints_pos, 29.87, 44.8, -23.53, -90.04, 22.86, 48.28, 42.87, tool_torque, 0.374, -1.509, 0.103, tool_momentum, 0.377, -1.508, 0.103, robot_mode, impedance, 
30/03/2022 16:26:56:729, robot_pos_w_timestamp, 1648650330536, 550.52, 134.26, 238.32, 2.35, 0.0, 3.11, tool_force, -2.82, -2.24, -14.94, actual_rep, 1, curr_step, 31, track_size, 82, robot_vel, 18.34, joints_pos, 30.03, 44.72, -23.52, -90.38, 23.01, 48.19, 42.9, tool_torque, 0.398, -1.253, 0.194, tool_momentum, 0.397, -1.25, 0.194, robot_mode, impedance, 
30/03/2022 16:26:56:919, robot_pos_w_timestamp, 1648650330690, 548.06, 136.02, 236.66, 2.35, 0.0, 3.11, tool_force, -0.78, -2.24, -9.88, actual_rep, 1, curr_step, 32, track_size, 82, robot_vel, 26.38, joints_pos, 30.22, 44.68, -23.43, -90.76, 23.28, 47.97, 42.91, tool_torque, 0.384, -0.808, 0.259, tool_momentum, 0.388, -0.805, 0.26, robot_mode, impedance, 
