30/03/2022 12:04:16: File Created!
30/03/2022 12:04:16:287, robot_pos_w_timestamp, 1648634570924, 556.03, 302.29, 189.72, 2.29, 0.02, 3.05, tool_force, -0.69, 0.31, 5.94, actual_rep, 1, curr_step, 1, track_size, 81, robot_vel, 0.01, joints_pos, 57.16, 64.87, -49.54, -78.03, 55.29, 56.27, 45.78, tool_torque, -0.098, -0.237, 0.098, tool_momentum, -0.099, -0.237, 0.099, robot_mode, normal, 
30/03/2022 12:04:20:821, robot_pos_w_timestamp, 1648634575391, 602.83, 149.36, 208.43, 2.25, 0.17, 3.12, tool_force, -6.44, 5.44, 1.53, actual_rep, 1, curr_step, 17, track_size, 81, robot_vel, 19.21, joints_pos, 45.68, 62.48, -50.63, -80.71, 45.45, 52.64, 39.32, tool_torque, 0.075, -1.32, -0.149, tool_momentum, 0.067, -1.314, -0.151, robot_mode, impedance, 
30/03/2022 12:04:21:024, robot_pos_w_timestamp, 1648634575540, 605.06, 148.05, 210.32, 2.25, 0.17, 3.12, tool_force, -7.49, 4.81, -0.46, actual_rep, 1, curr_step, 17, track_size, 81, robot_vel, 21.34, joints_pos, 45.45, 62.5, -50.75, -80.32, 45.26, 52.93, 39.4, tool_torque, -0.062, -1.381, -0.246, tool_momentum, -0.055, -1.383, -0.245, robot_mode, impedance, 
30/03/2022 12:04:21:124, robot_pos_w_timestamp, 1648634575692, 606.4, 146.32, 211.76, 2.25, 0.17, 3.12, tool_force, -7.88, 3.73, -2.09, actual_rep, 1, curr_step, 17, track_size, 81, robot_vel, 14.15, joints_pos, 45.25, 62.49, -50.85, -80.1, 45.12, 53.18, 39.41, tool_torque, -0.013, -1.529, -0.156, tool_momentum, -0.0090, -1.533, -0.156, robot_mode, impedance, 
30/03/2022 12:04:21:318, robot_pos_w_timestamp, 1648634575838, 605.82, 145.44, 212.44, 2.25, 0.17, 3.12, tool_force, -6.32, 1.75, -3.17, actual_rep, 1, curr_step, 17, track_size, 81, robot_vel, 11.0, joints_pos, 45.22, 62.39, -50.88, -80.2, 45.03, 53.37, 39.46, tool_torque, 0.081, -1.51, 0.046, tool_momentum, 0.081, -1.508, 0.046, robot_mode, impedance, 
30/03/2022 12:04:21:426, robot_pos_w_timestamp, 1648634575989, 603.16, 145.08, 212.03, 2.25, 0.17, 3.13, tool_force, -5.37, 0.58, -2.04, actual_rep, 1, curr_step, 17, track_size, 81, robot_vel, 21.17, joints_pos, 45.37, 62.19, -50.8, -80.7, 45.01, 53.33, 39.46, tool_torque, 0.257, -1.194, 0.236, tool_momentum, 0.268, -1.196, 0.238, robot_mode, impedance, 
30/03/2022 12:04:21:551, robot_pos_w_timestamp, 1648634576136, 599.59, 145.77, 210.5, 2.25, 0.17, 3.13, tool_force, -3.39, -0.23, -0.8, actual_rep, 1, curr_step, 17, track_size, 81, robot_vel, 27.98, joints_pos, 45.65, 61.98, -50.63, -81.37, 45.03, 53.0, 39.44, tool_torque, 0.394, -0.904, 0.366, tool_momentum, 0.398, -0.901, 0.366, robot_mode, impedance, 
30/03/2022 12:04:21:738, robot_pos_w_timestamp, 1648634576291, 595.93, 147.21, 208.5, 2.25, 0.17, 3.13, tool_force, -2.25, 0.1, 1.74, actual_rep, 1, curr_step, 17, track_size, 81, robot_vel, 27.14, joints_pos, 46.01, 61.83, -50.48, -82.06, 45.2, 52.55, 39.39, tool_torque, 0.565, -0.799, 0.449, tool_momentum, 0.571, -0.813, 0.451, robot_mode, impedance, 
30/03/2022 12:04:21:848, robot_pos_w_timestamp, 1648634576439, 593.39, 148.78, 206.79, 2.25, 0.16, 3.12, tool_force, -1.65, 0.33, 2.93, actual_rep, 1, curr_step, 18, track_size, 81, robot_vel, 22.07, joints_pos, 46.31, 61.78, -50.39, -82.49, 45.35, 52.24, 39.38, tool_torque, 0.567, -0.578, 0.428, tool_momentum, 0.573, -0.582, 0.428, robot_mode, impedance, 
30/03/2022 12:04:22:001, robot_pos_w_timestamp, 1648634576588, 591.47, 147.06, 206.14, 2.25, 0.17, 3.13, tool_force, -0.57, 1.22, 4.38, actual_rep, 1, curr_step, 18, track_size, 81, robot_vel, 22.72, joints_pos, 46.42, 61.75, -50.52, -82.89, 45.33, 52.21, 38.94, tool_torque, 0.516, -0.491, 0.431, tool_momentum, 0.517, -0.495, 0.431, robot_mode, impedance, 
30/03/2022 12:04:22:152, robot_pos_w_timestamp, 1648634576736, 589.79, 143.03, 206.32, 2.25, 0.17, 3.14, tool_force, 0.68, 1.63, 4.85, actual_rep, 1, curr_step, 19, track_size, 81, robot_vel, 27.98, joints_pos, 46.33, 61.6, -50.64, -83.36, 45.25, 52.21, 38.39, tool_torque, 0.507, -0.535, 0.432, tool_momentum, 0.528, -0.547, 0.432, robot_mode, impedance, 
30/03/2022 12:04:22:306, robot_pos_w_timestamp, 1648634576886, 588.36, 138.83, 206.76, 2.25, 0.17, 3.14, tool_force, 1.2, 2.22, 5.5, actual_rep, 1, curr_step, 19, track_size, 81, robot_vel, 30.47, joints_pos, 46.15, 61.38, -50.66, -83.78, 45.0, 52.2, 37.99, tool_torque, 0.545, -0.556, 0.411, tool_momentum, 0.545, -0.561, 0.411, robot_mode, impedance, 
30/03/2022 12:04:22:610, robot_pos_w_timestamp, 1648634577189, 586.56, 132.44, 208.36, 2.26, 0.17, -3.14, tool_force, 1.77, 2.24, 5.54, actual_rep, 1, curr_step, 20, track_size, 81, robot_vel, 25.29, joints_pos, 45.81, 60.95, -50.63, -84.36, 44.55, 52.14, 37.26, tool_torque, 0.662, -0.644, 0.456, tool_momentum, 0.65, -0.614, 0.449, robot_mode, impedance, 
30/03/2022 12:04:22:760, robot_pos_w_timestamp, 1648634577336, 585.43, 127.03, 209.35, 2.26, 0.17, -3.13, tool_force, 1.71, 2.63, 5.67, actual_rep, 1, curr_step, 20, track_size, 81, robot_vel, 41.66, joints_pos, 45.56, 60.68, -50.73, -84.85, 44.5, 51.99, 36.41, tool_torque, 0.698, -0.61, 0.44, tool_momentum, 0.681, -0.604, 0.44, robot_mode, impedance, 
30/03/2022 12:04:22:954, robot_pos_w_timestamp, 1648634577487, 584.42, 123.29, 211.29, 2.27, 0.16, -3.13, tool_force, 2.2, 2.85, 4.88, actual_rep, 1, curr_step, 21, track_size, 81, robot_vel, 27.41, joints_pos, 45.34, 60.27, -50.73, -85.26, 44.51, 51.94, 35.68, tool_torque, 0.799, -0.896, 0.457, tool_momentum, 0.81, -0.899, 0.457, robot_mode, normal, 
30/03/2022 12:04:23:060, robot_pos_w_timestamp, 1648634577635, 581.52, 115.79, 214.36, 2.28, 0.16, -3.14, tool_force, 0.81, 2.18, 5.18, actual_rep, 1, curr_step, 22, track_size, 81, robot_vel, 49.46, joints_pos, 45.01, 59.5, -50.79, -86.3, 44.68, 51.59, 34.12, tool_torque, 0.758, -0.637, 0.445, tool_momentum, 0.77, -0.664, 0.445, robot_mode, normal, 
30/03/2022 12:04:23:209, robot_pos_w_timestamp, 1648634577785, 578.54, 110.0, 216.11, 2.28, 0.16, -3.13, tool_force, 1.3, 1.74, 5.41, actual_rep, 1, curr_step, 22, track_size, 81, robot_vel, 41.85, joints_pos, 44.73, 58.94, -50.77, -87.04, 44.49, 51.55, 33.4, tool_torque, 0.478, -0.666, 0.401, tool_momentum, 0.479, -0.661, 0.401, robot_mode, normal, 
30/03/2022 12:04:23:363, robot_pos_w_timestamp, 1648634577935, 576.02, 104.2, 218.05, 2.28, 0.15, -3.13, tool_force, 0.87, 2.84, 6.37, actual_rep, 1, curr_step, 23, track_size, 81, robot_vel, 48.11, joints_pos, 44.42, 58.43, -50.77, -87.66, 44.23, 51.67, 32.6, tool_torque, 0.634, -0.697, 0.436, tool_momentum, 0.649, -0.707, 0.437, robot_mode, normal, 
30/03/2022 12:04:23:515, robot_pos_w_timestamp, 1648634578084, 571.89, 98.49, 220.66, 2.29, 0.15, -3.13, tool_force, 1.3, 2.12, 5.25, actual_rep, 1, curr_step, 24, track_size, 81, robot_vel, 48.64, joints_pos, 44.29, 57.67, -50.83, -88.72, 44.08, 51.45, 31.34, tool_torque, 0.613, -0.6, 0.411, tool_momentum, 0.634, -0.605, 0.412, robot_mode, normal, 
30/03/2022 12:04:23:665, robot_pos_w_timestamp, 1648634578234, 565.97, 93.13, 224.42, 2.3, 0.14, -3.13, tool_force, 0.8, 2.24, 5.72, actual_rep, 1, curr_step, 25, track_size, 81, robot_vel, 63.57, joints_pos, 44.18, 56.6, -50.82, -90.01, 44.15, 51.45, 29.87, tool_torque, 0.672, -0.518, 0.384, tool_momentum, 0.682, -0.521, 0.386, robot_mode, normal, 
30/03/2022 12:04:23:817, robot_pos_w_timestamp, 1648634578384, 560.03, 89.27, 228.21, 2.3, 0.13, -3.13, tool_force, 0.42, 1.75, 6.01, actual_rep, 1, curr_step, 26, track_size, 81, robot_vel, 51.49, joints_pos, 44.16, 55.53, -50.8, -91.19, 44.03, 51.59, 29.11, tool_torque, 0.465, -0.579, 0.371, tool_momentum, 0.471, -0.584, 0.371, robot_mode, normal, 
30/03/2022 12:04:23:966, robot_pos_w_timestamp, 1648634578532, 554.43, 86.83, 232.78, 2.3, 0.12, -3.13, tool_force, 0.15, 2.1, 6.31, actual_rep, 1, curr_step, 27, track_size, 81, robot_vel, 48.9, joints_pos, 44.23, 54.46, -50.77, -92.2, 43.7, 51.83, 28.71, tool_torque, 0.405, -0.514, 0.359, tool_momentum, 0.391, -0.513, 0.359, robot_mode, normal, 
30/03/2022 12:04:24:122, robot_pos_w_timestamp, 1648634578682, 548.94, 85.63, 238.3, 2.3, 0.11, -3.13, tool_force, -0.45, 2.12, 6.49, actual_rep, 1, curr_step, 28, track_size, 81, robot_vel, 50.64, joints_pos, 44.37, 53.2, -50.7, -93.22, 43.41, 52.03, 28.08, tool_torque, 0.478, -0.488, 0.362, tool_momentum, 0.514, -0.52, 0.362, robot_mode, normal, 
30/03/2022 12:04:24:270, robot_pos_w_timestamp, 1648634578829, 543.39, 84.96, 244.1, 2.31, 0.1, 3.14, tool_force, -1.16, 1.91, 6.1, actual_rep, 1, curr_step, 29, track_size, 81, robot_vel, 56.25, joints_pos, 44.59, 51.84, -50.63, -94.35, 43.29, 51.91, 27.38, tool_torque, 0.479, -0.117, 0.311, tool_momentum, 0.491, -0.115, 0.311, robot_mode, normal, 
