26/04/2022 15:27:10: File Created!
26/04/2022 15:27:10:484, robot_pos_w_timestamp, 1650983130535, 614.43, 276.64, 201.99, 2.36, -0.03, 3.07, tool_force, -0.94, 0.81, 7.33, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 0.05, joints_pos, 21.65, 57.6, 3.63, -67.03, 0.12, 52.27, 68.33, tool_torque, 0.036, 0.315, 0.189, robot_mode, normal, 
26/04/2022 15:27:15:134, robot_pos_w_timestamp, 1650983135062, 618.13, 193.36, 197.1, 2.47, 0.0, -3.14, tool_force, 0.39, 2.27, 7.63, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 15.78, joints_pos, 15.42, 55.63, 3.32, -71.83, -3.45, 52.64, 57.92, tool_torque, 0.21, -0.161, 0.188, robot_mode, rotation_overlay, 
26/04/2022 15:27:15:253, robot_pos_w_timestamp, 1650983135212, 618.34, 191.73, 196.84, 2.44, 0.0, -3.14, tool_force, -0.89, 1.95, 7.36, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 8.89, joints_pos, 15.35, 55.61, 3.16, -71.91, -3.25, 52.6, 59.53, tool_torque, 0.149, 0.242, -0.067, robot_mode, rotation_overlay, 
26/04/2022 15:27:15:404, robot_pos_w_timestamp, 1650983135361, 617.97, 189.98, 197.21, 2.37, 0.0, -3.14, tool_force, -0.62, 2.62, 7.68, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 12.2, joints_pos, 15.35, 55.48, 2.95, -72.1, -3.06, 52.55, 63.02, tool_torque, 0.267, 0.205, -0.055, robot_mode, rotation_overlay, 
26/04/2022 15:27:15:555, robot_pos_w_timestamp, 1650983135511, 617.72, 188.22, 197.54, 2.28, 0.0, -3.14, tool_force, -0.45, 2.16, 7.18, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 11.58, joints_pos, 15.35, 55.35, 2.7, -72.28, -2.81, 52.5, 68.34, tool_torque, 0.238, 0.205, -0.076, robot_mode, rotation_overlay, 
26/04/2022 15:27:15:701, robot_pos_w_timestamp, 1650983135660, 617.33, 186.58, 197.91, 2.19, 0.0, -3.14, tool_force, -0.17, 2.44, 7.36, actual_rep, 1, curr_step, 11, track_size, 99, robot_vel, 11.21, joints_pos, 15.31, 55.22, 2.55, -72.47, -2.7, 52.46, 72.79, tool_torque, 0.29, 0.156, -0.088, robot_mode, rotation_overlay, 
26/04/2022 15:27:15:856, robot_pos_w_timestamp, 1650983135809, 617.03, 184.73, 198.22, 2.14, 0.0, -3.14, tool_force, -0.27, 2.29, 7.6, actual_rep, 1, curr_step, 11, track_size, 99, robot_vel, 11.79, joints_pos, 15.17, 55.1, 2.54, -72.66, -2.69, 52.42, 75.57, tool_torque, 0.301, 0.134, -0.09, robot_mode, rotation_overlay, 
26/04/2022 15:27:16:002, robot_pos_w_timestamp, 1650983135958, 616.74, 182.99, 198.54, 2.13, 0.0, -3.14, tool_force, 0.43, 2.7, 7.51, actual_rep, 1, curr_step, 11, track_size, 99, robot_vel, 13.11, joints_pos, 14.98, 54.99, 2.61, -72.83, -2.75, 52.37, 76.34, tool_torque, 0.384, -0.078, -0.02, robot_mode, rotation_overlay, 
26/04/2022 15:27:16:155, robot_pos_w_timestamp, 1650983136087, 616.27, 182.63, 198.03, 2.13, 0.0, -3.14, tool_force, 0.46, 2.43, 7.02, actual_rep, 1, curr_step, 11, track_size, 99, robot_vel, 7.52, joints_pos, 14.9, 54.98, 2.71, -72.95, -2.86, 52.3, 76.32, tool_torque, 0.365, -0.166, 0.159, robot_mode, rotation_overlay, 
26/04/2022 15:27:16:307, robot_pos_w_timestamp, 1650983136238, 616.29, 181.34, 197.64, 2.15, 0.0, -3.14, tool_force, 0.97, 1.42, 6.93, actual_rep, 1, curr_step, 11, track_size, 99, robot_vel, 7.96, joints_pos, 14.81, 55.0, 2.69, -72.98, -2.91, 52.34, 74.58, tool_torque, 0.134, -0.307, 0.412, robot_mode, rotation_overlay, 
26/04/2022 15:27:16:478, robot_pos_w_timestamp, 1650983136387, 615.93, 179.67, 197.98, 2.23, 0.0, -3.14, tool_force, 0.75, 2.78, 7.75, actual_rep, 1, curr_step, 11, track_size, 99, robot_vel, 10.63, joints_pos, 14.65, 54.89, 2.76, -73.15, -3.08, 52.37, 70.34, tool_torque, 0.311, -0.406, 0.506, robot_mode, rotation_overlay, 
26/04/2022 15:27:16:610, robot_pos_w_timestamp, 1650983136536, 615.48, 178.29, 198.26, 2.31, 0.0, -3.13, tool_force, 0.2, 2.45, 7.81, actual_rep, 1, curr_step, 11, track_size, 99, robot_vel, 9.91, joints_pos, 14.43, 54.79, 2.96, -73.3, -3.33, 52.39, 65.57, tool_torque, 0.294, -0.373, 0.554, robot_mode, rotation_overlay, 
26/04/2022 15:27:16:755, robot_pos_w_timestamp, 1650983136686, 615.04, 176.65, 198.61, 2.4, 0.0, -3.13, tool_force, 0.24, 2.17, 7.72, actual_rep, 1, curr_step, 12, track_size, 99, robot_vel, 10.33, joints_pos, 14.17, 54.68, 3.17, -73.48, -3.58, 52.41, 60.73, tool_torque, 0.255, -0.323, 0.571, robot_mode, rotation_overlay, 
26/04/2022 15:27:16:907, robot_pos_w_timestamp, 1650983136834, 614.59, 175.13, 198.96, 2.45, 0.0, -3.13, tool_force, 0.31, 2.44, 7.61, actual_rep, 1, curr_step, 12, track_size, 99, robot_vel, 11.3, joints_pos, 14.05, 54.56, 3.18, -73.65, -3.64, 52.42, 57.59, tool_torque, 0.304, -0.321, 0.557, robot_mode, rotation_overlay, 
26/04/2022 15:27:17:057, robot_pos_w_timestamp, 1650983136983, 614.17, 173.55, 199.31, 2.47, 0.0, -3.13, tool_force, 0.01, 2.17, 7.61, actual_rep, 1, curr_step, 12, track_size, 99, robot_vel, 10.64, joints_pos, 14.0, 54.45, 3.07, -73.82, -3.63, 52.43, 56.39, tool_torque, 0.221, -0.244, 0.498, robot_mode, rotation_overlay, 
26/04/2022 15:27:17:211, robot_pos_w_timestamp, 1650983137114, 613.73, 173.35, 199.25, 2.47, 0.0, -3.13, tool_force, -0.52, 2.49, 7.65, actual_rep, 1, curr_step, 12, track_size, 99, robot_vel, 3.46, joints_pos, 14.0, 54.41, 3.05, -73.91, -3.53, 52.42, 56.32, tool_torque, 0.146, 0.116, 0.231, robot_mode, normal, 
26/04/2022 15:27:17:363, robot_pos_w_timestamp, 1650983137263, 613.54, 170.93, 198.68, 2.45, 0.0, -3.13, tool_force, -0.77, 2.45, 7.73, actual_rep, 1, curr_step, 12, track_size, 99, robot_vel, 16.08, joints_pos, 13.86, 54.38, 2.93, -74.06, -3.42, 52.37, 57.31, tool_torque, 0.23, 0.092, -0.04, robot_mode, normal, 
26/04/2022 15:27:17:513, robot_pos_w_timestamp, 1650983137414, 612.7, 168.19, 199.37, 2.39, -0.01, -3.13, tool_force, -1.09, 2.08, 7.54, actual_rep, 1, curr_step, 12, track_size, 99, robot_vel, 22.78, joints_pos, 13.64, 54.15, 2.84, -74.4, -2.98, 52.33, 60.07, tool_torque, 0.181, 0.254, -0.064, robot_mode, normal, 
26/04/2022 15:27:17:664, robot_pos_w_timestamp, 1650983137564, 611.52, 165.07, 199.93, 2.34, -0.01, -3.13, tool_force, 0.49, 3.08, 7.3, actual_rep, 1, curr_step, 13, track_size, 99, robot_vel, 19.5, joints_pos, 13.48, 53.9, 2.65, -74.81, -2.64, 52.29, 62.83, tool_torque, 0.361, 0.0040, -0.025, robot_mode, normal, 
26/04/2022 15:27:17:811, robot_pos_w_timestamp, 1650983137715, 609.58, 160.11, 200.76, 2.31, -0.01, -3.13, tool_force, -0.51, 2.16, 7.73, actual_rep, 1, curr_step, 13, track_size, 99, robot_vel, 33.38, joints_pos, 13.07, 53.48, 2.57, -75.5, -2.18, 52.08, 63.51, tool_torque, 0.278, 0.137, -0.021, robot_mode, normal, 
26/04/2022 15:27:17:967, robot_pos_w_timestamp, 1650983137863, 607.76, 155.16, 201.52, 2.31, -0.02, -3.13, tool_force, -0.01, 2.92, 7.74, actual_rep, 1, curr_step, 14, track_size, 99, robot_vel, 39.61, joints_pos, 12.57, 53.09, 2.67, -76.16, -2.14, 51.92, 62.92, tool_torque, 0.455, -0.134, 0.435, robot_mode, normal, 
26/04/2022 15:27:18:113, robot_pos_w_timestamp, 1650983138014, 605.55, 149.33, 202.52, 2.32, -0.02, -3.13, tool_force, 0.35, 2.88, 7.22, actual_rep, 1, curr_step, 15, track_size, 99, robot_vel, 38.91, joints_pos, 11.98, 52.61, 2.81, -76.96, -2.16, 51.66, 61.89, tool_torque, 0.586, -0.348, 0.534, robot_mode, normal, 
26/04/2022 15:27:18:414, robot_pos_w_timestamp, 1650983138314, 600.34, 137.62, 203.76, 2.34, -0.02, -3.14, tool_force, 0.28, 2.68, 7.85, actual_rep, 1, curr_step, 16, track_size, 99, robot_vel, 46.83, joints_pos, 10.86, 51.48, 2.99, -79.04, -2.18, 50.14, 60.27, tool_torque, 0.565, -0.263, 0.517, robot_mode, normal, 
26/04/2022 15:27:18:565, robot_pos_w_timestamp, 1650983138462, 596.56, 132.15, 204.2, 2.34, -0.01, 3.14, tool_force, 0.57, 3.03, 7.18, actual_rep, 1, curr_step, 17, track_size, 99, robot_vel, 48.92, joints_pos, 10.44, 50.77, 2.97, -80.38, -2.29, 49.04, 59.59, tool_torque, 0.57, -0.241, 0.521, robot_mode, normal, 
26/04/2022 15:27:18:718, robot_pos_w_timestamp, 1650983138613, 591.14, 126.13, 204.7, 2.35, -0.01, 3.13, tool_force, 0.44, 2.68, 7.29, actual_rep, 1, curr_step, 19, track_size, 99, robot_vel, 58.14, joints_pos, 9.88, 49.96, 3.05, -81.94, -2.15, 48.04, 58.79, tool_torque, 0.613, -0.378, 0.555, robot_mode, normal, 
26/04/2022 15:27:18:869, robot_pos_w_timestamp, 1650983138762, 585.22, 121.02, 205.18, 2.35, -0.02, 3.13, tool_force, -0.2, 2.56, 7.6, actual_rep, 1, curr_step, 20, track_size, 99, robot_vel, 49.09, joints_pos, 9.4, 49.21, 3.1, -83.36, -1.72, 47.53, 58.05, tool_torque, 0.582, -0.264, 0.505, robot_mode, normal, 
26/04/2022 15:27:19:016, robot_pos_w_timestamp, 1650983138912, 579.58, 116.33, 205.49, 2.35, -0.02, 3.13, tool_force, 0.13, 2.44, 8.4, actual_rep, 1, curr_step, 21, track_size, 99, robot_vel, 56.82, joints_pos, 8.94, 48.46, 3.12, -84.83, -1.25, 46.6, 57.33, tool_torque, 0.647, -0.305, 0.532, robot_mode, normal, 
26/04/2022 15:27:19:169, robot_pos_w_timestamp, 1650983139062, 573.73, 111.91, 206.52, 2.35, -0.02, 3.12, tool_force, 0.08, 2.2, 7.63, actual_rep, 1, curr_step, 22, track_size, 99, robot_vel, 51.61, joints_pos, 8.58, 47.64, 3.11, -86.29, -1.1, 45.86, 56.88, tool_torque, 0.592, -0.221, 0.47, robot_mode, normal, 
26/04/2022 15:27:19:319, robot_pos_w_timestamp, 1650983139215, 568.0, 108.09, 207.58, 2.35, -0.02, 3.12, tool_force, -0.1, 2.49, 7.8, actual_rep, 1, curr_step, 23, track_size, 99, robot_vel, 43.55, joints_pos, 8.3, 46.88, 3.09, -87.61, -1.03, 45.24, 56.59, tool_torque, 0.61, -0.225, 0.489, robot_mode, normal, 
26/04/2022 15:27:19:469, robot_pos_w_timestamp, 1650983139365, 562.24, 104.73, 208.89, 2.35, -0.01, 3.12, tool_force, -0.16, 1.82, 7.55, actual_rep, 1, curr_step, 24, track_size, 99, robot_vel, 44.64, joints_pos, 8.21, 46.02, 2.94, -89.07, -1.28, 44.28, 56.58, tool_torque, 0.396, -0.0090, 0.257, robot_mode, normal, 
26/04/2022 15:27:19:620, robot_pos_w_timestamp, 1650983139514, 556.21, 102.33, 210.48, 2.35, -0.01, 3.11, tool_force, -0.2, 2.18, 7.45, actual_rep, 1, curr_step, 26, track_size, 99, robot_vel, 44.65, joints_pos, 7.97, 45.16, 3.02, -90.51, -1.11, 43.43, 56.33, tool_torque, 0.548, -0.144, 0.463, robot_mode, normal, 
26/04/2022 15:27:19:769, robot_pos_w_timestamp, 1650983139666, 550.6, 100.76, 212.03, 2.35, -0.02, 3.11, tool_force, 0.18, 2.81, 7.14, actual_rep, 1, curr_step, 27, track_size, 99, robot_vel, 36.79, joints_pos, 7.72, 44.45, 3.16, -91.6, -0.74, 43.16, 55.96, tool_torque, 0.747, -0.402, 0.517, robot_mode, normal, 
26/04/2022 15:27:19:923, robot_pos_w_timestamp, 1650983139816, 544.85, 100.13, 213.53, 2.35, -0.02, 3.11, tool_force, -0.39, 2.51, 7.53, actual_rep, 1, curr_step, 28, track_size, 99, robot_vel, 46.48, joints_pos, 7.68, 43.73, 3.2, -92.74, -0.58, 42.78, 55.86, tool_torque, 0.647, -0.221, 0.431, robot_mode, normal, 
26/04/2022 15:27:20:073, robot_pos_w_timestamp, 1650983139965, 539.08, 100.78, 215.34, 2.35, -0.03, 3.11, tool_force, -0.46, 2.41, 7.17, actual_rep, 1, curr_step, 31, track_size, 99, robot_vel, 39.62, joints_pos, 7.69, 43.05, 3.31, -93.74, -0.15, 42.67, 55.66, tool_torque, 0.558, -0.195, 0.445, robot_mode, sine_overlay, 
26/04/2022 15:27:20:224, robot_pos_w_timestamp, 1650983140118, 533.24, 101.91, 217.3, 2.35, -0.03, 3.11, tool_force, -0.73, 2.02, 7.67, actual_rep, 1, curr_step, 31, track_size, 99, robot_vel, 40.54, joints_pos, 7.7, 42.36, 3.45, -94.72, 0.37, 42.67, 55.43, tool_torque, 0.481, -0.103, 0.44, robot_mode, sine_overlay, 
26/04/2022 15:27:20:381, robot_pos_w_timestamp, 1650983140268, 529.46, 102.69, 219.17, 2.35, -0.04, 3.11, tool_force, 0.25, 1.19, 5.69, actual_rep, 1, curr_step, 31, track_size, 99, robot_vel, 23.43, joints_pos, 7.71, 41.84, 3.51, -95.35, 0.81, 42.58, 55.18, tool_torque, 0.341, -0.148, 0.394, robot_mode, sine_overlay, 
26/04/2022 15:27:20:525, robot_pos_w_timestamp, 1650983140404, 528.91, 103.28, 217.5, 2.35, -0.04, 3.11, tool_force, -1.34, 0.65, 7.58, actual_rep, 1, curr_step, 32, track_size, 99, robot_vel, 19.97, joints_pos, 7.74, 41.99, 3.55, -95.43, 0.91, 42.35, 55.18, tool_torque, 0.293, 0.192, 0.231, robot_mode, sine_overlay, 
26/04/2022 15:27:20:678, robot_pos_w_timestamp, 1650983140555, 523.61, 107.82, 217.53, 2.36, -0.05, 3.1, tool_force, -1.99, 2.02, 8.22, actual_rep, 1, curr_step, 35, track_size, 99, robot_vel, 52.6, joints_pos, 7.8, 41.55, 4.07, -96.33, 1.2, 41.86, 55.02, tool_torque, 0.426, 0.19, 0.32, robot_mode, sine_overlay, 
26/04/2022 15:27:20:828, robot_pos_w_timestamp, 1650983140705, 517.83, 112.48, 219.95, 2.36, -0.05, 3.1, tool_force, -2.48, 0.45, 7.43, actual_rep, 1, curr_step, 37, track_size, 99, robot_vel, 52.47, joints_pos, 8.07, 40.86, 4.41, -97.21, 1.33, 41.68, 55.15, tool_torque, 0.0080, 0.48, 0.016, robot_mode, sine_overlay, 
26/04/2022 15:27:20:977, robot_pos_w_timestamp, 1650983140855, 512.66, 117.76, 225.17, 2.37, -0.06, 3.1, tool_force, -2.01, 0.93, 7.85, actual_rep, 1, curr_step, 37, track_size, 99, robot_vel, 62.1, joints_pos, 8.52, 39.96, 4.57, -97.86, 1.79, 42.17, 55.14, tool_torque, -0.096, 0.241, 0.073, robot_mode, sine_overlay, 
