05/04/2022 15:23:43: File Created!
05/04/2022 15:23:43:354, robot_pos_w_timestamp, 1649168532612, 596.42, 326.91, 176.79, 2.27, 0.06, 3.03, tool_force, -0.35, 0.21, 0.41, actual_rep, 1, curr_step, 1, track_size, 84, robot_vel, 0.0, joints_pos, 29.38, 59.67, -0.5, -67.23, -2.2, 46.29, 80.29, tool_torque, -0.024, 0.163, 0.168, tool_momentum, -0.024, 0.162, 0.168, robot_mode, normal, 
05/04/2022 15:23:46:024, robot_pos_w_timestamp, 1649168535280, 631.79, 227.88, 197.11, 2.13, 0.11, 3.03, tool_force, 1.35, 0.96, 0.01, actual_rep, 1, curr_step, 15, track_size, 84, robot_vel, 38.35, joints_pos, 22.94, 56.73, -3.88, -69.88, -2.19, 46.22, 80.31, tool_torque, 0.125, 0.069, 0.124, tool_momentum, 0.122, 0.076, 0.124, robot_mode, normal, 
05/04/2022 15:23:46:208, robot_pos_w_timestamp, 1649168535432, 632.08, 222.04, 197.78, 2.12, 0.11, 3.04, tool_force, 0.55, 0.78, 0.13, actual_rep, 1, curr_step, 15, track_size, 84, robot_vel, 37.83, joints_pos, 22.56, 56.49, -3.99, -70.24, -2.19, 46.22, 80.31, tool_torque, 0.119, 0.073, 0.125, tool_momentum, 0.119, 0.083, 0.125, robot_mode, normal, 
05/04/2022 15:23:46:325, robot_pos_w_timestamp, 1649168535579, 632.25, 216.37, 198.41, 2.11, 0.11, 3.04, tool_force, 0.73, 0.83, -0.08, actual_rep, 1, curr_step, 16, track_size, 84, robot_vel, 39.01, joints_pos, 22.18, 56.26, -4.1, -70.6, -2.19, 46.22, 80.31, tool_torque, 0.106, 0.148, 0.11, tool_momentum, 0.104, 0.153, 0.11, robot_mode, normal, 
05/04/2022 15:23:46:475, robot_pos_w_timestamp, 1649168535728, 632.22, 210.54, 199.09, 2.1, 0.11, 3.04, tool_force, 0.73, 0.63, 0.01, actual_rep, 1, curr_step, 17, track_size, 84, robot_vel, 38.33, joints_pos, 21.76, 56.01, -4.14, -70.99, -2.19, 46.22, 80.32, tool_torque, 0.092, 0.103, 0.117, tool_momentum, 0.089, 0.104, 0.117, robot_mode, normal, 
05/04/2022 15:23:46:678, robot_pos_w_timestamp, 1649168535883, 631.97, 204.37, 199.92, 2.09, 0.11, 3.04, tool_force, 0.89, 0.77, -0.1, actual_rep, 1, curr_step, 17, track_size, 84, robot_vel, 40.46, joints_pos, 21.31, 55.71, -4.2, -71.45, -2.19, 46.22, 80.32, tool_torque, 0.123, -0.026, 0.152, tool_momentum, 0.129, -0.029, 0.152, robot_mode, normal, 
05/04/2022 15:23:46:776, robot_pos_w_timestamp, 1649168536025, 631.56, 198.97, 200.7, 2.09, 0.11, 3.05, tool_force, 0.65, 0.92, 0.59, actual_rep, 1, curr_step, 18, track_size, 84, robot_vel, 35.64, joints_pos, 20.92, 55.43, -4.24, -71.87, -2.19, 46.22, 80.27, tool_torque, 0.14, 0.055, 0.185, tool_momentum, 0.152, 0.076, 0.185, robot_mode, normal, 
05/04/2022 15:23:46:927, robot_pos_w_timestamp, 1649168536173, 630.89, 193.19, 201.73, 2.08, 0.11, 3.05, tool_force, 0.66, 0.42, 0.46, actual_rep, 1, curr_step, 18, track_size, 84, robot_vel, 38.03, joints_pos, 20.47, 55.09, -4.25, -72.38, -2.19, 46.22, 80.18, tool_torque, 0.096, -0.052, 0.285, tool_momentum, 0.108, -0.065, 0.285, robot_mode, normal, 
05/04/2022 15:23:47:080, robot_pos_w_timestamp, 1649168536322, 630.16, 187.44, 202.97, 2.08, 0.11, 3.05, tool_force, 1.01, 1.12, 0.43, actual_rep, 1, curr_step, 19, track_size, 84, robot_vel, 40.06, joints_pos, 20.04, 54.73, -4.26, -72.87, -2.19, 46.22, 79.98, tool_torque, 0.156, -0.083, 0.31, tool_momentum, 0.139, -0.086, 0.31, robot_mode, normal, 
05/04/2022 15:23:47:237, robot_pos_w_timestamp, 1649168536477, 629.29, 181.28, 204.48, 2.07, 0.11, 3.05, tool_force, 1.1, 0.9, 0.07, actual_rep, 1, curr_step, 20, track_size, 84, robot_vel, 42.17, joints_pos, 19.57, 54.32, -4.26, -73.43, -2.22, 46.22, 79.73, tool_torque, 0.142, -0.094, 0.316, tool_momentum, 0.134, -0.077, 0.314, robot_mode, normal, 
05/04/2022 15:23:47:382, robot_pos_w_timestamp, 1649168536621, 628.38, 175.72, 206.37, 2.07, 0.11, 3.06, tool_force, 0.9, 0.66, 0.09, actual_rep, 1, curr_step, 20, track_size, 84, robot_vel, 41.89, joints_pos, 19.14, 53.89, -4.26, -73.96, -2.22, 46.22, 79.44, tool_torque, 0.135, -0.091, 0.335, tool_momentum, 0.142, -0.082, 0.334, robot_mode, normal, 
05/04/2022 15:23:47:533, robot_pos_w_timestamp, 1649168536769, 627.27, 169.99, 208.74, 2.07, 0.11, 3.06, tool_force, 0.86, 1.2, 1.25, actual_rep, 1, curr_step, 21, track_size, 84, robot_vel, 42.27, joints_pos, 18.7, 53.38, -4.26, -74.54, -2.23, 46.22, 79.07, tool_torque, 0.192, -0.09, 0.338, tool_momentum, 0.161, -0.051, 0.339, robot_mode, normal, 
05/04/2022 15:23:47:684, robot_pos_w_timestamp, 1649168536918, 625.83, 164.18, 211.6, 2.07, 0.11, 3.06, tool_force, 0.77, 0.42, -0.29, actual_rep, 1, curr_step, 22, track_size, 84, robot_vel, 46.01, joints_pos, 18.26, 52.79, -4.26, -75.2, -2.23, 46.21, 78.59, tool_torque, 0.103, -0.039, 0.336, tool_momentum, 0.113, -0.02, 0.333, robot_mode, normal, 
05/04/2022 15:23:47:831, robot_pos_w_timestamp, 1649168537065, 623.7, 158.46, 215.77, 2.07, 0.11, 3.06, tool_force, 1.21, 0.56, 0.0, actual_rep, 1, curr_step, 23, track_size, 84, robot_vel, 51.36, joints_pos, 17.81, 52.02, -4.23, -75.99, -2.2, 46.25, 77.97, tool_torque, 0.059, -0.208, 0.361, tool_momentum, 0.069, -0.19, 0.359, robot_mode, normal, 
05/04/2022 15:23:47:984, robot_pos_w_timestamp, 1649168537215, 620.51, 152.82, 221.4, 2.08, 0.11, 3.06, tool_force, 0.48, 0.79, 0.56, actual_rep, 1, curr_step, 24, track_size, 84, robot_vel, 59.76, joints_pos, 17.34, 50.96, -4.14, -77.03, -2.15, 46.27, 77.14, tool_torque, 0.048, -0.217, 0.358, tool_momentum, 0.057, -0.198, 0.355, robot_mode, normal, 
05/04/2022 15:23:48:133, robot_pos_w_timestamp, 1649168537362, 616.92, 148.09, 227.15, 2.08, 0.1, 3.06, tool_force, 0.93, 0.54, 0.72, actual_rep, 1, curr_step, 25, track_size, 84, robot_vel, 52.67, joints_pos, 16.96, 49.92, -4.05, -78.05, -2.14, 46.27, 76.49, tool_torque, 0.105, -0.367, 0.424, tool_momentum, 0.117, -0.375, 0.426, robot_mode, normal, 
05/04/2022 15:23:48:288, robot_pos_w_timestamp, 1649168537513, 613.12, 144.13, 233.06, 2.08, 0.1, 3.06, tool_force, 0.82, 0.86, 0.23, actual_rep, 1, curr_step, 26, track_size, 84, robot_vel, 54.24, joints_pos, 16.68, 48.83, -4.01, -79.11, -2.13, 46.24, 75.95, tool_torque, 0.175, -0.374, 0.427, tool_momentum, 0.172, -0.383, 0.427, robot_mode, normal, 
05/04/2022 15:23:48:439, robot_pos_w_timestamp, 1649168537661, 609.16, 140.82, 238.8, 2.09, 0.1, 3.06, tool_force, 0.65, 0.83, 0.03, actual_rep, 1, curr_step, 27, track_size, 84, robot_vel, 54.04, joints_pos, 16.43, 47.79, -3.92, -80.11, -2.11, 46.25, 75.47, tool_torque, 0.16, -0.304, 0.432, tool_momentum, 0.136, -0.291, 0.43, robot_mode, normal, 
05/04/2022 15:23:48:589, robot_pos_w_timestamp, 1649168537811, 604.99, 138.55, 244.65, 2.09, 0.1, 3.06, tool_force, 1.21, 0.89, 0.36, actual_rep, 1, curr_step, 28, track_size, 84, robot_vel, 44.89, joints_pos, 16.24, 46.72, -3.8, -81.08, -2.11, 46.25, 75.02, tool_torque, 0.2, -0.448, 0.444, tool_momentum, 0.191, -0.448, 0.444, robot_mode, normal, 
05/04/2022 15:23:48:739, robot_pos_w_timestamp, 1649168537960, 600.66, 137.42, 250.35, 2.1, 0.1, 3.06, tool_force, 1.28, 0.96, 0.17, actual_rep, 1, curr_step, 29, track_size, 84, robot_vel, 48.15, joints_pos, 16.14, 45.66, -3.65, -82.05, -2.12, 46.26, 74.63, tool_torque, 0.174, -0.523, 0.466, tool_momentum, 0.176, -0.53, 0.467, robot_mode, normal, 
05/04/2022 15:23:48:902, robot_pos_w_timestamp, 1649168538108, 596.0, 137.17, 256.13, 2.11, 0.1, 3.06, tool_force, 1.11, 1.02, 0.64, actual_rep, 1, curr_step, 30, track_size, 84, robot_vel, 45.12, joints_pos, 16.1, 44.62, -3.47, -82.99, -2.15, 46.29, 74.29, tool_torque, 0.182, -0.475, 0.485, tool_momentum, 0.187, -0.487, 0.485, robot_mode, normal, 
05/04/2022 15:23:49:041, robot_pos_w_timestamp, 1649168538257, 591.16, 137.69, 261.85, 2.11, 0.1, 3.06, tool_force, 0.85, 0.84, 0.8, actual_rep, 1, curr_step, 31, track_size, 84, robot_vel, 46.33, joints_pos, 16.09, 43.55, -3.25, -83.92, -2.17, 46.35, 73.93, tool_torque, 0.069, -0.405, 0.434, tool_momentum, 0.069, -0.416, 0.434, robot_mode, normal, 
05/04/2022 15:23:49:193, robot_pos_w_timestamp, 1649168538408, 586.13, 138.99, 267.76, 2.12, 0.09, 3.06, tool_force, 0.83, 0.9, 0.45, actual_rep, 1, curr_step, 32, track_size, 84, robot_vel, 47.45, joints_pos, 16.11, 42.5, -2.97, -84.81, -2.17, 46.44, 73.68, tool_torque, 0.029, -0.316, 0.409, tool_momentum, 0.027, -0.311, 0.408, robot_mode, normal, 
05/04/2022 15:23:49:343, robot_pos_w_timestamp, 1649168538559, 581.2, 140.95, 273.58, 2.13, 0.09, 3.05, tool_force, 0.26, 0.72, 0.81, actual_rep, 1, curr_step, 33, track_size, 84, robot_vel, 50.04, joints_pos, 16.18, 41.48, -2.68, -85.63, -2.22, 46.58, 73.62, tool_torque, 0.041, -0.168, 0.38, tool_momentum, 0.043, -0.177, 0.382, robot_mode, normal, 
05/04/2022 15:23:49:498, robot_pos_w_timestamp, 1649168538707, 576.23, 143.5, 279.37, 2.13, 0.09, 3.05, tool_force, 0.3, 0.84, 0.88, actual_rep, 1, curr_step, 34, track_size, 84, robot_vel, 48.04, joints_pos, 16.32, 40.46, -2.39, -86.41, -2.25, 46.76, 73.6, tool_torque, -0.016, -0.11, 0.351, tool_momentum, -0.036, -0.08, 0.349, robot_mode, normal, 
05/04/2022 15:23:49:643, robot_pos_w_timestamp, 1649168538856, 571.17, 146.69, 285.2, 2.14, 0.08, 3.05, tool_force, -0.41, 0.64, 0.7, actual_rep, 1, curr_step, 35, track_size, 84, robot_vel, 39.4, joints_pos, 16.49, 39.49, -2.06, -87.12, -2.3, 46.98, 73.6, tool_torque, -0.028, 0.0040, 0.3, tool_momentum, -0.014, -0.05, 0.308, robot_mode, normal, 
05/04/2022 15:23:49:795, robot_pos_w_timestamp, 1649168539004, 565.82, 150.55, 290.99, 2.15, 0.08, 3.05, tool_force, -1.05, -0.03, 0.69, actual_rep, 1, curr_step, 36, track_size, 84, robot_vel, 57.32, joints_pos, 16.71, 38.49, -1.7, -87.84, -2.34, 47.28, 73.6, tool_torque, -0.15, 0.118, 0.232, tool_momentum, -0.142, 0.108, 0.233, robot_mode, normal, 
05/04/2022 15:23:49:946, robot_pos_w_timestamp, 1649168539154, 560.35, 155.01, 296.79, 2.16, 0.08, 3.05, tool_force, -0.63, 0.37, 0.73, actual_rep, 1, curr_step, 37, track_size, 84, robot_vel, 65.54, joints_pos, 17.04, 37.55, -1.41, -88.48, -2.37, 47.65, 73.64, tool_torque, -0.178, 0.117, 0.141, tool_momentum, -0.185, 0.14, 0.136, robot_mode, normal, 
05/04/2022 15:23:50:100, robot_pos_w_timestamp, 1649168539303, 554.81, 159.95, 302.61, 2.17, 0.07, 3.05, tool_force, -0.39, 0.35, 0.57, actual_rep, 1, curr_step, 38, track_size, 84, robot_vel, 66.13, joints_pos, 17.48, 36.6, -1.17, -89.06, -2.36, 48.15, 73.74, tool_torque, -0.183, 0.195, 0.051, tool_momentum, -0.193, 0.187, 0.053, robot_mode, normal, 
05/04/2022 15:23:50:247, robot_pos_w_timestamp, 1649168539451, 548.99, 165.0, 308.13, 2.18, 0.07, 3.06, tool_force, -0.8, 0.39, 0.94, actual_rep, 1, curr_step, 39, track_size, 84, robot_vel, 69.32, joints_pos, 17.95, 35.75, -0.96, -89.56, -2.36, 48.79, 73.86, tool_torque, -0.169, 0.134, 0.018, tool_momentum, -0.176, 0.136, 0.017, robot_mode, normal, 
05/04/2022 15:23:50:398, robot_pos_w_timestamp, 1649168539600, 543.17, 170.51, 313.77, 2.19, 0.07, 3.06, tool_force, -1.21, 0.42, 0.84, actual_rep, 1, curr_step, 40, track_size, 84, robot_vel, 64.74, joints_pos, 18.48, 34.92, -0.76, -89.98, -2.34, 49.62, 73.95, tool_torque, -0.199, 0.31, -0.036, tool_momentum, -0.197, 0.312, -0.036, robot_mode, normal, 
05/04/2022 15:23:50:550, robot_pos_w_timestamp, 1649168539749, 537.69, 176.16, 319.25, 2.19, 0.06, 3.07, tool_force, -1.17, 0.18, -0.01, actual_rep, 1, curr_step, 41, track_size, 84, robot_vel, 61.5, joints_pos, 19.06, 34.15, -0.59, -90.29, -2.33, 50.49, 74.13, tool_torque, -0.194, 0.29, -0.052, tool_momentum, -0.18, 0.289, -0.052, robot_mode, normal, 
05/04/2022 15:23:50:708, robot_pos_w_timestamp, 1649168539897, 532.56, 182.02, 324.5, 2.2, 0.06, 3.07, tool_force, -1.25, 0.73, 0.87, actual_rep, 1, curr_step, 42, track_size, 84, robot_vel, 62.39, joints_pos, 19.72, 33.46, -0.5, -90.53, -2.33, 51.27, 74.47, tool_torque, -0.124, 0.298, -0.068, tool_momentum, -0.132, 0.274, -0.07, robot_mode, normal, 
05/04/2022 15:23:50:851, robot_pos_w_timestamp, 1649168540049, 527.97, 187.82, 329.19, 2.2, 0.06, 3.08, tool_force, -1.26, 1.0, 0.92, actual_rep, 1, curr_step, 44, track_size, 84, robot_vel, 57.06, joints_pos, 20.39, 32.85, -0.44, -90.73, -2.33, 51.88, 75.05, tool_torque, -0.118, 0.365, -0.118, tool_momentum, -0.119, 0.353, -0.118, robot_mode, normal, 
05/04/2022 15:23:51:009, robot_pos_w_timestamp, 1649168540197, 524.3, 193.75, 332.61, 2.2, 0.06, 3.07, tool_force, -1.22, 1.21, 1.24, actual_rep, 1, curr_step, 45, track_size, 84, robot_vel, 52.74, joints_pos, 21.06, 32.41, -0.42, -90.88, -2.33, 52.12, 75.79, tool_torque, -0.087, 0.398, -0.141, tool_momentum, -0.098, 0.407, -0.141, robot_mode, normal, 
05/04/2022 15:23:51:152, robot_pos_w_timestamp, 1649168540348, 521.21, 199.51, 334.84, 2.2, 0.06, 3.07, tool_force, -1.33, 0.49, 0.14, actual_rep, 1, curr_step, 46, track_size, 84, robot_vel, 45.05, joints_pos, 21.73, 32.11, -0.42, -91.0, -2.33, 52.19, 76.49, tool_torque, -0.167, 0.408, -0.159, tool_momentum, -0.168, 0.399, -0.159, robot_mode, normal, 
05/04/2022 15:23:51:310, robot_pos_w_timestamp, 1649168540495, 518.53, 205.25, 335.85, 2.2, 0.06, 3.07, tool_force, -1.17, 0.84, 0.22, actual_rep, 1, curr_step, 48, track_size, 84, robot_vel, 44.75, joints_pos, 22.37, 31.96, -0.4, -91.07, -2.33, 52.17, 77.0, tool_torque, 0.031, 0.406, -0.193, tool_momentum, 0.028, 0.409, -0.194, robot_mode, normal, 
05/04/2022 15:23:51:456, robot_pos_w_timestamp, 1649168540646, 516.31, 211.03, 335.9, 2.21, 0.06, 3.07, tool_force, -1.39, 0.51, 0.1, actual_rep, 1, curr_step, 51, track_size, 84, robot_vel, 41.68, joints_pos, 23.03, 31.95, -0.42, -91.08, -2.38, 52.1, 77.22, tool_torque, 0.057, 0.506, -0.216, tool_momentum, 0.06, 0.502, -0.216, robot_mode, normal, 
05/04/2022 15:23:51:607, robot_pos_w_timestamp, 1649168540793, 515.33, 214.03, 336.54, 2.21, 0.06, 3.07, tool_force, 1.18, 1.05, 0.54, actual_rep, 1, curr_step, 54, track_size, 84, robot_vel, 12.79, joints_pos, 23.57, 31.91, -0.68, -91.04, -2.5, 52.14, 77.52, tool_torque, 0.0040, 0.21, -0.133, tool_momentum, -0.0070, 0.262, -0.134, robot_mode, normal, 
05/04/2022 15:23:51:758, robot_pos_w_timestamp, 1649168540943, 515.08, 212.6, 337.48, 2.21, 0.06, 3.07, tool_force, 1.29, 0.25, -0.33, actual_rep, 1, curr_step, 57, track_size, 84, robot_vel, 6.96, joints_pos, 23.59, 31.75, -0.9, -91.15, -2.21, 52.18, 77.37, tool_torque, -0.038, -0.06, 0.185, tool_momentum, -0.039, -0.054, 0.186, robot_mode, normal, 
05/04/2022 15:23:51:908, robot_pos_w_timestamp, 1649168541093, 515.24, 212.78, 336.88, 2.21, 0.06, 3.07, tool_force, 0.62, 0.61, 0.14, actual_rep, 1, curr_step, 59, track_size, 84, robot_vel, 3.4, joints_pos, 23.57, 31.82, -0.86, -91.13, -2.22, 52.11, 77.33, tool_torque, 0.079, -0.045, 0.198, tool_momentum, 0.085, -0.044, 0.198, robot_mode, normal, 
05/04/2022 15:23:52:061, robot_pos_w_timestamp, 1649168541240, 515.39, 212.66, 336.87, 2.21, 0.06, 3.07, tool_force, -0.21, 0.33, 0.49, actual_rep, 1, curr_step, 62, track_size, 84, robot_vel, 2.6, joints_pos, 23.54, 31.83, -0.84, -91.12, -2.23, 52.12, 77.35, tool_torque, -0.013, 0.085, 0.158, tool_momentum, -0.014, 0.084, 0.159, robot_mode, normal, 
05/04/2022 15:23:52:212, robot_pos_w_timestamp, 1649168541390, 515.39, 212.62, 336.91, 2.21, 0.06, 3.07, tool_force, 0.01, 0.24, 0.35, actual_rep, 1, curr_step, 64, track_size, 84, robot_vel, 1.11, joints_pos, 23.53, 31.83, -0.84, -91.12, -2.25, 52.12, 77.35, tool_torque, -0.022, 0.06, 0.142, tool_momentum, -0.022, 0.058, 0.142, robot_mode, normal, 
05/04/2022 15:23:52:359, robot_pos_w_timestamp, 1649168541539, 515.38, 212.64, 336.91, 2.21, 0.06, 3.07, tool_force, 0.01, 0.22, 0.24, actual_rep, 1, curr_step, 67, track_size, 84, robot_vel, 0.06, joints_pos, 23.54, 31.83, -0.84, -91.12, -2.25, 52.12, 77.35, tool_torque, -0.025, 0.071, 0.129, tool_momentum, -0.026, 0.069, 0.13, robot_mode, normal, 
05/04/2022 15:23:52:508, robot_pos_w_timestamp, 1649168541686, 515.37, 212.65, 336.91, 2.21, 0.06, 3.07, tool_force, 0.03, 0.2, 0.21, actual_rep, 1, curr_step, 69, track_size, 84, robot_vel, 0.04, joints_pos, 23.54, 31.83, -0.84, -91.12, -2.25, 52.12, 77.35, tool_torque, -0.026, 0.073, 0.128, tool_momentum, -0.027, 0.073, 0.128, robot_mode, normal, 
05/04/2022 15:23:52:663, robot_pos_w_timestamp, 1649168541835, 515.37, 212.65, 336.91, 2.21, 0.06, 3.07, tool_force, 0.02, 0.17, 0.18, actual_rep, 1, curr_step, 72, track_size, 84, robot_vel, 0.1, joints_pos, 23.54, 31.83, -0.84, -91.12, -2.25, 52.12, 77.35, tool_torque, -0.029, 0.085, 0.124, tool_momentum, -0.03, 0.086, 0.124, robot_mode, normal, 
