05/04/2022 15:37:14: File Created!
05/04/2022 15:37:14:174, robot_pos_w_timestamp, 1649169343288, 580.88, 303.88, 199.95, 2.3, 0.03, 3.02, tool_force, -0.44, -0.26, 0.01, actual_rep, 1, curr_step, 1, track_size, 84, robot_vel, 0.02, joints_pos, 26.76, 54.5, 1.44, -73.72, -1.75, 44.67, 76.71, tool_torque, 0.073, 0.265, 0.033, tool_momentum, 0.073, 0.265, 0.033, robot_mode, normal, 
05/04/2022 15:37:15:922, robot_pos_w_timestamp, 1649169345056, 594.41, 245.45, 208.46, 2.24, 0.07, 3.06, tool_force, 1.58, 0.34, 0.02, actual_rep, 1, curr_step, 12, track_size, 84, robot_vel, 43.4, joints_pos, 23.72, 52.67, -1.31, -75.79, -2.05, 46.23, 75.78, tool_torque, -0.072, -0.256, 0.389, tool_momentum, -0.061, -0.261, 0.389, robot_mode, normal, 
05/04/2022 15:37:16:071, robot_pos_w_timestamp, 1649169345206, 594.08, 239.6, 210.62, 2.23, 0.07, 3.07, tool_force, 0.8, 0.35, 0.51, actual_rep, 1, curr_step, 13, track_size, 84, robot_vel, 39.16, joints_pos, 23.4, 52.29, -1.49, -76.15, -2.04, 46.71, 75.7, tool_torque, -0.057, -0.175, 0.396, tool_momentum, -0.04, -0.194, 0.396, robot_mode, normal, 
05/04/2022 15:37:16:247, robot_pos_w_timestamp, 1649169345365, 593.53, 233.44, 213.08, 2.23, 0.07, 3.08, tool_force, 0.98, 0.53, 0.86, actual_rep, 1, curr_step, 14, track_size, 84, robot_vel, 44.59, joints_pos, 23.02, 51.86, -1.63, -76.56, -2.04, 47.22, 75.51, tool_torque, -0.049, -0.245, 0.418, tool_momentum, -0.047, -0.248, 0.418, robot_mode, normal, 
05/04/2022 15:37:16:376, robot_pos_w_timestamp, 1649169345504, 593.02, 228.1, 215.38, 2.23, 0.07, 3.09, tool_force, 1.26, 0.36, 0.33, actual_rep, 1, curr_step, 14, track_size, 84, robot_vel, 45.5, joints_pos, 22.67, 51.44, -1.73, -76.98, -2.04, 47.48, 75.24, tool_torque, -0.102, -0.248, 0.423, tool_momentum, -0.108, -0.254, 0.422, robot_mode, normal, 
05/04/2022 15:37:16:524, robot_pos_w_timestamp, 1649169345652, 592.26, 222.39, 217.87, 2.23, 0.07, 3.09, tool_force, 1.04, 0.6, 0.34, actual_rep, 1, curr_step, 15, track_size, 84, robot_vel, 45.09, joints_pos, 22.28, 50.95, -1.81, -77.5, -2.02, 47.69, 74.86, tool_torque, -0.073, -0.2, 0.414, tool_momentum, -0.067, -0.209, 0.414, robot_mode, normal, 
05/04/2022 15:37:16:677, robot_pos_w_timestamp, 1649169345803, 591.47, 216.49, 220.43, 2.23, 0.07, 3.09, tool_force, 0.88, 0.37, 0.01, actual_rep, 1, curr_step, 16, track_size, 84, robot_vel, 42.05, joints_pos, 21.86, 50.44, -1.87, -78.05, -2.01, 47.81, 74.4, tool_torque, -0.075, -0.374, 0.487, tool_momentum, -0.055, -0.388, 0.487, robot_mode, rotation_overlay, 
05/04/2022 15:37:16:825, robot_pos_w_timestamp, 1649169345937, 590.68, 214.86, 221.62, 2.23, 0.07, 3.09, tool_force, 1.89, 0.98, 0.7, actual_rep, 1, curr_step, 16, track_size, 84, robot_vel, 7.49, joints_pos, 21.67, 50.2, -1.76, -78.3, -2.02, 47.82, 74.28, tool_torque, 0.217, -0.49, 0.441, tool_momentum, 0.231, -0.492, 0.44, robot_mode, rotation_overlay, 
05/04/2022 15:37:16:976, robot_pos_w_timestamp, 1649169346086, 590.81, 213.83, 221.1, 2.24, 0.07, 3.1, tool_force, 1.04, 0.84, 0.73, actual_rep, 1, curr_step, 16, track_size, 84, robot_vel, 9.99, joints_pos, 21.64, 50.24, -1.81, -78.3, -2.19, 47.91, 73.53, tool_torque, 0.022, -0.318, 0.491, tool_momentum, 0.017, -0.316, 0.491, robot_mode, rotation_overlay, 
05/04/2022 15:37:17:124, robot_pos_w_timestamp, 1649169346236, 590.35, 212.09, 222.18, 2.29, 0.07, 3.1, tool_force, 1.12, 0.55, 0.59, actual_rep, 1, curr_step, 16, track_size, 84, robot_vel, 15.14, joints_pos, 21.46, 50.03, -1.73, -78.52, -2.26, 47.92, 70.58, tool_torque, 0.175, -0.421, 0.579, tool_momentum, 0.178, -0.42, 0.579, robot_mode, rotation_overlay, 
05/04/2022 15:37:17:279, robot_pos_w_timestamp, 1649169346389, 590.07, 210.18, 223.19, 2.36, 0.07, 3.11, tool_force, 0.77, 1.31, 0.18, actual_rep, 1, curr_step, 17, track_size, 84, robot_vel, 14.4, joints_pos, 21.15, 49.82, -1.53, -78.75, -2.29, 47.85, 66.47, tool_torque, 0.357, -0.366, 0.583, tool_momentum, 0.371, -0.38, 0.583, robot_mode, rotation_overlay, 
05/04/2022 15:37:17:425, robot_pos_w_timestamp, 1649169346538, 589.75, 208.4, 224.11, 2.4, 0.07, 3.11, tool_force, 0.8, 0.96, 0.06, actual_rep, 1, curr_step, 17, track_size, 84, robot_vel, 16.65, joints_pos, 20.99, 49.64, -1.5, -78.94, -2.29, 47.85, 64.2, tool_torque, 0.235, -0.311, 0.569, tool_momentum, 0.231, -0.303, 0.568, robot_mode, rotation_overlay, 
05/04/2022 15:37:17:605, robot_pos_w_timestamp, 1649169346681, 589.37, 207.1, 224.96, 2.4, 0.07, 3.11, tool_force, 0.66, 0.25, -0.11, actual_rep, 1, curr_step, 17, track_size, 84, robot_vel, 11.25, joints_pos, 20.97, 49.49, -1.61, -79.08, -2.29, 47.91, 63.66, tool_torque, 0.04, -0.177, 0.466, tool_momentum, 0.069, -0.198, 0.454, robot_mode, rotation_overlay, 
05/04/2022 15:37:17:732, robot_pos_w_timestamp, 1649169346825, 589.35, 206.59, 224.26, 2.39, 0.07, 3.11, tool_force, 0.44, 1.28, 0.3, actual_rep, 1, curr_step, 17, track_size, 84, robot_vel, 10.04, joints_pos, 20.94, 49.53, -1.67, -79.13, -2.05, 47.81, 64.01, tool_torque, 0.209, 0.105, 0.048, tool_momentum, 0.203, 0.118, 0.042, robot_mode, rotation_overlay, 
05/04/2022 15:37:17:887, robot_pos_w_timestamp, 1649169346975, 589.17, 205.14, 224.9, 2.35, 0.07, 3.11, tool_force, -0.45, 0.73, 0.55, actual_rep, 1, curr_step, 17, track_size, 84, robot_vel, 9.41, joints_pos, 20.9, 49.4, -1.83, -79.27, -1.74, 47.81, 66.03, tool_torque, 0.086, 0.173, -0.078, tool_momentum, 0.09, 0.162, -0.078, robot_mode, rotation_overlay, 
05/04/2022 15:37:18:035, robot_pos_w_timestamp, 1649169347125, 588.74, 203.84, 225.52, 2.28, 0.07, 3.1, tool_force, -0.58, -0.04, 0.0, actual_rep, 1, curr_step, 17, track_size, 84, robot_vel, 10.18, joints_pos, 20.96, 49.26, -2.06, -79.43, -1.57, 47.85, 70.23, tool_torque, -0.1, 0.32, -0.087, tool_momentum, -0.095, 0.318, -0.087, robot_mode, rotation_overlay, 
05/04/2022 15:37:18:186, robot_pos_w_timestamp, 1649169347276, 588.37, 202.56, 226.24, 2.18, 0.06, 3.1, tool_force, -0.68, 0.11, 0.24, actual_rep, 1, curr_step, 18, track_size, 84, robot_vel, 9.18, joints_pos, 21.07, 49.15, -2.34, -79.52, -1.49, 48.01, 75.64, tool_torque, -0.185, 0.443, -0.153, tool_momentum, -0.181, 0.443, -0.15, robot_mode, rotation_overlay, 
05/04/2022 15:37:18:337, robot_pos_w_timestamp, 1649169347427, 587.99, 201.28, 226.94, 2.11, 0.06, 3.1, tool_force, -0.87, 0.29, 0.7, actual_rep, 1, curr_step, 18, track_size, 84, robot_vel, 11.64, joints_pos, 21.07, 49.02, -2.47, -79.66, -1.46, 48.08, 79.73, tool_torque, -0.135, 0.507, -0.225, tool_momentum, -0.135, 0.502, -0.225, robot_mode, rotation_overlay, 
05/04/2022 15:37:18:490, robot_pos_w_timestamp, 1649169347576, 587.65, 199.99, 227.69, 2.07, 0.06, 3.09, tool_force, -0.16, 0.58, 0.46, actual_rep, 1, curr_step, 18, track_size, 84, robot_vel, 10.87, joints_pos, 20.95, 48.87, -2.44, -79.82, -1.42, 48.06, 81.74, tool_torque, 0.026, 0.302, -0.207, tool_momentum, 0.027, 0.302, -0.207, robot_mode, rotation_overlay, 
05/04/2022 15:37:18:674, robot_pos_w_timestamp, 1649169347724, 587.29, 199.03, 228.29, 2.06, 0.06, 3.09, tool_force, -0.04, 0.5, -0.03, actual_rep, 1, curr_step, 18, track_size, 84, robot_vel, 9.29, joints_pos, 20.79, 48.71, -2.34, -80.02, -1.37, 47.92, 82.01, tool_torque, 0.136, 0.1, -0.093, tool_momentum, 0.14, 0.088, -0.093, robot_mode, rotation_overlay, 
05/04/2022 15:37:18:794, robot_pos_w_timestamp, 1649169347859, 586.95, 198.55, 227.78, 2.07, 0.06, 3.09, tool_force, 1.58, 0.43, 0.28, actual_rep, 1, curr_step, 18, track_size, 84, robot_vel, 10.83, joints_pos, 20.77, 48.73, -2.34, -80.08, -1.51, 47.92, 81.63, tool_torque, 0.105, -0.298, 0.32, tool_momentum, 0.098, -0.295, 0.322, robot_mode, rotation_overlay, 
05/04/2022 15:37:18:941, robot_pos_w_timestamp, 1649169348009, 586.88, 197.64, 228.12, 2.11, 0.06, 3.1, tool_force, 1.38, 0.6, 0.36, actual_rep, 1, curr_step, 18, track_size, 84, robot_vel, 4.48, joints_pos, 20.67, 48.68, -2.27, -80.11, -1.69, 48.06, 79.53, tool_torque, 0.057, -0.413, 0.471, tool_momentum, 0.057, -0.413, 0.471, robot_mode, rotation_overlay, 
05/04/2022 15:37:19:091, robot_pos_w_timestamp, 1649169348160, 586.41, 196.38, 228.83, 2.18, 0.06, 3.1, tool_force, 1.01, 1.11, 0.22, actual_rep, 1, curr_step, 18, track_size, 84, robot_vel, 10.52, joints_pos, 20.43, 48.52, -2.06, -80.29, -1.83, 48.05, 75.27, tool_torque, 0.212, -0.396, 0.517, tool_momentum, 0.217, -0.403, 0.519, robot_mode, rotation_overlay, 
05/04/2022 15:37:19:245, robot_pos_w_timestamp, 1649169348310, 585.93, 195.01, 229.49, 2.28, 0.07, 3.11, tool_force, 1.8, 1.14, 0.06, actual_rep, 1, curr_step, 19, track_size, 84, robot_vel, 11.44, joints_pos, 20.08, 48.34, -1.71, -80.51, -1.98, 47.94, 69.65, tool_torque, 0.337, -0.463, 0.58, tool_momentum, 0.315, -0.412, 0.578, robot_mode, rotation_overlay, 
05/04/2022 15:37:19:392, robot_pos_w_timestamp, 1649169348459, 585.51, 193.67, 230.22, 2.35, 0.07, 3.11, tool_force, 0.64, 1.47, 0.45, actual_rep, 1, curr_step, 19, track_size, 84, robot_vel, 9.11, joints_pos, 19.78, 48.16, -1.45, -80.72, -2.09, 47.86, 65.05, tool_torque, 0.42, -0.285, 0.56, tool_momentum, 0.419, -0.29, 0.56, robot_mode, rotation_overlay, 
05/04/2022 15:37:19:543, robot_pos_w_timestamp, 1649169348609, 585.06, 192.46, 230.9, 2.4, 0.07, 3.11, tool_force, 0.72, 1.51, 0.47, actual_rep, 1, curr_step, 19, track_size, 84, robot_vel, 9.13, joints_pos, 19.71, 48.01, -1.47, -80.88, -2.17, 47.86, 62.58, tool_torque, 0.385, -0.322, 0.583, tool_momentum, 0.363, -0.315, 0.582, robot_mode, rotation_overlay, 
05/04/2022 15:37:19:693, robot_pos_w_timestamp, 1649169348759, 584.57, 191.29, 231.55, 2.41, 0.07, 3.12, tool_force, 0.47, 0.76, 0.23, actual_rep, 1, curr_step, 19, track_size, 84, robot_vel, 9.7, joints_pos, 19.72, 47.88, -1.58, -81.02, -2.22, 47.93, 61.88, tool_torque, 0.122, -0.114, 0.469, tool_momentum, 0.12, -0.107, 0.469, robot_mode, rotation_overlay, 
05/04/2022 15:37:19:852, robot_pos_w_timestamp, 1649169348902, 584.51, 191.05, 230.93, 2.41, 0.07, 3.12, tool_force, 0.5, 0.96, 0.01, actual_rep, 1, curr_step, 19, track_size, 84, robot_vel, 6.07, joints_pos, 19.7, 47.92, -1.6, -81.06, -2.12, 47.83, 62.02, tool_torque, 0.232, -0.05, 0.196, tool_momentum, 0.244, -0.055, 0.193, robot_mode, rotation_overlay, 
05/04/2022 15:37:20:000, robot_pos_w_timestamp, 1649169349048, 584.25, 189.83, 231.44, 2.38, 0.07, 3.11, tool_force, -0.92, 0.64, 0.41, actual_rep, 1, curr_step, 19, track_size, 84, robot_vel, 10.44, joints_pos, 19.64, 47.8, -1.71, -81.19, -1.76, 47.83, 63.6, tool_torque, 0.031, 0.332, -0.09, tool_momentum, 0.034, 0.33, -0.09, robot_mode, rotation_overlay, 
05/04/2022 15:37:20:150, robot_pos_w_timestamp, 1649169349198, 583.68, 188.48, 232.07, 2.31, 0.06, 3.11, tool_force, -0.31, 0.31, 0.02, actual_rep, 1, curr_step, 19, track_size, 84, robot_vel, 8.61, joints_pos, 19.67, 47.65, -1.92, -81.38, -1.58, 47.84, 67.38, tool_torque, 0.0, 0.271, -0.091, tool_momentum, -0.0080, 0.274, -0.093, robot_mode, rotation_overlay, 
05/04/2022 15:37:20:336, robot_pos_w_timestamp, 1649169349349, 583.12, 187.22, 232.77, 2.21, 0.06, 3.11, tool_force, -0.46, 0.34, 0.45, actual_rep, 1, curr_step, 20, track_size, 84, robot_vel, 9.82, joints_pos, 19.78, 47.52, -2.19, -81.51, -1.48, 47.98, 72.76, tool_torque, -0.117, 0.376, -0.118, tool_momentum, -0.117, 0.388, -0.12, robot_mode, rotation_overlay, 
05/04/2022 15:37:20:452, robot_pos_w_timestamp, 1649169349500, 582.56, 186.01, 233.41, 2.13, 0.06, 3.1, tool_force, -0.8, 0.36, 0.54, actual_rep, 1, curr_step, 20, track_size, 84, robot_vel, 9.68, joints_pos, 19.81, 47.39, -2.33, -81.65, -1.46, 48.07, 77.17, tool_torque, -0.135, 0.483, -0.195, tool_momentum, -0.136, 0.483, -0.195, robot_mode, rotation_overlay, 
05/04/2022 15:37:20:615, robot_pos_w_timestamp, 1649169349650, 582.02, 184.74, 234.17, 2.08, 0.06, 3.1, tool_force, -0.12, 0.4, 0.08, actual_rep, 1, curr_step, 20, track_size, 84, robot_vel, 11.48, joints_pos, 19.7, 47.21, -2.33, -81.85, -1.43, 48.07, 79.74, tool_torque, -0.0010, 0.298, -0.173, tool_momentum, 0.017, 0.29, -0.172, robot_mode, rotation_overlay, 
05/04/2022 15:37:20:757, robot_pos_w_timestamp, 1649169349805, 581.46, 183.65, 234.85, 2.07, 0.06, 3.1, tool_force, -0.1, 1.15, 0.63, actual_rep, 1, curr_step, 20, track_size, 84, robot_vel, 9.79, joints_pos, 19.55, 47.04, -2.24, -82.06, -1.38, 47.92, 80.18, tool_torque, 0.227, 0.138, -0.072, tool_momentum, 0.219, 0.146, -0.073, robot_mode, rotation_overlay, 
05/04/2022 15:37:20:942, robot_pos_w_timestamp, 1649169349934, 581.14, 183.48, 234.55, 2.07, 0.06, 3.1, tool_force, 0.48, 0.67, -0.02, actual_rep, 1, curr_step, 20, track_size, 84, robot_vel, 9.32, joints_pos, 19.51, 47.04, -2.2, -82.12, -1.41, 47.91, 80.13, tool_torque, 0.117, -0.126, 0.117, tool_momentum, 0.109, -0.135, 0.122, robot_mode, rotation_overlay, 
05/04/2022 15:37:21:056, robot_pos_w_timestamp, 1649169350085, 580.92, 182.44, 234.56, 2.1, 0.06, 3.1, tool_force, 1.31, 0.39, 0.43, actual_rep, 1, curr_step, 20, track_size, 84, robot_vel, 7.49, joints_pos, 19.44, 47.01, -2.17, -82.17, -1.63, 48.03, 78.58, tool_torque, 0.064, -0.376, 0.431, tool_momentum, 0.083, -0.373, 0.431, robot_mode, rotation_overlay, 
05/04/2022 15:37:21:208, robot_pos_w_timestamp, 1649169350236, 580.4, 181.25, 235.32, 2.16, 0.06, 3.11, tool_force, 0.75, 1.01, 0.57, actual_rep, 1, curr_step, 20, track_size, 84, robot_vel, 11.76, joints_pos, 19.24, 46.84, -2.01, -82.34, -1.79, 48.04, 74.89, tool_torque, 0.192, -0.37, 0.49, tool_momentum, 0.199, -0.381, 0.49, robot_mode, rotation_overlay, 
05/04/2022 15:37:21:357, robot_pos_w_timestamp, 1649169350386, 579.86, 180.14, 235.99, 2.26, 0.06, 3.11, tool_force, 0.45, 0.93, 0.36, actual_rep, 1, curr_step, 20, track_size, 84, robot_vel, 9.36, joints_pos, 18.92, 46.67, -1.68, -82.55, -1.95, 47.95, 69.44, tool_torque, 0.324, -0.32, 0.562, tool_momentum, 0.331, -0.328, 0.563, robot_mode, rotation_overlay, 
05/04/2022 15:37:21:507, robot_pos_w_timestamp, 1649169350537, 579.32, 178.84, 236.71, 2.35, 0.06, 3.12, tool_force, 0.69, 1.03, 0.04, actual_rep, 1, curr_step, 21, track_size, 84, robot_vel, 11.34, joints_pos, 18.58, 46.48, -1.37, -82.77, -2.05, 47.85, 64.42, tool_torque, 0.331, -0.219, 0.549, tool_momentum, 0.322, -0.2, 0.549, robot_mode, rotation_overlay, 
05/04/2022 15:37:21:662, robot_pos_w_timestamp, 1649169350688, 578.81, 177.61, 237.41, 2.4, 0.06, 3.12, tool_force, 0.4, 1.29, 0.4, actual_rep, 1, curr_step, 21, track_size, 84, robot_vel, 9.56, joints_pos, 18.43, 46.32, -1.29, -82.95, -2.15, 47.84, 61.23, tool_torque, 0.397, -0.243, 0.561, tool_momentum, 0.394, -0.245, 0.561, robot_mode, rotation_overlay, 
05/04/2022 15:37:21:832, robot_pos_w_timestamp, 1649169350838, 578.21, 176.23, 238.13, 2.42, 0.07, 3.12, tool_force, 0.5, 1.13, 0.42, actual_rep, 1, curr_step, 21, track_size, 84, robot_vel, 10.42, joints_pos, 18.43, 46.15, -1.4, -83.14, -2.21, 47.87, 60.0, tool_torque, 0.199, -0.179, 0.5, tool_momentum, 0.2, -0.181, 0.499, robot_mode, rotation_overlay, 
05/04/2022 15:37:21:960, robot_pos_w_timestamp, 1649169350972, 577.91, 176.2, 238.15, 2.42, 0.07, 3.12, tool_force, -0.1, 0.96, 0.03, actual_rep, 1, curr_step, 21, track_size, 84, robot_vel, 3.55, joints_pos, 18.44, 46.14, -1.41, -83.18, -2.21, 47.87, 59.97, tool_torque, 0.149, 0.061, 0.327, tool_momentum, 0.144, 0.063, 0.325, robot_mode, rotation_overlay, 
05/04/2022 15:37:22:112, robot_pos_w_timestamp, 1649169351122, 577.8, 175.02, 237.95, 2.4, 0.06, 3.12, tool_force, -0.17, 0.9, 0.24, actual_rep, 1, curr_step, 21, track_size, 84, robot_vel, 11.99, joints_pos, 18.33, 46.1, -1.46, -83.28, -1.86, 47.79, 61.01, tool_torque, 0.163, 0.164, -0.048, tool_momentum, 0.155, 0.164, -0.049, robot_mode, rotation_overlay, 
05/04/2022 15:37:22:262, robot_pos_w_timestamp, 1649169351276, 577.05, 173.84, 238.77, 2.34, 0.06, 3.12, tool_force, -0.85, 0.54, 0.42, actual_rep, 1, curr_step, 21, track_size, 84, robot_vel, 8.92, joints_pos, 18.34, 45.91, -1.61, -83.49, -1.67, 47.79, 64.12, tool_torque, 0.052, 0.361, -0.095, tool_momentum, 0.053, 0.356, -0.095, robot_mode, rotation_overlay, 
05/04/2022 15:37:22:414, robot_pos_w_timestamp, 1649169351424, 576.38, 172.74, 239.4, 2.25, 0.06, 3.11, tool_force, -0.79, 0.4, 0.48, actual_rep, 1, curr_step, 21, track_size, 84, robot_vel, 9.93, joints_pos, 18.44, 45.78, -1.86, -83.64, -1.52, 47.87, 69.2, tool_torque, -0.128, 0.461, -0.116, tool_momentum, -0.129, 0.458, -0.116, robot_mode, rotation_overlay, 
05/04/2022 15:37:22:568, robot_pos_w_timestamp, 1649169351575, 575.76, 171.66, 240.12, 2.16, 0.06, 3.11, tool_force, -0.43, 0.32, 0.31, actual_rep, 1, curr_step, 22, track_size, 84, robot_vel, 9.32, joints_pos, 18.51, 45.64, -2.05, -83.78, -1.49, 47.99, 74.16, tool_torque, -0.132, 0.427, -0.161, tool_momentum, -0.129, 0.43, -0.161, robot_mode, rotation_overlay, 
05/04/2022 15:37:22:722, robot_pos_w_timestamp, 1649169351728, 575.13, 170.53, 240.94, 2.11, 0.05, 3.11, tool_force, -0.32, 0.47, 0.37, actual_rep, 1, curr_step, 22, track_size, 84, robot_vel, 9.9, joints_pos, 18.46, 45.47, -2.1, -83.96, -1.47, 48.02, 77.27, tool_torque, -0.049, 0.362, -0.181, tool_momentum, -0.047, 0.367, -0.181, robot_mode, rotation_overlay, 
05/04/2022 15:37:22:872, robot_pos_w_timestamp, 1649169351878, 574.52, 169.46, 241.67, 2.08, 0.05, 3.11, tool_force, -0.14, 0.92, 0.46, actual_rep, 1, curr_step, 22, track_size, 84, robot_vel, 8.75, joints_pos, 18.32, 45.29, -2.03, -84.17, -1.43, 47.92, 78.37, tool_torque, 0.156, 0.23, -0.122, tool_momentum, 0.164, 0.223, -0.119, robot_mode, rotation_overlay, 
05/04/2022 15:37:23:025, robot_pos_w_timestamp, 1649169352015, 574.03, 169.13, 241.72, 2.08, 0.05, 3.11, tool_force, 0.41, 0.93, -0.16, actual_rep, 1, curr_step, 22, track_size, 84, robot_vel, 3.52, joints_pos, 18.24, 45.22, -1.95, -84.29, -1.44, 47.85, 78.4, tool_torque, 0.224, -0.0030, 0.02, tool_momentum, 0.225, 0.018, 0.023, robot_mode, normal, 
05/04/2022 15:37:23:179, robot_pos_w_timestamp, 1649169352167, 573.57, 167.91, 241.86, 2.11, 0.05, 3.11, tool_force, 0.72, 0.98, 0.52, actual_rep, 1, curr_step, 22, track_size, 84, robot_vel, 12.87, joints_pos, 18.2, 45.14, -2.0, -84.41, -1.55, 47.92, 77.05, tool_torque, 0.142, -0.178, 0.357, tool_momentum, 0.159, -0.188, 0.358, robot_mode, normal, 
05/04/2022 15:37:23:325, robot_pos_w_timestamp, 1649169352316, 572.6, 166.66, 242.99, 2.16, 0.06, 3.11, tool_force, 0.84, 0.96, 0.11, actual_rep, 1, curr_step, 22, track_size, 84, robot_vel, 13.55, joints_pos, 18.0, 44.88, -1.83, -84.69, -1.67, 47.86, 73.95, tool_torque, 0.277, -0.361, 0.455, tool_momentum, 0.283, -0.379, 0.455, robot_mode, normal, 
05/04/2022 15:37:23:483, robot_pos_w_timestamp, 1649169352469, 570.83, 163.95, 244.85, 2.22, 0.05, 3.12, tool_force, 0.93, 2.45, 1.17, actual_rep, 1, curr_step, 23, track_size, 84, robot_vel, 38.47, joints_pos, 17.62, 44.43, -1.62, -85.18, -1.71, 47.9, 70.03, tool_torque, 0.398, -0.39, 0.489, tool_momentum, 0.409, -0.393, 0.489, robot_mode, normal, 
