06/04/2022 14:11:19: File Created!
06/04/2022 14:11:19:466, robot_pos_w_timestamp, 1649250589688, 612.88, 280.94, 203.71, 2.36, -0.03, 3.07, tool_force, -0.98, 0.92, 5.8, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 38.61, joints_pos, 45.04, 64.27, -40.48, -66.97, 45.85, 60.78, 45.38, tool_torque, 0.044, -0.143, 0.187, tool_momentum, 0.044, -0.143, 0.187, robot_mode, normal, 
06/04/2022 14:11:21:530, robot_pos_w_timestamp, 1649250591789, 619.39, 204.91, 197.87, 2.3, 0.01, 3.13, tool_force, 0.47, 2.28, 5.59, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 36.68, joints_pos, 41.0, 63.4, -41.52, -71.09, 42.95, 60.07, 43.13, tool_torque, 0.347, -0.459, 0.432, tool_momentum, 0.354, -0.477, 0.432, robot_mode, normal, 
06/04/2022 14:11:21:728, robot_pos_w_timestamp, 1649250591942, 618.96, 198.89, 198.0, 2.3, 0.0, 3.14, tool_force, 0.73, 2.3, 5.99, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 41.47, joints_pos, 40.6, 63.21, -41.49, -71.47, 42.81, 60.21, 42.65, tool_torque, 0.339, -0.576, 0.443, tool_momentum, 0.345, -0.582, 0.443, robot_mode, normal, 
06/04/2022 14:11:21:838, robot_pos_w_timestamp, 1649250592092, 618.35, 193.21, 198.27, 2.3, 0.0, 3.14, tool_force, 0.29, 2.57, 6.23, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 35.82, joints_pos, 40.25, 63.0, -41.48, -71.89, 42.69, 60.29, 42.14, tool_torque, 0.441, -0.547, 0.466, tool_momentum, 0.448, -0.555, 0.466, robot_mode, normal, 
06/04/2022 14:11:21:988, robot_pos_w_timestamp, 1649250592244, 617.41, 187.43, 198.61, 2.3, 0.0, -3.14, tool_force, 0.5, 2.43, 5.39, actual_rep, 1, curr_step, 11, track_size, 99, robot_vel, 36.04, joints_pos, 39.95, 62.72, -41.48, -72.46, 42.59, 60.17, 41.59, tool_torque, 0.445, -0.448, 0.44, tool_momentum, 0.456, -0.457, 0.44, robot_mode, normal, 
06/04/2022 14:11:22:199, robot_pos_w_timestamp, 1649250592451, 615.71, 179.35, 199.21, 2.3, 0.0, -3.13, tool_force, 0.2, 2.38, 5.35, actual_rep, 1, curr_step, 11, track_size, 99, robot_vel, 41.08, joints_pos, 39.57, 62.34, -41.5, -73.22, 42.25, 60.14, 40.93, tool_torque, 0.438, -0.352, 0.444, tool_momentum, 0.45, -0.358, 0.444, robot_mode, normal, 
06/04/2022 14:11:22:301, robot_pos_w_timestamp, 1649250592547, 614.84, 175.76, 199.52, 2.3, 0.0, -3.13, tool_force, 0.21, 2.6, 5.97, actual_rep, 1, curr_step, 12, track_size, 99, robot_vel, 39.54, joints_pos, 39.39, 62.16, -41.5, -73.58, 42.13, 60.14, 40.51, tool_torque, 0.464, -0.419, 0.435, tool_momentum, 0.465, -0.414, 0.435, robot_mode, normal, 
06/04/2022 14:11:22:476, robot_pos_w_timestamp, 1649250592696, 613.11, 169.9, 200.23, 2.3, 0.0, -3.13, tool_force, 0.25, 2.76, 5.51, actual_rep, 1, curr_step, 12, track_size, 99, robot_vel, 37.86, joints_pos, 39.07, 61.77, -41.46, -74.28, 42.15, 60.08, 39.62, tool_torque, 0.559, -0.41, 0.451, tool_momentum, 0.556, -0.395, 0.45, robot_mode, normal, 
06/04/2022 14:11:22:596, robot_pos_w_timestamp, 1649250592847, 611.22, 164.18, 200.82, 2.31, -0.01, -3.13, tool_force, 0.08, 2.84, 5.81, actual_rep, 1, curr_step, 13, track_size, 99, robot_vel, 41.76, joints_pos, 38.77, 61.4, -41.44, -74.97, 42.22, 60.04, 38.59, tool_torque, 0.566, -0.5, 0.436, tool_momentum, 0.581, -0.518, 0.436, robot_mode, normal, 
06/04/2022 14:11:22:789, robot_pos_w_timestamp, 1649250592999, 608.99, 158.3, 201.57, 2.31, -0.01, -3.13, tool_force, -0.19, 2.44, 5.72, actual_rep, 1, curr_step, 14, track_size, 99, robot_vel, 37.55, joints_pos, 38.45, 60.99, -41.42, -75.74, 42.37, 60.02, 37.44, tool_torque, 0.531, -0.357, 0.405, tool_momentum, 0.545, -0.357, 0.405, robot_mode, normal, 
06/04/2022 14:11:22:911, robot_pos_w_timestamp, 1649250593165, 606.66, 151.84, 202.45, 2.32, -0.02, -3.13, tool_force, -0.49, 2.76, 5.46, actual_rep, 1, curr_step, 14, track_size, 99, robot_vel, 32.09, joints_pos, 38.16, 60.53, -41.44, -76.6, 42.4, 59.85, 36.17, tool_torque, 0.583, -0.369, 0.402, tool_momentum, 0.583, -0.373, 0.402, robot_mode, normal, 
