30/03/2022 10:43:23: File Created!
30/03/2022 10:43:23:374, robot_pos_w_timestamp, 1648629717651, 571.31, 339.04, 192.96, 2.29, 0.02, 3.07, tool_force, -0.37, -0.02, 0.26, actual_rep, 1, curr_step, 1, track_size, 67, robot_vel, 44.03, joints_pos, 41.12, 58.29, -18.28, -69.99, 19.69, 50.38, 68.29, tool_torque, -0.0040, -0.077, 0.091, tool_momentum, -0.0040, -0.077, 0.091, robot_mode, normal, 
30/03/2022 10:43:25:034, robot_pos_w_timestamp, 1648629719290, 592.09, 286.61, 205.31, 2.23, 0.07, 3.08, tool_force, 1.32, 0.31, -0.01, actual_rep, 1, curr_step, 8, track_size, 67, robot_vel, 43.77, joints_pos, 39.06, 56.96, -21.84, -71.77, 19.29, 50.37, 67.6, tool_torque, 0.295, -0.406, 0.4, tool_momentum, 0.284, -0.379, 0.4, robot_mode, normal, 
30/03/2022 10:43:25:189, robot_pos_w_timestamp, 1648629719442, 593.53, 280.7, 206.34, 2.22, 0.08, 3.08, tool_force, 2.3, 0.12, -0.08, actual_rep, 1, curr_step, 8, track_size, 67, robot_vel, 35.8, joints_pos, 38.84, 56.79, -22.21, -72.06, 19.33, 50.36, 67.55, tool_torque, 0.386, -0.524, 0.351, tool_momentum, 0.382, -0.508, 0.351, robot_mode, normal, 
30/03/2022 10:43:25:334, robot_pos_w_timestamp, 1648629719590, 594.96, 275.0, 207.48, 2.21, 0.08, 3.08, tool_force, 2.04, 0.18, 0.1, actual_rep, 1, curr_step, 8, track_size, 67, robot_vel, 41.71, joints_pos, 38.62, 56.64, -22.57, -72.33, 19.35, 50.35, 67.54, tool_torque, 0.446, -0.512, 0.342, tool_momentum, 0.44, -0.501, 0.342, robot_mode, normal, 
30/03/2022 10:43:25:483, robot_pos_w_timestamp, 1648629719739, 596.46, 268.91, 208.51, 2.2, 0.08, 3.08, tool_force, 1.09, -0.27, 0.35, actual_rep, 1, curr_step, 9, track_size, 67, robot_vel, 39.19, joints_pos, 38.37, 56.49, -22.93, -72.59, 19.41, 50.35, 67.49, tool_torque, 0.407, -0.519, 0.364, tool_momentum, 0.414, -0.534, 0.364, robot_mode, normal, 
30/03/2022 10:43:25:638, robot_pos_w_timestamp, 1648629719887, 597.66, 263.11, 209.76, 2.19, 0.09, 3.08, tool_force, 1.06, -0.44, 0.18, actual_rep, 1, curr_step, 9, track_size, 67, robot_vel, 41.43, joints_pos, 38.12, 56.29, -23.23, -72.89, 19.42, 50.35, 67.47, tool_torque, 0.399, -0.437, 0.391, tool_momentum, 0.4, -0.443, 0.391, robot_mode, normal, 
30/03/2022 10:43:25:788, robot_pos_w_timestamp, 1648629720039, 597.96, 257.49, 210.3, 2.18, 0.09, 3.09, tool_force, 1.55, -2.01, -1.84, actual_rep, 1, curr_step, 10, track_size, 67, robot_vel, 33.93, joints_pos, 37.9, 56.1, -23.48, -73.29, 19.42, 50.35, 67.54, tool_torque, 0.264, -0.315, 0.308, tool_momentum, 0.258, -0.306, 0.308, robot_mode, impedance, 
30/03/2022 10:43:25:946, robot_pos_w_timestamp, 1648629720187, 596.2, 254.28, 210.84, 2.18, 0.09, 3.09, tool_force, 6.18, -4.71, -4.91, actual_rep, 1, curr_step, 10, track_size, 67, robot_vel, 22.65, joints_pos, 37.89, 55.79, -23.62, -73.88, 19.47, 50.35, 67.76, tool_torque, 0.242, -0.157, 0.283, tool_momentum, 0.238, -0.154, 0.283, robot_mode, impedance, 
30/03/2022 10:43:26:084, robot_pos_w_timestamp, 1648629720336, 592.36, 252.5, 213.25, 2.17, 0.09, 3.09, tool_force, 8.71, -6.07, -7.38, actual_rep, 1, curr_step, 10, track_size, 67, robot_vel, 36.28, joints_pos, 38.16, 55.16, -23.83, -74.79, 19.45, 50.3, 68.09, tool_torque, 0.321, 0.026, 0.18, tool_momentum, 0.326, 0.05, 0.177, robot_mode, impedance, 
30/03/2022 10:43:26:239, robot_pos_w_timestamp, 1648629720485, 588.77, 249.9, 216.12, 2.16, 0.09, 3.09, tool_force, 8.85, -5.92, -10.0, actual_rep, 1, curr_step, 10, track_size, 67, robot_vel, 36.92, joints_pos, 38.52, 54.45, -24.19, -75.86, 19.36, 49.95, 68.36, tool_torque, 0.333, 0.248, 0.236, tool_momentum, 0.313, 0.247, 0.237, robot_mode, impedance, 
30/03/2022 10:43:26:387, robot_pos_w_timestamp, 1648629720635, 585.35, 250.07, 218.45, 2.16, 0.09, 3.09, tool_force, 8.0, -6.93, -12.71, actual_rep, 1, curr_step, 10, track_size, 67, robot_vel, 24.98, joints_pos, 38.86, 53.92, -24.32, -76.58, 19.29, 49.73, 68.44, tool_torque, 0.259, 0.145, 0.255, tool_momentum, 0.266, 0.129, 0.255, robot_mode, impedance, 
30/03/2022 10:43:26:544, robot_pos_w_timestamp, 1648629720785, 582.67, 248.8, 219.8, 2.16, 0.1, 3.09, tool_force, 7.92, -9.64, -14.74, actual_rep, 1, curr_step, 10, track_size, 67, robot_vel, 22.36, joints_pos, 39.11, 53.51, -24.52, -77.23, 19.24, 49.64, 68.55, tool_torque, 0.237, 0.136, 0.478, tool_momentum, 0.24, 0.136, 0.478, robot_mode, impedance, 
30/03/2022 10:43:26:842, robot_pos_w_timestamp, 1648629721084, 576.95, 243.71, 220.89, 2.15, 0.1, 3.09, tool_force, 5.63, -12.38, -14.65, actual_rep, 1, curr_step, 10, track_size, 67, robot_vel, 33.43, joints_pos, 39.35, 52.66, -24.76, -78.87, 19.14, 48.89, 68.44, tool_torque, 0.322, 0.0060, 0.801, tool_momentum, 0.338, 0.0080, 0.801, robot_mode, impedance, 
30/03/2022 10:43:26:993, robot_pos_w_timestamp, 1648629721232, 576.68, 239.43, 219.84, 2.15, 0.1, 3.09, tool_force, 3.12, -9.48, -9.99, actual_rep, 1, curr_step, 10, track_size, 67, robot_vel, 28.85, joints_pos, 39.23, 52.55, -24.91, -79.39, 19.1, 48.28, 68.16, tool_torque, 0.579, -0.393, 0.914, tool_momentum, 0.591, -0.403, 0.915, robot_mode, impedance, 
30/03/2022 10:43:27:142, robot_pos_w_timestamp, 1648629721381, 579.27, 236.15, 217.87, 2.15, 0.11, 3.09, tool_force, 0.71, -7.22, -6.25, actual_rep, 1, curr_step, 10, track_size, 67, robot_vel, 32.91, joints_pos, 38.84, 52.83, -24.91, -79.2, 19.15, 48.03, 67.81, tool_torque, 0.529, -0.55, 0.894, tool_momentum, 0.53, -0.562, 0.894, robot_mode, impedance, 
30/03/2022 10:43:27:304, robot_pos_w_timestamp, 1648629721530, 583.98, 234.54, 215.66, 2.15, 0.11, 3.08, tool_force, -0.64, -6.54, -3.76, actual_rep, 1, curr_step, 10, track_size, 67, robot_vel, 36.71, joints_pos, 38.37, 53.42, -24.86, -78.41, 19.33, 48.06, 67.42, tool_torque, 0.336, -0.717, 0.752, tool_momentum, 0.34, -0.72, 0.752, robot_mode, impedance, 
30/03/2022 10:43:27:448, robot_pos_w_timestamp, 1648629721680, 588.79, 233.44, 213.93, 2.15, 0.11, 3.08, tool_force, -1.28, -5.83, -1.75, actual_rep, 1, curr_step, 10, track_size, 67, robot_vel, 39.27, joints_pos, 37.94, 54.02, -24.83, -77.52, 19.46, 48.32, 67.2, tool_torque, 0.155, -0.768, 0.721, tool_momentum, 0.134, -0.76, 0.72, robot_mode, impedance, 
30/03/2022 10:43:27:600, robot_pos_w_timestamp, 1648629721831, 592.87, 232.67, 212.82, 2.16, 0.11, 3.08, tool_force, -2.25, -5.34, -0.39, actual_rep, 1, curr_step, 10, track_size, 67, robot_vel, 25.74, joints_pos, 37.57, 54.5, -24.8, -76.71, 19.57, 48.65, 66.99, tool_torque, 0.063, -0.757, 0.668, tool_momentum, 0.051, -0.748, 0.667, robot_mode, impedance, 
30/03/2022 10:43:27:747, robot_pos_w_timestamp, 1648629721978, 595.67, 231.75, 212.17, 2.16, 0.11, 3.09, tool_force, -3.45, -5.53, 0.05, actual_rep, 1, curr_step, 10, track_size, 67, robot_vel, 19.46, joints_pos, 37.28, 54.81, -24.76, -76.18, 19.62, 48.9, 66.85, tool_torque, 0.079, -0.727, 0.637, tool_momentum, 0.074, -0.727, 0.637, robot_mode, impedance, 
30/03/2022 10:43:27:899, robot_pos_w_timestamp, 1648629722130, 597.52, 230.71, 212.04, 2.16, 0.11, 3.09, tool_force, -3.92, -5.43, 0.09, actual_rep, 1, curr_step, 10, track_size, 67, robot_vel, 12.45, joints_pos, 37.06, 54.98, -24.75, -75.86, 19.65, 49.06, 66.72, tool_torque, 0.061, -0.74, 0.647, tool_momentum, 0.06, -0.732, 0.647, robot_mode, impedance, 
30/03/2022 10:43:28:089, robot_pos_w_timestamp, 1648629722280, 598.67, 229.84, 211.92, 2.16, 0.11, 3.09, tool_force, -4.31, -5.43, 0.37, actual_rep, 1, curr_step, 10, track_size, 67, robot_vel, 9.26, joints_pos, 36.91, 55.07, -24.73, -75.7, 19.66, 49.11, 66.6, tool_torque, 0.061, -0.793, 0.623, tool_momentum, 0.061, -0.797, 0.623, robot_mode, impedance, 
30/03/2022 10:43:28:206, robot_pos_w_timestamp, 1648629722430, 599.21, 229.55, 211.78, 2.16, 0.1, 3.09, tool_force, -4.29, -5.2, 0.57, actual_rep, 1, curr_step, 10, track_size, 67, robot_vel, 3.35, joints_pos, 36.82, 55.11, -24.69, -75.61, 19.7, 49.16, 66.52, tool_torque, 0.089, -0.728, 0.595, tool_momentum, 0.089, -0.728, 0.595, robot_mode, impedance, 
30/03/2022 10:43:28:354, robot_pos_w_timestamp, 1648629722579, 599.39, 230.0, 211.63, 2.16, 0.1, 3.09, tool_force, -3.85, -4.84, 0.67, actual_rep, 1, curr_step, 10, track_size, 67, robot_vel, 4.56, joints_pos, 36.79, 55.15, -24.62, -75.53, 19.7, 49.17, 66.51, tool_torque, 0.087, -0.714, 0.553, tool_momentum, 0.086, -0.714, 0.553, robot_mode, impedance, 
30/03/2022 10:43:28:506, robot_pos_w_timestamp, 1648629722727, 599.59, 230.48, 211.52, 2.16, 0.1, 3.09, tool_force, -3.76, -4.39, 0.93, actual_rep, 1, curr_step, 10, track_size, 67, robot_vel, 4.02, joints_pos, 36.79, 55.19, -24.59, -75.45, 19.7, 49.19, 66.51, tool_torque, 0.068, -0.635, 0.492, tool_momentum, 0.069, -0.637, 0.492, robot_mode, impedance, 
30/03/2022 10:43:28:652, robot_pos_w_timestamp, 1648629722876, 599.9, 231.59, 211.3, 2.16, 0.1, 3.08, tool_force, -3.22, -3.54, 1.31, actual_rep, 1, curr_step, 10, track_size, 67, robot_vel, 9.77, joints_pos, 36.79, 55.26, -24.52, -75.31, 19.73, 49.21, 66.51, tool_torque, 0.024, -0.565, 0.387, tool_momentum, 0.024, -0.564, 0.386, robot_mode, impedance, 
30/03/2022 10:43:28:811, robot_pos_w_timestamp, 1648629723026, 600.49, 233.24, 210.91, 2.16, 0.1, 3.08, tool_force, -2.84, -2.26, 1.93, actual_rep, 1, curr_step, 10, track_size, 67, robot_vel, 12.11, joints_pos, 36.8, 55.41, -24.44, -75.04, 19.75, 49.29, 66.57, tool_torque, -0.024, -0.419, 0.238, tool_momentum, -0.025, -0.417, 0.237, robot_mode, impedance, 
30/03/2022 10:43:28:955, robot_pos_w_timestamp, 1648629723173, 601.39, 234.66, 210.57, 2.16, 0.1, 3.08, tool_force, -2.48, -2.01, 1.98, actual_rep, 1, curr_step, 10, track_size, 67, robot_vel, 11.97, joints_pos, 36.81, 55.59, -24.4, -74.71, 19.77, 49.45, 66.64, tool_torque, -0.062, -0.31, 0.157, tool_momentum, -0.06, -0.312, 0.157, robot_mode, impedance, 
30/03/2022 10:43:29:110, robot_pos_w_timestamp, 1648629723325, 602.2, 236.46, 210.72, 2.16, 0.1, 3.08, tool_force, -1.63, -1.61, 1.48, actual_rep, 1, curr_step, 10, track_size, 67, robot_vel, 12.16, joints_pos, 36.85, 55.74, -24.38, -74.37, 19.79, 49.65, 66.73, tool_torque, -0.14, -0.285, 0.078, tool_momentum, -0.139, -0.284, 0.078, robot_mode, impedance, 
30/03/2022 10:43:29:264, robot_pos_w_timestamp, 1648629723474, 602.75, 237.85, 211.06, 2.16, 0.1, 3.08, tool_force, -1.27, -1.14, 0.89, actual_rep, 1, curr_step, 11, track_size, 67, robot_vel, 11.19, joints_pos, 36.89, 55.82, -24.38, -74.13, 19.8, 49.82, 66.88, tool_torque, -0.178, -0.192, -0.01, tool_momentum, -0.178, -0.19, -0.01, robot_mode, impedance, 
30/03/2022 10:43:29:413, robot_pos_w_timestamp, 1648629723625, 603.64, 235.19, 212.16, 2.15, 0.1, 3.09, tool_force, 0.54, -0.64, 0.61, actual_rep, 1, curr_step, 11, track_size, 67, robot_vel, 25.32, joints_pos, 36.85, 55.8, -24.7, -74.11, 19.79, 50.05, 67.16, tool_torque, -0.19, -0.179, -0.047, tool_momentum, -0.185, -0.174, -0.047, robot_mode, impedance, 
30/03/2022 10:43:29:565, robot_pos_w_timestamp, 1648629723774, 604.19, 231.32, 213.55, 2.14, 0.1, 3.09, tool_force, 0.67, -0.19, 0.65, actual_rep, 1, curr_step, 12, track_size, 67, robot_vel, 30.72, joints_pos, 36.74, 55.65, -25.0, -74.28, 19.79, 50.19, 67.33, tool_torque, -0.131, -0.242, -0.04, tool_momentum, -0.131, -0.247, -0.04, robot_mode, impedance, 
30/03/2022 10:43:29:727, robot_pos_w_timestamp, 1648629723930, 604.29, 226.11, 215.0, 2.14, 0.11, 3.09, tool_force, 1.05, -0.27, 0.36, actual_rep, 1, curr_step, 12, track_size, 67, robot_vel, 34.81, joints_pos, 36.57, 55.4, -25.28, -74.66, 19.79, 50.22, 67.38, tool_torque, -0.071, -0.355, -0.0070, tool_momentum, -0.071, -0.357, -0.0070, robot_mode, impedance, 
30/03/2022 10:43:29:878, robot_pos_w_timestamp, 1648629724081, 604.19, 220.85, 216.49, 2.13, 0.11, 3.09, tool_force, 1.35, 0.02, 0.19, actual_rep, 1, curr_step, 13, track_size, 67, robot_vel, 37.66, joints_pos, 36.37, 55.11, -25.52, -75.07, 19.8, 50.22, 67.39, tool_torque, -0.012, -0.353, 0.037, tool_momentum, -0.0060, -0.353, 0.039, robot_mode, impedance, 
30/03/2022 10:43:30:024, robot_pos_w_timestamp, 1648629724229, 603.97, 216.51, 217.93, 2.12, 0.11, 3.09, tool_force, 0.56, -0.47, -0.15, actual_rep, 1, curr_step, 13, track_size, 67, robot_vel, 31.61, joints_pos, 36.18, 54.83, -25.67, -75.44, 19.79, 50.23, 67.39, tool_torque, -0.064, -0.289, 0.043, tool_momentum, -0.056, -0.3, 0.046, robot_mode, impedance, 
30/03/2022 10:43:30:175, robot_pos_w_timestamp, 1648629724379, 603.68, 210.84, 219.22, 2.11, 0.11, 3.09, tool_force, 1.24, -0.37, -0.01, actual_rep, 1, curr_step, 13, track_size, 67, robot_vel, 41.58, joints_pos, 35.94, 54.54, -25.89, -75.9, 19.79, 50.23, 67.33, tool_torque, 0.062, -0.389, 0.18, tool_momentum, 0.062, -0.375, 0.18, robot_mode, impedance, 
30/03/2022 10:43:30:329, robot_pos_w_timestamp, 1648629724529, 603.67, 204.38, 222.94, 2.11, 0.11, 3.1, tool_force, 0.81, -0.92, -0.07, actual_rep, 1, curr_step, 14, track_size, 67, robot_vel, 54.64, joints_pos, 35.59, 54.02, -26.1, -76.32, 19.8, 50.5, 67.07, tool_torque, 0.019, -0.705, 0.431, tool_momentum, 0.049, -0.821, 0.449, robot_mode, normal, 
30/03/2022 10:43:30:483, robot_pos_w_timestamp, 1648629724682, 602.72, 197.72, 225.23, 2.1, 0.11, 3.1, tool_force, 0.26, 0.27, 0.35, actual_rep, 1, curr_step, 15, track_size, 67, robot_vel, 41.04, joints_pos, 35.15, 53.48, -26.11, -77.0, 19.79, 50.39, 66.79, tool_torque, 0.395, -0.427, 0.463, tool_momentum, 0.387, -0.432, 0.463, robot_mode, normal, 
30/03/2022 10:43:30:632, robot_pos_w_timestamp, 1648629724831, 602.18, 191.68, 227.49, 2.09, 0.11, 3.1, tool_force, -0.06, 0.15, 0.65, actual_rep, 1, curr_step, 15, track_size, 67, robot_vel, 42.04, joints_pos, 34.79, 53.02, -26.19, -77.51, 19.73, 50.39, 66.64, tool_torque, 0.317, -0.439, 0.483, tool_momentum, 0.319, -0.428, 0.48, robot_mode, normal, 
30/03/2022 10:43:30:780, robot_pos_w_timestamp, 1648629724981, 601.41, 185.83, 229.91, 2.08, 0.11, 3.1, tool_force, 0.29, 0.17, 0.18, actual_rep, 1, curr_step, 16, track_size, 67, robot_vel, 42.37, joints_pos, 34.45, 52.55, -26.28, -78.04, 19.68, 50.39, 66.52, tool_torque, 0.357, -0.542, 0.501, tool_momentum, 0.319, -0.515, 0.497, robot_mode, normal, 
30/03/2022 10:43:30:931, robot_pos_w_timestamp, 1648629725130, 600.53, 179.42, 232.94, 2.08, 0.11, 3.1, tool_force, -2.58, 0.69, 1.66, actual_rep, 1, curr_step, 16, track_size, 67, robot_vel, 48.34, joints_pos, 34.09, 51.99, -26.41, -78.64, 19.68, 50.39, 66.3, tool_torque, 0.39, -0.452, 0.427, tool_momentum, 0.379, -0.449, 0.426, robot_mode, normal, 
30/03/2022 10:43:31:090, robot_pos_w_timestamp, 1648629725280, 599.79, 172.9, 236.38, 2.07, 0.1, 3.1, tool_force, -5.57, 0.59, 2.33, actual_rep, 1, curr_step, 17, track_size, 67, robot_vel, 50.47, joints_pos, 33.66, 51.38, -26.48, -79.21, 19.72, 50.4, 65.98, tool_torque, 0.338, -0.393, 0.374, tool_momentum, 0.328, -0.379, 0.374, robot_mode, normal, 
30/03/2022 10:43:31:233, robot_pos_w_timestamp, 1648629725431, 598.58, 164.7, 240.72, 2.06, 0.1, 3.1, tool_force, -5.55, -0.93, 0.14, actual_rep, 1, curr_step, 18, track_size, 67, robot_vel, 73.8, joints_pos, 33.21, 50.62, -26.68, -79.96, 19.7, 50.39, 65.72, tool_torque, 0.337, -0.624, 0.412, tool_momentum, 0.344, -0.633, 0.415, robot_mode, impedance, 
30/03/2022 10:43:31:389, robot_pos_w_timestamp, 1648629725580, 598.71, 152.62, 245.8, 2.05, 0.11, 3.1, tool_force, -10.27, -0.94, 1.22, actual_rep, 1, curr_step, 18, track_size, 67, robot_vel, 79.6, joints_pos, 32.56, 49.87, -27.12, -80.65, 19.63, 50.37, 64.96, tool_torque, 0.402, -0.266, 0.382, tool_momentum, 0.394, -0.246, 0.379, robot_mode, impedance, 
30/03/2022 10:43:31:538, robot_pos_w_timestamp, 1648629725729, 598.81, 143.16, 249.65, 2.05, 0.1, 3.09, tool_force, -12.55, -1.65, -0.22, actual_rep, 1, curr_step, 18, track_size, 67, robot_vel, 59.61, joints_pos, 31.69, 49.24, -27.04, -81.12, 19.73, 50.4, 64.01, tool_torque, 0.494, -0.657, 0.5, tool_momentum, 0.491, -0.646, 0.5, robot_mode, impedance, 
30/03/2022 10:43:31:759, robot_pos_w_timestamp, 1648629725879, 600.33, 135.05, 250.34, 2.05, 0.1, 3.09, tool_force, -16.67, -3.91, -2.28, actual_rep, 1, curr_step, 18, track_size, 67, robot_vel, 52.96, joints_pos, 30.91, 49.11, -27.0, -81.21, 19.66, 50.35, 63.34, tool_torque, 0.613, -0.775, 0.614, tool_momentum, 0.61, -0.779, 0.614, robot_mode, impedance, 
30/03/2022 10:43:31:860, robot_pos_w_timestamp, 1648629726026, 602.37, 126.84, 251.97, 2.05, 0.11, 3.09, tool_force, -21.74, -5.59, -2.66, actual_rep, 1, curr_step, 18, track_size, 67, robot_vel, 61.01, joints_pos, 30.2, 49.0, -27.09, -81.16, 19.53, 50.46, 62.72, tool_torque, 0.379, -0.639, 0.575, tool_momentum, 0.376, -0.624, 0.575, robot_mode, impedance, 
30/03/2022 10:43:31:988, robot_pos_w_timestamp, 1648629726176, 604.18, 119.8, 252.89, 2.05, 0.11, 3.1, tool_force, -23.97, -6.24, -3.29, actual_rep, 1, curr_step, 18, track_size, 67, robot_vel, 43.02, joints_pos, 29.45, 48.93, -27.01, -81.09, 19.53, 50.54, 61.96, tool_torque, 0.404, -0.787, 0.567, tool_momentum, 0.397, -0.789, 0.568, robot_mode, impedance, 
30/03/2022 10:43:32:140, robot_pos_w_timestamp, 1648629726325, 604.47, 115.71, 254.51, 2.05, 0.1, 3.1, tool_force, -20.94, -10.76, -9.17, actual_rep, 1, curr_step, 18, track_size, 67, robot_vel, 21.37, joints_pos, 28.94, 48.72, -26.86, -81.09, 19.56, 50.92, 61.59, tool_torque, 0.384, -1.13, 0.808, tool_momentum, 0.378, -1.133, 0.809, robot_mode, impedance, 
30/03/2022 10:43:32:288, robot_pos_w_timestamp, 1648629726477, 603.87, 117.19, 261.01, 2.05, 0.1, 3.09, tool_force, -19.97, -7.6, -21.31, actual_rep, 1, curr_step, 18, track_size, 67, robot_vel, 59.15, joints_pos, 29.05, 47.97, -26.8, -81.25, 19.48, 51.01, 61.63, tool_torque, 0.108, -0.93, 0.76, tool_momentum, 0.105, -0.929, 0.76, robot_mode, impedance, 
30/03/2022 10:43:32:441, robot_pos_w_timestamp, 1648629726623, 604.79, 121.34, 270.23, 2.05, 0.1, 3.08, tool_force, -20.4, -0.31, -26.86, actual_rep, 1, curr_step, 18, track_size, 67, robot_vel, 68.23, joints_pos, 29.44, 47.26, -26.84, -80.9, 18.87, 51.48, 62.11, tool_torque, -0.231, -0.791, 0.285, tool_momentum, -0.232, -0.784, 0.281, robot_mode, impedance, 
30/03/2022 10:43:32:619, robot_pos_w_timestamp, 1648629726774, 609.51, 124.26, 272.73, 2.06, 0.11, 3.08, tool_force, -25.68, 8.6, -22.48, actual_rep, 1, curr_step, 18, track_size, 67, robot_vel, 38.68, joints_pos, 29.53, 47.61, -26.92, -79.88, 18.63, 51.68, 62.36, tool_torque, -0.31, -0.471, -0.215, tool_momentum, -0.307, -0.478, -0.217, robot_mode, impedance, 
30/03/2022 10:43:32:778, robot_pos_w_timestamp, 1648629726921, 617.77, 127.88, 272.73, 2.06, 0.11, 3.08, tool_force, -22.04, 10.9, -25.34, actual_rep, 1, curr_step, 18, track_size, 67, robot_vel, 70.11, joints_pos, 29.28, 48.7, -26.9, -77.79, 18.97, 52.86, 62.52, tool_torque, -0.292, -0.82, -0.26, tool_momentum, -0.301, -0.83, -0.255, robot_mode, impedance, 
30/03/2022 10:43:32:978, robot_pos_w_timestamp, 1648629727083, 624.74, 134.61, 273.32, 2.06, 0.1, 3.08, tool_force, -18.07, 9.52, -26.9, actual_rep, 1, curr_step, 18, track_size, 67, robot_vel, 55.58, joints_pos, 29.31, 49.72, -26.86, -75.74, 19.06, 54.33, 63.34, tool_torque, -0.191, -0.907, 0.025, tool_momentum, -0.205, -0.904, 0.026, robot_mode, impedance, 
