29/04/2022 15:57:55: File Created!
29/04/2022 15:57:55:663, robot_pos_w_timestamp, 1651244173169, 612.9, 280.92, 203.78, 2.36, -0.03, 3.07, tool_force, -1.09, 0.24, 7.34, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 0.0, joints_pos, 21.53, 57.51, 4.57, -66.97, -0.97, 52.41, 69.3, tool_torque, -0.126, 0.407, 0.016, joint_torque, -0.44, 4.85, 0.03, -2.13, 0.1, -0.05, 0.1, robot_mode, normal, 
29/04/2022 15:57:58:190, robot_pos_w_timestamp, 1651244175687, 617.31, 187.2, 198.34, 2.3, 0.0, -3.14, tool_force, 0.41, 2.3, 7.08, actual_rep, 1, curr_step, 11, track_size, 99, robot_vel, 41.04, joints_pos, 14.27, 55.22, 4.39, -72.5, -4.64, 52.45, 67.88, tool_torque, 0.362, -0.228, 0.489, joint_torque, 0.37, 4.38, -0.07, -1.84, 0.16, 0.01, 0.49, robot_mode, normal, 
29/04/2022 15:57:58:339, robot_pos_w_timestamp, 1651244175837, 616.08, 181.49, 198.77, 2.3, 0.0, -3.14, tool_force, 0.37, 2.25, 7.27, actual_rep, 1, curr_step, 11, track_size, 99, robot_vel, 38.2, joints_pos, 13.82, 54.91, 4.39, -73.05, -4.74, 52.45, 67.54, tool_torque, 0.349, -0.187, 0.486, joint_torque, 0.27, 4.83, -0.09, -1.88, 0.16, 0.0, 0.5, robot_mode, normal, 
29/04/2022 15:57:58:492, robot_pos_w_timestamp, 1651244175985, 614.56, 175.77, 199.21, 2.3, 0.0, -3.13, tool_force, 0.06, 1.66, 7.61, actual_rep, 1, curr_step, 12, track_size, 99, robot_vel, 40.17, joints_pos, 13.35, 54.59, 4.41, -73.63, -4.83, 52.5, 67.11, tool_torque, 0.174, 0.054, 0.391, joint_torque, 0.86, 4.78, 0.57, -2.22, 0.39, 0.02, 0.39, robot_mode, normal, 
29/04/2022 15:57:58:643, robot_pos_w_timestamp, 1651244176135, 613.05, 169.88, 199.87, 2.3, 0.0, -3.13, tool_force, -0.41, 1.88, 6.75, actual_rep, 1, curr_step, 12, track_size, 99, robot_vel, 52.36, joints_pos, 12.79, 54.2, 4.49, -74.31, -4.69, 52.33, 66.34, tool_torque, 0.313, 0.026, 0.437, joint_torque, -0.18, 4.34, -0.21, -1.73, 0.15, 0.07, 0.48, robot_mode, normal, 
29/04/2022 15:57:58:795, robot_pos_w_timestamp, 1651244176284, 611.07, 164.09, 200.78, 2.31, -0.01, -3.13, tool_force, 0.3, 2.04, 5.75, actual_rep, 1, curr_step, 13, track_size, 99, robot_vel, 43.74, joints_pos, 12.21, 53.78, 4.58, -75.01, -4.52, 52.24, 65.47, tool_torque, 0.411, -0.102, 0.463, joint_torque, 0.72, 3.78, 0.28, -1.49, 0.21, 0.11, 0.48, robot_mode, normal, 
29/04/2022 15:57:58:947, robot_pos_w_timestamp, 1651244176433, 608.71, 157.97, 202.41, 2.31, -0.01, -3.13, tool_force, 0.1, -0.27, 0.1, actual_rep, 1, curr_step, 14, track_size, 99, robot_vel, 53.74, joints_pos, 11.6, 53.2, 4.64, -75.88, -4.19, 52.08, 64.44, tool_torque, 0.317, -0.317, 0.592, joint_torque, -0.47, 0.07, -0.57, -0.25, 0.02, 0.21, 0.62, robot_mode, normal, 
29/04/2022 15:57:59:095, robot_pos_w_timestamp, 1651244176581, 606.32, 152.0, 204.63, 2.32, -0.02, -3.13, tool_force, 0.85, -2.75, -7.33, actual_rep, 1, curr_step, 14, track_size, 99, robot_vel, 42.36, joints_pos, 11.09, 52.6, 4.65, -76.69, -4.09, 51.95, 63.54, tool_torque, 0.118, -0.382, 0.639, joint_torque, -0.85, -4.63, -0.67, 1.46, -0.02, 0.33, 0.67, robot_mode, normal, 
29/04/2022 15:57:59:247, robot_pos_w_timestamp, 1651244176733, 603.68, 146.05, 206.45, 2.33, -0.02, -3.13, tool_force, 1.11, -3.08, -11.75, actual_rep, 1, curr_step, 15, track_size, 99, robot_vel, 38.75, joints_pos, 10.55, 51.93, 4.65, -77.72, -3.9, 51.39, 62.48, tool_torque, -0.03, -0.392, 0.604, joint_torque, -1.28, -7.12, -0.71, 2.63, -0.02, 0.19, 0.65, robot_mode, normal, 
29/04/2022 15:57:59:418, robot_pos_w_timestamp, 1651244176882, 600.95, 140.2, 206.6, 2.33, -0.02, -3.14, tool_force, 0.1, -2.68, -7.36, actual_rep, 1, curr_step, 16, track_size, 99, robot_vel, 44.98, joints_pos, 10.04, 51.41, 4.62, -78.88, -3.76, 50.54, 61.55, tool_torque, 0.195, -0.237, 0.581, joint_torque, -1.07, -2.99, -0.77, 0.75, -0.02, 0.37, 0.64, robot_mode, normal, 
29/04/2022 15:57:59:551, robot_pos_w_timestamp, 1651244177032, 597.72, 134.43, 205.91, 2.34, -0.01, -3.14, tool_force, -0.29, -2.43, -0.76, actual_rep, 1, curr_step, 17, track_size, 99, robot_vel, 48.62, joints_pos, 9.63, 50.91, 4.56, -79.88, -3.91, 49.74, 61.03, tool_torque, 0.372, -0.053, 0.559, joint_torque, -1.56, 0.31, -1.13, -0.98, -0.09, 0.61, 0.65, robot_mode, normal, 
29/04/2022 15:57:59:700, robot_pos_w_timestamp, 1651244177180, 593.1, 128.39, 205.76, 2.34, -0.01, 3.14, tool_force, -0.95, -2.52, 2.01, actual_rep, 1, curr_step, 18, track_size, 99, robot_vel, 52.02, joints_pos, 9.06, 50.19, 4.61, -81.36, -3.83, 48.63, 60.23, tool_torque, 0.552, -0.214, 0.62, joint_torque, -2.15, 1.87, -1.94, -1.69, -0.22, 0.63, 0.68, robot_mode, normal, 
29/04/2022 15:57:59:848, robot_pos_w_timestamp, 1651244177329, 587.6, 123.46, 205.34, 2.35, -0.01, 3.13, tool_force, 0.45, -0.18, 6.09, actual_rep, 1, curr_step, 19, track_size, 99, robot_vel, 49.25, joints_pos, 8.55, 49.55, 4.72, -82.75, -3.6, 47.85, 59.55, tool_torque, 0.67, -0.206, 0.53, joint_torque, -0.22, 4.22, -0.59, -2.43, -0.01, 0.49, 0.54, robot_mode, normal, 
29/04/2022 15:58:00:003, robot_pos_w_timestamp, 1651244177478, 582.45, 118.64, 205.46, 2.35, -0.02, 3.13, tool_force, -0.37, 2.19, 7.07, actual_rep, 1, curr_step, 20, track_size, 99, robot_vel, 42.6, joints_pos, 8.04, 48.88, 4.76, -84.09, -3.09, 47.11, 58.73, tool_torque, 0.553, -0.113, 0.453, joint_torque, 0.16, 4.66, -0.23, -1.8, 0.06, 0.16, 0.48, robot_mode, normal, 
29/04/2022 15:58:00:150, robot_pos_w_timestamp, 1651244177627, 576.6, 114.0, 206.12, 2.35, -0.02, 3.12, tool_force, -0.33, 1.28, 7.77, actual_rep, 1, curr_step, 21, track_size, 99, robot_vel, 50.21, joints_pos, 7.62, 48.08, 4.75, -85.59, -2.78, 46.22, 58.17, tool_torque, 0.486, -0.091, 0.426, joint_torque, 0.24, 4.06, -0.15, -1.66, 0.06, 0.15, 0.45, robot_mode, normal, 
29/04/2022 15:58:00:308, robot_pos_w_timestamp, 1651244177778, 570.74, 109.82, 207.02, 2.35, -0.02, 3.12, tool_force, -0.34, 1.78, 7.41, actual_rep, 1, curr_step, 22, track_size, 99, robot_vel, 46.53, joints_pos, 7.29, 47.3, 4.74, -86.98, -2.68, 45.56, 57.82, tool_torque, 0.497, -0.055, 0.394, joint_torque, 0.17, 4.64, -0.11, -1.9, 0.06, 0.16, 0.45, robot_mode, normal, 
29/04/2022 15:58:00:455, robot_pos_w_timestamp, 1651244177927, 565.16, 106.15, 208.31, 2.35, -0.02, 3.12, tool_force, -0.35, 1.81, 6.82, actual_rep, 1, curr_step, 24, track_size, 99, robot_vel, 48.05, joints_pos, 7.08, 46.49, 4.65, -88.36, -2.8, 44.82, 57.65, tool_torque, 0.426, 0.039, 0.337, joint_torque, 0.22, 4.29, 0.02, -1.77, 0.1, 0.19, 0.38, robot_mode, normal, 
29/04/2022 15:58:00:606, robot_pos_w_timestamp, 1651244178077, 559.18, 103.3, 209.77, 2.35, -0.01, 3.12, tool_force, -0.15, 1.83, 7.22, actual_rep, 1, curr_step, 25, track_size, 99, robot_vel, 56.16, joints_pos, 6.92, 45.61, 4.62, -89.85, -2.88, 43.77, 57.61, tool_torque, 0.484, 0.023, 0.343, joint_torque, 0.25, 4.4, -0.02, -1.66, 0.09, 0.2, 0.39, robot_mode, normal, 
29/04/2022 15:58:00:758, robot_pos_w_timestamp, 1651244178228, 553.28, 101.5, 211.44, 2.35, -0.01, 3.11, tool_force, 0.0, 2.08, 7.48, actual_rep, 1, curr_step, 26, track_size, 99, robot_vel, 38.29, joints_pos, 6.65, 44.82, 4.75, -91.08, -2.55, 43.34, 57.28, tool_torque, 0.622, -0.2, 0.417, joint_torque, 0.42, 4.2, -0.11, -1.68, 0.05, 0.19, 0.42, robot_mode, normal, 
29/04/2022 15:58:00:908, robot_pos_w_timestamp, 1651244178376, 547.71, 100.33, 212.88, 2.35, -0.02, 3.11, tool_force, -0.43, 2.1, 7.17, actual_rep, 1, curr_step, 27, track_size, 99, robot_vel, 39.79, joints_pos, 6.49, 44.14, 4.82, -92.17, -2.22, 43.01, 56.98, tool_torque, 0.569, -0.111, 0.396, joint_torque, 0.14, 4.48, -0.27, -1.8, 0.05, 0.19, 0.41, robot_mode, normal, 
29/04/2022 15:58:01:060, robot_pos_w_timestamp, 1651244178526, 541.78, 100.33, 214.54, 2.35, -0.02, 3.11, tool_force, -0.49, 1.81, 7.03, actual_rep, 1, curr_step, 30, track_size, 99, robot_vel, 45.31, joints_pos, 6.49, 43.42, 4.87, -93.28, -1.93, 42.76, 56.86, tool_torque, 0.559, -0.129, 0.395, joint_torque, 0.12, 4.15, -0.29, -1.72, 0.04, 0.2, 0.41, robot_mode, normal, 
29/04/2022 15:58:01:226, robot_pos_w_timestamp, 1651244178692, 535.55, 101.94, 216.75, 2.35, -0.03, 3.11, tool_force, -1.02, 1.53, 7.49, actual_rep, 1, curr_step, 33, track_size, 99, robot_vel, 41.12, joints_pos, 6.52, 42.64, 5.04, -94.38, -1.36, 42.55, 56.65, tool_torque, 0.5, 0.069, 0.367, joint_torque, -0.22, 4.21, -0.37, -1.54, 0.04, 0.18, 0.42, robot_mode, normal, 
29/04/2022 15:58:01:363, robot_pos_w_timestamp, 1651244178829, 530.2, 104.31, 219.05, 2.35, -0.04, 3.11, tool_force, -0.84, 1.65, 7.4, actual_rep, 1, curr_step, 35, track_size, 99, robot_vel, 46.48, joints_pos, 6.63, 41.96, 5.21, -95.26, -0.9, 42.41, 56.48, tool_torque, 0.488, -0.024, 0.385, joint_torque, 0.03, 3.94, -0.14, -1.57, 0.04, 0.18, 0.45, robot_mode, normal, 
29/04/2022 15:58:01:551, robot_pos_w_timestamp, 1651244178979, 524.47, 108.22, 221.33, 2.36, -0.04, 3.1, tool_force, -1.28, 1.11, 6.85, actual_rep, 1, curr_step, 37, track_size, 99, robot_vel, 51.5, joints_pos, 6.92, 41.27, 5.39, -96.17, -0.53, 42.29, 56.4, tool_torque, 0.354, 0.176, 0.289, joint_torque, -0.42, 4.12, -0.41, -1.63, 0.02, 0.18, 0.37, robot_mode, normal, 
29/04/2022 15:58:01:661, robot_pos_w_timestamp, 1651244179129, 518.7, 112.67, 223.21, 2.36, -0.05, 3.1, tool_force, -1.39, 1.16, 7.26, actual_rep, 1, curr_step, 37, track_size, 99, robot_vel, 49.06, joints_pos, 7.33, 40.66, 5.48, -97.0, -0.01, 42.22, 56.29, tool_torque, 0.4, 0.144, 0.339, joint_torque, -0.36, 4.27, -0.34, -1.69, 0.03, 0.18, 0.44, robot_mode, normal, 
29/04/2022 15:58:01:817, robot_pos_w_timestamp, 1651244179282, 512.74, 117.2, 225.29, 2.37, -0.06, 3.1, tool_force, -1.37, 1.45, 7.31, actual_rep, 1, curr_step, 37, track_size, 99, robot_vel, 51.88, joints_pos, 7.79, 40.0, 5.52, -97.86, 0.57, 42.16, 56.13, tool_torque, 0.394, 0.141, 0.342, joint_torque, -0.32, 4.19, -0.33, -1.65, 0.02, 0.18, 0.45, robot_mode, normal, 
29/04/2022 15:58:01:970, robot_pos_w_timestamp, 1651244179433, 506.88, 122.32, 226.44, 2.37, -0.06, 3.1, tool_force, -2.06, 1.15, 7.75, actual_rep, 1, curr_step, 39, track_size, 99, robot_vel, 53.61, joints_pos, 8.38, 39.45, 5.53, -98.7, 1.03, 41.91, 56.22, tool_torque, 0.307, 0.351, 0.119, joint_torque, -0.27, 4.31, -0.29, -1.56, 0.01, 0.17, 0.18, robot_mode, normal, 
29/04/2022 15:58:02:119, robot_pos_w_timestamp, 1651244179585, 501.48, 128.25, 227.09, 2.38, -0.07, 3.1, tool_force, -1.03, 1.16, 7.38, actual_rep, 1, curr_step, 40, track_size, 99, robot_vel, 49.41, joints_pos, 9.03, 39.07, 5.54, -99.31, 1.59, 41.9, 56.0, tool_torque, 0.244, 0.117, 0.24, joint_torque, -0.15, 3.96, -0.14, -1.68, 0.02, 0.11, 0.32, robot_mode, normal, 
29/04/2022 15:58:02:270, robot_pos_w_timestamp, 1651244179734, 496.88, 133.95, 227.65, 2.38, -0.06, 3.1, tool_force, -2.17, 1.02, 7.23, actual_rep, 1, curr_step, 42, track_size, 99, robot_vel, 51.01, joints_pos, 9.92, 38.65, 5.4, -99.98, 1.46, 41.4, 56.81, tool_torque, 0.177, 0.558, -0.049, joint_torque, -0.09, 3.91, 0.13, -1.46, 0.06, 0.19, 0.02, robot_mode, normal, 
29/04/2022 15:58:02:424, robot_pos_w_timestamp, 1651244179887, 492.7, 139.8, 228.14, 2.38, -0.06, 3.09, tool_force, -2.19, 0.84, 7.25, actual_rep, 1, curr_step, 43, track_size, 99, robot_vel, 49.38, joints_pos, 10.64, 38.28, 5.36, -100.6, 1.76, 40.75, 57.35, tool_torque, 0.232, 0.492, -0.061, joint_torque, 0.09, 3.92, 0.21, -1.53, 0.03, 0.21, 0.0, robot_mode, normal, 
29/04/2022 15:58:02:571, robot_pos_w_timestamp, 1651244180036, 489.02, 145.49, 228.84, 2.37, -0.06, 3.09, tool_force, -2.11, 0.94, 7.52, actual_rep, 1, curr_step, 44, track_size, 99, robot_vel, 46.75, joints_pos, 11.34, 37.99, 5.35, -101.01, 1.9, 40.47, 58.22, tool_torque, 0.115, 0.702, -0.118, joint_torque, -0.36, 3.97, -0.05, -1.48, 0.01, 0.22, -0.01, robot_mode, normal, 
29/04/2022 15:58:02:722, robot_pos_w_timestamp, 1651244180185, 485.96, 151.29, 229.48, 2.37, -0.06, 3.09, tool_force, -1.97, 0.91, 7.16, actual_rep, 1, curr_step, 45, track_size, 99, robot_vel, 45.76, joints_pos, 12.05, 37.78, 5.35, -101.28, 1.96, 40.3, 59.02, tool_torque, 0.089, 0.673, -0.116, joint_torque, -0.37, 3.96, 0.0, -1.53, 0.02, 0.19, -0.02, robot_mode, normal, 
29/04/2022 15:58:02:882, robot_pos_w_timestamp, 1651244180340, 483.48, 157.31, 230.2, 2.37, -0.06, 3.09, tool_force, -2.55, 0.81, 7.42, actual_rep, 1, curr_step, 46, track_size, 99, robot_vel, 39.33, joints_pos, 12.74, 37.59, 5.35, -101.49, 2.15, 40.0, 59.61, tool_torque, 0.103, 0.714, -0.109, joint_torque, -0.47, 4.01, -0.08, -1.57, 0.01, 0.22, 0.0, robot_mode, normal, 
29/04/2022 15:58:03:187, robot_pos_w_timestamp, 1651244180644, 479.15, 169.03, 231.6, 2.37, -0.06, 3.08, tool_force, -2.37, 0.85, 7.37, actual_rep, 1, curr_step, 49, track_size, 99, robot_vel, 38.28, joints_pos, 14.11, 37.33, 5.36, -101.69, 2.37, 39.69, 60.82, tool_torque, 0.066, 0.766, -0.137, joint_torque, -0.59, 3.95, -0.17, -1.5, 0.02, 0.19, -0.03, robot_mode, normal, 
29/04/2022 15:58:03:342, robot_pos_w_timestamp, 1651244180799, 477.15, 175.0, 232.11, 2.37, -0.06, 3.08, tool_force, -1.84, 0.7, 7.26, actual_rep, 1, curr_step, 50, track_size, 99, robot_vel, 42.18, joints_pos, 14.83, 37.26, 5.35, -101.7, 2.4, 39.65, 61.51, tool_torque, 0.062, 0.698, -0.126, joint_torque, -0.46, 3.9, -0.05, -1.57, 0.03, 0.19, -0.02, robot_mode, normal, 
29/04/2022 15:58:03:492, robot_pos_w_timestamp, 1651244180950, 475.38, 180.78, 232.56, 2.37, -0.06, 3.08, tool_force, -2.0, 0.08, 7.22, actual_rep, 1, curr_step, 51, track_size, 99, robot_vel, 35.12, joints_pos, 15.54, 37.23, 5.33, -101.66, 2.4, 39.64, 62.24, tool_torque, -0.031, 0.703, -0.129, joint_torque, -0.41, 3.88, 0.05, -1.73, 0.04, 0.17, -0.01, robot_mode, normal, 
29/04/2022 15:58:03:646, robot_pos_w_timestamp, 1651244181104, 473.96, 186.64, 233.08, 2.36, -0.06, 3.08, tool_force, -1.92, -0.15, 7.36, actual_rep, 1, curr_step, 52, track_size, 99, robot_vel, 37.05, joints_pos, 16.23, 37.23, 5.31, -101.55, 2.39, 39.64, 63.26, tool_torque, -0.131, 0.756, -0.144, joint_torque, -0.67, 3.91, -0.08, -1.79, 0.03, 0.13, -0.01, robot_mode, normal, 
29/04/2022 15:58:03:810, robot_pos_w_timestamp, 1651244181255, 472.99, 192.44, 233.62, 2.36, -0.06, 3.08, tool_force, -1.46, -0.08, 7.6, actual_rep, 1, curr_step, 53, track_size, 99, robot_vel, 38.2, joints_pos, 16.9, 37.27, 5.3, -101.35, 2.34, 39.68, 64.15, tool_torque, -0.177, 0.566, -0.118, joint_torque, -0.25, 3.95, 0.12, -1.77, 0.07, 0.0, -0.02, robot_mode, normal, 
29/04/2022 15:58:03:969, robot_pos_w_timestamp, 1651244181405, 472.55, 198.2, 234.19, 2.35, -0.06, 3.08, tool_force, -1.53, -0.65, 7.65, actual_rep, 1, curr_step, 54, track_size, 99, robot_vel, 29.52, joints_pos, 17.55, 37.36, 5.28, -101.06, 2.3, 39.77, 65.17, tool_torque, -0.347, 0.605, -0.145, joint_torque, -0.4, 3.82, 0.07, -1.84, 0.07, -0.07, -0.03, robot_mode, normal, 
29/04/2022 15:58:04:140, robot_pos_w_timestamp, 1651244181557, 472.89, 204.02, 234.97, 2.35, -0.06, 3.07, tool_force, -1.91, -0.48, 7.15, actual_rep, 1, curr_step, 55, track_size, 99, robot_vel, 39.32, joints_pos, 18.24, 37.42, 5.22, -100.77, 1.99, 39.49, 66.21, tool_torque, -0.124, 0.89, -0.182, joint_torque, -0.62, 3.91, -0.02, -1.9, 0.08, 0.2, -0.06, robot_mode, normal, 
29/04/2022 15:58:04:255, robot_pos_w_timestamp, 1651244181708, 473.74, 209.82, 235.79, 2.34, -0.05, 3.07, tool_force, -1.81, -0.67, 7.62, actual_rep, 1, curr_step, 56, track_size, 99, robot_vel, 39.03, joints_pos, 18.88, 37.59, 5.18, -100.28, 1.86, 39.55, 67.28, tool_torque, -0.296, 0.76, -0.183, joint_torque, -0.54, 3.81, 0.05, -1.78, 0.08, -0.02, -0.07, robot_mode, normal, 
29/04/2022 15:58:04:421, robot_pos_w_timestamp, 1651244181858, 475.45, 215.62, 236.46, 2.34, -0.05, 3.07, tool_force, -1.25, -0.81, 7.25, actual_rep, 1, curr_step, 58, track_size, 99, robot_vel, 41.2, joints_pos, 19.43, 37.86, 5.17, -99.61, 1.73, 39.78, 68.29, tool_torque, -0.397, 0.755, -0.2, joint_torque, -0.56, 3.85, 0.02, -1.86, 0.09, -0.06, -0.09, robot_mode, normal, 
29/04/2022 15:58:04:554, robot_pos_w_timestamp, 1651244182010, 477.74, 221.43, 237.1, 2.33, -0.05, 3.06, tool_force, -1.73, -0.36, 7.28, actual_rep, 1, curr_step, 58, track_size, 99, robot_vel, 40.99, joints_pos, 20.04, 38.12, 5.12, -98.98, 1.26, 39.61, 69.56, tool_torque, -0.163, 0.82, -0.172, joint_torque, -0.53, 3.93, 0.04, -1.96, 0.1, 0.11, -0.06, robot_mode, normal, 
