30/03/2022 17:05:43: File Created!
30/03/2022 17:05:43:138, robot_pos_w_timestamp, 1648652658117, 612.88, 280.94, 203.69, 2.36, -0.03, 3.07, tool_force, 0.45, -0.54, -0.07, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 23.57, joints_pos, 36.47, 59.59, -22.94, -66.97, 27.91, 55.42, 53.75, tool_torque, -0.068, -0.276, 0.121, tool_momentum, -0.068, -0.277, 0.121, robot_mode, normal, 
30/03/2022 17:05:44:867, robot_pos_w_timestamp, 1648652659899, 620.27, 219.83, 196.92, 2.31, 0.0, 3.12, tool_force, 0.54, 0.23, 0.3, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 39.06, joints_pos, 32.67, 58.87, -23.57, -69.95, 25.32, 54.88, 52.73, tool_torque, 0.305, -0.264, 0.313, tool_momentum, 0.31, -0.27, 0.313, robot_mode, normal, 
30/03/2022 17:05:45:024, robot_pos_w_timestamp, 1648652660047, 620.14, 213.97, 197.04, 2.31, 0.0, 3.12, tool_force, 0.47, 0.94, 0.04, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 31.97, joints_pos, 32.33, 58.66, -23.58, -70.38, 24.94, 54.76, 52.71, tool_torque, 0.42, -0.159, 0.305, tool_momentum, 0.401, -0.123, 0.301, robot_mode, normal, 
30/03/2022 17:05:45:167, robot_pos_w_timestamp, 1648652660197, 619.71, 208.19, 196.74, 2.3, 0.01, 3.13, tool_force, 1.19, 0.08, 0.77, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 38.8, joints_pos, 31.99, 58.48, -23.58, -70.81, 24.54, 54.69, 52.74, tool_torque, 0.434, -0.231, 0.155, tool_momentum, 0.444, -0.237, 0.155, robot_mode, impedance, 
30/03/2022 17:05:45:320, robot_pos_w_timestamp, 1648652660345, 618.69, 203.54, 195.79, 2.3, 0.01, 3.14, tool_force, 1.47, 0.14, 2.34, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 31.39, joints_pos, 31.71, 58.37, -23.56, -71.21, 24.29, 54.73, 52.6, tool_torque, 0.53, -0.386, 0.24, tool_momentum, 0.533, -0.387, 0.24, robot_mode, impedance, 
30/03/2022 17:05:45:470, robot_pos_w_timestamp, 1648652660497, 619.36, 198.04, 195.62, 2.3, 0.01, 3.14, tool_force, -1.16, 2.74, 4.3, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 40.99, joints_pos, 31.29, 58.33, -23.59, -71.35, 24.2, 54.82, 52.35, tool_torque, 0.532, -0.337, 0.412, tool_momentum, 0.548, -0.347, 0.412, robot_mode, impedance, 
30/03/2022 17:05:45:625, robot_pos_w_timestamp, 1648652660648, 621.69, 191.51, 195.56, 2.29, 0.01, 3.14, tool_force, -4.58, 6.02, 5.73, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 48.0, joints_pos, 30.67, 58.39, -23.6, -71.23, 24.11, 54.93, 52.01, tool_torque, 0.546, -0.198, 0.678, tool_momentum, 0.533, -0.174, 0.678, robot_mode, impedance, 
30/03/2022 17:05:45:774, robot_pos_w_timestamp, 1648652660796, 625.52, 184.59, 195.24, 2.29, 0.01, -3.14, tool_force, -7.89, 8.71, 7.33, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 50.76, joints_pos, 29.92, 58.66, -23.6, -70.71, 24.05, 55.33, 51.56, tool_torque, 0.611, -0.222, 0.834, tool_momentum, 0.608, -0.212, 0.834, robot_mode, impedance, 
30/03/2022 17:05:45:926, robot_pos_w_timestamp, 1648652660950, 629.81, 180.19, 195.05, 2.29, 0.01, -3.14, tool_force, -11.15, 9.82, 7.78, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 36.12, joints_pos, 29.24, 59.03, -23.48, -69.92, 23.96, 55.8, 51.39, tool_torque, 0.711, -0.424, 1.086, tool_momentum, 0.729, -0.43, 1.089, robot_mode, impedance, 
30/03/2022 17:05:46:232, robot_pos_w_timestamp, 1648652661247, 636.75, 176.76, 194.39, 2.29, 0.0, -3.13, tool_force, -16.65, 7.45, 7.32, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 28.27, joints_pos, 28.54, 59.86, -23.52, -68.29, 23.78, 56.87, 51.49, tool_torque, 0.519, -0.2, 1.226, tool_momentum, 0.517, -0.197, 1.227, robot_mode, impedance, 
30/03/2022 17:05:46:382, robot_pos_w_timestamp, 1648652661398, 638.08, 172.96, 194.8, 2.29, 0.0, -3.13, tool_force, -16.97, 3.43, 4.87, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 28.46, joints_pos, 28.2, 59.91, -23.57, -68.15, 23.78, 57.14, 51.27, tool_torque, 0.472, -0.31, 1.413, tool_momentum, 0.469, -0.303, 1.412, robot_mode, impedance, 
30/03/2022 17:05:46:534, robot_pos_w_timestamp, 1648652661545, 636.49, 171.79, 195.68, 2.29, 0.0, -3.13, tool_force, -12.56, 0.55, 1.87, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 15.53, joints_pos, 28.06, 59.58, -23.36, -68.58, 23.79, 57.19, 50.9, tool_torque, 0.461, -0.387, 1.172, tool_momentum, 0.449, -0.384, 1.172, robot_mode, impedance, 
30/03/2022 17:05:46:688, robot_pos_w_timestamp, 1648652661699, 631.52, 174.05, 196.26, 2.29, -0.01, -3.13, tool_force, -7.82, -0.93, 1.16, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 39.48, joints_pos, 28.28, 58.98, -23.0, -69.6, 23.79, 56.77, 50.7, tool_torque, 0.595, 0.049, 0.702, tool_momentum, 0.582, 0.043, 0.702, robot_mode, impedance, 
30/03/2022 17:05:46:834, robot_pos_w_timestamp, 1648652661848, 626.23, 175.99, 196.44, 2.3, -0.01, -3.13, tool_force, -4.94, -2.0, 0.79, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 38.51, joints_pos, 28.71, 58.37, -22.89, -70.82, 23.68, 56.01, 50.68, tool_torque, 0.55, 0.12, 0.456, tool_momentum, 0.548, 0.123, 0.453, robot_mode, impedance, 
30/03/2022 17:05:46:993, robot_pos_w_timestamp, 1648652661999, 621.86, 177.67, 196.67, 2.3, 0.0, -3.13, tool_force, -3.18, -2.3, 1.0, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 29.68, joints_pos, 29.13, 57.88, -22.89, -71.81, 23.64, 55.4, 50.68, tool_torque, 0.536, 0.135, 0.268, tool_momentum, 0.548, 0.127, 0.268, robot_mode, impedance, 
30/03/2022 17:05:47:156, robot_pos_w_timestamp, 1648652662158, 618.75, 178.75, 196.58, 2.3, 0.0, -3.13, tool_force, -2.44, -2.46, 2.08, actual_rep, 1, curr_step, 11, track_size, 99, robot_vel, 15.72, joints_pos, 29.44, 57.56, -22.92, -72.5, 23.63, 54.95, 50.71, tool_torque, 0.504, 0.204, 0.119, tool_momentum, 0.501, 0.2, 0.118, robot_mode, impedance, 
30/03/2022 17:05:47:300, robot_pos_w_timestamp, 1648652662306, 616.96, 176.51, 196.94, 2.3, 0.0, -3.13, tool_force, -1.83, -2.41, 1.76, actual_rep, 1, curr_step, 11, track_size, 99, robot_vel, 29.34, joints_pos, 29.5, 57.33, -23.09, -72.99, 23.47, 54.89, 50.68, tool_torque, 0.353, 0.213, 0.112, tool_momentum, 0.348, 0.216, 0.113, robot_mode, impedance, 
30/03/2022 17:05:47:453, robot_pos_w_timestamp, 1648652662457, 614.73, 171.54, 197.72, 2.3, 0.0, -3.13, tool_force, -0.55, -1.46, 2.17, actual_rep, 1, curr_step, 12, track_size, 99, robot_vel, 35.53, joints_pos, 29.32, 56.95, -23.2, -73.68, 23.37, 54.89, 50.09, tool_torque, 0.589, -0.115, 0.241, tool_momentum, 0.578, -0.105, 0.237, robot_mode, impedance, 
30/03/2022 17:05:47:600, robot_pos_w_timestamp, 1648652662606, 612.73, 166.33, 198.33, 2.3, 0.0, -3.12, tool_force, -0.39, -1.21, 1.99, actual_rep, 1, curr_step, 12, track_size, 99, robot_vel, 35.74, joints_pos, 29.01, 56.54, -23.2, -74.42, 23.45, 54.71, 49.29, tool_torque, 0.712, -0.189, 0.263, tool_momentum, 0.707, -0.209, 0.263, robot_mode, impedance, 
30/03/2022 17:05:47:924, robot_pos_w_timestamp, 1648652662912, 609.03, 155.32, 200.07, 2.32, -0.02, -3.13, tool_force, -2.95, -0.56, 2.39, actual_rep, 1, curr_step, 14, track_size, 99, robot_vel, 35.57, joints_pos, 28.19, 55.71, -23.15, -75.81, 24.02, 54.52, 46.95, tool_torque, 0.743, -0.065, 0.341, tool_momentum, 0.743, -0.1, 0.344, robot_mode, normal, 
30/03/2022 17:05:48:067, robot_pos_w_timestamp, 1648652663066, 606.21, 149.32, 201.24, 2.32, -0.02, -3.13, tool_force, -1.43, -0.6, 1.75, actual_rep, 1, curr_step, 15, track_size, 99, robot_vel, 39.49, joints_pos, 27.88, 55.14, -23.19, -76.79, 24.13, 54.18, 45.79, tool_torque, 0.696, -0.11, 0.353, tool_momentum, 0.684, -0.119, 0.352, robot_mode, normal, 
30/03/2022 17:05:48:257, robot_pos_w_timestamp, 1648652663223, 603.56, 143.36, 202.14, 2.33, -0.02, -3.13, tool_force, -0.96, -0.83, 1.16, actual_rep, 1, curr_step, 15, track_size, 99, robot_vel, 41.53, joints_pos, 27.53, 54.55, -23.18, -77.83, 24.38, 53.55, 44.46, tool_torque, 0.692, -0.151, 0.312, tool_momentum, 0.724, -0.15, 0.312, robot_mode, normal, 
30/03/2022 17:05:48:446, robot_pos_w_timestamp, 1648652663371, 600.85, 137.58, 202.68, 2.34, -0.02, -3.14, tool_force, -0.93, -0.35, 1.26, actual_rep, 1, curr_step, 16, track_size, 99, robot_vel, 41.13, joints_pos, 27.24, 53.99, -23.2, -78.9, 24.49, 52.73, 43.54, tool_torque, 0.66, -0.069, 0.259, tool_momentum, 0.645, -0.06, 0.258, robot_mode, normal, 
30/03/2022 17:05:48:525, robot_pos_w_timestamp, 1648652663519, 597.32, 132.14, 203.37, 2.34, -0.01, 3.14, tool_force, -0.98, 0.64, 1.64, actual_rep, 1, curr_step, 17, track_size, 99, robot_vel, 41.45, joints_pos, 27.08, 53.34, -23.25, -80.15, 24.48, 51.78, 42.64, tool_torque, 0.759, -0.145, 0.344, tool_momentum, 0.735, -0.136, 0.341, robot_mode, normal, 
30/03/2022 17:05:48:759, robot_pos_w_timestamp, 1648652663673, 591.97, 125.98, 203.71, 2.35, -0.01, 3.13, tool_force, -1.35, 0.15, 1.51, actual_rep, 1, curr_step, 18, track_size, 99, robot_vel, 56.71, joints_pos, 26.81, 52.52, -23.22, -81.74, 24.78, 50.77, 41.4, tool_torque, 0.761, -0.147, 0.335, tool_momentum, 0.765, -0.148, 0.335, robot_mode, normal, 
30/03/2022 17:05:48:869, robot_pos_w_timestamp, 1648652663817, 585.97, 121.18, 204.21, 2.35, -0.02, 3.13, tool_force, -0.44, 0.84, 1.11, actual_rep, 1, curr_step, 20, track_size, 99, robot_vel, 49.51, joints_pos, 26.62, 51.76, -23.19, -83.21, 25.1, 50.26, 40.5, tool_torque, 0.92, -0.297, 0.324, tool_momentum, 0.91, -0.286, 0.324, robot_mode, normal, 
30/03/2022 17:05:49:033, robot_pos_w_timestamp, 1648652663971, 580.27, 116.27, 204.54, 2.35, -0.02, 3.13, tool_force, -1.01, 0.01, 1.39, actual_rep, 1, curr_step, 21, track_size, 99, robot_vel, 45.87, joints_pos, 26.4, 51.01, -23.18, -84.67, 25.65, 49.5, 39.45, tool_torque, 0.861, -0.144, 0.257, tool_momentum, 0.871, -0.147, 0.258, robot_mode, normal, 
30/03/2022 17:05:49:169, robot_pos_w_timestamp, 1648652664122, 574.1, 111.7, 205.24, 2.35, -0.02, 3.12, tool_force, -0.06, -0.51, 1.67, actual_rep, 1, curr_step, 22, track_size, 99, robot_vel, 52.89, joints_pos, 26.3, 50.21, -23.21, -86.18, 25.84, 48.77, 38.73, tool_torque, 0.808, -0.145, 0.195, tool_momentum, 0.804, -0.126, 0.191, robot_mode, normal, 
30/03/2022 17:05:49:304, robot_pos_w_timestamp, 1648652664275, 567.95, 107.8, 205.94, 2.35, -0.02, 3.12, tool_force, -0.24, 0.16, 2.52, actual_rep, 1, curr_step, 23, track_size, 99, robot_vel, 48.93, joints_pos, 26.27, 49.47, -23.26, -87.57, 25.85, 48.19, 38.25, tool_torque, 0.897, -0.087, 0.14, tool_momentum, 0.896, -0.089, 0.14, robot_mode, impedance, 
30/03/2022 17:05:49:472, robot_pos_w_timestamp, 1648652664421, 562.58, 103.64, 206.27, 2.35, -0.01, 3.13, tool_force, -0.02, -0.92, 5.09, actual_rep, 1, curr_step, 24, track_size, 99, robot_vel, 42.56, joints_pos, 26.33, 48.7, -23.31, -89.08, 25.35, 47.2, 38.05, tool_torque, 0.748, 0.24, -0.066, tool_momentum, 0.739, 0.251, -0.068, robot_mode, impedance, 
30/03/2022 17:05:49:661, robot_pos_w_timestamp, 1648652664576, 557.28, 101.95, 207.44, 2.35, -0.01, 3.12, tool_force, 0.27, -0.66, 5.1, actual_rep, 1, curr_step, 25, track_size, 99, robot_vel, 35.53, joints_pos, 26.32, 48.04, -23.21, -90.15, 25.4, 46.45, 37.77, tool_torque, 1.06, -0.05, 0.051, tool_momentum, 1.092, -0.05, 0.05, robot_mode, impedance, 
30/03/2022 17:05:49:743, robot_pos_w_timestamp, 1648652664724, 551.68, 100.23, 208.66, 2.35, -0.01, 3.12, tool_force, 0.06, -1.24, 5.33, actual_rep, 1, curr_step, 26, track_size, 99, robot_vel, 44.67, joints_pos, 26.32, 47.34, -23.16, -91.28, 25.61, 46.2, 37.36, tool_torque, 1.065, -0.051, 0.069, tool_momentum, 1.074, -0.049, 0.069, robot_mode, impedance, 
30/03/2022 17:05:49:981, robot_pos_w_timestamp, 1648652664876, 547.0, 99.28, 209.79, 2.35, -0.02, 3.12, tool_force, 0.64, -1.12, 6.15, actual_rep, 1, curr_step, 27, track_size, 99, robot_vel, 29.62, joints_pos, 26.34, 46.77, -23.12, -92.16, 25.84, 46.03, 36.95, tool_torque, 1.148, 0.0010, -0.013, tool_momentum, 1.15, 0.0080, -0.016, robot_mode, impedance, 
30/03/2022 17:05:50:083, robot_pos_w_timestamp, 1648652665025, 544.06, 99.51, 209.92, 2.35, -0.02, 3.12, tool_force, -0.36, -0.18, 8.28, actual_rep, 1, curr_step, 27, track_size, 99, robot_vel, 29.32, joints_pos, 26.41, 46.5, -23.04, -92.66, 25.85, 45.95, 36.88, tool_torque, 1.2, 0.136, -0.065, tool_momentum, 1.204, 0.131, -0.065, robot_mode, impedance, 
30/03/2022 17:05:50:201, robot_pos_w_timestamp, 1648652665174, 541.29, 99.67, 210.36, 2.35, -0.02, 3.12, tool_force, 0.87, -0.94, 7.74, actual_rep, 1, curr_step, 27, track_size, 99, robot_vel, 14.2, joints_pos, 26.57, 46.18, -23.05, -93.21, 25.79, 45.65, 36.88, tool_torque, 1.11, 0.225, -0.166, tool_momentum, 1.113, 0.231, -0.167, robot_mode, impedance, 
30/03/2022 17:05:50:345, robot_pos_w_timestamp, 1648652665324, 540.29, 100.94, 209.92, 2.35, -0.02, 3.12, tool_force, 2.1, -0.06, 9.65, actual_rep, 1, curr_step, 27, track_size, 99, robot_vel, 12.55, joints_pos, 26.66, 46.15, -22.95, -93.32, 25.75, 45.59, 36.88, tool_torque, 1.252, 0.235, -0.285, tool_momentum, 1.248, 0.234, -0.285, robot_mode, impedance, 
30/03/2022 17:05:50:548, robot_pos_w_timestamp, 1648652665477, 539.77, 102.66, 209.5, 2.36, -0.02, 3.12, tool_force, 5.04, 0.27, 9.79, actual_rep, 1, curr_step, 27, track_size, 99, robot_vel, 14.03, joints_pos, 26.77, 46.17, -22.85, -93.34, 25.75, 45.59, 36.88, tool_torque, 1.228, 0.164, -0.452, tool_momentum, 1.233, 0.168, -0.456, robot_mode, impedance, 
30/03/2022 17:05:50:643, robot_pos_w_timestamp, 1648652665621, 539.17, 105.36, 209.23, 2.36, -0.02, 3.12, tool_force, 6.81, 0.77, 9.87, actual_rep, 1, curr_step, 27, track_size, 99, robot_vel, 19.55, joints_pos, 26.97, 46.17, -22.75, -93.35, 25.77, 45.56, 37.14, tool_torque, 1.112, 0.302, -0.689, tool_momentum, 1.103, 0.312, -0.691, robot_mode, impedance, 
30/03/2022 17:05:50:887, robot_pos_w_timestamp, 1648652665775, 538.35, 106.33, 209.7, 2.36, -0.02, 3.12, tool_force, 7.14, -1.74, 7.53, actual_rep, 1, curr_step, 27, track_size, 99, robot_vel, 9.19, joints_pos, 27.2, 46.08, -22.88, -93.48, 25.77, 45.56, 37.21, tool_torque, 0.731, 0.478, -0.838, tool_momentum, 0.728, 0.479, -0.838, robot_mode, impedance, 
30/03/2022 17:05:50:986, robot_pos_w_timestamp, 1648652665919, 538.12, 104.4, 211.82, 2.35, -0.02, 3.12, tool_force, 4.0, -2.09, 2.43, actual_rep, 1, curr_step, 27, track_size, 99, robot_vel, 26.86, joints_pos, 27.22, 45.77, -23.09, -93.72, 25.77, 45.36, 37.21, tool_torque, 0.462, 0.399, -0.54, tool_momentum, 0.462, 0.398, -0.538, robot_mode, impedance, 
30/03/2022 17:05:51:098, robot_pos_w_timestamp, 1648652666068, 538.49, 102.05, 213.34, 2.35, -0.02, 3.12, tool_force, 2.87, -2.2, 0.35, actual_rep, 1, curr_step, 28, track_size, 99, robot_vel, 14.52, joints_pos, 27.04, 45.59, -23.17, -93.79, 25.77, 45.35, 37.05, tool_torque, 0.405, 0.036, -0.263, tool_momentum, 0.407, 0.033, -0.263, robot_mode, impedance, 
30/03/2022 17:05:51:291, robot_pos_w_timestamp, 1648652666217, 536.16, 101.57, 214.18, 2.35, -0.03, 3.12, tool_force, 1.9, -2.34, 0.84, actual_rep, 1, curr_step, 31, track_size, 99, robot_vel, 24.08, joints_pos, 26.93, 45.3, -23.08, -94.15, 25.96, 45.67, 36.89, tool_torque, 0.435, -0.249, -0.055, tool_momentum, 0.437, -0.253, -0.052, robot_mode, impedance, 
30/03/2022 17:05:51:399, robot_pos_w_timestamp, 1648652666365, 531.56, 102.7, 216.71, 2.35, -0.03, 3.11, tool_force, 1.73, -0.77, 2.63, actual_rep, 1, curr_step, 33, track_size, 99, robot_vel, 39.96, joints_pos, 27.01, 44.55, -22.92, -95.04, 26.49, 45.49, 36.49, tool_torque, 0.934, -0.184, 0.098, tool_momentum, 0.94, -0.177, 0.098, robot_mode, normal, 
30/03/2022 17:05:51:548, robot_pos_w_timestamp, 1648652666518, 525.68, 106.69, 217.9, 2.35, -0.04, 3.11, tool_force, 0.44, 1.98, 9.47, actual_rep, 1, curr_step, 36, track_size, 99, robot_vel, 48.38, joints_pos, 27.38, 43.89, -22.63, -95.96, 26.62, 45.28, 36.48, tool_torque, 1.271, 0.199, 0.055, tool_momentum, 1.268, 0.183, 0.057, robot_mode, normal, 
30/03/2022 17:05:51:702, robot_pos_w_timestamp, 1648652666667, 520.43, 111.68, 219.09, 2.36, -0.05, 3.11, tool_force, 0.22, 1.35, 10.12, actual_rep, 1, curr_step, 37, track_size, 99, robot_vel, 48.27, joints_pos, 27.96, 43.37, -22.52, -96.7, 26.67, 45.23, 36.62, tool_torque, 1.216, 0.186, 0.053, tool_momentum, 1.206, 0.191, 0.052, robot_mode, normal, 
30/03/2022 17:05:51:852, robot_pos_w_timestamp, 1648652666818, 514.52, 115.82, 220.99, 2.36, -0.05, 3.11, tool_force, 0.15, -1.53, 9.01, actual_rep, 1, curr_step, 37, track_size, 99, robot_vel, 53.85, joints_pos, 28.56, 42.72, -22.53, -97.56, 26.94, 45.27, 36.52, tool_torque, 1.064, 0.078, 0.054, tool_momentum, 1.053, 0.076, 0.051, robot_mode, normal, 
30/03/2022 17:05:52:003, robot_pos_w_timestamp, 1648652666966, 508.3, 120.31, 222.91, 2.37, -0.06, 3.1, tool_force, -0.21, -1.36, 11.05, actual_rep, 1, curr_step, 37, track_size, 99, robot_vel, 59.19, joints_pos, 29.21, 42.03, -22.51, -98.47, 27.17, 45.15, 36.49, tool_torque, 1.437, 0.212, 0.102, tool_momentum, 1.44, 0.21, 0.101, robot_mode, normal, 
30/03/2022 17:05:52:157, robot_pos_w_timestamp, 1648652667117, 507.75, 120.4, 222.26, 2.37, -0.06, 3.11, tool_force, 0.57, -0.98, 15.1, actual_rep, 1, curr_step, 37, track_size, 99, robot_vel, 11.78, joints_pos, 29.38, 42.12, -22.69, -98.52, 27.27, 45.14, 36.43, tool_torque, 1.562, 0.08, 0.079, tool_momentum, 1.545, 0.054, 0.081, robot_mode, normal, 
30/03/2022 17:05:52:305, robot_pos_w_timestamp, 1648652667265, 508.38, 120.85, 221.01, 2.37, -0.06, 3.11, tool_force, 3.09, -1.56, 15.5, actual_rep, 1, curr_step, 37, track_size, 99, robot_vel, 3.71, joints_pos, 29.38, 42.34, -22.68, -98.37, 27.37, 45.18, 36.37, tool_torque, 1.675, -0.221, -0.047, tool_momentum, 1.678, -0.221, -0.047, robot_mode, normal, 
30/03/2022 17:05:52:501, robot_pos_w_timestamp, 1648652667414, 508.22, 120.92, 220.82, 2.37, -0.06, 3.11, tool_force, 2.59, -1.37, 16.49, actual_rep, 1, curr_step, 37, track_size, 99, robot_vel, 1.38, joints_pos, 29.38, 42.35, -22.66, -98.39, 27.37, 45.15, 36.36, tool_torque, 1.824, -0.011, -0.12, tool_momentum, 1.838, -0.01, -0.12, robot_mode, normal, 
30/03/2022 17:05:52:606, robot_pos_w_timestamp, 1648652667562, 508.19, 120.85, 220.76, 2.37, -0.06, 3.11, tool_force, 1.84, -0.91, 16.57, actual_rep, 1, curr_step, 37, track_size, 99, robot_vel, 0.82, joints_pos, 29.38, 42.35, -22.66, -98.4, 27.37, 45.14, 36.35, tool_torque, 1.909, 0.031, -0.106, tool_momentum, 1.909, 0.028, -0.106, robot_mode, normal, 
30/03/2022 17:05:52:760, robot_pos_w_timestamp, 1648652667712, 508.25, 120.67, 220.78, 2.37, -0.06, 3.11, tool_force, 1.36, -0.89, 16.24, actual_rep, 1, curr_step, 37, track_size, 99, robot_vel, 1.57, joints_pos, 29.37, 42.35, -22.68, -98.4, 27.39, 45.14, 36.35, tool_torque, 1.92, -0.011, 0.0030, tool_momentum, 1.919, -0.011, 0.0030, robot_mode, normal, 
30/03/2022 17:05:52:910, robot_pos_w_timestamp, 1648652667865, 508.27, 120.6, 220.79, 2.37, -0.06, 3.11, tool_force, 1.19, -0.87, 16.0, actual_rep, 1, curr_step, 37, track_size, 99, robot_vel, 0.78, joints_pos, 29.37, 42.35, -22.69, -98.4, 27.39, 45.14, 36.34, tool_torque, 1.922, -0.018, 0.025, tool_momentum, 1.921, -0.016, 0.025, robot_mode, normal, 
