29/04/2022 15:42:20: File Created!
29/04/2022 15:42:20:937, robot_pos_w_timestamp, 1651243237381, 612.87, 280.93, 203.71, 2.36, -0.03, 3.07, tool_force, -1.02, 0.08, 7.26, actual_rep, 2, curr_step, 1, track_size, 99, robot_vel, 29.47, joints_pos, 21.94, 57.49, 3.83, -66.97, -0.18, 52.4, 68.86, tool_torque, -0.174, 0.331, 0.085, robot_mode, normal, 
29/04/2022 15:42:22:539, robot_pos_w_timestamp, 1651243239002, 620.03, 226.09, 197.74, 2.32, 0.0, 3.11, tool_force, -0.03, 1.99, 7.6, actual_rep, 2, curr_step, 7, track_size, 99, robot_vel, 41.39, joints_pos, 17.84, 56.65, 3.54, -69.66, -2.92, 52.26, 68.77, tool_torque, 0.302, -0.168, 0.438, robot_mode, normal, 
29/04/2022 15:42:22:684, robot_pos_w_timestamp, 1651243239153, 620.06, 220.31, 197.54, 2.31, 0.0, 3.12, tool_force, 0.65, 1.69, 7.62, actual_rep, 2, curr_step, 8, track_size, 99, robot_vel, 38.21, joints_pos, 17.41, 56.5, 3.54, -70.0, -3.08, 52.31, 68.71, tool_torque, 0.269, -0.17, 0.408, robot_mode, normal, 
29/04/2022 15:42:22:832, robot_pos_w_timestamp, 1651243239303, 619.81, 214.38, 197.41, 2.31, 0.0, 3.12, tool_force, -0.16, 0.92, 8.01, actual_rep, 2, curr_step, 8, track_size, 99, robot_vel, 39.15, joints_pos, 16.99, 56.3, 3.52, -70.43, -3.41, 52.29, 68.75, tool_torque, 0.337, -0.013, 0.259, robot_mode, normal, 
29/04/2022 15:42:22:986, robot_pos_w_timestamp, 1651243239454, 619.52, 208.64, 197.43, 2.3, 0.01, 3.13, tool_force, 0.97, 1.0, 7.62, actual_rep, 2, curr_step, 9, track_size, 99, robot_vel, 39.49, joints_pos, 16.58, 56.08, 3.49, -70.86, -3.74, 52.28, 68.82, tool_torque, 0.398, 0.0090, 0.173, robot_mode, normal, 
29/04/2022 15:42:23:133, robot_pos_w_timestamp, 1651243239603, 618.85, 203.01, 197.48, 2.3, 0.01, 3.13, tool_force, 1.88, 1.09, 8.09, actual_rep, 2, curr_step, 9, track_size, 99, robot_vel, 40.72, joints_pos, 16.09, 55.87, 3.57, -71.28, -3.81, 52.38, 68.55, tool_torque, 0.404, -0.193, 0.387, robot_mode, normal, 
29/04/2022 15:42:23:284, robot_pos_w_timestamp, 1651243239754, 618.51, 196.97, 197.23, 2.3, 0.0, 3.14, tool_force, 0.53, 1.82, 10.86, actual_rep, 2, curr_step, 10, track_size, 99, robot_vel, 36.56, joints_pos, 15.55, 55.71, 3.61, -71.65, -3.81, 52.48, 68.1, tool_torque, 0.443, -0.32, 0.449, robot_mode, normal, 
29/04/2022 15:42:23:439, robot_pos_w_timestamp, 1651243239904, 617.74, 191.24, 196.6, 2.3, 0.0, -3.14, tool_force, 0.13, 2.3, 16.27, actual_rep, 2, curr_step, 10, track_size, 99, robot_vel, 39.73, joints_pos, 15.1, 55.55, 3.6, -72.11, -3.88, 52.44, 67.75, tool_torque, 0.962, -0.181, 0.464, robot_mode, normal, 
29/04/2022 15:42:23:586, robot_pos_w_timestamp, 1651243240055, 616.98, 185.47, 195.83, 2.3, 0.0, -3.14, tool_force, 0.11, 2.52, 20.94, actual_rep, 2, curr_step, 11, track_size, 99, robot_vel, 37.24, joints_pos, 14.63, 55.4, 3.59, -72.55, -3.93, 52.41, 67.36, tool_torque, 1.396, -0.124, 0.45, robot_mode, normal, 
29/04/2022 15:42:23:750, robot_pos_w_timestamp, 1651243240217, 615.75, 179.26, 195.95, 2.3, 0.0, -3.13, tool_force, -0.13, 3.03, 22.45, actual_rep, 2, curr_step, 11, track_size, 99, robot_vel, 38.46, joints_pos, 14.15, 55.1, 3.56, -73.12, -4.07, 52.42, 66.98, tool_torque, 1.423, -0.086, 0.394, robot_mode, normal, 
29/04/2022 15:42:23:893, robot_pos_w_timestamp, 1651243240354, 614.52, 174.0, 196.26, 2.3, 0.0, -3.13, tool_force, -0.35, 3.16, 22.95, actual_rep, 2, curr_step, 12, track_size, 99, robot_vel, 37.95, joints_pos, 13.71, 54.82, 3.57, -73.65, -4.18, 52.46, 66.6, tool_torque, 1.379, -0.099, 0.397, robot_mode, normal, 
29/04/2022 15:42:24:038, robot_pos_w_timestamp, 1651243240503, 612.92, 168.22, 196.93, 2.3, 0.0, -3.13, tool_force, -1.01, 3.39, 22.86, actual_rep, 2, curr_step, 12, track_size, 99, robot_vel, 41.81, joints_pos, 13.16, 54.45, 3.67, -74.29, -4.04, 52.32, 65.81, tool_torque, 1.65, -0.28, 0.476, robot_mode, normal, 
29/04/2022 15:42:24:189, robot_pos_w_timestamp, 1651243240653, 610.94, 162.37, 197.57, 2.31, -0.01, -3.12, tool_force, -1.35, 3.56, 22.61, actual_rep, 2, curr_step, 13, track_size, 99, robot_vel, 41.89, joints_pos, 12.59, 54.05, 3.74, -74.99, -3.81, 52.2, 64.87, tool_torque, 1.669, -0.272, 0.481, robot_mode, normal, 
29/04/2022 15:42:24:338, robot_pos_w_timestamp, 1651243240803, 608.76, 156.57, 198.42, 2.32, -0.02, -3.12, tool_force, -2.08, 3.8, 22.7, actual_rep, 2, curr_step, 13, track_size, 99, robot_vel, 41.5, joints_pos, 12.04, 53.6, 3.76, -75.77, -3.42, 52.03, 63.76, tool_torque, 1.625, -0.342, 0.529, robot_mode, normal, 
29/04/2022 15:42:24:488, robot_pos_w_timestamp, 1651243240953, 606.67, 150.72, 199.19, 2.32, -0.02, -3.12, tool_force, -2.47, 3.54, 22.7, actual_rep, 2, curr_step, 14, track_size, 99, robot_vel, 41.06, joints_pos, 11.54, 53.16, 3.74, -76.52, -3.26, 51.79, 62.77, tool_torque, 1.605, -0.235, 0.486, robot_mode, normal, 
29/04/2022 15:42:24:642, robot_pos_w_timestamp, 1651243241103, 604.47, 145.04, 200.06, 2.33, -0.02, -3.13, tool_force, -2.14, 3.85, 22.55, actual_rep, 2, curr_step, 15, track_size, 99, robot_vel, 43.05, joints_pos, 11.05, 52.66, 3.73, -77.37, -3.17, 51.37, 61.8, tool_torque, 1.746, -0.391, 0.527, robot_mode, normal, 
29/04/2022 15:42:24:791, robot_pos_w_timestamp, 1651243241254, 601.95, 139.33, 200.7, 2.34, -0.02, -3.13, tool_force, -3.21, 3.19, 22.17, actual_rep, 2, curr_step, 16, track_size, 99, robot_vel, 41.59, joints_pos, 10.52, 52.09, 3.73, -78.41, -2.88, 50.5, 60.71, tool_torque, 1.61, -0.25, 0.489, robot_mode, normal, 
29/04/2022 15:42:24:940, robot_pos_w_timestamp, 1651243241406, 598.77, 133.65, 201.19, 2.34, -0.01, -3.14, tool_force, -2.11, 3.19, 22.96, actual_rep, 2, curr_step, 17, track_size, 99, robot_vel, 47.62, joints_pos, 10.19, 51.46, 3.58, -79.6, -3.15, 49.58, 60.49, tool_torque, 1.707, -0.153, 0.381, robot_mode, normal, 
29/04/2022 15:42:25:093, robot_pos_w_timestamp, 1651243241556, 594.41, 128.38, 201.52, 2.35, -0.01, 3.14, tool_force, -2.78, 3.54, 23.82, actual_rep, 2, curr_step, 18, track_size, 99, robot_vel, 45.01, joints_pos, 9.72, 50.69, 3.62, -81.09, -3.03, 48.3, 59.51, tool_torque, 1.807, -0.472, 0.554, robot_mode, normal, 
29/04/2022 15:42:25:243, robot_pos_w_timestamp, 1651243241707, 589.66, 123.41, 201.95, 2.35, -0.01, 3.14, tool_force, -4.6, 3.25, 22.43, actual_rep, 2, curr_step, 19, track_size, 99, robot_vel, 44.66, joints_pos, 9.26, 50.05, 3.68, -82.32, -2.97, 47.71, 59.08, tool_torque, 1.536, -0.404, 0.536, robot_mode, normal, 
29/04/2022 15:42:25:398, robot_pos_w_timestamp, 1651243241856, 584.37, 118.79, 202.3, 2.35, -0.02, 3.14, tool_force, -5.65, 4.21, 22.61, actual_rep, 2, curr_step, 20, track_size, 99, robot_vel, 44.06, joints_pos, 8.79, 49.41, 3.73, -83.54, -2.47, 47.35, 58.38, tool_torque, 1.724, -0.858, 0.696, robot_mode, normal, 
29/04/2022 15:42:25:551, robot_pos_w_timestamp, 1651243242011, 579.04, 114.32, 202.62, 2.35, -0.02, 3.13, tool_force, -5.19, 4.69, 23.41, actual_rep, 2, curr_step, 20, track_size, 99, robot_vel, 47.92, joints_pos, 8.34, 48.64, 3.75, -85.06, -2.02, 46.13, 57.69, tool_torque, 1.884, -0.9, 0.676, robot_mode, normal, 
29/04/2022 15:42:25:697, robot_pos_w_timestamp, 1651243242157, 576.71, 112.8, 203.35, 2.35, -0.02, 3.13, tool_force, -4.4, 5.79, 22.93, actual_rep, 2, curr_step, 21, track_size, 99, robot_vel, 18.1, joints_pos, 8.23, 48.34, 3.74, -85.54, -1.96, 46.07, 57.55, tool_torque, 1.503, -0.922, 0.602, robot_mode, normal, 
29/04/2022 15:42:25:847, robot_pos_w_timestamp, 1651243242308, 572.83, 109.83, 204.15, 2.35, -0.02, 3.12, tool_force, -5.3, 1.65, 21.75, actual_rep, 2, curr_step, 22, track_size, 99, robot_vel, 27.72, joints_pos, 8.05, 47.77, 3.66, -86.51, -1.88, 45.49, 57.29, tool_torque, 1.483, -0.669, 0.558, robot_mode, normal, 
29/04/2022 15:42:25:999, robot_pos_w_timestamp, 1651243242459, 569.54, 107.39, 204.33, 2.35, -0.02, 3.13, tool_force, -6.61, 5.95, 22.94, actual_rep, 2, curr_step, 22, track_size, 99, robot_vel, 28.75, joints_pos, 7.89, 47.38, 3.62, -87.27, -1.87, 45.22, 57.13, tool_torque, 1.489, -0.796, 0.627, robot_mode, normal, 
29/04/2022 15:42:26:155, robot_pos_w_timestamp, 1651243242609, 566.91, 105.55, 205.63, 2.35, -0.02, 3.13, tool_force, -5.3, 5.18, 22.58, actual_rep, 2, curr_step, 23, track_size, 99, robot_vel, 17.34, joints_pos, 7.79, 46.95, 3.58, -87.9, -1.97, 44.96, 57.04, tool_torque, 1.648, -0.539, 0.497, robot_mode, normal, 
29/04/2022 15:42:26:299, robot_pos_w_timestamp, 1651243242759, 562.87, 103.56, 206.41, 2.35, -0.01, 3.12, tool_force, -6.07, 3.11, 21.62, actual_rep, 2, curr_step, 24, track_size, 99, robot_vel, 36.07, joints_pos, 7.77, 46.34, 3.5, -88.94, -2.34, 44.17, 57.27, tool_torque, 1.301, -0.534, 0.299, robot_mode, normal, 
29/04/2022 15:42:26:449, robot_pos_w_timestamp, 1651243242908, 560.02, 102.1, 206.8, 2.35, -0.01, 3.12, tool_force, -7.2, 6.08, 22.53, actual_rep, 2, curr_step, 24, track_size, 99, robot_vel, 26.04, joints_pos, 7.56, 45.93, 3.56, -89.73, -2.04, 43.52, 56.96, tool_torque, 1.535, -0.786, 0.607, robot_mode, normal, 
29/04/2022 15:42:26:618, robot_pos_w_timestamp, 1651243243076, 556.67, 100.87, 208.24, 2.35, -0.01, 3.12, tool_force, -7.0, 5.77, 23.21, actual_rep, 2, curr_step, 26, track_size, 99, robot_vel, 14.27, joints_pos, 7.4, 45.43, 3.65, -90.45, -1.96, 43.24, 56.83, tool_torque, 1.424, -0.95, 0.618, robot_mode, normal, 
29/04/2022 15:42:26:781, robot_pos_w_timestamp, 1651243243216, 551.8, 99.68, 209.43, 2.35, -0.01, 3.12, tool_force, -8.21, 6.07, 21.84, actual_rep, 2, curr_step, 26, track_size, 99, robot_vel, 39.76, joints_pos, 7.26, 44.84, 3.69, -91.38, -1.59, 43.06, 56.54, tool_torque, 1.594, -1.408, 0.869, robot_mode, normal, 
29/04/2022 15:42:26:901, robot_pos_w_timestamp, 1651243243358, 548.96, 99.03, 210.71, 2.35, -0.02, 3.11, tool_force, -6.31, 3.27, 20.97, actual_rep, 2, curr_step, 27, track_size, 99, robot_vel, 11.62, joints_pos, 7.19, 44.44, 3.7, -91.93, -1.3, 42.95, 56.26, tool_torque, 1.375, -0.969, 0.655, robot_mode, normal, 
29/04/2022 15:42:27:052, robot_pos_w_timestamp, 1651243243508, 544.2, 99.21, 211.72, 2.35, -0.02, 3.11, tool_force, -7.26, 3.77, 18.4, actual_rep, 2, curr_step, 28, track_size, 99, robot_vel, 41.41, joints_pos, 7.2, 43.88, 3.78, -92.84, -1.26, 42.7, 56.29, tool_torque, 1.084, -0.35, 0.442, robot_mode, normal, 
29/04/2022 15:42:27:201, robot_pos_w_timestamp, 1651243243658, 539.01, 100.29, 214.42, 2.35, -0.03, 3.11, tool_force, -3.22, 3.02, 12.88, actual_rep, 2, curr_step, 31, track_size, 99, robot_vel, 41.63, joints_pos, 7.18, 43.16, 3.93, -93.74, -0.81, 42.67, 56.12, tool_torque, 0.745, -0.598, 0.554, robot_mode, normal, 
29/04/2022 15:42:27:351, robot_pos_w_timestamp, 1651243243808, 533.19, 102.31, 217.14, 2.35, -0.03, 3.11, tool_force, -3.4, 2.19, 10.94, actual_rep, 2, curr_step, 33, track_size, 99, robot_vel, 45.67, joints_pos, 7.21, 42.36, 4.17, -94.79, -0.32, 42.43, 55.99, tool_torque, 0.776, -0.404, 0.548, robot_mode, normal, 
29/04/2022 15:42:27:502, robot_pos_w_timestamp, 1651243243958, 527.45, 105.53, 219.75, 2.35, -0.04, 3.11, tool_force, -5.04, 2.84, 10.97, actual_rep, 2, curr_step, 36, track_size, 99, robot_vel, 46.87, joints_pos, 7.31, 41.63, 4.46, -95.72, 0.11, 42.29, 55.83, tool_torque, 0.595, -0.334, 0.546, robot_mode, normal, 
29/04/2022 15:42:27:651, robot_pos_w_timestamp, 1651243244110, 521.67, 110.04, 221.96, 2.36, -0.05, 3.1, tool_force, -5.65, 2.08, 9.98, actual_rep, 2, curr_step, 37, track_size, 99, robot_vel, 50.09, joints_pos, 7.65, 40.96, 4.66, -96.6, 0.45, 42.19, 55.82, tool_torque, 0.425, -0.237, 0.511, robot_mode, normal, 
29/04/2022 15:42:27:803, robot_pos_w_timestamp, 1651243244258, 516.06, 114.63, 223.97, 2.36, -0.05, 3.1, tool_force, -6.18, 2.49, 9.54, actual_rep, 2, curr_step, 37, track_size, 99, robot_vel, 50.4, joints_pos, 8.07, 40.34, 4.77, -97.41, 0.93, 42.15, 55.71, tool_torque, 0.403, -0.249, 0.574, robot_mode, normal, 
29/04/2022 15:42:28:003, robot_pos_w_timestamp, 1651243244411, 509.89, 119.71, 225.98, 2.37, -0.06, 3.1, tool_force, -4.21, 1.08, 7.84, actual_rep, 2, curr_step, 38, track_size, 99, robot_vel, 52.22, joints_pos, 8.57, 39.68, 4.86, -98.27, 1.52, 42.07, 55.6, tool_torque, 0.315, 0.054, 0.392, robot_mode, normal, 
29/04/2022 15:42:28:108, robot_pos_w_timestamp, 1651243244558, 504.09, 125.37, 226.73, 2.37, -0.06, 3.1, tool_force, -3.87, 1.42, 7.87, actual_rep, 2, curr_step, 40, track_size, 99, robot_vel, 55.53, joints_pos, 9.23, 39.22, 4.87, -99.04, 1.92, 41.9, 55.59, tool_torque, 0.191, -0.0080, 0.334, robot_mode, normal, 
29/04/2022 15:42:28:253, robot_pos_w_timestamp, 1651243244709, 499.34, 131.0, 227.24, 2.38, -0.06, 3.1, tool_force, -3.67, 1.48, 7.51, actual_rep, 2, curr_step, 41, track_size, 99, robot_vel, 42.96, joints_pos, 9.98, 38.85, 4.79, -99.65, 2.15, 41.59, 55.85, tool_torque, 0.092, 0.441, 0.086, robot_mode, normal, 
29/04/2022 15:42:28:410, robot_pos_w_timestamp, 1651243244860, 494.68, 137.16, 227.96, 2.38, -0.06, 3.1, tool_force, -2.91, 1.17, 7.02, actual_rep, 2, curr_step, 42, track_size, 99, robot_vel, 52.92, joints_pos, 10.89, 38.42, 4.66, -100.3, 2.14, 41.05, 56.67, tool_torque, 0.132, 0.518, -0.021, robot_mode, normal, 
29/04/2022 15:42:28:558, robot_pos_w_timestamp, 1651243245010, 490.66, 142.79, 228.61, 2.37, -0.06, 3.09, tool_force, -2.72, 0.67, 6.95, actual_rep, 2, curr_step, 44, track_size, 99, robot_vel, 52.5, joints_pos, 11.53, 38.07, 4.65, -100.84, 2.57, 40.57, 57.3, tool_torque, 0.07, 0.725, -0.113, robot_mode, normal, 
29/04/2022 15:42:28:707, robot_pos_w_timestamp, 1651243245161, 487.29, 148.78, 229.18, 2.37, -0.06, 3.09, tool_force, -2.54, 1.01, 7.56, actual_rep, 2, curr_step, 45, track_size, 99, robot_vel, 46.99, joints_pos, 12.28, 37.84, 4.65, -101.16, 2.61, 40.39, 58.15, tool_torque, 0.095, 0.754, -0.135, robot_mode, normal, 
29/04/2022 15:42:28:861, robot_pos_w_timestamp, 1651243245309, 484.67, 154.5, 229.89, 2.37, -0.06, 3.09, tool_force, -1.92, 0.96, 7.41, actual_rep, 2, curr_step, 46, track_size, 99, robot_vel, 40.91, joints_pos, 12.98, 37.66, 4.64, -101.36, 2.68, 40.22, 58.86, tool_torque, 0.112, 0.734, -0.13, robot_mode, normal, 
29/04/2022 15:42:29:008, robot_pos_w_timestamp, 1651243245457, 482.23, 160.29, 230.62, 2.37, -0.06, 3.08, tool_force, -2.08, 1.08, 7.11, actual_rep, 2, curr_step, 47, track_size, 99, robot_vel, 39.49, joints_pos, 13.63, 37.46, 4.64, -101.6, 2.99, 39.85, 59.29, tool_torque, 0.137, 0.658, -0.11, robot_mode, normal, 
29/04/2022 15:42:29:163, robot_pos_w_timestamp, 1651243245607, 480.16, 166.07, 231.29, 2.37, -0.06, 3.08, tool_force, -1.91, 1.08, 7.28, actual_rep, 2, curr_step, 48, track_size, 99, robot_vel, 40.36, joints_pos, 14.32, 37.34, 4.64, -101.67, 3.04, 39.75, 59.95, tool_torque, 0.142, 0.658, -0.112, robot_mode, normal, 
29/04/2022 15:42:29:314, robot_pos_w_timestamp, 1651243245756, 478.2, 171.86, 231.88, 2.37, -0.06, 3.08, tool_force, -2.64, 0.7, 7.2, actual_rep, 2, curr_step, 49, track_size, 99, robot_vel, 39.15, joints_pos, 15.01, 37.27, 4.63, -101.69, 3.06, 39.71, 60.65, tool_torque, 0.11, 0.709, -0.127, robot_mode, normal, 
29/04/2022 15:42:29:464, robot_pos_w_timestamp, 1651243245904, 476.3, 177.62, 232.3, 2.37, -0.06, 3.08, tool_force, -1.79, 0.58, 7.32, actual_rep, 2, curr_step, 50, track_size, 99, robot_vel, 35.99, joints_pos, 15.71, 37.22, 4.63, -101.68, 3.08, 39.67, 61.31, tool_torque, 0.02, 0.73, -0.142, robot_mode, normal, 
29/04/2022 15:42:29:612, robot_pos_w_timestamp, 1651243246052, 474.71, 183.37, 232.8, 2.37, -0.06, 3.08, tool_force, -2.05, -0.01, 7.24, actual_rep, 2, curr_step, 51, track_size, 99, robot_vel, 37.53, joints_pos, 16.39, 37.2, 4.6, -101.62, 3.08, 39.66, 62.19, tool_torque, -0.043, 0.699, -0.138, robot_mode, normal, 
29/04/2022 15:42:29:765, robot_pos_w_timestamp, 1651243246201, 473.49, 189.11, 233.34, 2.36, -0.06, 3.08, tool_force, -1.37, 0.05, 7.19, actual_rep, 2, curr_step, 52, track_size, 99, robot_vel, 40.16, joints_pos, 17.11, 37.21, 4.55, -101.48, 3.08, 39.67, 63.09, tool_torque, -0.121, 0.695, -0.152, robot_mode, normal, 
29/04/2022 15:42:29:915, robot_pos_w_timestamp, 1651243246349, 472.72, 194.93, 233.84, 2.36, -0.06, 3.08, tool_force, -1.53, -0.32, 7.7, actual_rep, 2, curr_step, 53, track_size, 99, robot_vel, 42.54, joints_pos, 17.78, 37.27, 4.52, -101.24, 3.05, 39.74, 64.05, tool_torque, -0.292, 0.61, -0.158, robot_mode, normal, 
29/04/2022 15:42:30:065, robot_pos_w_timestamp, 1651243246500, 472.82, 200.75, 234.59, 2.35, -0.06, 3.08, tool_force, -1.41, -0.4, 7.02, actual_rep, 2, curr_step, 54, track_size, 99, robot_vel, 38.38, joints_pos, 18.44, 37.36, 4.48, -100.91, 2.92, 39.69, 65.02, tool_torque, -0.255, 0.742, -0.173, robot_mode, normal, 
29/04/2022 15:42:30:218, robot_pos_w_timestamp, 1651243246647, 473.13, 206.48, 235.4, 2.35, -0.05, 3.07, tool_force, -1.59, -0.42, 6.87, actual_rep, 2, curr_step, 55, track_size, 99, robot_vel, 38.36, joints_pos, 19.11, 37.43, 4.43, -100.59, 2.64, 39.51, 66.16, tool_torque, -0.164, 0.764, -0.172, robot_mode, normal, 
29/04/2022 15:42:30:365, robot_pos_w_timestamp, 1651243246796, 474.4, 212.28, 236.09, 2.34, -0.05, 3.07, tool_force, -1.45, -0.68, 7.52, actual_rep, 2, curr_step, 56, track_size, 99, robot_vel, 40.25, joints_pos, 19.71, 37.67, 4.38, -100.01, 2.55, 39.68, 67.05, tool_torque, -0.406, 0.672, -0.192, robot_mode, normal, 
29/04/2022 15:42:30:516, robot_pos_w_timestamp, 1651243246943, 476.48, 218.01, 236.76, 2.34, -0.05, 3.07, tool_force, -1.44, -0.33, 7.6, actual_rep, 2, curr_step, 58, track_size, 99, robot_vel, 39.15, joints_pos, 20.29, 37.94, 4.34, -99.34, 2.31, 39.67, 68.12, tool_torque, -0.185, 0.696, -0.191, robot_mode, normal, 
29/04/2022 15:42:30:670, robot_pos_w_timestamp, 1651243247093, 478.6, 223.89, 237.36, 2.33, -0.04, 3.06, tool_force, -1.29, -0.38, 7.43, actual_rep, 2, curr_step, 59, track_size, 99, robot_vel, 45.04, joints_pos, 20.89, 38.22, 4.29, -98.68, 1.94, 39.67, 69.49, tool_torque, -0.208, 0.722, -0.177, robot_mode, normal, 
29/04/2022 15:42:30:817, robot_pos_w_timestamp, 1651243247240, 481.57, 229.61, 237.78, 2.32, -0.04, 3.06, tool_force, -1.48, -0.59, 7.74, actual_rep, 2, curr_step, 60, track_size, 99, robot_vel, 42.79, joints_pos, 21.39, 38.66, 4.27, -97.76, 1.75, 39.97, 70.39, tool_torque, -0.381, 0.674, -0.182, robot_mode, normal, 
29/04/2022 15:42:30:971, robot_pos_w_timestamp, 1651243247390, 485.44, 235.32, 237.87, 2.31, -0.04, 3.05, tool_force, -1.31, -0.16, 6.78, actual_rep, 2, curr_step, 61, track_size, 99, robot_vel, 45.42, joints_pos, 21.91, 39.11, 4.21, -96.88, 1.25, 39.81, 71.67, tool_torque, -0.077, 0.758, -0.19, robot_mode, normal, 
29/04/2022 15:42:31:119, robot_pos_w_timestamp, 1651243247538, 489.15, 241.17, 237.83, 2.31, -0.03, 3.05, tool_force, -0.3, -1.3, 7.99, actual_rep, 2, curr_step, 63, track_size, 99, robot_vel, 47.8, joints_pos, 22.39, 39.68, 4.18, -95.82, 1.02, 40.07, 72.65, tool_torque, -0.253, 0.671, -0.218, robot_mode, normal, 
29/04/2022 15:42:31:269, robot_pos_w_timestamp, 1651243247687, 493.96, 246.9, 236.66, 2.3, -0.03, 3.05, tool_force, 0.01, -1.78, 10.47, actual_rep, 2, curr_step, 66, track_size, 99, robot_vel, 48.39, joints_pos, 22.81, 40.5, 4.14, -94.47, 0.63, 40.7, 73.69, tool_torque, -0.224, 0.727, -0.239, robot_mode, normal, 
29/04/2022 15:42:31:423, robot_pos_w_timestamp, 1651243247838, 500.27, 252.35, 234.68, 2.29, -0.02, 3.06, tool_force, -2.71, -1.05, 17.47, actual_rep, 2, curr_step, 68, track_size, 99, robot_vel, 61.02, joints_pos, 23.29, 41.56, 4.01, -92.82, -0.14, 41.45, 74.93, tool_torque, 0.165, 0.709, -0.15, robot_mode, normal, 
