26/04/2022 13:47:19: File Created!
26/04/2022 13:47:19:945, robot_pos_w_timestamp, 1650977138266, 601.99, 292.08, 234.74, 2.44, -0.02, 3.06, tool_force, 0.04, -1.03, 0.39, actual_rep, 1, curr_step, 1, track_size, 77, robot_vel, 3.29, joints_pos, 49.75, 63.25, -47.23, -68.51, -129.74, -64.3, -140.12, tool_torque, 0.269, -0.29, 0.175, tool_momentum, 0.269, -0.289, 0.175, robot_mode, rotation_overlay, 
26/04/2022 13:47:21:549, robot_pos_w_timestamp, 1650977139900, 615.45, 237.67, 239.82, 2.42, 0.03, 3.08, tool_force, 1.25, 0.13, 0.12, actual_rep, 1, curr_step, 9, track_size, 77, robot_vel, 38.04, joints_pos, 46.84, 62.33, -48.57, -70.79, -131.77, -63.12, -143.16, tool_torque, 0.682, -0.331, 0.436, tool_momentum, 0.669, -0.33, 0.436, robot_mode, rotation_overlay, 
26/04/2022 13:47:21:663, robot_pos_w_timestamp, 1650977140052, 616.19, 231.75, 240.88, 2.41, 0.03, 3.09, tool_force, 0.98, -0.01, -0.94, actual_rep, 1, curr_step, 10, track_size, 77, robot_vel, 42.66, joints_pos, 46.48, 62.12, -48.6, -71.04, -132.15, -63.14, -143.19, tool_torque, 0.701, -0.593, 0.456, tool_momentum, 0.697, -0.605, 0.456, robot_mode, rotation_overlay, 
26/04/2022 13:47:21:852, robot_pos_w_timestamp, 1650977140200, 616.61, 225.83, 243.58, 2.41, 0.03, 3.09, tool_force, 0.39, -0.07, -10.08, actual_rep, 1, curr_step, 10, track_size, 77, robot_vel, 58.57, joints_pos, 46.19, 61.73, -48.69, -71.4, -132.53, -63.15, -143.24, tool_torque, 1.02, -1.349, 0.495, tool_momentum, 1.012, -1.349, 0.494, robot_mode, rotation_overlay, 
26/04/2022 13:47:21:988, robot_pos_w_timestamp, 1650977140379, 616.13, 219.13, 246.93, 2.4, 0.04, 3.1, tool_force, 1.86, 0.36, -21.96, actual_rep, 1, curr_step, 11, track_size, 77, robot_vel, 41.36, joints_pos, 45.96, 61.2, -48.8, -71.98, -133.09, -63.14, -143.12, tool_torque, 1.204, -2.308, 0.237, tool_momentum, 1.18, -2.3, 0.234, robot_mode, rotation_overlay, 
26/04/2022 13:47:22:155, robot_pos_w_timestamp, 1650977140501, 615.58, 214.45, 248.48, 2.39, 0.04, 3.1, tool_force, 0.6, -0.05, -24.55, actual_rep, 1, curr_step, 11, track_size, 77, robot_vel, 35.83, joints_pos, 45.8, 60.91, -48.89, -72.37, -133.42, -63.16, -142.98, tool_torque, 1.215, -2.56, 0.089, tool_momentum, 1.218, -2.56, 0.089, robot_mode, rotation_overlay, 
26/04/2022 13:47:22:261, robot_pos_w_timestamp, 1650977140651, 614.59, 208.96, 250.28, 2.38, 0.04, 3.1, tool_force, 4.24, -0.92, -31.73, actual_rep, 1, curr_step, 12, track_size, 77, robot_vel, 37.35, joints_pos, 45.59, 60.51, -48.94, -72.91, -133.68, -63.25, -143.09, tool_torque, 1.363, -3.551, 0.447, tool_momentum, 1.382, -3.559, 0.447, robot_mode, rotation_overlay, 
26/04/2022 13:47:22:456, robot_pos_w_timestamp, 1650977140802, 613.01, 203.27, 252.05, 2.38, 0.03, 3.1, tool_force, 5.17, -0.95, -36.18, actual_rep, 1, curr_step, 12, track_size, 77, robot_vel, 40.22, joints_pos, 45.37, 60.03, -48.94, -73.58, -133.82, -63.27, -143.49, tool_torque, 1.559, -3.82, 0.619, tool_momentum, 1.561, -3.817, 0.619, robot_mode, rotation_overlay, 
26/04/2022 13:47:22:565, robot_pos_w_timestamp, 1650977140952, 612.46, 201.03, 251.56, 2.38, 0.03, 3.1, tool_force, 1.35, 0.42, -28.68, actual_rep, 1, curr_step, 13, track_size, 77, robot_vel, 7.3, joints_pos, 45.11, 59.85, -48.63, -73.83, -133.83, -63.17, -143.76, tool_torque, 1.507, -3.009, 0.375, tool_momentum, 1.51, -2.994, 0.373, robot_mode, rotation_overlay, 
26/04/2022 13:47:22:756, robot_pos_w_timestamp, 1650977141105, 611.61, 195.75, 248.89, 2.38, 0.03, 3.11, tool_force, -2.35, -0.24, -13.85, actual_rep, 1, curr_step, 14, track_size, 77, robot_vel, 55.48, joints_pos, 44.78, 59.93, -48.6, -74.2, -133.93, -63.27, -144.23, tool_torque, 0.874, -1.704, 0.339, tool_momentum, 0.872, -1.7, 0.339, robot_mode, rotation_overlay, 
26/04/2022 13:47:22:862, robot_pos_w_timestamp, 1650977141254, 609.31, 190.2, 247.12, 2.38, 0.02, 3.11, tool_force, 0.29, -0.81, -4.38, actual_rep, 1, curr_step, 14, track_size, 77, robot_vel, 47.3, joints_pos, 44.54, 59.71, -48.55, -75.03, -133.53, -63.21, -145.14, tool_torque, 0.802, -0.82, 0.523, tool_momentum, 0.819, -0.821, 0.526, robot_mode, rotation_overlay, 
26/04/2022 13:47:23:061, robot_pos_w_timestamp, 1650977141404, 607.07, 184.66, 246.41, 2.38, 0.01, 3.11, tool_force, 1.05, 0.81, 0.01, actual_rep, 1, curr_step, 15, track_size, 77, robot_vel, 40.93, joints_pos, 44.35, 59.43, -48.56, -75.82, -133.39, -63.07, -145.92, tool_torque, 0.931, -0.47, 0.521, tool_momentum, 0.926, -0.466, 0.521, robot_mode, rotation_overlay, 
26/04/2022 13:47:23:189, robot_pos_w_timestamp, 1650977141572, 604.01, 178.1, 246.83, 2.38, 0.01, 3.11, tool_force, 0.7, 0.44, 0.12, actual_rep, 1, curr_step, 16, track_size, 77, robot_vel, 43.25, joints_pos, 44.2, 58.92, -48.6, -76.87, -133.39, -62.85, -146.88, tool_torque, 0.839, -0.353, 0.491, tool_momentum, 0.844, -0.328, 0.491, robot_mode, rotation_overlay, 
26/04/2022 13:47:23:357, robot_pos_w_timestamp, 1650977141702, 601.36, 172.99, 247.2, 2.38, 0.01, 3.12, tool_force, 0.89, 0.46, 0.53, actual_rep, 1, curr_step, 16, track_size, 77, robot_vel, 41.46, joints_pos, 44.05, 58.56, -48.63, -77.59, -133.51, -62.93, -147.67, tool_torque, 0.662, -0.525, 0.477, tool_momentum, 0.661, -0.527, 0.478, robot_mode, rotation_overlay, 
26/04/2022 13:47:23:466, robot_pos_w_timestamp, 1650977141851, 598.01, 167.24, 247.89, 2.39, 0.0, 3.12, tool_force, 1.15, 0.28, 0.04, actual_rep, 1, curr_step, 17, track_size, 77, robot_vel, 42.53, joints_pos, 43.86, 58.04, -48.59, -78.51, -133.58, -63.0, -148.78, tool_torque, 0.644, -0.576, 0.472, tool_momentum, 0.631, -0.578, 0.471, robot_mode, rotation_overlay, 
26/04/2022 13:47:23:634, robot_pos_w_timestamp, 1650977141999, 594.08, 161.48, 248.89, 2.4, -0.01, 3.12, tool_force, 0.94, 0.58, 0.43, actual_rep, 1, curr_step, 18, track_size, 77, robot_vel, 24.74, joints_pos, 43.7, 57.45, -48.57, -79.53, -133.58, -63.04, -149.83, tool_torque, 0.694, -0.558, 0.493, tool_momentum, 0.691, -0.547, 0.495, robot_mode, rotation_overlay, 
26/04/2022 13:47:23:765, robot_pos_w_timestamp, 1650977142146, 589.44, 155.7, 250.52, 2.4, -0.02, 3.12, tool_force, 0.44, 0.46, 0.72, actual_rep, 1, curr_step, 19, track_size, 77, robot_vel, 46.88, joints_pos, 43.61, 56.72, -48.6, -80.73, -133.57, -63.06, -150.79, tool_torque, 0.719, -0.491, 0.469, tool_momentum, 0.715, -0.484, 0.469, robot_mode, rotation_overlay, 
26/04/2022 13:47:23:965, robot_pos_w_timestamp, 1650977142297, 583.77, 150.51, 253.11, 2.4, -0.02, 3.12, tool_force, -1.25, 0.69, 0.4, actual_rep, 1, curr_step, 20, track_size, 77, robot_vel, 53.78, joints_pos, 43.73, 55.83, -48.67, -82.1, -133.7, -62.89, -151.57, tool_torque, 0.699, 0.024, 0.419, tool_momentum, 0.686, 0.022, 0.419, robot_mode, rotation_overlay, 
26/04/2022 13:47:24:070, robot_pos_w_timestamp, 1650977142445, 577.94, 147.09, 256.0, 2.4, -0.03, 3.12, tool_force, -1.64, 0.29, 1.19, actual_rep, 1, curr_step, 21, track_size, 77, robot_vel, 48.03, joints_pos, 43.8, 54.87, -48.57, -83.32, -133.9, -62.98, -152.02, tool_torque, 0.595, -0.039, 0.372, tool_momentum, 0.59, -0.037, 0.366, robot_mode, rotation_overlay, 
26/04/2022 13:47:24:267, robot_pos_w_timestamp, 1650977142594, 572.26, 145.22, 259.42, 2.39, -0.04, 3.12, tool_force, -1.69, 0.19, 0.65, actual_rep, 1, curr_step, 22, track_size, 77, robot_vel, 42.11, joints_pos, 43.94, 53.91, -48.45, -84.38, -134.14, -63.18, -151.98, tool_torque, 0.47, -0.128, 0.298, tool_momentum, 0.501, -0.127, 0.298, robot_mode, rotation_overlay, 
26/04/2022 13:47:24:375, robot_pos_w_timestamp, 1650977142742, 566.61, 144.36, 263.62, 2.38, -0.06, 3.11, tool_force, -1.18, 0.2, 0.8, actual_rep, 1, curr_step, 24, track_size, 77, robot_vel, 46.96, joints_pos, 44.13, 52.8, -48.31, -85.53, -134.02, -63.31, -151.97, tool_torque, 0.527, -0.2, 0.257, tool_momentum, 0.498, -0.202, 0.257, robot_mode, rotation_overlay, 
26/04/2022 13:47:24:570, robot_pos_w_timestamp, 1650977142892, 560.81, 143.93, 268.05, 2.38, -0.06, 3.11, tool_force, -1.81, 0.0, 0.55, actual_rep, 1, curr_step, 25, track_size, 77, robot_vel, 46.46, joints_pos, 44.52, 51.73, -48.31, -86.62, -134.28, -63.18, -151.97, tool_torque, 0.578, 0.165, 0.228, tool_momentum, 0.566, 0.18, 0.222, robot_mode, rotation_overlay, 
26/04/2022 13:47:24:673, robot_pos_w_timestamp, 1650977143042, 555.49, 145.06, 273.02, 2.38, -0.07, 3.1, tool_force, -2.76, 0.13, 1.42, actual_rep, 1, curr_step, 26, track_size, 77, robot_vel, 49.63, joints_pos, 44.95, 50.65, -48.32, -87.6, -134.19, -63.23, -152.08, tool_torque, 0.56, 0.147, 0.263, tool_momentum, 0.566, 0.147, 0.265, robot_mode, rotation_overlay, 
26/04/2022 13:47:24:873, robot_pos_w_timestamp, 1650977143190, 549.97, 146.18, 278.73, 2.38, -0.07, 3.1, tool_force, -1.93, 0.67, 1.0, actual_rep, 1, curr_step, 27, track_size, 77, robot_vel, 52.51, joints_pos, 45.55, 49.53, -48.4, -88.52, -134.87, -63.2, -151.95, tool_torque, 0.477, 0.193, 0.167, tool_momentum, 0.478, 0.202, 0.167, robot_mode, rotation_overlay, 
26/04/2022 13:47:24:972, robot_pos_w_timestamp, 1650977143338, 544.69, 147.67, 284.56, 2.39, -0.07, 3.1, tool_force, -1.73, 0.72, 0.94, actual_rep, 1, curr_step, 28, track_size, 77, robot_vel, 50.33, joints_pos, 46.17, 48.43, -48.48, -89.32, -135.62, -63.21, -152.04, tool_torque, 0.566, 0.069, 0.291, tool_momentum, 0.566, 0.061, 0.291, robot_mode, rotation_overlay, 
26/04/2022 13:47:25:176, robot_pos_w_timestamp, 1650977143488, 539.61, 149.07, 290.26, 2.4, -0.07, 3.11, tool_force, -1.89, -0.12, 0.8, actual_rep, 1, curr_step, 30, track_size, 77, robot_vel, 50.88, joints_pos, 46.74, 47.36, -48.49, -89.97, -136.73, -63.39, -151.94, tool_torque, 0.33, 0.012, 0.155, tool_momentum, 0.347, -0.0060, 0.156, robot_mode, rotation_overlay, 
26/04/2022 13:47:25:276, robot_pos_w_timestamp, 1650977143635, 535.17, 151.01, 296.07, 2.42, -0.06, 3.11, tool_force, -2.41, 0.57, 1.15, actual_rep, 1, curr_step, 31, track_size, 77, robot_vel, 48.2, joints_pos, 47.38, 46.37, -48.52, -90.52, -137.91, -63.33, -151.69, tool_torque, 0.471, 0.225, 0.059, tool_momentum, 0.471, 0.222, 0.059, robot_mode, rotation_overlay, 
26/04/2022 13:47:25:477, robot_pos_w_timestamp, 1650977143785, 530.78, 153.4, 301.87, 2.42, -0.06, 3.12, tool_force, -1.52, 0.03, 0.86, actual_rep, 1, curr_step, 32, track_size, 77, robot_vel, 51.94, joints_pos, 48.06, 45.38, -48.56, -90.98, -139.13, -63.43, -150.9, tool_torque, 0.308, 0.09, 0.02, tool_momentum, 0.31, 0.093, 0.021, robot_mode, rotation_overlay, 
26/04/2022 13:47:25:586, robot_pos_w_timestamp, 1650977143942, 527.41, 156.71, 308.1, 2.42, -0.06, 3.12, tool_force, -1.98, -0.01, 0.95, actual_rep, 1, curr_step, 32, track_size, 77, robot_vel, 48.85, joints_pos, 48.72, 44.45, -48.56, -91.25, -140.29, -63.47, -149.86, tool_torque, 0.276, 0.185, 0.02, tool_momentum, 0.272, 0.191, 0.021, robot_mode, rotation_overlay, 
26/04/2022 13:47:25:781, robot_pos_w_timestamp, 1650977144082, 524.41, 160.12, 313.45, 2.42, -0.05, 3.12, tool_force, -1.38, 0.75, 0.94, actual_rep, 1, curr_step, 33, track_size, 77, robot_vel, 50.11, joints_pos, 49.3, 43.62, -48.51, -91.46, -141.13, -63.52, -148.96, tool_torque, 0.454, -0.01, 0.08, tool_momentum, 0.464, -0.0080, 0.079, robot_mode, rotation_overlay, 
26/04/2022 13:47:25:880, robot_pos_w_timestamp, 1650977144233, 521.44, 164.15, 319.2, 2.42, -0.05, 3.12, tool_force, -1.62, 0.04, 0.9, actual_rep, 1, curr_step, 34, track_size, 77, robot_vel, 52.68, joints_pos, 49.83, 42.81, -48.42, -91.58, -141.83, -63.84, -148.08, tool_torque, 0.286, -0.066, 0.061, tool_momentum, 0.28, -0.055, 0.059, robot_mode, rotation_overlay, 
26/04/2022 13:47:26:067, robot_pos_w_timestamp, 1650977144381, 518.52, 168.63, 325.0, 2.42, -0.06, 3.12, tool_force, -1.64, -0.23, 0.98, actual_rep, 1, curr_step, 35, track_size, 77, robot_vel, 50.3, joints_pos, 50.35, 42.05, -48.34, -91.57, -142.39, -64.41, -147.19, tool_torque, 0.19, -0.053, 0.037, tool_momentum, 0.193, -0.05, 0.039, robot_mode, rotation_overlay, 
26/04/2022 13:47:26:184, robot_pos_w_timestamp, 1650977144530, 515.54, 174.16, 330.74, 2.41, -0.06, 3.12, tool_force, -1.59, -0.02, 0.91, actual_rep, 1, curr_step, 36, track_size, 77, robot_vel, 66.9, joints_pos, 51.05, 41.32, -48.31, -91.57, -143.04, -64.75, -145.7, tool_torque, 0.22, -0.135, 0.059, tool_momentum, 0.218, -0.131, 0.059, robot_mode, rotation_overlay, 
26/04/2022 13:47:26:337, robot_pos_w_timestamp, 1650977144681, 512.4, 179.99, 336.19, 2.4, -0.06, 3.12, tool_force, -1.9, -0.05, 1.2, actual_rep, 1, curr_step, 37, track_size, 77, robot_vel, 54.37, joints_pos, 51.79, 40.63, -48.29, -91.57, -143.63, -65.04, -144.19, tool_torque, 0.258, -0.081, 0.07, tool_momentum, 0.273, -0.096, 0.074, robot_mode, rotation_overlay, 
26/04/2022 13:47:26:485, robot_pos_w_timestamp, 1650977144829, 509.49, 185.84, 340.93, 2.4, -0.06, 3.12, tool_force, -1.72, 0.34, 1.03, actual_rep, 1, curr_step, 37, track_size, 77, robot_vel, 51.45, joints_pos, 52.44, 39.99, -48.22, -91.58, -143.8, -65.34, -143.23, tool_torque, 0.325, -0.126, 0.086, tool_momentum, 0.329, -0.124, 0.086, robot_mode, rotation_overlay, 
26/04/2022 13:47:26:687, robot_pos_w_timestamp, 1650977144979, 506.78, 191.45, 344.89, 2.4, -0.07, 3.11, tool_force, -1.51, -0.1, 0.59, actual_rep, 1, curr_step, 38, track_size, 77, robot_vel, 47.73, joints_pos, 53.01, 39.47, -48.12, -91.58, -143.89, -65.56, -142.34, tool_torque, 0.229, -0.122, 0.086, tool_momentum, 0.233, -0.126, 0.086, robot_mode, rotation_overlay, 
26/04/2022 13:47:26:788, robot_pos_w_timestamp, 1650977145129, 503.99, 197.58, 348.75, 2.39, -0.07, 3.11, tool_force, -1.48, -0.49, 0.66, actual_rep, 1, curr_step, 39, track_size, 77, robot_vel, 51.36, joints_pos, 53.75, 39.01, -48.11, -91.52, -144.25, -65.76, -141.07, tool_torque, 0.143, -0.092, 0.048, tool_momentum, 0.151, -0.088, 0.047, robot_mode, rotation_overlay, 
26/04/2022 13:47:26:987, robot_pos_w_timestamp, 1650977145278, 501.64, 203.1, 351.64, 2.39, -0.07, 3.11, tool_force, -2.1, 0.02, 0.68, actual_rep, 1, curr_step, 39, track_size, 77, robot_vel, 43.79, joints_pos, 54.38, 38.64, -48.08, -91.53, -144.28, -65.74, -140.32, tool_torque, 0.368, 0.011, 0.056, tool_momentum, 0.37, 0.012, 0.056, robot_mode, rotation_overlay, 
26/04/2022 13:47:27:087, robot_pos_w_timestamp, 1650977145429, 498.92, 209.08, 354.16, 2.39, -0.07, 3.1, tool_force, -1.38, -0.31, 0.74, actual_rep, 1, curr_step, 40, track_size, 77, robot_vel, 50.82, joints_pos, 55.04, 38.3, -48.04, -91.54, -144.3, -65.83, -139.33, tool_torque, 0.217, -0.107, 0.06, tool_momentum, 0.219, -0.112, 0.062, robot_mode, rotation_overlay, 
26/04/2022 13:47:27:289, robot_pos_w_timestamp, 1650977145578, 496.51, 214.83, 356.24, 2.38, -0.08, 3.1, tool_force, -1.69, -0.5, 0.78, actual_rep, 1, curr_step, 41, track_size, 77, robot_vel, 40.18, joints_pos, 55.61, 38.06, -47.94, -91.46, -144.31, -65.99, -138.4, tool_torque, 0.17, -0.055, 0.06, tool_momentum, 0.166, -0.051, 0.059, robot_mode, rotation_overlay, 
26/04/2022 13:47:27:390, robot_pos_w_timestamp, 1650977145726, 494.01, 220.67, 357.91, 2.38, -0.07, 3.1, tool_force, -0.95, -0.02, 0.4, actual_rep, 1, curr_step, 42, track_size, 77, robot_vel, 47.45, joints_pos, 56.34, 37.88, -47.94, -91.41, -144.69, -65.93, -137.4, tool_torque, 0.394, -0.04, 0.105, tool_momentum, 0.383, -0.016, 0.1, robot_mode, rotation_overlay, 
26/04/2022 13:47:27:596, robot_pos_w_timestamp, 1650977145876, 491.47, 226.34, 358.83, 2.38, -0.07, 3.1, tool_force, -1.38, 0.06, 0.51, actual_rep, 1, curr_step, 43, track_size, 77, robot_vel, 43.76, joints_pos, 57.03, 37.76, -47.93, -91.39, -144.81, -65.86, -136.59, tool_torque, 0.473, 0.061, 0.095, tool_momentum, 0.469, 0.066, 0.095, robot_mode, rotation_overlay, 
26/04/2022 13:47:27:690, robot_pos_w_timestamp, 1650977146023, 489.22, 232.22, 359.22, 2.38, -0.06, 3.1, tool_force, -1.7, 0.33, 0.39, actual_rep, 1, curr_step, 45, track_size, 77, robot_vel, 44.24, joints_pos, 57.78, 37.72, -47.92, -91.37, -145.19, -65.54, -135.67, tool_torque, 0.525, 0.117, 0.119, tool_momentum, 0.518, 0.086, 0.118, robot_mode, rotation_overlay, 
26/04/2022 13:47:27:897, robot_pos_w_timestamp, 1650977146174, 487.68, 236.71, 358.15, 2.38, -0.04, 3.1, tool_force, -1.53, 0.35, 0.12, actual_rep, 1, curr_step, 47, track_size, 77, robot_vel, 25.9, joints_pos, 58.64, 37.78, -47.96, -91.48, -146.3, -64.5, -134.5, tool_torque, 0.54, 0.244, 0.083, tool_momentum, 0.543, 0.247, 0.083, robot_mode, rotation_overlay, 
26/04/2022 13:47:27:997, robot_pos_w_timestamp, 1650977146323, 487.38, 240.76, 357.83, 2.38, -0.01, 3.11, tool_force, 0.03, 0.59, 0.29, actual_rep, 1, curr_step, 50, track_size, 77, robot_vel, 24.52, joints_pos, 59.48, 37.98, -48.1, -91.31, -147.89, -63.61, -133.03, tool_torque, 0.566, 0.0020, 0.093, tool_momentum, 0.566, -0.0030, 0.093, robot_mode, rotation_overlay, 
26/04/2022 13:47:28:198, robot_pos_w_timestamp, 1650977146475, 489.01, 241.73, 359.18, 2.38, 0.0, 3.11, tool_force, 0.58, -0.49, 0.17, actual_rep, 1, curr_step, 52, track_size, 77, robot_vel, 21.27, joints_pos, 59.6, 38.13, -48.28, -90.93, -148.19, -63.64, -132.69, tool_torque, 0.207, -0.216, 0.072, tool_momentum, 0.2, -0.212, 0.072, robot_mode, rotation_overlay, 
26/04/2022 13:47:28:299, robot_pos_w_timestamp, 1650977146622, 490.06, 241.92, 358.81, 2.37, 0.0, 3.11, tool_force, 0.55, -0.72, 0.4, actual_rep, 1, curr_step, 55, track_size, 77, robot_vel, 6.17, joints_pos, 59.47, 38.26, -48.22, -90.78, -148.08, -63.61, -132.25, tool_torque, 0.283, -0.315, 0.13, tool_momentum, 0.273, -0.313, 0.131, robot_mode, rotation_overlay, 
26/04/2022 13:47:28:501, robot_pos_w_timestamp, 1650977146772, 490.03, 241.75, 359.64, 2.37, 0.0, 3.11, tool_force, 0.02, -0.75, 0.71, actual_rep, 1, curr_step, 57, track_size, 77, robot_vel, 7.02, joints_pos, 59.48, 38.18, -48.24, -90.76, -148.16, -63.7, -132.19, tool_torque, 0.183, -0.288, 0.12, tool_momentum, 0.184, -0.291, 0.12, robot_mode, rotation_overlay, 
26/04/2022 13:47:28:602, robot_pos_w_timestamp, 1650977146920, 489.79, 241.73, 359.83, 2.37, 0.0, 3.11, tool_force, -0.51, -0.14, 0.51, actual_rep, 1, curr_step, 60, track_size, 77, robot_vel, 2.25, joints_pos, 59.48, 38.12, -48.2, -90.79, -148.25, -63.68, -132.13, tool_torque, 0.362, -0.163, 0.164, tool_momentum, 0.369, -0.167, 0.166, robot_mode, rotation_overlay, 
26/04/2022 13:47:28:772, robot_pos_w_timestamp, 1650977147070, 489.77, 241.81, 359.82, 2.37, 0.0, 3.11, tool_force, 0.14, -0.19, 0.41, actual_rep, 1, curr_step, 63, track_size, 77, robot_vel, 0.38, joints_pos, 59.48, 38.12, -48.18, -90.79, -148.25, -63.68, -132.11, tool_torque, 0.376, -0.267, 0.189, tool_momentum, 0.37, -0.267, 0.189, robot_mode, rotation_overlay, 
26/04/2022 13:47:28:908, robot_pos_w_timestamp, 1650977147222, 489.77, 241.83, 359.82, 2.37, 0.0, 3.11, tool_force, 0.32, -0.4, 0.27, actual_rep, 1, curr_step, 66, track_size, 77, robot_vel, 0.47, joints_pos, 59.48, 38.12, -48.18, -90.78, -148.25, -63.68, -132.11, tool_torque, 0.358, -0.308, 0.198, tool_momentum, 0.36, -0.307, 0.197, robot_mode, rotation_overlay, 
26/04/2022 13:47:29:045, robot_pos_w_timestamp, 1650977147370, 489.78, 241.85, 359.8, 2.37, 0.0, 3.11, tool_force, 0.38, -0.42, 0.32, actual_rep, 1, curr_step, 68, track_size, 77, robot_vel, 0.18, joints_pos, 59.48, 38.12, -48.18, -90.78, -148.26, -63.68, -132.1, tool_torque, 0.345, -0.317, 0.201, tool_momentum, 0.345, -0.317, 0.201, robot_mode, rotation_overlay, 
