26/04/2022 13:44:13: File Created!
26/04/2022 13:44:13:664, robot_pos_w_timestamp, 1650976952271, 601.79, 292.06, 235.88, 2.44, -0.02, 3.06, tool_force, -0.39, -0.55, 0.53, actual_rep, 1, curr_step, 1, track_size, 77, robot_vel, 5.28, joints_pos, 49.44, 62.79, -46.45, -68.59, -130.5, -63.98, -139.81, tool_torque, 0.316, -0.246, 0.312, tool_momentum, 0.317, -0.247, 0.312, robot_mode, rotation_overlay, 
26/04/2022 13:44:18:122, robot_pos_w_timestamp, 1650976956748, 562.68, 143.98, 266.54, 2.38, -0.06, 3.11, tool_force, -2.53, 0.45, 0.41, actual_rep, 1, curr_step, 24, track_size, 77, robot_vel, 51.9, joints_pos, 43.9, 51.66, -47.46, -86.3, -134.77, -62.88, -151.68, tool_torque, 0.594, 0.102, 0.321, tool_momentum, 0.593, 0.095, 0.321, robot_mode, rotation_overlay, 
26/04/2022 13:44:18:276, robot_pos_w_timestamp, 1650976956896, 557.43, 144.8, 271.22, 2.38, -0.06, 3.11, tool_force, -1.32, 0.68, 0.81, actual_rep, 1, curr_step, 26, track_size, 77, robot_vel, 44.95, joints_pos, 44.37, 50.67, -47.48, -87.21, -135.09, -62.84, -151.49, tool_torque, 0.668, -0.078, 0.224, tool_momentum, 0.654, -0.083, 0.224, robot_mode, rotation_overlay, 
26/04/2022 13:44:18:421, robot_pos_w_timestamp, 1650976957045, 551.92, 145.39, 276.67, 2.38, -0.07, 3.1, tool_force, -2.2, -0.01, 0.81, actual_rep, 1, curr_step, 27, track_size, 77, robot_vel, 57.51, joints_pos, 44.85, 49.53, -47.57, -88.24, -135.24, -62.85, -151.59, tool_torque, 0.458, 0.12, 0.221, tool_momentum, 0.461, 0.121, 0.221, robot_mode, rotation_overlay, 
26/04/2022 13:44:18:619, robot_pos_w_timestamp, 1650976957209, 546.02, 147.26, 283.06, 2.39, -0.07, 3.1, tool_force, -2.52, -0.12, 0.73, actual_rep, 1, curr_step, 28, track_size, 77, robot_vel, 53.47, joints_pos, 45.59, 48.31, -47.66, -89.14, -136.15, -62.85, -151.61, tool_torque, 0.41, 0.238, 0.222, tool_momentum, 0.404, 0.245, 0.22, robot_mode, rotation_overlay, 
26/04/2022 13:44:18:724, robot_pos_w_timestamp, 1650976957345, 541.31, 148.61, 288.23, 2.4, -0.07, 3.1, tool_force, -1.65, 0.25, 0.95, actual_rep, 1, curr_step, 29, track_size, 77, robot_vel, 57.15, joints_pos, 46.09, 47.36, -47.67, -89.77, -136.97, -62.94, -151.64, tool_torque, 0.406, 0.023, 0.245, tool_momentum, 0.395, 0.035, 0.245, robot_mode, rotation_overlay, 
26/04/2022 13:44:18:919, robot_pos_w_timestamp, 1650976957492, 536.67, 150.35, 294.06, 2.41, -0.07, 3.11, tool_force, -1.71, 0.38, 1.24, actual_rep, 1, curr_step, 30, track_size, 77, robot_vel, 49.55, joints_pos, 46.67, 46.34, -47.67, -90.3, -138.21, -63.1, -151.34, tool_torque, 0.384, 0.059, 0.09, tool_momentum, 0.361, 0.08, 0.086, robot_mode, rotation_overlay, 
26/04/2022 13:44:19:024, robot_pos_w_timestamp, 1650976957643, 532.28, 152.57, 299.96, 2.42, -0.06, 3.11, tool_force, -1.69, 0.12, 0.27, actual_rep, 1, curr_step, 31, track_size, 77, robot_vel, 50.32, joints_pos, 47.36, 45.3, -47.71, -90.86, -139.38, -62.98, -150.77, tool_torque, 0.404, 0.189, 0.055, tool_momentum, 0.406, 0.183, 0.058, robot_mode, rotation_overlay, 
26/04/2022 13:44:19:222, robot_pos_w_timestamp, 1650976957791, 528.77, 155.38, 305.66, 2.42, -0.06, 3.12, tool_force, -1.66, 0.38, 1.19, actual_rep, 1, curr_step, 32, track_size, 77, robot_vel, 49.41, joints_pos, 47.96, 44.43, -47.7, -91.12, -140.52, -63.18, -149.83, tool_torque, 0.35, -0.015, 0.069, tool_momentum, 0.348, -0.015, 0.07, robot_mode, rotation_overlay, 
26/04/2022 13:44:19:327, robot_pos_w_timestamp, 1650976957940, 525.53, 158.78, 311.44, 2.42, -0.05, 3.12, tool_force, -2.33, 0.17, 0.7, actual_rep, 1, curr_step, 33, track_size, 77, robot_vel, 50.22, joints_pos, 48.61, 43.55, -47.69, -91.4, -141.53, -63.15, -148.83, tool_torque, 0.378, 0.186, 0.053, tool_momentum, 0.356, 0.179, 0.053, robot_mode, rotation_overlay, 
26/04/2022 13:44:19:527, robot_pos_w_timestamp, 1650976958090, 522.45, 162.62, 317.24, 2.42, -0.05, 3.12, tool_force, -1.98, 0.21, 1.25, actual_rep, 1, curr_step, 34, track_size, 77, robot_vel, 49.43, joints_pos, 49.2, 42.71, -47.65, -91.57, -142.31, -63.34, -147.94, tool_torque, 0.284, 0.0080, 0.058, tool_momentum, 0.267, 0.015, 0.053, robot_mode, rotation_overlay, 
26/04/2022 13:44:19:629, robot_pos_w_timestamp, 1650976958239, 519.45, 167.0, 323.02, 2.42, -0.06, 3.12, tool_force, -2.26, 0.1, 1.39, actual_rep, 1, curr_step, 35, track_size, 77, robot_vel, 55.03, joints_pos, 49.7, 41.95, -47.57, -91.58, -142.86, -63.94, -147.1, tool_torque, 0.268, -0.053, 0.058, tool_momentum, 0.258, -0.056, 0.054, robot_mode, rotation_overlay, 
26/04/2022 13:44:19:827, robot_pos_w_timestamp, 1650976958393, 516.43, 172.59, 328.98, 2.41, -0.06, 3.12, tool_force, -1.34, -0.27, 0.85, actual_rep, 1, curr_step, 35, track_size, 77, robot_vel, 58.09, joints_pos, 50.37, 41.19, -47.49, -91.58, -143.51, -64.34, -145.66, tool_torque, 0.187, -0.134, 0.083, tool_momentum, 0.186, -0.14, 0.082, robot_mode, rotation_overlay, 
26/04/2022 13:44:19:929, robot_pos_w_timestamp, 1650976958537, 513.46, 177.89, 334.27, 2.41, -0.06, 3.12, tool_force, -1.57, 0.27, 1.33, actual_rep, 1, curr_step, 36, track_size, 77, robot_vel, 56.06, joints_pos, 51.05, 40.51, -47.47, -91.59, -144.06, -64.63, -144.29, tool_torque, 0.262, -0.127, 0.088, tool_momentum, 0.256, -0.123, 0.087, robot_mode, rotation_overlay, 
26/04/2022 13:44:20:132, robot_pos_w_timestamp, 1650976958685, 510.39, 183.85, 339.42, 2.4, -0.06, 3.12, tool_force, -1.43, -0.16, 1.07, actual_rep, 1, curr_step, 37, track_size, 77, robot_vel, 55.94, joints_pos, 51.78, 39.86, -47.44, -91.58, -144.46, -64.95, -143.09, tool_torque, 0.236, -0.151, 0.087, tool_momentum, 0.227, -0.169, 0.087, robot_mode, rotation_overlay, 
26/04/2022 13:44:20:234, robot_pos_w_timestamp, 1650976958834, 507.69, 189.5, 343.73, 2.4, -0.07, 3.11, tool_force, -1.32, 0.26, 0.96, actual_rep, 1, curr_step, 38, track_size, 77, robot_vel, 55.57, joints_pos, 52.3, 39.26, -47.31, -91.59, -144.42, -65.22, -142.32, tool_torque, 0.292, -0.155, 0.083, tool_momentum, 0.273, -0.143, 0.083, robot_mode, rotation_overlay, 
26/04/2022 13:44:20:429, robot_pos_w_timestamp, 1650976958983, 504.97, 195.31, 347.31, 2.39, -0.07, 3.11, tool_force, -1.58, -0.4, 0.87, actual_rep, 1, curr_step, 38, track_size, 77, robot_vel, 48.55, joints_pos, 52.97, 38.82, -47.25, -91.56, -144.78, -65.4, -141.1, tool_torque, 0.17, -0.122, 0.064, tool_momentum, 0.167, -0.117, 0.064, robot_mode, rotation_overlay, 
26/04/2022 13:44:20:535, robot_pos_w_timestamp, 1650976959132, 502.45, 201.07, 350.54, 2.39, -0.07, 3.11, tool_force, -1.37, 0.1, 0.94, actual_rep, 1, curr_step, 39, track_size, 77, robot_vel, 47.16, joints_pos, 53.64, 38.41, -47.22, -91.54, -144.92, -65.46, -140.16, tool_torque, 0.348, -0.124, 0.08, tool_momentum, 0.36, -0.121, 0.081, robot_mode, rotation_overlay, 
26/04/2022 13:44:20:714, robot_pos_w_timestamp, 1650976959279, 500.03, 206.81, 353.4, 2.39, -0.07, 3.1, tool_force, -1.47, 0.06, 0.7, actual_rep, 1, curr_step, 40, track_size, 77, robot_vel, 44.52, joints_pos, 54.3, 38.05, -47.21, -91.55, -144.95, -65.45, -139.28, tool_torque, 0.287, -0.05, 0.072, tool_momentum, 0.279, -0.069, 0.076, robot_mode, rotation_overlay, 
26/04/2022 13:44:20:844, robot_pos_w_timestamp, 1650976959430, 497.24, 212.62, 355.58, 2.38, -0.08, 3.1, tool_force, -1.6, -0.24, 1.09, actual_rep, 1, curr_step, 41, track_size, 77, robot_vel, 48.56, joints_pos, 54.88, 37.77, -47.1, -91.51, -144.92, -65.69, -138.28, tool_torque, 0.192, -0.11, 0.065, tool_momentum, 0.184, -0.109, 0.065, robot_mode, rotation_overlay, 
26/04/2022 13:44:20:993, robot_pos_w_timestamp, 1650976959588, 494.84, 218.81, 357.38, 2.38, -0.07, 3.1, tool_force, -1.51, -0.48, 0.52, actual_rep, 1, curr_step, 41, track_size, 77, robot_vel, 41.07, joints_pos, 55.61, 37.59, -47.08, -91.42, -145.24, -65.66, -137.23, tool_torque, 0.288, 0.078, 0.089, tool_momentum, 0.313, 0.079, 0.094, robot_mode, rotation_overlay, 
26/04/2022 13:44:21:143, robot_pos_w_timestamp, 1650976959728, 492.32, 224.3, 358.6, 2.38, -0.07, 3.1, tool_force, -1.75, 0.12, 0.32, actual_rep, 1, curr_step, 42, track_size, 77, robot_vel, 44.04, joints_pos, 56.28, 37.45, -47.09, -91.41, -145.42, -65.61, -136.44, tool_torque, 0.443, 0.125, 0.095, tool_momentum, 0.457, 0.128, 0.095, robot_mode, rotation_overlay, 
26/04/2022 13:44:21:345, robot_pos_w_timestamp, 1650976959876, 490.06, 230.01, 359.11, 2.38, -0.07, 3.1, tool_force, -1.54, 0.39, 0.5, actual_rep, 1, curr_step, 43, track_size, 77, robot_vel, 37.05, joints_pos, 56.99, 37.4, -47.08, -91.38, -145.68, -65.42, -135.58, tool_torque, 0.518, 0.165, 0.124, tool_momentum, 0.52, 0.16, 0.125, robot_mode, rotation_overlay, 
26/04/2022 13:44:21:448, robot_pos_w_timestamp, 1650976960027, 488.17, 235.44, 358.76, 2.38, -0.05, 3.1, tool_force, -1.52, 0.59, 0.39, actual_rep, 1, curr_step, 46, track_size, 77, robot_vel, 31.54, joints_pos, 57.81, 37.4, -47.1, -91.43, -146.31, -64.67, -134.61, tool_torque, 0.571, 0.208, 0.101, tool_momentum, 0.568, 0.206, 0.101, robot_mode, rotation_overlay, 
26/04/2022 13:44:21:646, robot_pos_w_timestamp, 1650976960174, 486.98, 239.57, 357.78, 2.38, -0.02, 3.11, tool_force, -0.92, -0.06, -0.09, actual_rep, 1, curr_step, 49, track_size, 77, robot_vel, 30.99, joints_pos, 58.76, 37.57, -47.21, -91.4, -148.14, -63.68, -132.95, tool_torque, 0.471, 0.168, 0.077, tool_momentum, 0.487, 0.157, 0.08, robot_mode, rotation_overlay, 
26/04/2022 13:44:21:747, robot_pos_w_timestamp, 1650976960323, 488.58, 241.27, 358.68, 2.38, 0.0, 3.11, tool_force, -0.99, -0.48, 0.17, actual_rep, 1, curr_step, 51, track_size, 77, robot_vel, 21.75, joints_pos, 59.16, 37.76, -47.47, -91.09, -148.81, -63.22, -132.36, tool_torque, 0.381, 0.195, 0.066, tool_momentum, 0.389, 0.183, 0.066, robot_mode, rotation_overlay, 
26/04/2022 13:44:21:947, robot_pos_w_timestamp, 1650976960472, 489.81, 241.76, 358.75, 2.37, 0.0, 3.11, tool_force, -0.12, -0.84, 0.46, actual_rep, 1, curr_step, 54, track_size, 77, robot_vel, 7.85, joints_pos, 59.03, 37.92, -47.44, -90.83, -148.71, -63.39, -131.92, tool_torque, 0.297, -0.174, 0.109, tool_momentum, 0.304, -0.178, 0.11, robot_mode, rotation_overlay, 
26/04/2022 13:44:22:049, robot_pos_w_timestamp, 1650976960622, 490.17, 241.76, 359.38, 2.37, 0.0, 3.11, tool_force, 0.44, -0.82, 0.47, actual_rep, 1, curr_step, 57, track_size, 77, robot_vel, 6.06, joints_pos, 59.0, 37.9, -47.45, -90.75, -148.74, -63.46, -131.8, tool_torque, 0.203, -0.325, 0.167, tool_momentum, 0.211, -0.339, 0.168, robot_mode, rotation_overlay, 
26/04/2022 13:44:22:250, robot_pos_w_timestamp, 1650976960769, 489.81, 241.84, 359.81, 2.37, 0.0, 3.11, tool_force, 0.26, -0.32, 0.35, actual_rep, 1, curr_step, 60, track_size, 77, robot_vel, 3.22, joints_pos, 59.01, 37.8, -47.39, -90.78, -148.87, -63.45, -131.69, tool_torque, 0.328, -0.231, 0.176, tool_momentum, 0.33, -0.226, 0.176, robot_mode, rotation_overlay, 
26/04/2022 13:44:22:341, robot_pos_w_timestamp, 1650976960920, 489.75, 241.83, 359.85, 2.37, 0.0, 3.11, tool_force, 0.44, -0.09, 0.23, actual_rep, 1, curr_step, 62, track_size, 77, robot_vel, 0.33, joints_pos, 59.0, 37.78, -47.36, -90.79, -148.88, -63.45, -131.68, tool_torque, 0.441, -0.3, 0.237, tool_momentum, 0.44, -0.299, 0.237, robot_mode, rotation_overlay, 
26/04/2022 13:44:22:554, robot_pos_w_timestamp, 1650976961068, 489.75, 241.84, 359.83, 2.37, 0.0, 3.11, tool_force, 0.39, -0.19, 0.31, actual_rep, 1, curr_step, 65, track_size, 77, robot_vel, 0.34, joints_pos, 59.0, 37.79, -47.36, -90.78, -148.89, -63.45, -131.67, tool_torque, 0.4, -0.302, 0.236, tool_momentum, 0.399, -0.302, 0.236, robot_mode, rotation_overlay, 
26/04/2022 13:44:22:654, robot_pos_w_timestamp, 1650976961217, 489.78, 241.87, 359.81, 2.37, 0.0, 3.11, tool_force, 0.39, -0.35, 0.27, actual_rep, 1, curr_step, 67, track_size, 77, robot_vel, 0.25, joints_pos, 59.0, 37.8, -47.36, -90.78, -148.89, -63.45, -131.67, tool_torque, 0.379, -0.312, 0.235, tool_momentum, 0.38, -0.314, 0.235, robot_mode, rotation_overlay, 
26/04/2022 13:44:22:855, robot_pos_w_timestamp, 1650976961369, 489.79, 241.88, 359.81, 2.37, 0.0, 3.11, tool_force, 0.48, -0.33, 0.26, actual_rep, 1, curr_step, 70, track_size, 77, robot_vel, 0.07, joints_pos, 59.0, 37.8, -47.36, -90.78, -148.89, -63.45, -131.67, tool_torque, 0.382, -0.334, 0.24, tool_momentum, 0.382, -0.334, 0.241, robot_mode, rotation_overlay, 
26/04/2022 13:44:22:955, robot_pos_w_timestamp, 1650976961514, 489.79, 241.88, 359.81, 2.37, 0.0, 3.11, tool_force, 0.49, -0.34, 0.27, actual_rep, 1, curr_step, 72, track_size, 77, robot_vel, 0.04, joints_pos, 59.0, 37.8, -47.36, -90.77, -148.89, -63.45, -131.67, tool_torque, 0.376, -0.331, 0.243, tool_momentum, 0.375, -0.331, 0.243, robot_mode, rotation_overlay, 
26/04/2022 13:44:23:147, robot_pos_w_timestamp, 1650976961663, 489.79, 241.88, 359.81, 2.37, 0.0, 3.11, tool_force, 0.49, -0.34, 0.27, actual_rep, 1, curr_step, 75, track_size, 77, robot_vel, 0.02, joints_pos, 59.0, 37.8, -47.36, -90.77, -148.89, -63.46, -131.67, tool_torque, 0.374, -0.329, 0.245, tool_momentum, 0.375, -0.329, 0.245, robot_mode, rotation_overlay, 
26/04/2022 13:44:23:256, robot_pos_w_timestamp, 1650976961811, 489.8, 241.88, 359.81, 2.37, 0.0, 3.11, tool_force, 0.48, -0.34, 0.28, actual_rep, 1, curr_step, 77, track_size, 77, robot_vel, 0.01, joints_pos, 59.0, 37.8, -47.36, -90.77, -148.89, -63.46, -131.67, tool_torque, 0.375, -0.328, 0.246, tool_momentum, 0.376, -0.329, 0.246, robot_mode, rotation_overlay, 
