21/03/2022 15:59:48: File Created!
21/03/2022 15:59:48:409, robot_pos_w_timestamp, 1647874708193, 524.52, 330.03, 202.33, 2.28, 0.0, 3.06, tool_force, -1.0, -0.18, 0.33, actual_rep, 1, curr_step, 1, track_size, 82, robot_vel, 0.0, joints_pos, 41.42, 51.69, -14.64, -80.79, 17.56, 44.9, 69.84, tool_torque, -0.022, -0.056, 0.162, tool_momentum, -0.022, -0.056, 0.162, robot_mode, normal, 
21/03/2022 15:59:50:010, robot_pos_w_timestamp, 1647874709805, 549.08, 279.12, 211.02, 2.23, 0.09, 3.07, tool_force, 0.52, 0.45, 0.28, actual_rep, 1, curr_step, 7, track_size, 82, robot_vel, 38.33, joints_pos, 40.42, 51.2, -19.52, -81.67, 15.36, 44.93, 69.83, tool_torque, 0.132, -0.422, 0.268, tool_momentum, 0.133, -0.432, 0.268, robot_mode, normal, 
21/03/2022 15:59:50:162, robot_pos_w_timestamp, 1647874709953, 551.31, 273.32, 211.82, 2.23, 0.1, 3.07, tool_force, 0.74, 0.41, 0.21, actual_rep, 1, curr_step, 8, track_size, 82, robot_vel, 41.75, joints_pos, 40.25, 51.15, -19.97, -81.8, 15.05, 44.93, 69.83, tool_torque, 0.131, -0.408, 0.275, tool_momentum, 0.124, -0.402, 0.275, robot_mode, normal, 
21/03/2022 15:59:50:313, robot_pos_w_timestamp, 1647874710103, 553.14, 267.53, 212.43, 2.22, 0.11, 3.08, tool_force, 1.02, 0.75, 0.5, actual_rep, 1, curr_step, 8, track_size, 82, robot_vel, 39.06, joints_pos, 40.11, 51.1, -20.41, -81.97, 14.78, 44.93, 69.82, tool_torque, 0.177, -0.409, 0.286, tool_momentum, 0.156, -0.407, 0.288, robot_mode, normal, 
21/03/2022 15:59:50:460, robot_pos_w_timestamp, 1647874710250, 554.97, 261.77, 213.09, 2.22, 0.12, 3.08, tool_force, 0.93, 0.35, 0.07, actual_rep, 1, curr_step, 8, track_size, 82, robot_vel, 43.28, joints_pos, 39.97, 51.05, -20.88, -82.13, 14.49, 44.93, 69.82, tool_torque, 0.13, -0.453, 0.314, tool_momentum, 0.127, -0.449, 0.313, robot_mode, normal, 
21/03/2022 15:59:50:613, robot_pos_w_timestamp, 1647874710400, 556.72, 255.99, 213.66, 2.21, 0.12, 3.08, tool_force, 0.82, 0.67, 0.36, actual_rep, 1, curr_step, 9, track_size, 82, robot_vel, 38.3, joints_pos, 39.8, 51.0, -21.29, -82.28, 14.22, 44.93, 69.81, tool_torque, 0.129, -0.401, 0.31, tool_momentum, 0.131, -0.416, 0.311, robot_mode, normal, 
21/03/2022 15:59:50:762, robot_pos_w_timestamp, 1647874710547, 558.19, 250.12, 214.17, 2.21, 0.13, 3.09, tool_force, 0.85, 0.35, 0.14, actual_rep, 1, curr_step, 9, track_size, 82, robot_vel, 41.94, joints_pos, 39.62, 50.94, -21.68, -82.48, 13.95, 44.93, 69.8, tool_torque, 0.135, -0.462, 0.329, tool_momentum, 0.144, -0.471, 0.33, robot_mode, normal, 
21/03/2022 15:59:50:918, robot_pos_w_timestamp, 1647874710697, 559.66, 244.35, 214.65, 2.21, 0.14, 3.09, tool_force, 0.53, 0.67, 0.34, actual_rep, 1, curr_step, 9, track_size, 82, robot_vel, 40.02, joints_pos, 39.44, 50.89, -22.07, -82.66, 13.68, 44.93, 69.79, tool_torque, 0.201, -0.469, 0.352, tool_momentum, 0.211, -0.485, 0.354, robot_mode, normal, 
21/03/2022 15:59:51:092, robot_pos_w_timestamp, 1647874710846, 560.99, 237.86, 215.05, 2.2, 0.15, 3.09, tool_force, 1.17, 0.6, 0.47, actual_rep, 1, curr_step, 10, track_size, 82, robot_vel, 42.77, joints_pos, 39.22, 50.84, -22.49, -82.89, 13.41, 44.93, 69.78, tool_torque, 0.145, -0.48, 0.342, tool_momentum, 0.149, -0.489, 0.342, robot_mode, normal, 
21/03/2022 15:59:51:215, robot_pos_w_timestamp, 1647874710993, 561.97, 232.86, 215.4, 2.19, 0.15, 3.1, tool_force, 1.12, 0.45, -0.16, actual_rep, 1, curr_step, 10, track_size, 82, robot_vel, 38.46, joints_pos, 39.08, 50.78, -22.82, -83.09, 13.24, 44.93, 69.77, tool_torque, 0.179, -0.504, 0.354, tool_momentum, 0.187, -0.497, 0.353, robot_mode, normal, 
21/03/2022 15:59:51:362, robot_pos_w_timestamp, 1647874711143, 563.01, 227.02, 215.7, 2.19, 0.16, 3.1, tool_force, 1.19, 0.78, 0.22, actual_rep, 1, curr_step, 10, track_size, 82, robot_vel, 40.98, joints_pos, 38.91, 50.74, -23.22, -83.31, 13.04, 44.93, 69.76, tool_torque, 0.194, -0.515, 0.376, tool_momentum, 0.188, -0.504, 0.376, robot_mode, normal, 
21/03/2022 15:59:51:552, robot_pos_w_timestamp, 1647874711292, 564.04, 220.62, 216.07, 2.18, 0.17, 3.11, tool_force, 1.35, 0.79, 0.28, actual_rep, 1, curr_step, 11, track_size, 82, robot_vel, 39.06, joints_pos, 38.69, 50.68, -23.63, -83.55, 12.79, 44.93, 69.75, tool_torque, 0.217, -0.557, 0.38, tool_momentum, 0.208, -0.58, 0.379, robot_mode, rotation_overlay, 
21/03/2022 15:59:51:676, robot_pos_w_timestamp, 1647874711423, 564.55, 219.33, 216.27, 2.18, 0.17, 3.11, tool_force, 1.81, 0.86, 0.36, actual_rep, 1, curr_step, 11, track_size, 82, robot_vel, 4.33, joints_pos, 38.62, 50.67, -23.65, -83.56, 12.74, 44.93, 69.75, tool_torque, 0.229, -0.68, 0.359, tool_momentum, 0.217, -0.659, 0.357, robot_mode, rotation_overlay, 
21/03/2022 15:59:51:818, robot_pos_w_timestamp, 1647874711571, 564.41, 217.37, 215.24, 2.19, 0.18, 3.11, tool_force, 2.1, -0.07, -0.39, actual_rep, 1, curr_step, 11, track_size, 82, robot_vel, 32.12, joints_pos, 38.61, 50.77, -23.79, -83.63, 12.39, 45.01, 69.16, tool_torque, 0.094, -0.766, 0.507, tool_momentum, 0.107, -0.747, 0.504, robot_mode, rotation_overlay, 
21/03/2022 15:59:51:968, robot_pos_w_timestamp, 1647874711718, 565.24, 213.47, 215.22, 2.24, 0.18, 3.13, tool_force, 1.2, 1.06, 0.26, actual_rep, 1, curr_step, 11, track_size, 82, robot_vel, 24.94, joints_pos, 38.39, 50.77, -23.95, -83.71, 12.3, 45.07, 66.16, tool_torque, 0.239, -0.627, 0.539, tool_momentum, 0.27, -0.643, 0.539, robot_mode, rotation_overlay, 
21/03/2022 15:59:52:141, robot_pos_w_timestamp, 1647874711887, 565.66, 208.29, 215.92, 2.31, 0.18, 3.14, tool_force, 1.3, 1.23, -0.44, actual_rep, 1, curr_step, 11, track_size, 82, robot_vel, 29.4, joints_pos, 38.02, 50.53, -23.97, -84.09, 12.12, 44.79, 61.88, tool_torque, 0.493, -0.599, 0.555, tool_momentum, 0.488, -0.605, 0.556, robot_mode, rotation_overlay, 
21/03/2022 15:59:52:267, robot_pos_w_timestamp, 1647874712016, 565.81, 204.27, 216.44, 2.34, 0.19, -3.14, tool_force, 0.94, 1.24, -0.06, actual_rep, 1, curr_step, 12, track_size, 82, robot_vel, 31.16, joints_pos, 37.82, 50.4, -24.1, -84.32, 11.89, 44.77, 60.26, tool_torque, 0.377, -0.46, 0.508, tool_momentum, 0.364, -0.481, 0.51, robot_mode, rotation_overlay, 
21/03/2022 15:59:52:467, robot_pos_w_timestamp, 1647874712158, 565.84, 202.78, 216.75, 2.34, 0.19, -3.13, tool_force, 1.29, 0.9, 0.15, actual_rep, 1, curr_step, 12, track_size, 82, robot_vel, 22.36, joints_pos, 37.78, 50.37, -24.18, -84.36, 11.81, 44.88, 59.96, tool_torque, 0.268, -0.655, 0.448, tool_momentum, 0.24, -0.637, 0.444, robot_mode, rotation_overlay, 
21/03/2022 15:59:52:570, robot_pos_w_timestamp, 1647874712294, 566.18, 201.72, 215.43, 2.33, 0.19, -3.14, tool_force, 0.53, 1.16, 0.33, actual_rep, 1, curr_step, 12, track_size, 82, robot_vel, 21.82, joints_pos, 37.75, 50.48, -24.31, -84.47, 12.15, 44.52, 60.33, tool_torque, 0.345, -0.242, 0.126, tool_momentum, 0.345, -0.236, 0.126, robot_mode, rotation_overlay, 
21/03/2022 15:59:52:734, robot_pos_w_timestamp, 1647874712455, 566.56, 198.77, 215.47, 2.28, 0.19, 3.14, tool_force, 0.17, 1.0, 0.09, actual_rep, 1, curr_step, 12, track_size, 82, robot_vel, 16.47, joints_pos, 37.78, 50.47, -24.74, -84.66, 12.62, 44.36, 62.57, tool_torque, 0.249, -0.078, -0.01, tool_momentum, 0.242, -0.052, -0.01, robot_mode, rotation_overlay, 
21/03/2022 15:59:52:873, robot_pos_w_timestamp, 1647874712594, 566.48, 196.28, 215.74, 2.21, 0.19, 3.13, tool_force, -0.4, 0.5, 0.67, actual_rep, 1, curr_step, 12, track_size, 82, robot_vel, 19.48, joints_pos, 37.85, 50.48, -25.12, -84.77, 12.78, 44.52, 66.46, tool_torque, -0.042, 0.017, -0.06, tool_momentum, -0.052, 0.011, -0.06, robot_mode, rotation_overlay, 
21/03/2022 15:59:53:025, robot_pos_w_timestamp, 1647874712743, 566.39, 193.61, 216.04, 2.11, 0.19, 3.12, tool_force, -0.25, -0.14, 0.58, actual_rep, 1, curr_step, 12, track_size, 82, robot_vel, 17.1, joints_pos, 37.92, 50.56, -25.52, -84.74, 12.78, 45.06, 71.94, tool_torque, -0.185, 0.106, -0.096, tool_momentum, -0.193, 0.125, -0.101, robot_mode, rotation_overlay, 
21/03/2022 15:59:53:174, robot_pos_w_timestamp, 1647874712891, 566.68, 191.21, 216.32, 2.03, 0.19, 3.11, tool_force, 0.07, -0.08, 0.69, actual_rep, 1, curr_step, 13, track_size, 82, robot_vel, 16.38, joints_pos, 37.93, 50.62, -25.81, -84.73, 12.68, 45.36, 76.19, tool_torque, -0.207, 0.058, -0.109, tool_momentum, -0.207, 0.062, -0.109, robot_mode, rotation_overlay, 
21/03/2022 15:59:53:331, robot_pos_w_timestamp, 1647874713048, 566.98, 188.6, 216.81, 1.99, 0.19, 3.1, tool_force, 0.5, 0.34, 0.32, actual_rep, 1, curr_step, 13, track_size, 82, robot_vel, 18.04, joints_pos, 37.81, 50.52, -25.92, -84.88, 12.58, 45.24, 78.46, tool_torque, 0.094, -0.126, -0.088, tool_momentum, 0.101, -0.131, -0.087, robot_mode, rotation_overlay, 
21/03/2022 15:59:53:477, robot_pos_w_timestamp, 1647874713191, 566.67, 186.65, 217.15, 1.98, 0.19, 3.09, tool_force, -0.02, 0.53, 0.48, actual_rep, 1, curr_step, 13, track_size, 82, robot_vel, 12.38, joints_pos, 37.68, 50.33, -25.88, -85.18, 12.55, 44.87, 78.78, tool_torque, 0.18, -0.177, 0.0080, tool_momentum, 0.173, -0.182, 0.0090, robot_mode, rotation_overlay, 
21/03/2022 15:59:53:628, robot_pos_w_timestamp, 1647874713321, 566.21, 186.49, 216.56, 1.98, 0.19, 3.1, tool_force, 0.67, 0.0, -1.09, actual_rep, 1, curr_step, 13, track_size, 82, robot_vel, 6.64, joints_pos, 37.66, 50.36, -25.83, -85.25, 12.42, 44.86, 78.61, tool_torque, 0.128, -0.568, 0.26, tool_momentum, 0.136, -0.578, 0.266, robot_mode, rotation_overlay, 
21/03/2022 15:59:53:775, robot_pos_w_timestamp, 1647874713468, 566.64, 184.41, 215.87, 2.01, 0.2, 3.11, tool_force, 1.78, -0.59, -0.04, actual_rep, 1, curr_step, 13, track_size, 82, robot_vel, 13.87, joints_pos, 37.55, 50.51, -25.93, -85.13, 12.21, 45.18, 76.72, tool_torque, -0.094, -0.677, 0.468, tool_momentum, -0.094, -0.67, 0.468, robot_mode, rotation_overlay, 
21/03/2022 15:59:53:939, robot_pos_w_timestamp, 1647874713622, 567.2, 181.89, 216.1, 2.09, 0.2, 3.12, tool_force, 1.67, 0.73, -0.06, actual_rep, 1, curr_step, 13, track_size, 82, robot_vel, 17.29, joints_pos, 37.3, 50.44, -25.88, -85.2, 12.05, 45.1, 72.33, tool_torque, 0.277, -0.725, 0.538, tool_momentum, 0.28, -0.728, 0.539, robot_mode, rotation_overlay, 
21/03/2022 15:59:54:080, robot_pos_w_timestamp, 1647874713766, 567.25, 179.38, 216.61, 2.18, 0.2, 3.14, tool_force, 1.52, 1.08, -0.45, actual_rep, 1, curr_step, 13, track_size, 82, robot_vel, 18.96, joints_pos, 37.02, 50.2, -25.73, -85.53, 11.93, 44.61, 67.08, tool_torque, 0.502, -0.816, 0.61, tool_momentum, 0.514, -0.839, 0.612, robot_mode, rotation_overlay, 
21/03/2022 15:59:54:235, robot_pos_w_timestamp, 1647874713916, 567.16, 176.6, 217.14, 2.26, 0.2, -3.13, tool_force, 1.28, 1.31, -0.23, actual_rep, 1, curr_step, 14, track_size, 82, robot_vel, 17.04, joints_pos, 36.79, 49.97, -25.66, -85.86, 11.8, 44.2, 62.28, tool_torque, 0.617, -0.779, 0.642, tool_momentum, 0.615, -0.801, 0.644, robot_mode, rotation_overlay, 
21/03/2022 15:59:54:379, robot_pos_w_timestamp, 1647874714064, 567.2, 173.96, 217.4, 2.31, 0.21, -3.12, tool_force, 1.34, 1.27, -0.27, actual_rep, 1, curr_step, 14, track_size, 82, robot_vel, 17.32, joints_pos, 36.7, 49.92, -25.79, -85.98, 11.61, 44.19, 59.78, tool_torque, 0.462, -0.698, 0.591, tool_momentum, 0.456, -0.703, 0.591, robot_mode, rotation_overlay, 
21/03/2022 15:59:54:563, robot_pos_w_timestamp, 1647874714214, 567.26, 171.92, 217.82, 2.32, 0.21, -3.11, tool_force, 0.77, 0.62, -0.08, actual_rep, 1, curr_step, 14, track_size, 82, robot_vel, 19.09, joints_pos, 36.69, 49.92, -25.98, -86.0, 11.42, 44.41, 59.11, tool_torque, 0.21, -0.588, 0.5, tool_momentum, 0.302, -0.598, 0.5, robot_mode, rotation_overlay, 
21/03/2022 15:59:54:680, robot_pos_w_timestamp, 1647874714343, 567.44, 171.68, 217.03, 2.32, 0.21, -3.12, tool_force, 1.47, 1.19, 0.01, actual_rep, 1, curr_step, 14, track_size, 82, robot_vel, 14.82, joints_pos, 36.68, 50.0, -26.0, -86.03, 11.52, 44.19, 59.29, tool_torque, 0.389, -0.545, 0.242, tool_momentum, 0.388, -0.538, 0.242, robot_mode, rotation_overlay, 
21/03/2022 15:59:54:837, robot_pos_w_timestamp, 1647874714494, 567.77, 169.34, 216.41, 2.28, 0.21, -3.13, tool_force, 0.45, 1.17, 0.27, actual_rep, 1, curr_step, 14, track_size, 82, robot_vel, 17.39, joints_pos, 36.65, 50.02, -26.32, -86.24, 12.2, 43.81, 60.6, tool_torque, 0.351, -0.235, 0.025, tool_momentum, 0.347, -0.228, 0.024, robot_mode, rotation_overlay, 
21/03/2022 15:59:54:994, robot_pos_w_timestamp, 1647874714640, 567.72, 167.22, 216.76, 2.22, 0.21, -3.14, tool_force, 0.23, 0.68, 0.2, actual_rep, 1, curr_step, 14, track_size, 82, robot_vel, 14.85, joints_pos, 36.73, 50.02, -26.69, -86.37, 12.49, 43.88, 64.22, tool_torque, 0.088, -0.121, -0.021, tool_momentum, 0.072, -0.1, -0.023, robot_mode, rotation_overlay, 
21/03/2022 15:59:55:137, robot_pos_w_timestamp, 1647874714791, 567.59, 164.98, 217.12, 2.12, 0.21, 3.13, tool_force, -0.24, -0.15, 0.41, actual_rep, 1, curr_step, 14, track_size, 82, robot_vel, 15.62, joints_pos, 36.79, 50.09, -27.05, -86.34, 12.54, 44.31, 69.49, tool_torque, -0.15, -0.048, -0.054, tool_momentum, -0.149, -0.07, -0.054, robot_mode, rotation_overlay, 
21/03/2022 15:59:55:285, robot_pos_w_timestamp, 1647874714938, 567.78, 163.06, 217.4, 2.03, 0.21, 3.12, tool_force, 0.24, -0.25, 0.53, actual_rep, 1, curr_step, 15, track_size, 82, robot_vel, 15.65, joints_pos, 36.82, 50.17, -27.33, -86.26, 12.48, 44.69, 74.03, tool_torque, -0.179, 0.051, -0.087, tool_momentum, -0.18, 0.051, -0.087, robot_mode, rotation_overlay, 
21/03/2022 15:59:55:437, robot_pos_w_timestamp, 1647874715088, 567.98, 161.13, 217.79, 1.98, 0.21, 3.11, tool_force, 0.66, 0.34, 0.38, actual_rep, 1, curr_step, 15, track_size, 82, robot_vel, 13.9, joints_pos, 36.74, 50.12, -27.41, -86.34, 12.37, 44.64, 76.83, tool_torque, 0.1, -0.191, -0.031, tool_momentum, 0.105, -0.193, -0.031, robot_mode, rotation_overlay, 
21/03/2022 15:59:55:586, robot_pos_w_timestamp, 1647874715237, 568.01, 159.11, 218.3, 1.96, 0.21, 3.1, tool_force, 1.32, 0.51, -0.08, actual_rep, 1, curr_step, 15, track_size, 82, robot_vel, 16.67, joints_pos, 36.59, 49.91, -27.37, -86.66, 12.28, 44.1, 77.62, tool_torque, 0.246, -0.484, 0.063, tool_momentum, 0.243, -0.483, 0.064, robot_mode, rotation_overlay, 
21/03/2022 15:59:55:755, robot_pos_w_timestamp, 1647874715365, 567.54, 158.77, 217.97, 1.96, 0.21, 3.1, tool_force, 0.72, 0.41, -0.27, actual_rep, 1, curr_step, 15, track_size, 82, robot_vel, 9.86, joints_pos, 36.53, 49.88, -27.27, -86.75, 12.16, 44.04, 77.55, tool_torque, 0.147, -0.668, 0.263, tool_momentum, 0.146, -0.682, 0.269, robot_mode, normal, 
21/03/2022 15:59:55:893, robot_pos_w_timestamp, 1647874715518, 567.9, 156.24, 217.22, 1.99, 0.22, 3.11, tool_force, 2.17, 0.11, -0.44, actual_rep, 1, curr_step, 15, track_size, 82, robot_vel, 16.06, joints_pos, 36.43, 50.0, -27.42, -86.75, 11.98, 44.1, 75.96, tool_torque, 0.108, -0.707, 0.478, tool_momentum, 0.111, -0.713, 0.478, robot_mode, normal, 
21/03/2022 15:59:56:042, robot_pos_w_timestamp, 1647874715666, 568.42, 153.35, 217.84, 2.05, 0.22, 3.12, tool_force, 1.69, 0.93, -0.48, actual_rep, 1, curr_step, 15, track_size, 82, robot_vel, 20.3, joints_pos, 36.15, 49.84, -27.36, -86.93, 11.84, 43.79, 72.2, tool_torque, 0.418, -0.714, 0.525, tool_momentum, 0.416, -0.696, 0.522, robot_mode, normal, 
21/03/2022 15:59:56:190, robot_pos_w_timestamp, 1647874715816, 568.19, 149.92, 218.5, 2.11, 0.22, 3.13, tool_force, 1.31, 1.27, -0.21, actual_rep, 1, curr_step, 16, track_size, 82, robot_vel, 24.29, joints_pos, 35.82, 49.57, -27.24, -87.28, 11.67, 43.39, 68.97, tool_torque, 0.538, -0.761, 0.572, tool_momentum, 0.538, -0.767, 0.572, robot_mode, normal, 
21/03/2022 15:59:56:347, robot_pos_w_timestamp, 1647874715965, 568.19, 143.91, 219.09, 2.13, 0.23, 3.13, tool_force, 1.55, 0.96, -0.57, actual_rep, 1, curr_step, 16, track_size, 82, robot_vel, 38.27, joints_pos, 35.43, 49.34, -27.37, -87.7, 11.62, 43.01, 67.22, tool_torque, 0.457, -0.58, 0.483, tool_momentum, 0.462, -0.578, 0.483, robot_mode, normal, 
21/03/2022 15:59:56:494, robot_pos_w_timestamp, 1647874716113, 568.16, 138.34, 219.67, 2.13, 0.23, 3.14, tool_force, 1.25, 1.29, 0.05, actual_rep, 1, curr_step, 17, track_size, 82, robot_vel, 39.74, joints_pos, 35.14, 49.22, -27.58, -87.94, 11.46, 43.0, 66.88, tool_torque, 0.494, -0.58, 0.473, tool_momentum, 0.5, -0.581, 0.471, robot_mode, normal, 
21/03/2022 15:59:56:648, robot_pos_w_timestamp, 1647874716263, 568.06, 132.57, 220.19, 2.13, 0.23, 3.14, tool_force, 1.41, 1.2, -0.2, actual_rep, 1, curr_step, 17, track_size, 82, robot_vel, 40.17, joints_pos, 34.8, 49.07, -27.77, -88.26, 11.39, 42.84, 66.5, tool_torque, 0.485, -0.526, 0.502, tool_momentum, 0.486, -0.526, 0.502, robot_mode, normal, 
21/03/2022 15:59:56:794, robot_pos_w_timestamp, 1647874716411, 567.89, 126.88, 220.77, 2.12, 0.24, 3.14, tool_force, 1.47, 1.45, -0.23, actual_rep, 1, curr_step, 18, track_size, 82, robot_vel, 37.65, joints_pos, 34.43, 48.89, -27.89, -88.58, 11.28, 42.67, 66.13, tool_torque, 0.5, -0.527, 0.496, tool_momentum, 0.501, -0.53, 0.496, robot_mode, normal, 
21/03/2022 15:59:56:944, robot_pos_w_timestamp, 1647874716559, 567.55, 121.04, 221.47, 2.12, 0.24, 3.14, tool_force, 1.39, 1.25, -0.15, actual_rep, 1, curr_step, 18, track_size, 82, robot_vel, 40.75, joints_pos, 34.04, 48.66, -28.0, -88.94, 11.25, 42.47, 65.7, tool_torque, 0.484, -0.519, 0.504, tool_momentum, 0.481, -0.511, 0.502, robot_mode, normal, 
21/03/2022 15:59:57:095, robot_pos_w_timestamp, 1647874716709, 567.11, 115.29, 222.29, 2.12, 0.24, 3.14, tool_force, 1.22, 1.32, 0.04, actual_rep, 1, curr_step, 19, track_size, 82, robot_vel, 41.79, joints_pos, 33.62, 48.42, -28.09, -89.31, 11.2, 42.29, 65.21, tool_torque, 0.516, -0.565, 0.514, tool_momentum, 0.532, -0.57, 0.514, robot_mode, normal, 
21/03/2022 15:59:57:246, robot_pos_w_timestamp, 1647874716857, 566.54, 109.46, 223.39, 2.12, 0.24, -3.14, tool_force, 1.73, 1.28, -0.16, actual_rep, 1, curr_step, 19, track_size, 82, robot_vel, 40.08, joints_pos, 33.2, 48.13, -28.16, -89.69, 11.19, 42.09, 64.66, tool_torque, 0.521, -0.631, 0.521, tool_momentum, 0.542, -0.62, 0.518, robot_mode, normal, 
21/03/2022 15:59:57:398, robot_pos_w_timestamp, 1647874717008, 565.84, 103.74, 224.94, 2.12, 0.24, -3.14, tool_force, 1.36, 1.22, -0.35, actual_rep, 1, curr_step, 20, track_size, 82, robot_vel, 41.64, joints_pos, 32.75, 47.78, -28.23, -90.09, 11.19, 42.0, 64.0, tool_torque, 0.486, -0.546, 0.493, tool_momentum, 0.49, -0.547, 0.493, robot_mode, normal, 
21/03/2022 15:59:57:547, robot_pos_w_timestamp, 1647874717155, 564.93, 97.96, 226.89, 2.12, 0.24, -3.14, tool_force, 1.61, 1.92, 0.32, actual_rep, 1, curr_step, 21, track_size, 82, robot_vel, 42.94, joints_pos, 32.28, 47.38, -28.25, -90.47, 11.19, 41.96, 63.27, tool_torque, 0.601, -0.581, 0.508, tool_momentum, 0.577, -0.564, 0.504, robot_mode, normal, 
21/03/2022 15:59:57:697, robot_pos_w_timestamp, 1647874717306, 563.77, 92.11, 230.18, 2.13, 0.24, -3.14, tool_force, 1.38, 0.83, -0.62, actual_rep, 1, curr_step, 22, track_size, 82, robot_vel, 43.7, joints_pos, 31.79, 46.77, -28.28, -90.94, 11.19, 41.96, 62.4, tool_torque, 0.418, -0.55, 0.478, tool_momentum, 0.419, -0.548, 0.479, robot_mode, normal, 
