05/04/2022 16:33:22: File Created!
05/04/2022 16:33:22:342, robot_pos_w_timestamp, 1649172710691, 612.9, 280.95, 203.72, 2.36, -0.03, 3.07, tool_force, -1.49, 0.81, 5.97, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 41.39, joints_pos, 26.8, 57.53, -5.0, -66.97, 9.17, 52.72, 63.71, tool_torque, -0.134, 0.272, -0.0040, tool_momentum, -0.135, 0.272, -0.0040, robot_mode, normal, 
05/04/2022 16:33:24:843, robot_pos_w_timestamp, 1649172713202, 617.52, 187.95, 198.55, 2.3, 0.0, 3.14, tool_force, -0.1, 2.85, 5.99, actual_rep, 1, curr_step, 11, track_size, 99, robot_vel, 41.6, joints_pos, 20.08, 55.28, -5.33, -72.43, 5.42, 52.47, 62.01, tool_torque, 0.407, -0.294, 0.526, tool_momentum, 0.394, -0.297, 0.526, robot_mode, normal, 
05/04/2022 16:33:25:109, robot_pos_w_timestamp, 1649172713506, 614.91, 176.18, 199.46, 2.3, 0.0, -3.13, tool_force, -0.26, 2.41, 5.88, actual_rep, 1, curr_step, 12, track_size, 99, robot_vel, 38.2, joints_pos, 19.21, 54.64, -5.33, -73.56, 5.13, 52.52, 61.23, tool_torque, 0.251, -0.235, 0.513, tool_momentum, 0.268, -0.239, 0.513, robot_mode, normal, 
05/04/2022 16:33:25:260, robot_pos_w_timestamp, 1649172713656, 613.21, 170.44, 200.08, 2.3, 0.0, -3.13, tool_force, 0.21, 2.86, 6.05, actual_rep, 1, curr_step, 12, track_size, 99, robot_vel, 40.46, joints_pos, 18.7, 54.25, -5.23, -74.24, 5.2, 52.4, 60.45, tool_torque, 0.452, -0.337, 0.533, tool_momentum, 0.434, -0.308, 0.533, robot_mode, normal, 
05/04/2022 16:33:25:441, robot_pos_w_timestamp, 1649172713807, 611.38, 164.1, 200.83, 2.31, -0.01, -3.13, tool_force, -0.3, 2.64, 5.91, actual_rep, 1, curr_step, 13, track_size, 99, robot_vel, 41.04, joints_pos, 18.12, 53.82, -5.12, -74.98, 5.35, 52.3, 59.5, tool_torque, 0.465, -0.267, 0.553, tool_momentum, 0.482, -0.28, 0.556, robot_mode, normal, 
05/04/2022 16:33:25:579, robot_pos_w_timestamp, 1649172713957, 609.16, 158.71, 201.49, 2.31, -0.01, -3.13, tool_force, -0.41, 2.76, 5.97, actual_rep, 1, curr_step, 13, track_size, 99, robot_vel, 41.42, joints_pos, 17.62, 53.4, -5.07, -75.77, 5.64, 52.17, 58.38, tool_torque, 0.469, -0.201, 0.541, tool_momentum, 0.464, -0.204, 0.541, robot_mode, normal, 
05/04/2022 16:33:25:711, robot_pos_w_timestamp, 1649172714108, 607.1, 152.91, 202.23, 2.32, -0.02, -3.13, tool_force, -0.49, 2.74, 6.12, actual_rep, 1, curr_step, 14, track_size, 99, robot_vel, 39.75, joints_pos, 17.15, 52.97, -5.05, -76.44, 5.76, 51.99, 57.5, tool_torque, 0.479, -0.178, 0.538, tool_momentum, 0.48, -0.179, 0.538, robot_mode, normal, 
05/04/2022 16:33:25:858, robot_pos_w_timestamp, 1649172714257, 604.9, 147.23, 203.05, 2.33, -0.02, -3.13, tool_force, 0.01, 2.88, 5.64, actual_rep, 1, curr_step, 15, track_size, 99, robot_vel, 39.4, joints_pos, 16.7, 52.48, -5.05, -77.28, 5.89, 51.56, 56.48, tool_torque, 0.546, -0.278, 0.538, tool_momentum, 0.54, -0.276, 0.538, robot_mode, normal, 
05/04/2022 16:33:26:020, robot_pos_w_timestamp, 1649172714417, 602.12, 141.0, 203.77, 2.33, -0.02, -3.14, tool_force, -0.21, 2.85, 6.07, actual_rep, 1, curr_step, 16, track_size, 99, robot_vel, 42.3, joints_pos, 16.2, 51.88, -5.05, -78.37, 6.11, 50.83, 55.37, tool_torque, 0.557, -0.203, 0.521, tool_momentum, 0.558, -0.189, 0.521, robot_mode, normal, 
05/04/2022 16:33:26:215, robot_pos_w_timestamp, 1649172714572, 598.83, 134.97, 204.38, 2.34, -0.01, -3.14, tool_force, -0.45, 2.59, 5.62, actual_rep, 1, curr_step, 17, track_size, 99, robot_vel, 43.04, joints_pos, 15.87, 51.22, -5.13, -79.61, 5.95, 49.76, 54.66, tool_torque, 0.46, 0.031, 0.465, tool_momentum, 0.475, 0.033, 0.467, robot_mode, normal, 
05/04/2022 16:33:26:380, robot_pos_w_timestamp, 1649172714723, 594.28, 129.21, 204.82, 2.35, -0.01, 3.14, tool_force, -0.15, 3.04, 5.86, actual_rep, 1, curr_step, 18, track_size, 99, robot_vel, 47.93, joints_pos, 15.4, 50.45, -5.06, -81.07, 6.12, 48.76, 53.73, tool_torque, 0.625, -0.229, 0.52, tool_momentum, 0.629, -0.214, 0.52, robot_mode, normal, 
