29/04/2022 17:25:46: File Created!
29/04/2022 17:25:46:643, robot_pos_w_timestamp, 1651249444559, 612.9, 280.92, 203.78, 2.36, -0.03, 3.07, tool_force, -1.11, 0.41, 7.42, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 0.0, joints_pos, 21.13, 57.54, 5.3, -66.97, -1.75, 52.42, 69.73, tool_torque, -0.086, 0.376, 0.018, joint_torque, -0.42, 4.89, -0.06, -2.11, 0.1, -0.05, 0.09, robot_mode, normal, 
29/04/2022 17:25:48:421, robot_pos_w_timestamp, 1651249446333, 620.04, 216.15, 197.51, 2.31, 0.0, 3.12, tool_force, 0.11, 2.14, 7.65, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 36.81, joints_pos, 16.3, 56.42, 4.95, -70.27, -4.78, 52.35, 69.57, tool_torque, 0.221, 0.0050, 0.267, joint_torque, 0.13, 5.02, -0.12, -1.91, 0.16, -0.05, 0.26, robot_mode, normal, 
29/04/2022 17:25:48:574, robot_pos_w_timestamp, 1651249446480, 619.86, 210.22, 197.46, 2.3, 0.01, 3.13, tool_force, -0.68, 1.5, 7.25, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 39.92, joints_pos, 15.87, 56.21, 4.92, -70.69, -5.12, 52.33, 69.64, tool_torque, 0.152, 0.157, 0.156, joint_torque, -0.04, 4.55, -0.11, -1.81, 0.16, -0.01, 0.16, robot_mode, normal, 
29/04/2022 17:25:48:781, robot_pos_w_timestamp, 1651249446645, 619.26, 204.02, 197.58, 2.3, 0.01, 3.13, tool_force, 0.41, 1.97, 7.33, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 38.76, joints_pos, 15.34, 55.97, 4.97, -71.16, -5.24, 52.42, 69.41, tool_torque, 0.199, -0.17, 0.372, joint_torque, 0.33, 4.83, -0.08, -1.92, 0.14, -0.1, 0.38, robot_mode, normal, 
29/04/2022 17:25:48:874, robot_pos_w_timestamp, 1651249446779, 618.83, 198.74, 197.66, 2.3, 0.0, 3.14, tool_force, 0.25, 1.91, 7.74, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 40.81, joints_pos, 14.85, 55.8, 5.03, -71.49, -5.25, 52.55, 69.06, tool_torque, 0.171, -0.235, 0.45, joint_torque, 0.2, 4.74, -0.22, -1.88, 0.15, -0.13, 0.45, robot_mode, normal, 
29/04/2022 17:25:49:022, robot_pos_w_timestamp, 1651249446927, 618.13, 193.02, 198.0, 2.3, 0.0, 3.14, tool_force, 0.25, 1.95, 7.53, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 40.11, joints_pos, 14.37, 55.54, 5.07, -71.97, -5.31, 52.55, 68.7, tool_torque, 0.264, -0.206, 0.488, joint_torque, 0.16, 4.96, -0.26, -1.96, 0.15, -0.05, 0.49, robot_mode, normal, 
29/04/2022 17:25:49:174, robot_pos_w_timestamp, 1651249447076, 617.32, 187.23, 198.28, 2.3, 0.0, -3.14, tool_force, 0.26, 2.21, 7.08, actual_rep, 1, curr_step, 11, track_size, 99, robot_vel, 41.14, joints_pos, 13.88, 55.26, 5.07, -72.49, -5.34, 52.47, 68.31, tool_torque, 0.34, -0.184, 0.463, joint_torque, 0.19, 4.66, -0.23, -1.9, 0.14, 0.01, 0.46, robot_mode, normal, 
29/04/2022 17:25:49:324, robot_pos_w_timestamp, 1651249447226, 616.05, 181.39, 198.76, 2.3, 0.0, -3.14, tool_force, -0.12, 2.05, 7.48, actual_rep, 1, curr_step, 11, track_size, 99, robot_vel, 37.72, joints_pos, 13.41, 54.93, 5.07, -73.07, -5.45, 52.48, 67.94, tool_torque, 0.297, -0.159, 0.456, joint_torque, 0.07, 4.51, -0.28, -1.77, 0.14, -0.02, 0.46, robot_mode, normal, 
29/04/2022 17:25:49:477, robot_pos_w_timestamp, 1651249447374, 614.72, 175.56, 199.22, 2.3, 0.0, -3.13, tool_force, 0.11, 2.52, 7.6, actual_rep, 1, curr_step, 12, track_size, 99, robot_vel, 40.84, joints_pos, 12.94, 54.62, 5.07, -73.62, -5.55, 52.5, 67.54, tool_torque, 0.315, -0.207, 0.464, joint_torque, 0.16, 4.88, -0.23, -1.9, 0.13, -0.05, 0.48, robot_mode, normal, 
29/04/2022 17:25:49:631, robot_pos_w_timestamp, 1651249447527, 613.05, 169.7, 199.87, 2.3, 0.0, -3.13, tool_force, 0.11, 2.33, 7.44, actual_rep, 1, curr_step, 12, track_size, 99, robot_vel, 40.8, joints_pos, 12.34, 54.23, 5.19, -74.31, -5.41, 52.36, 66.75, tool_torque, 0.403, -0.186, 0.461, joint_torque, 0.24, 4.67, -0.24, -1.77, 0.09, 0.03, 0.47, robot_mode, normal, 
29/04/2022 17:25:49:778, robot_pos_w_timestamp, 1651249447673, 611.07, 163.97, 200.55, 2.31, -0.01, -3.13, tool_force, -0.04, 2.48, 7.58, actual_rep, 1, curr_step, 13, track_size, 99, robot_vel, 46.07, joints_pos, 11.78, 53.83, 5.27, -75.02, -5.22, 52.27, 65.88, tool_torque, 0.433, -0.167, 0.448, joint_torque, 0.14, 4.73, -0.3, -1.89, 0.08, 0.05, 0.46, robot_mode, normal, 
29/04/2022 17:25:49:930, robot_pos_w_timestamp, 1651249447823, 608.97, 158.14, 201.3, 2.31, -0.01, -3.13, tool_force, -0.02, 1.85, 7.35, actual_rep, 1, curr_step, 14, track_size, 99, robot_vel, 38.22, joints_pos, 11.2, 53.4, 5.31, -75.76, -4.88, 52.1, 64.85, tool_torque, 0.407, -0.184, 0.469, joint_torque, 0.08, 4.54, -0.34, -1.64, 0.06, 0.03, 0.48, robot_mode, normal, 
29/04/2022 17:25:50:082, robot_pos_w_timestamp, 1651249447970, 606.74, 152.39, 202.03, 2.32, -0.02, -3.13, tool_force, -0.21, 2.4, 7.84, actual_rep, 1, curr_step, 14, track_size, 99, robot_vel, 45.84, joints_pos, 10.71, 52.94, 5.31, -76.55, -4.76, 51.88, 63.91, tool_torque, 0.429, -0.136, 0.467, joint_torque, 0.08, 4.72, -0.27, -1.86, 0.08, 0.07, 0.5, robot_mode, normal, 
29/04/2022 17:25:50:231, robot_pos_w_timestamp, 1651249448122, 604.58, 146.55, 202.81, 2.33, -0.02, -3.13, tool_force, -0.53, 2.27, 7.23, actual_rep, 1, curr_step, 15, track_size, 99, robot_vel, 43.62, joints_pos, 10.17, 52.46, 5.31, -77.38, -4.59, 51.42, 62.91, tool_torque, 0.432, -0.082, 0.464, joint_torque, -0.09, 4.59, -0.36, -1.8, 0.07, 0.08, 0.49, robot_mode, normal, 
29/04/2022 17:25:50:384, robot_pos_w_timestamp, 1651249448267, 601.98, 140.85, 203.57, 2.33, -0.02, -3.14, tool_force, -0.57, 2.39, 7.59, actual_rep, 1, curr_step, 16, track_size, 99, robot_vel, 42.47, joints_pos, 9.64, 51.88, 5.31, -78.42, -4.4, 50.7, 61.98, tool_torque, 0.427, -0.056, 0.449, joint_torque, 0.06, 4.75, -0.22, -1.89, 0.09, 0.08, 0.49, robot_mode, normal, 
29/04/2022 17:25:50:531, robot_pos_w_timestamp, 1651249448417, 598.84, 134.99, 204.13, 2.34, -0.01, -3.14, tool_force, -0.49, 1.67, 6.86, actual_rep, 1, curr_step, 17, track_size, 99, robot_vel, 45.33, joints_pos, 9.21, 51.25, 5.27, -79.59, -4.63, 49.8, 61.53, tool_torque, 0.336, -0.023, 0.421, joint_torque, -0.08, 4.49, -0.25, -1.63, 0.1, 0.07, 0.46, robot_mode, normal, 
29/04/2022 17:25:50:683, robot_pos_w_timestamp, 1651249448565, 594.31, 129.28, 204.49, 2.35, -0.01, 3.13, tool_force, -0.2, 1.88, 7.21, actual_rep, 1, curr_step, 18, track_size, 99, robot_vel, 53.96, joints_pos, 8.66, 50.48, 5.31, -81.1, -4.51, 48.61, 60.62, tool_torque, 0.416, -0.115, 0.443, joint_torque, 0.04, 4.32, -0.29, -1.68, 0.08, 0.06, 0.47, robot_mode, normal, 
29/04/2022 17:25:50:832, robot_pos_w_timestamp, 1651249448715, 588.25, 123.78, 204.89, 2.35, -0.01, 3.13, tool_force, -0.36, 1.75, 6.97, actual_rep, 1, curr_step, 19, track_size, 99, robot_vel, 50.92, joints_pos, 8.17, 49.68, 5.34, -82.64, -4.34, 47.81, 60.03, tool_torque, 0.428, -0.085, 0.445, joint_torque, -0.17, 4.53, -0.42, -1.89, 0.06, 0.11, 0.49, robot_mode, normal, 
29/04/2022 17:25:50:987, robot_pos_w_timestamp, 1651249448865, 582.7, 118.75, 205.35, 2.35, -0.02, 3.13, tool_force, -0.38, 2.03, 7.99, actual_rep, 1, curr_step, 20, track_size, 99, robot_vel, 47.46, joints_pos, 7.64, 48.96, 5.39, -84.02, -3.8, 47.17, 59.22, tool_torque, 0.508, -0.16, 0.44, joint_torque, 0.14, 4.29, -0.3, -1.64, 0.06, 0.12, 0.46, robot_mode, normal, 
29/04/2022 17:25:51:142, robot_pos_w_timestamp, 1651249449017, 576.65, 113.88, 206.1, 2.35, -0.02, 3.12, tool_force, -0.26, 1.5, 7.85, actual_rep, 1, curr_step, 21, track_size, 99, robot_vel, 53.63, joints_pos, 7.17, 48.11, 5.41, -85.6, -3.47, 46.23, 58.61, tool_torque, 0.474, -0.14, 0.44, joint_torque, 0.01, 4.46, -0.36, -1.82, 0.06, 0.12, 0.46, robot_mode, normal, 
29/04/2022 17:25:51:287, robot_pos_w_timestamp, 1651249449162, 570.96, 109.96, 206.96, 2.35, -0.02, 3.12, tool_force, 0.16, 1.93, 7.67, actual_rep, 1, curr_step, 22, track_size, 99, robot_vel, 45.56, joints_pos, 6.85, 47.37, 5.4, -86.93, -3.38, 45.6, 58.31, tool_torque, 0.53, -0.21, 0.429, joint_torque, 0.37, 4.27, -0.19, -1.75, 0.06, 0.13, 0.44, robot_mode, normal, 
29/04/2022 17:25:51:437, robot_pos_w_timestamp, 1651249449311, 565.29, 106.3, 208.2, 2.35, -0.02, 3.12, tool_force, -0.52, 2.03, 7.36, actual_rep, 1, curr_step, 24, track_size, 99, robot_vel, 44.15, joints_pos, 6.66, 46.55, 5.27, -88.32, -3.44, 44.84, 58.13, tool_torque, 0.403, 0.0, 0.327, joint_torque, 0.18, 4.25, -0.08, -1.69, 0.09, 0.14, 0.36, robot_mode, normal, 
29/04/2022 17:25:51:588, robot_pos_w_timestamp, 1651249449459, 559.43, 103.42, 209.67, 2.35, -0.01, 3.12, tool_force, -0.03, 1.87, 7.07, actual_rep, 1, curr_step, 25, track_size, 99, robot_vel, 48.05, joints_pos, 6.5, 45.67, 5.23, -89.79, -3.54, 43.81, 58.1, tool_torque, 0.45, -0.055, 0.321, joint_torque, 0.44, 4.35, 0.03, -1.91, 0.09, 0.16, 0.35, robot_mode, normal, 
29/04/2022 17:25:51:740, robot_pos_w_timestamp, 1651249449608, 553.53, 101.54, 211.35, 2.35, -0.01, 3.11, tool_force, -0.45, 1.9, 7.26, actual_rep, 1, curr_step, 26, track_size, 99, robot_vel, 41.02, joints_pos, 6.18, 44.88, 5.42, -91.04, -3.26, 43.35, 57.79, tool_torque, 0.557, -0.167, 0.421, joint_torque, 0.21, 4.37, -0.27, -1.74, 0.06, 0.16, 0.43, robot_mode, normal, 
29/04/2022 17:25:51:891, robot_pos_w_timestamp, 1651249449757, 547.86, 100.31, 212.73, 2.35, -0.02, 3.11, tool_force, -0.4, 1.82, 7.85, actual_rep, 1, curr_step, 27, track_size, 99, robot_vel, 42.75, joints_pos, 5.99, 44.2, 5.52, -92.14, -2.95, 43.03, 57.5, tool_torque, 0.572, -0.165, 0.41, joint_torque, 0.18, 4.14, -0.31, -1.65, 0.06, 0.17, 0.41, robot_mode, normal, 
29/04/2022 17:25:52:044, robot_pos_w_timestamp, 1651249449906, 542.02, 100.27, 214.43, 2.35, -0.02, 3.11, tool_force, -0.49, 1.52, 7.5, actual_rep, 1, curr_step, 30, track_size, 99, robot_vel, 41.32, joints_pos, 5.98, 43.47, 5.57, -93.24, -2.66, 42.77, 57.39, tool_torque, 0.525, -0.104, 0.388, joint_torque, -0.02, 4.14, -0.4, -1.63, 0.04, 0.18, 0.41, robot_mode, normal, 
29/04/2022 17:25:52:192, robot_pos_w_timestamp, 1651249450056, 536.31, 101.45, 216.34, 2.35, -0.03, 3.11, tool_force, -0.56, 1.65, 7.28, actual_rep, 1, curr_step, 32, track_size, 99, robot_vel, 44.68, joints_pos, 5.99, 42.8, 5.7, -94.22, -2.14, 42.62, 57.18, tool_torque, 0.527, -0.07, 0.372, joint_torque, 0.08, 4.32, -0.29, -1.63, 0.04, 0.17, 0.4, robot_mode, normal, 
29/04/2022 17:25:52:343, robot_pos_w_timestamp, 1651249450206, 530.45, 104.02, 218.86, 2.35, -0.04, 3.11, tool_force, -1.12, 1.25, 7.04, actual_rep, 1, curr_step, 35, track_size, 99, robot_vel, 43.16, joints_pos, 6.08, 42.03, 5.91, -95.23, -1.62, 42.42, 56.99, tool_torque, 0.389, 0.094, 0.334, joint_torque, -0.35, 4.11, -0.43, -1.62, 0.03, 0.15, 0.41, robot_mode, normal, 
29/04/2022 17:25:52:492, robot_pos_w_timestamp, 1651249450353, 524.75, 107.69, 221.25, 2.36, -0.04, 3.1, tool_force, -1.31, 1.4, 7.46, actual_rep, 1, curr_step, 37, track_size, 99, robot_vel, 46.49, joints_pos, 6.34, 41.32, 6.09, -96.16, -1.22, 42.25, 56.86, tool_torque, 0.356, 0.17, 0.296, joint_torque, -0.44, 4.14, -0.47, -1.62, 0.03, 0.16, 0.38, robot_mode, normal, 
29/04/2022 17:25:52:646, robot_pos_w_timestamp, 1651249450503, 518.91, 112.27, 223.15, 2.36, -0.05, 3.1, tool_force, -1.32, 1.26, 7.23, actual_rep, 1, curr_step, 37, track_size, 99, robot_vel, 46.33, joints_pos, 6.75, 40.71, 6.19, -96.99, -0.72, 42.2, 56.79, tool_torque, 0.323, 0.155, 0.296, joint_torque, -0.37, 4.11, -0.35, -1.65, 0.03, 0.14, 0.39, robot_mode, normal, 
29/04/2022 17:25:52:793, robot_pos_w_timestamp, 1651249450650, 513.15, 116.8, 225.12, 2.37, -0.06, 3.1, tool_force, -1.37, 1.22, 7.54, actual_rep, 1, curr_step, 37, track_size, 99, robot_vel, 55.44, joints_pos, 7.22, 40.07, 6.23, -97.82, -0.14, 42.14, 56.63, tool_torque, 0.324, 0.212, 0.304, joint_torque, -0.48, 3.95, -0.39, -1.53, 0.02, 0.15, 0.42, robot_mode, normal, 
29/04/2022 17:25:52:958, robot_pos_w_timestamp, 1651249450809, 506.88, 122.23, 226.43, 2.37, -0.06, 3.1, tool_force, -1.82, 1.22, 7.87, actual_rep, 1, curr_step, 39, track_size, 99, robot_vel, 54.85, joints_pos, 7.8, 39.49, 6.27, -98.7, 0.33, 41.9, 56.73, tool_torque, 0.238, 0.416, 0.088, joint_torque, -0.42, 4.19, -0.33, -1.5, 0.03, 0.16, 0.14, robot_mode, normal, 
29/04/2022 17:25:53:100, robot_pos_w_timestamp, 1651249450948, 502.47, 126.83, 227.05, 2.38, -0.07, 3.1, tool_force, -2.23, 1.01, 8.03, actual_rep, 1, curr_step, 40, track_size, 99, robot_vel, 46.99, joints_pos, 8.37, 39.15, 6.23, -99.23, 0.81, 41.88, 56.5, tool_torque, 0.061, 0.319, 0.2, joint_torque, -0.67, 4.26, -0.31, -1.59, 0.01, 0.0, 0.36, robot_mode, normal, 
29/04/2022 17:25:53:247, robot_pos_w_timestamp, 1651249451097, 497.94, 132.45, 227.46, 2.38, -0.06, 3.1, tool_force, -2.06, 0.09, 7.09, actual_rep, 1, curr_step, 41, track_size, 99, robot_vel, 50.06, joints_pos, 9.12, 38.79, 6.18, -99.83, 0.75, 41.51, 57.04, tool_torque, -0.022, 0.664, -0.053, joint_torque, -0.63, 3.86, -0.24, -1.56, 0.07, 0.17, 0.04, robot_mode, normal, 
29/04/2022 17:25:53:399, robot_pos_w_timestamp, 1651249451247, 493.6, 138.46, 228.0, 2.38, -0.06, 3.1, tool_force, -3.06, 0.8, 7.82, actual_rep, 1, curr_step, 43, track_size, 99, robot_vel, 50.14, joints_pos, 9.89, 38.4, 6.14, -100.47, 0.9, 40.88, 57.73, tool_torque, 0.033, 0.854, -0.129, joint_torque, -0.72, 4.39, -0.21, -1.63, 0.03, 0.21, -0.01, robot_mode, normal, 
29/04/2022 17:25:53:548, robot_pos_w_timestamp, 1651249451396, 489.87, 143.99, 228.7, 2.37, -0.06, 3.09, tool_force, -1.99, 0.65, 6.97, actual_rep, 1, curr_step, 44, track_size, 99, robot_vel, 42.41, joints_pos, 10.56, 38.08, 6.12, -100.94, 1.18, 40.5, 58.59, tool_torque, 0.041, 0.687, -0.138, joint_torque, -0.48, 3.83, -0.12, -1.52, 0.01, 0.18, -0.04, robot_mode, normal, 
29/04/2022 17:25:53:698, robot_pos_w_timestamp, 1651249451544, 486.76, 149.88, 229.31, 2.37, -0.06, 3.09, tool_force, -2.05, 0.9, 7.22, actual_rep, 1, curr_step, 45, track_size, 99, robot_vel, 40.3, joints_pos, 11.29, 37.86, 6.11, -101.21, 1.23, 40.31, 59.37, tool_torque, 0.115, 0.632, -0.129, joint_torque, -0.17, 3.9, 0.09, -1.51, 0.02, 0.18, -0.04, robot_mode, normal, 
29/04/2022 17:25:53:851, robot_pos_w_timestamp, 1651249451694, 484.18, 155.74, 230.03, 2.37, -0.06, 3.09, tool_force, -2.51, 0.84, 7.23, actual_rep, 1, curr_step, 46, track_size, 99, robot_vel, 43.02, joints_pos, 11.99, 37.68, 6.11, -101.42, 1.36, 40.1, 60.03, tool_torque, 0.075, 0.746, -0.14, joint_torque, -0.53, 4.09, -0.12, -1.5, 0.01, 0.18, -0.03, robot_mode, normal, 
29/04/2022 17:25:54:001, robot_pos_w_timestamp, 1651249451841, 481.76, 161.39, 230.8, 2.37, -0.06, 3.08, tool_force, -2.55, 0.35, 7.11, actual_rep, 1, curr_step, 47, track_size, 99, robot_vel, 45.01, joints_pos, 12.62, 37.49, 6.12, -101.63, 1.61, 39.79, 60.5, tool_torque, -0.0080, 0.791, -0.149, joint_torque, -0.69, 3.92, -0.25, -1.59, 0.01, 0.19, -0.04, robot_mode, normal, 
29/04/2022 17:25:54:149, robot_pos_w_timestamp, 1651249451990, 479.74, 167.21, 231.4, 2.37, -0.06, 3.08, tool_force, -2.11, 0.77, 7.28, actual_rep, 1, curr_step, 48, track_size, 99, robot_vel, 39.27, joints_pos, 13.31, 37.39, 6.12, -101.69, 1.68, 39.7, 61.14, tool_torque, 0.078, 0.721, -0.149, joint_torque, -0.46, 3.97, -0.12, -1.51, 0.01, 0.18, -0.05, robot_mode, normal, 
29/04/2022 17:25:54:319, robot_pos_w_timestamp, 1651249452137, 477.81, 172.93, 231.95, 2.37, -0.06, 3.08, tool_force, -2.75, 0.32, 7.06, actual_rep, 1, curr_step, 49, track_size, 99, robot_vel, 42.28, joints_pos, 13.99, 37.32, 6.1, -101.7, 1.68, 39.65, 61.81, tool_torque, -0.029, 0.859, -0.167, joint_torque, -0.56, 3.95, -0.11, -1.55, 0.02, 0.17, -0.05, robot_mode, normal, 
29/04/2022 17:25:54:454, robot_pos_w_timestamp, 1651249452287, 475.92, 178.75, 232.38, 2.37, -0.06, 3.08, tool_force, -1.8, 0.41, 7.45, actual_rep, 1, curr_step, 50, track_size, 99, robot_vel, 41.62, joints_pos, 14.7, 37.28, 6.1, -101.69, 1.69, 39.62, 62.53, tool_torque, 0.03, 0.662, -0.144, joint_torque, -0.28, 4.0, 0.03, -1.71, 0.03, 0.18, -0.05, robot_mode, normal, 
29/04/2022 17:25:54:601, robot_pos_w_timestamp, 1651249452434, 474.41, 184.49, 232.87, 2.37, -0.06, 3.08, tool_force, -2.37, -0.07, 7.45, actual_rep, 1, curr_step, 52, track_size, 99, robot_vel, 41.21, joints_pos, 15.37, 37.27, 6.09, -101.6, 1.69, 39.62, 63.44, tool_torque, -0.103, 0.781, -0.166, joint_torque, -0.54, 4.01, -0.05, -1.75, 0.03, 0.13, -0.05, robot_mode, normal, 
29/04/2022 17:25:54:760, robot_pos_w_timestamp, 1651249452585, 473.26, 190.35, 233.41, 2.36, -0.06, 3.08, tool_force, -1.99, -0.38, 7.44, actual_rep, 1, curr_step, 52, track_size, 99, robot_vel, 38.48, joints_pos, 16.08, 37.29, 6.04, -101.44, 1.68, 39.66, 64.31, tool_torque, -0.241, 0.764, -0.173, joint_torque, -0.8, 3.95, -0.25, -1.82, 0.02, 0.04, -0.04, robot_mode, normal, 
29/04/2022 17:25:54:903, robot_pos_w_timestamp, 1651249452732, 472.73, 196.04, 233.96, 2.36, -0.06, 3.08, tool_force, -1.74, -0.31, 7.57, actual_rep, 1, curr_step, 53, track_size, 99, robot_vel, 36.77, joints_pos, 16.73, 37.37, 6.01, -101.17, 1.63, 39.75, 65.32, tool_torque, -0.287, 0.608, -0.159, joint_torque, -0.39, 3.83, 0.02, -1.74, 0.05, -0.07, -0.06, robot_mode, normal, 
29/04/2022 17:25:55:054, robot_pos_w_timestamp, 1651249452882, 472.86, 201.88, 234.72, 2.35, -0.06, 3.08, tool_force, -1.91, 0.08, 7.36, actual_rep, 1, curr_step, 54, track_size, 99, robot_vel, 38.48, joints_pos, 17.42, 37.44, 5.97, -100.85, 1.46, 39.64, 66.29, tool_torque, -0.137, 0.807, -0.19, joint_torque, -0.5, 3.97, -0.07, -1.78, 0.07, 0.11, -0.08, robot_mode, normal, 
29/04/2022 17:25:55:206, robot_pos_w_timestamp, 1651249453030, 473.21, 207.55, 235.51, 2.35, -0.05, 3.07, tool_force, -1.6, -0.38, 7.41, actual_rep, 1, curr_step, 55, track_size, 99, robot_vel, 39.2, joints_pos, 18.08, 37.52, 5.91, -100.51, 1.2, 39.49, 67.45, tool_torque, -0.202, 0.724, -0.184, joint_torque, -0.4, 4.09, 0.01, -1.97, 0.08, 0.06, -0.09, robot_mode, normal, 
29/04/2022 17:25:55:355, robot_pos_w_timestamp, 1651249453179, 474.7, 213.4, 236.23, 2.34, -0.05, 3.07, tool_force, -1.78, -0.39, 7.55, actual_rep, 1, curr_step, 56, track_size, 99, robot_vel, 41.18, joints_pos, 18.68, 37.78, 5.87, -99.88, 1.11, 39.71, 68.29, tool_torque, -0.333, 0.726, -0.196, joint_torque, -0.5, 4.03, -0.01, -1.85, 0.09, -0.08, -0.09, robot_mode, normal, 
