30/03/2022 10:16:25: File Created!
30/03/2022 10:16:25:887, robot_pos_w_timestamp, 1648628101408, 549.96, 316.46, 244.24, 2.27, 0.05, 3.05, tool_force, 0.44, 0.2, 0.24, actual_rep, 1, curr_step, 1, track_size, 86, robot_vel, 0.0, joints_pos, 41.97, 49.89, -18.77, -77.69, 16.19, 49.43, 70.08, tool_torque, -0.02, -0.34, 0.109, tool_momentum, -0.019, -0.338, 0.109, robot_mode, normal, 
30/03/2022 10:16:27:622, robot_pos_w_timestamp, 1648628103165, 575.94, 258.58, 238.58, 2.24, 0.08, 3.08, tool_force, 1.02, -0.04, 0.35, actual_rep, 1, curr_step, 12, track_size, 86, robot_vel, 44.19, joints_pos, 38.05, 50.68, -21.11, -77.97, 16.16, 49.8, 66.45, tool_torque, -0.019, -0.474, 0.477, tool_momentum, -0.016, -0.489, 0.48, robot_mode, normal, 
30/03/2022 10:16:27:774, robot_pos_w_timestamp, 1648628103313, 577.62, 252.68, 239.25, 2.24, 0.09, 3.08, tool_force, 0.48, 0.38, 0.39, actual_rep, 1, curr_step, 12, track_size, 86, robot_vel, 40.85, joints_pos, 37.63, 50.58, -21.27, -78.1, 16.17, 49.93, 66.08, tool_torque, -0.0030, -0.462, 0.438, tool_momentum, -0.0070, -0.448, 0.438, robot_mode, normal, 
30/03/2022 10:16:27:924, robot_pos_w_timestamp, 1648628103460, 579.23, 246.89, 239.98, 2.23, 0.09, 3.09, tool_force, 0.24, 0.51, 0.22, actual_rep, 1, curr_step, 13, track_size, 86, robot_vel, 44.8, joints_pos, 37.24, 50.48, -21.45, -78.22, 16.17, 50.07, 65.72, tool_torque, 0.0070, -0.579, 0.442, tool_momentum, 0.01, -0.587, 0.443, robot_mode, normal, 
30/03/2022 10:16:28:074, robot_pos_w_timestamp, 1648628103610, 580.39, 241.23, 240.72, 2.23, 0.09, 3.09, tool_force, 0.89, 0.84, 0.05, actual_rep, 1, curr_step, 13, track_size, 86, robot_vel, 38.36, joints_pos, 36.85, 50.34, -21.6, -78.41, 16.18, 50.18, 65.32, tool_torque, 0.051, -0.682, 0.451, tool_momentum, 0.054, -0.679, 0.452, robot_mode, normal, 
30/03/2022 10:16:28:223, robot_pos_w_timestamp, 1648628103756, 581.41, 235.54, 241.36, 2.23, 0.09, 3.09, tool_force, 1.32, 1.17, -0.09, actual_rep, 1, curr_step, 14, track_size, 86, robot_vel, 40.31, joints_pos, 36.45, 50.2, -21.73, -78.62, 16.19, 50.27, 64.89, tool_torque, 0.044, -0.706, 0.433, tool_momentum, 0.038, -0.688, 0.431, robot_mode, normal, 
30/03/2022 10:16:28:373, robot_pos_w_timestamp, 1648628103903, 582.21, 229.75, 241.95, 2.23, 0.09, 3.1, tool_force, 0.47, 1.55, 0.4, actual_rep, 1, curr_step, 14, track_size, 86, robot_vel, 37.4, joints_pos, 36.04, 50.03, -21.84, -78.87, 16.22, 50.33, 64.36, tool_torque, 0.077, -0.601, 0.418, tool_momentum, 0.063, -0.596, 0.414, robot_mode, normal, 
30/03/2022 10:16:28:524, robot_pos_w_timestamp, 1648628104052, 582.94, 224.01, 242.57, 2.23, 0.09, 3.1, tool_force, 0.32, 1.38, 0.07, actual_rep, 1, curr_step, 15, track_size, 86, robot_vel, 41.22, joints_pos, 35.61, 49.86, -21.92, -79.13, 16.23, 50.4, 63.78, tool_torque, 0.0020, -0.582, 0.369, tool_momentum, 0.0040, -0.587, 0.369, robot_mode, normal, 
30/03/2022 10:16:28:675, robot_pos_w_timestamp, 1648628104199, 583.44, 218.22, 243.14, 2.23, 0.09, 3.1, tool_force, 0.37, 2.46, 0.7, actual_rep, 1, curr_step, 15, track_size, 86, robot_vel, 40.72, joints_pos, 35.19, 49.66, -21.99, -79.42, 16.28, 50.42, 63.09, tool_torque, 0.064, -0.542, 0.302, tool_momentum, 0.046, -0.504, 0.301, robot_mode, normal, 
30/03/2022 10:16:28:826, robot_pos_w_timestamp, 1648628104348, 584.17, 212.52, 243.49, 2.23, 0.09, 3.1, tool_force, -1.35, 2.79, 0.66, actual_rep, 1, curr_step, 16, track_size, 86, robot_vel, 40.02, joints_pos, 34.71, 49.51, -22.02, -79.65, 16.32, 50.44, 62.36, tool_torque, 0.086, -0.43, 0.226, tool_momentum, 0.084, -0.43, 0.225, robot_mode, impedance, 
30/03/2022 10:16:28:976, robot_pos_w_timestamp, 1648628104494, 586.11, 206.86, 242.69, 2.24, 0.09, 3.1, tool_force, -3.06, 3.32, 2.47, actual_rep, 1, curr_step, 16, track_size, 86, robot_vel, 43.25, joints_pos, 34.15, 49.59, -22.02, -79.64, 16.41, 50.44, 61.55, tool_torque, 0.033, -0.343, 0.147, tool_momentum, 0.039, -0.358, 0.148, robot_mode, impedance, 
30/03/2022 10:16:29:124, robot_pos_w_timestamp, 1648628104643, 589.24, 199.57, 242.64, 2.24, 0.08, 3.11, tool_force, -4.87, 2.52, 2.8, actual_rep, 1, curr_step, 16, track_size, 86, robot_vel, 52.85, joints_pos, 33.37, 49.69, -22.03, -79.45, 16.52, 50.69, 60.57, tool_torque, -0.146, -0.288, 0.15, tool_momentum, -0.137, -0.319, 0.155, robot_mode, impedance, 
30/03/2022 10:16:29:278, robot_pos_w_timestamp, 1648628104789, 592.14, 193.58, 243.57, 2.24, 0.08, 3.11, tool_force, -6.58, 1.78, 1.52, actual_rep, 1, curr_step, 16, track_size, 86, robot_vel, 40.72, joints_pos, 32.68, 49.7, -21.96, -79.24, 16.53, 50.89, 59.89, tool_torque, -0.151, -0.462, 0.196, tool_momentum, -0.147, -0.5, 0.199, robot_mode, impedance, 
30/03/2022 10:16:29:426, robot_pos_w_timestamp, 1648628104939, 594.69, 191.49, 246.38, 2.24, 0.08, 3.11, tool_force, -7.24, 1.18, -5.27, actual_rep, 1, curr_step, 16, track_size, 86, robot_vel, 33.44, joints_pos, 32.38, 49.65, -21.95, -78.79, 16.3, 51.35, 59.78, tool_torque, 0.011, -1.011, 0.116, tool_momentum, 0.0060, -1.012, 0.115, robot_mode, impedance, 
30/03/2022 10:16:29:579, robot_pos_w_timestamp, 1648628105086, 596.62, 190.31, 250.82, 2.24, 0.09, 3.11, tool_force, -8.06, 1.34, -10.53, actual_rep, 1, curr_step, 16, track_size, 86, robot_vel, 29.57, joints_pos, 32.27, 49.45, -22.08, -78.42, 16.13, 51.92, 59.78, tool_torque, 0.089, -1.413, 0.101, tool_momentum, 0.093, -1.412, 0.101, robot_mode, impedance, 
30/03/2022 10:16:29:727, robot_pos_w_timestamp, 1648628105236, 596.79, 189.69, 252.81, 2.24, 0.09, 3.11, tool_force, -7.88, 0.87, -12.55, actual_rep, 1, curr_step, 16, track_size, 86, robot_vel, 9.78, joints_pos, 32.23, 49.28, -22.11, -78.4, 16.04, 52.08, 59.78, tool_torque, 0.108, -1.521, 0.13, tool_momentum, 0.108, -1.52, 0.13, robot_mode, impedance, 
30/03/2022 10:16:29:881, robot_pos_w_timestamp, 1648628105383, 596.57, 189.02, 253.21, 2.24, 0.09, 3.11, tool_force, -9.43, 1.99, -11.0, actual_rep, 1, curr_step, 16, track_size, 86, robot_vel, 7.52, joints_pos, 32.22, 49.2, -22.14, -78.49, 16.0, 52.08, 59.75, tool_torque, 0.244, -1.367, 0.135, tool_momentum, 0.246, -1.366, 0.135, robot_mode, impedance, 
30/03/2022 10:16:30:031, robot_pos_w_timestamp, 1648628105534, 596.85, 187.94, 252.31, 2.24, 0.09, 3.11, tool_force, -9.34, 2.38, -8.31, actual_rep, 1, curr_step, 16, track_size, 86, robot_vel, 11.25, joints_pos, 32.09, 49.28, -22.12, -78.5, 16.06, 52.03, 59.63, tool_torque, 0.401, -1.174, 0.191, tool_momentum, 0.41, -1.169, 0.193, robot_mode, impedance, 
30/03/2022 10:16:30:181, robot_pos_w_timestamp, 1648628105684, 595.75, 189.86, 249.66, 2.24, 0.08, 3.11, tool_force, -4.34, 1.37, -5.46, actual_rep, 1, curr_step, 16, track_size, 86, robot_vel, 33.11, joints_pos, 32.12, 49.44, -21.88, -78.6, 16.22, 51.85, 59.66, tool_torque, 0.394, -0.754, 0.144, tool_momentum, 0.382, -0.74, 0.14, robot_mode, impedance, 
30/03/2022 10:16:30:334, robot_pos_w_timestamp, 1648628105832, 592.92, 193.99, 247.28, 2.24, 0.08, 3.11, tool_force, -2.45, 0.39, -4.12, actual_rep, 1, curr_step, 16, track_size, 86, robot_vel, 38.3, joints_pos, 32.54, 49.47, -21.77, -78.94, 16.23, 51.51, 60.05, tool_torque, 0.248, -0.291, 0.013, tool_momentum, 0.253, -0.291, 0.011, robot_mode, impedance, 
30/03/2022 10:16:30:484, robot_pos_w_timestamp, 1648628105979, 590.26, 197.02, 246.3, 2.24, 0.08, 3.11, tool_force, -2.2, 0.44, -3.14, actual_rep, 1, curr_step, 16, track_size, 86, robot_vel, 24.7, joints_pos, 32.98, 49.39, -21.84, -79.29, 16.25, 51.28, 60.37, tool_torque, 0.193, -0.104, -0.0080, tool_momentum, 0.195, -0.113, -0.0080, robot_mode, impedance, 
30/03/2022 10:16:30:636, robot_pos_w_timestamp, 1648628106128, 588.16, 198.23, 245.66, 2.24, 0.08, 3.11, tool_force, -1.44, 0.27, -2.34, actual_rep, 1, curr_step, 17, track_size, 86, robot_vel, 13.66, joints_pos, 33.23, 49.27, -21.88, -79.66, 16.3, 51.05, 60.48, tool_torque, 0.175, 0.019, 0.012, tool_momentum, 0.167, 0.021, 0.012, robot_mode, impedance, 
30/03/2022 10:16:30:783, robot_pos_w_timestamp, 1648628106274, 586.34, 196.92, 245.63, 2.24, 0.08, 3.11, tool_force, -0.26, 0.87, -1.6, actual_rep, 1, curr_step, 17, track_size, 86, robot_vel, 21.19, joints_pos, 33.25, 49.06, -21.93, -80.07, 16.3, 51.0, 60.22, tool_torque, 0.292, -0.179, 0.311, tool_momentum, 0.299, -0.18, 0.311, robot_mode, impedance, 
30/03/2022 10:16:30:935, robot_pos_w_timestamp, 1648628106423, 584.61, 192.52, 246.41, 2.25, 0.08, 3.12, tool_force, 0.57, 0.78, -1.58, actual_rep, 1, curr_step, 17, track_size, 86, robot_vel, 36.26, joints_pos, 33.0, 48.68, -21.96, -80.67, 16.37, 50.94, 59.52, tool_torque, 0.422, -0.36, 0.423, tool_momentum, 0.431, -0.377, 0.426, robot_mode, impedance, 
30/03/2022 10:16:31:085, robot_pos_w_timestamp, 1648628106571, 583.02, 189.61, 246.91, 2.25, 0.08, 3.12, tool_force, 0.54, 1.27, -1.11, actual_rep, 1, curr_step, 18, track_size, 86, robot_vel, 19.17, joints_pos, 32.81, 48.37, -21.9, -81.16, 16.37, 50.83, 59.12, tool_torque, 0.495, -0.535, 0.465, tool_momentum, 0.477, -0.533, 0.464, robot_mode, impedance, 
30/03/2022 10:16:31:238, robot_pos_w_timestamp, 1648628106720, 581.79, 184.98, 247.67, 2.25, 0.07, 3.12, tool_force, 0.75, 1.14, -1.07, actual_rep, 1, curr_step, 18, track_size, 86, robot_vel, 33.59, joints_pos, 32.52, 48.04, -21.95, -81.66, 16.42, 50.8, 58.47, tool_torque, 0.492, -0.488, 0.47, tool_momentum, 0.497, -0.48, 0.468, robot_mode, impedance, 
30/03/2022 10:16:31:391, robot_pos_w_timestamp, 1648628106868, 580.66, 181.32, 248.6, 2.25, 0.07, 3.12, tool_force, 0.18, 1.12, -1.4, actual_rep, 1, curr_step, 19, track_size, 86, robot_vel, 19.74, joints_pos, 32.22, 47.71, -21.89, -82.09, 16.48, 50.75, 57.94, tool_torque, 0.454, -0.508, 0.468, tool_momentum, 0.463, -0.533, 0.47, robot_mode, impedance, 
30/03/2022 10:16:31:538, robot_pos_w_timestamp, 1648628107017, 579.44, 177.26, 249.43, 2.26, 0.07, 3.12, tool_force, 0.67, 1.85, -0.53, actual_rep, 1, curr_step, 19, track_size, 86, robot_vel, 33.79, joints_pos, 31.95, 47.39, -21.91, -82.54, 16.49, 50.75, 57.44, tool_torque, 0.501, -0.558, 0.481, tool_momentum, 0.479, -0.544, 0.478, robot_mode, impedance, 
30/03/2022 10:16:31:691, robot_pos_w_timestamp, 1648628107164, 578.17, 172.4, 250.49, 2.26, 0.07, 3.12, tool_force, 0.59, 1.31, -0.72, actual_rep, 1, curr_step, 20, track_size, 86, robot_vel, 33.09, joints_pos, 31.6, 47.02, -21.91, -83.05, 16.54, 50.75, 56.85, tool_torque, 0.397, -0.401, 0.454, tool_momentum, 0.381, -0.362, 0.454, robot_mode, normal, 
30/03/2022 10:16:31:840, robot_pos_w_timestamp, 1648628107313, 575.47, 167.14, 252.56, 2.26, 0.06, 3.12, tool_force, -0.04, 2.14, 0.16, actual_rep, 1, curr_step, 20, track_size, 86, robot_vel, 42.06, joints_pos, 31.24, 46.37, -21.86, -83.89, 16.6, 50.58, 56.18, tool_torque, 0.644, -0.564, 0.533, tool_momentum, 0.668, -0.607, 0.533, robot_mode, normal, 
30/03/2022 10:16:31:993, robot_pos_w_timestamp, 1648628107460, 573.57, 164.03, 253.07, 2.26, 0.06, 3.12, tool_force, -0.24, 0.95, -0.95, actual_rep, 1, curr_step, 20, track_size, 86, robot_vel, 15.25, joints_pos, 30.96, 45.99, -21.7, -84.45, 16.61, 50.33, 55.81, tool_torque, 0.46, -0.399, 0.462, tool_momentum, 0.459, -0.412, 0.464, robot_mode, normal, 
30/03/2022 10:16:32:142, robot_pos_w_timestamp, 1648628107610, 573.38, 164.18, 252.91, 2.26, 0.06, 3.12, tool_force, 0.27, 1.03, -0.43, actual_rep, 1, curr_step, 20, track_size, 86, robot_vel, 3.53, joints_pos, 30.92, 45.98, -21.6, -84.46, 16.51, 50.31, 55.84, tool_torque, 0.382, -0.382, 0.281, tool_momentum, 0.367, -0.369, 0.281, robot_mode, normal, 
30/03/2022 10:16:32:292, robot_pos_w_timestamp, 1648628107759, 573.75, 164.44, 252.57, 2.26, 0.06, 3.12, tool_force, 0.06, 0.58, 0.02, actual_rep, 1, curr_step, 21, track_size, 86, robot_vel, 3.78, joints_pos, 30.92, 46.06, -21.6, -84.38, 16.51, 50.31, 55.85, tool_torque, 0.267, -0.294, 0.25, tool_momentum, 0.269, -0.294, 0.25, robot_mode, normal, 
30/03/2022 10:16:32:443, robot_pos_w_timestamp, 1648628107910, 574.02, 164.55, 252.63, 2.26, 0.06, 3.12, tool_force, 0.24, 0.23, -0.05, actual_rep, 1, curr_step, 21, track_size, 86, robot_vel, 2.1, joints_pos, 30.92, 46.08, -21.61, -84.32, 16.52, 50.35, 55.86, tool_torque, 0.128, -0.347, 0.237, tool_momentum, 0.128, -0.349, 0.237, robot_mode, normal, 
30/03/2022 10:16:32:593, robot_pos_w_timestamp, 1648628108059, 574.02, 164.58, 252.61, 2.26, 0.06, 3.12, tool_force, 0.21, 0.28, -0.05, actual_rep, 1, curr_step, 21, track_size, 86, robot_vel, 0.46, joints_pos, 30.93, 46.09, -21.62, -84.31, 16.53, 50.35, 55.86, tool_torque, 0.145, -0.306, 0.233, tool_momentum, 0.144, -0.306, 0.233, robot_mode, normal, 
30/03/2022 10:16:32:746, robot_pos_w_timestamp, 1648628108208, 574.02, 164.6, 252.61, 2.26, 0.06, 3.12, tool_force, 0.17, 0.32, -0.02, actual_rep, 1, curr_step, 21, track_size, 86, robot_vel, 0.03, joints_pos, 30.93, 46.09, -21.62, -84.31, 16.54, 50.35, 55.86, tool_torque, 0.147, -0.305, 0.231, tool_momentum, 0.147, -0.305, 0.231, robot_mode, normal, 
30/03/2022 10:16:32:898, robot_pos_w_timestamp, 1648628108357, 573.61, 163.73, 253.69, 2.26, 0.06, 3.12, tool_force, 0.25, 1.28, 0.7, actual_rep, 1, curr_step, 21, track_size, 86, robot_vel, 21.19, joints_pos, 30.9, 45.95, -21.69, -84.38, 16.61, 50.59, 55.66, tool_torque, 0.219, -0.478, 0.416, tool_momentum, 0.221, -0.481, 0.417, robot_mode, normal, 
30/03/2022 10:16:33:044, robot_pos_w_timestamp, 1648628108506, 571.27, 159.77, 256.13, 2.26, 0.05, 3.12, tool_force, 0.58, 0.32, -0.43, actual_rep, 1, curr_step, 21, track_size, 86, robot_vel, 30.7, joints_pos, 30.64, 45.36, -21.69, -85.04, 16.72, 50.58, 55.15, tool_torque, 0.253, -0.454, 0.477, tool_momentum, 0.256, -0.451, 0.477, robot_mode, normal, 
30/03/2022 10:16:33:195, robot_pos_w_timestamp, 1648628108655, 569.75, 158.7, 255.86, 2.26, 0.05, 3.12, tool_force, 0.62, 1.61, 0.02, actual_rep, 1, curr_step, 21, track_size, 86, robot_vel, 7.68, joints_pos, 30.53, 45.17, -21.53, -85.39, 16.58, 50.38, 55.08, tool_torque, 0.534, -0.475, 0.414, tool_momentum, 0.535, -0.467, 0.414, robot_mode, normal, 
30/03/2022 10:16:33:347, robot_pos_w_timestamp, 1648628108805, 569.8, 158.7, 255.97, 2.26, 0.05, 3.12, tool_force, -0.16, 1.03, 0.28, actual_rep, 1, curr_step, 21, track_size, 86, robot_vel, 0.64, joints_pos, 30.52, 45.16, -21.52, -85.38, 16.57, 50.38, 55.09, tool_torque, 0.344, -0.359, 0.325, tool_momentum, 0.345, -0.364, 0.326, robot_mode, normal, 
30/03/2022 10:16:33:504, robot_pos_w_timestamp, 1648628108954, 569.88, 158.69, 256.03, 2.26, 0.05, 3.12, tool_force, 0.31, 0.68, -0.01, actual_rep, 1, curr_step, 21, track_size, 86, robot_vel, 1.07, joints_pos, 30.52, 45.16, -21.53, -85.36, 16.57, 50.39, 55.09, tool_torque, 0.238, -0.385, 0.306, tool_momentum, 0.237, -0.385, 0.306, robot_mode, normal, 
30/03/2022 10:16:33:648, robot_pos_w_timestamp, 1648628109104, 569.9, 158.7, 256.03, 2.26, 0.05, 3.12, tool_force, 0.4, 0.5, -0.1, actual_rep, 1, curr_step, 21, track_size, 86, robot_vel, 0.36, joints_pos, 30.52, 45.17, -21.53, -85.36, 16.57, 50.4, 55.09, tool_torque, 0.22, -0.384, 0.304, tool_momentum, 0.22, -0.384, 0.304, robot_mode, normal, 
30/03/2022 10:16:33:800, robot_pos_w_timestamp, 1648628109252, 569.91, 158.7, 256.03, 2.26, 0.05, 3.12, tool_force, 0.39, 0.54, -0.05, actual_rep, 1, curr_step, 22, track_size, 86, robot_vel, 0.08, joints_pos, 30.52, 45.17, -21.53, -85.36, 16.57, 50.4, 55.09, tool_torque, 0.224, -0.381, 0.301, tool_momentum, 0.226, -0.382, 0.301, robot_mode, normal, 
30/03/2022 10:16:33:952, robot_pos_w_timestamp, 1648628109403, 569.98, 158.69, 256.13, 2.26, 0.05, 3.12, tool_force, 0.32, 0.57, 0.05, actual_rep, 1, curr_step, 22, track_size, 86, robot_vel, 0.82, joints_pos, 30.52, 45.17, -21.53, -85.34, 16.57, 50.41, 55.09, tool_torque, 0.204, -0.379, 0.304, tool_momentum, 0.204, -0.379, 0.304, robot_mode, normal, 
30/03/2022 10:16:34:105, robot_pos_w_timestamp, 1648628109551, 569.98, 158.68, 256.13, 2.26, 0.05, 3.12, tool_force, 0.32, 0.65, 0.1, actual_rep, 1, curr_step, 22, track_size, 86, robot_vel, 0.02, joints_pos, 30.52, 45.17, -21.54, -85.34, 16.57, 50.41, 55.09, tool_torque, 0.215, -0.384, 0.308, tool_momentum, 0.215, -0.383, 0.308, robot_mode, normal, 
30/03/2022 10:16:34:248, robot_pos_w_timestamp, 1648628109700, 569.98, 158.68, 256.14, 2.26, 0.05, 3.12, tool_force, 0.31, 0.67, 0.13, actual_rep, 1, curr_step, 22, track_size, 86, robot_vel, 0.02, joints_pos, 30.52, 45.17, -21.54, -85.34, 16.57, 50.41, 55.09, tool_torque, 0.218, -0.386, 0.309, tool_momentum, 0.218, -0.386, 0.309, robot_mode, normal, 
30/03/2022 10:16:34:402, robot_pos_w_timestamp, 1648628109848, 569.5, 158.15, 257.17, 2.26, 0.05, 3.12, tool_force, 0.64, 1.86, 1.39, actual_rep, 1, curr_step, 22, track_size, 86, robot_vel, 23.69, joints_pos, 30.49, 45.03, -21.57, -85.42, 16.59, 50.65, 55.01, tool_torque, 0.35, -0.543, 0.449, tool_momentum, 0.352, -0.544, 0.449, robot_mode, normal, 
30/03/2022 10:16:34:550, robot_pos_w_timestamp, 1648628109997, 566.53, 154.4, 260.59, 2.26, 0.05, 3.12, tool_force, 0.38, 0.47, -0.14, actual_rep, 1, curr_step, 22, track_size, 86, robot_vel, 37.15, joints_pos, 30.28, 44.28, -21.57, -86.18, 16.73, 50.62, 54.48, tool_torque, 0.281, -0.413, 0.494, tool_momentum, 0.284, -0.418, 0.496, robot_mode, normal, 
30/03/2022 10:16:34:702, robot_pos_w_timestamp, 1648628110146, 564.78, 153.66, 259.97, 2.26, 0.05, 3.12, tool_force, 0.49, 1.27, -0.16, actual_rep, 1, curr_step, 22, track_size, 86, robot_vel, 4.72, joints_pos, 30.18, 44.09, -21.38, -86.57, 16.6, 50.34, 54.43, tool_torque, 0.462, -0.444, 0.418, tool_momentum, 0.462, -0.44, 0.417, robot_mode, normal, 
30/03/2022 10:16:34:855, robot_pos_w_timestamp, 1648628110296, 564.86, 153.54, 260.12, 2.26, 0.05, 3.12, tool_force, 0.32, 1.11, 0.19, actual_rep, 1, curr_step, 22, track_size, 86, robot_vel, 1.58, joints_pos, 30.16, 44.08, -21.37, -86.55, 16.57, 50.36, 54.45, tool_torque, 0.345, -0.439, 0.343, tool_momentum, 0.336, -0.442, 0.342, robot_mode, normal, 
30/03/2022 10:16:35:003, robot_pos_w_timestamp, 1648628110445, 565.0, 153.61, 260.18, 2.26, 0.05, 3.12, tool_force, 0.41, 0.41, -0.09, actual_rep, 1, curr_step, 22, track_size, 86, robot_vel, 1.53, joints_pos, 30.16, 44.09, -21.37, -86.52, 16.57, 50.38, 54.46, tool_torque, 0.212, -0.432, 0.312, tool_momentum, 0.21, -0.432, 0.312, robot_mode, normal, 
30/03/2022 10:16:35:155, robot_pos_w_timestamp, 1648628110596, 565.07, 153.62, 260.13, 2.26, 0.05, 3.12, tool_force, 0.47, 0.48, -0.06, actual_rep, 1, curr_step, 22, track_size, 86, robot_vel, 0.46, joints_pos, 30.16, 44.11, -21.38, -86.5, 16.57, 50.38, 54.46, tool_torque, 0.211, -0.432, 0.309, tool_momentum, 0.212, -0.432, 0.309, robot_mode, normal, 
30/03/2022 10:16:35:304, robot_pos_w_timestamp, 1648628110746, 565.09, 153.62, 260.13, 2.26, 0.05, 3.12, tool_force, 0.39, 0.45, 0.01, actual_rep, 1, curr_step, 22, track_size, 86, robot_vel, 0.04, joints_pos, 30.16, 44.11, -21.38, -86.5, 16.57, 50.38, 54.46, tool_torque, 0.193, -0.419, 0.309, tool_momentum, 0.193, -0.42, 0.309, robot_mode, normal, 
