26/04/2022 15:26:11: File Created!
26/04/2022 15:26:11:213, robot_pos_w_timestamp, 1650983071363, 612.87, 280.93, 203.71, 2.36, -0.03, 3.07, tool_force, 0.3, 2.06, 7.42, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 0.0, joints_pos, 22.43, 57.46, 2.93, -66.98, 0.78, 52.39, 68.33, tool_torque, 0.394, -0.264, 0.396, robot_mode, normal, 
26/04/2022 15:26:16:607, robot_pos_w_timestamp, 1650983076772, 541.5, 100.49, 214.56, 2.35, -0.02, 3.11, tool_force, -0.21, 2.22, 7.79, actual_rep, 1, curr_step, 30, track_size, 99, robot_vel, 44.68, joints_pos, 7.84, 43.33, 3.05, -93.32, -0.12, 42.73, 55.6, tool_torque, 0.628, -0.287, 0.466, robot_mode, normal, 
26/04/2022 15:26:16:757, robot_pos_w_timestamp, 1650983076922, 535.91, 101.87, 216.59, 2.35, -0.03, 3.11, tool_force, -0.53, 2.63, 7.46, actual_rep, 1, curr_step, 32, track_size, 99, robot_vel, 41.1, joints_pos, 7.85, 42.63, 3.22, -94.3, 0.38, 42.58, 55.39, tool_torque, 0.634, -0.2, 0.455, robot_mode, normal, 
26/04/2022 15:26:16:908, robot_pos_w_timestamp, 1650983077070, 529.97, 104.45, 219.09, 2.35, -0.04, 3.11, tool_force, -1.56, 2.02, 7.94, actual_rep, 1, curr_step, 35, track_size, 99, robot_vel, 45.57, joints_pos, 7.89, 41.88, 3.51, -95.29, 0.83, 42.41, 55.2, tool_torque, 0.427, 0.103, 0.36, robot_mode, normal, 
26/04/2022 15:26:17:069, robot_pos_w_timestamp, 1650983077229, 523.87, 108.65, 221.48, 2.36, -0.04, 3.1, tool_force, -1.45, 1.54, 7.54, actual_rep, 1, curr_step, 37, track_size, 99, robot_vel, 46.02, joints_pos, 8.13, 41.13, 3.82, -96.29, 1.13, 42.25, 55.16, tool_torque, 0.284, 0.219, 0.247, robot_mode, normal, 
26/04/2022 15:26:17:209, robot_pos_w_timestamp, 1650983077369, 518.47, 112.8, 223.24, 2.36, -0.05, 3.1, tool_force, -1.61, 1.43, 7.44, actual_rep, 1, curr_step, 37, track_size, 99, robot_vel, 50.94, joints_pos, 8.46, 40.57, 3.96, -97.05, 1.53, 42.21, 55.12, tool_torque, 0.281, 0.268, 0.279, robot_mode, normal, 
26/04/2022 15:26:17:357, robot_pos_w_timestamp, 1650983077518, 512.67, 117.29, 225.27, 2.37, -0.06, 3.1, tool_force, -1.75, 1.53, 7.16, actual_rep, 1, curr_step, 37, track_size, 99, robot_vel, 50.17, joints_pos, 8.91, 39.94, 4.04, -97.86, 2.05, 42.17, 55.0, tool_torque, 0.287, 0.202, 0.303, robot_mode, normal, 
26/04/2022 15:26:17:510, robot_pos_w_timestamp, 1650983077670, 506.79, 122.44, 226.39, 2.37, -0.06, 3.1, tool_force, -2.65, 1.24, 8.08, actual_rep, 1, curr_step, 39, track_size, 99, robot_vel, 52.72, joints_pos, 9.51, 39.39, 4.05, -98.72, 2.49, 41.91, 55.1, tool_torque, 0.217, 0.426, 0.072, robot_mode, normal, 
26/04/2022 15:26:17:662, robot_pos_w_timestamp, 1650983077817, 501.51, 128.39, 227.08, 2.38, -0.07, 3.1, tool_force, -1.31, 1.68, 7.46, actual_rep, 1, curr_step, 40, track_size, 99, robot_vel, 54.05, joints_pos, 10.18, 39.01, 4.05, -99.31, 3.04, 41.91, 54.85, tool_torque, 0.191, 0.183, 0.224, robot_mode, normal, 
26/04/2022 15:26:17:812, robot_pos_w_timestamp, 1650983077971, 496.74, 134.27, 227.62, 2.38, -0.06, 3.1, tool_force, -2.09, 1.86, 7.57, actual_rep, 1, curr_step, 42, track_size, 99, robot_vel, 52.57, joints_pos, 11.12, 38.59, 3.86, -99.98, 2.93, 41.42, 55.66, tool_torque, 0.092, 0.636, -0.092, robot_mode, normal, 
26/04/2022 15:26:17:967, robot_pos_w_timestamp, 1650983078119, 492.64, 140.09, 228.08, 2.38, -0.06, 3.09, tool_force, -2.37, 1.29, 7.18, actual_rep, 1, curr_step, 43, track_size, 99, robot_vel, 50.09, joints_pos, 11.87, 38.22, 3.8, -100.6, 3.28, 40.76, 56.21, tool_torque, 0.043, 0.65, -0.119, robot_mode, normal, 
26/04/2022 15:26:18:115, robot_pos_w_timestamp, 1650983078269, 489.03, 145.73, 228.79, 2.37, -0.06, 3.09, tool_force, -2.41, 1.12, 7.56, actual_rep, 1, curr_step, 44, track_size, 99, robot_vel, 44.96, joints_pos, 12.57, 37.94, 3.78, -101.0, 3.4, 40.49, 57.08, tool_torque, 0.055, 0.71, -0.138, robot_mode, normal, 
26/04/2022 15:26:18:309, robot_pos_w_timestamp, 1650983078418, 486.04, 151.58, 229.47, 2.37, -0.06, 3.09, tool_force, -2.33, 1.48, 7.53, actual_rep, 1, curr_step, 45, track_size, 99, robot_vel, 41.94, joints_pos, 13.32, 37.73, 3.76, -101.25, 3.47, 40.35, 57.88, tool_torque, 0.046, 0.732, -0.142, robot_mode, normal, 
26/04/2022 15:26:18:419, robot_pos_w_timestamp, 1650983078568, 483.6, 157.34, 230.15, 2.37, -0.06, 3.09, tool_force, -2.86, 1.66, 8.06, actual_rep, 1, curr_step, 46, track_size, 99, robot_vel, 44.14, joints_pos, 13.98, 37.55, 3.76, -101.46, 3.66, 40.04, 58.42, tool_torque, 0.09, 0.807, -0.151, robot_mode, normal, 
26/04/2022 15:26:18:570, robot_pos_w_timestamp, 1650983078717, 481.29, 163.16, 230.96, 2.37, -0.06, 3.08, tool_force, -2.57, 1.15, 7.29, actual_rep, 1, curr_step, 47, track_size, 99, robot_vel, 42.27, joints_pos, 14.65, 37.37, 3.76, -101.63, 3.88, 39.81, 58.94, tool_torque, 0.079, 0.689, -0.12, robot_mode, normal, 
26/04/2022 15:26:18:721, robot_pos_w_timestamp, 1650983078868, 479.28, 168.98, 231.51, 2.37, -0.06, 3.08, tool_force, -2.35, 1.57, 7.68, actual_rep, 1, curr_step, 49, track_size, 99, robot_vel, 40.49, joints_pos, 15.34, 37.29, 3.76, -101.67, 3.89, 39.73, 59.64, tool_torque, 0.1, 0.736, -0.129, robot_mode, normal, 
26/04/2022 15:26:18:919, robot_pos_w_timestamp, 1650983079018, 477.32, 174.85, 232.03, 2.37, -0.06, 3.08, tool_force, -2.4, 1.2, 7.6, actual_rep, 1, curr_step, 49, track_size, 99, robot_vel, 40.4, joints_pos, 16.05, 37.23, 3.75, -101.67, 3.9, 39.71, 60.32, tool_torque, 0.062, 0.724, -0.13, robot_mode, normal, 
26/04/2022 15:26:19:024, robot_pos_w_timestamp, 1650983079167, 475.46, 180.49, 232.45, 2.37, -0.06, 3.08, tool_force, -1.96, 0.59, 7.81, actual_rep, 1, curr_step, 51, track_size, 99, robot_vel, 49.04, joints_pos, 16.73, 37.19, 3.74, -101.66, 3.9, 39.67, 61.02, tool_torque, -0.016, 0.665, -0.129, robot_mode, normal, 
26/04/2022 15:26:19:208, robot_pos_w_timestamp, 1650983079316, 474.02, 186.32, 232.98, 2.36, -0.06, 3.08, tool_force, -1.17, 0.29, 7.74, actual_rep, 1, curr_step, 52, track_size, 99, robot_vel, 38.25, joints_pos, 17.43, 37.18, 3.7, -101.56, 3.9, 39.66, 62.06, tool_torque, -0.107, 0.607, -0.131, robot_mode, normal, 
26/04/2022 15:26:19:325, robot_pos_w_timestamp, 1650983079469, 472.97, 192.11, 233.51, 2.36, -0.06, 3.08, tool_force, -1.36, -0.05, 7.91, actual_rep, 1, curr_step, 53, track_size, 99, robot_vel, 37.89, joints_pos, 18.13, 37.21, 3.66, -101.38, 3.9, 39.71, 62.88, tool_torque, -0.186, 0.521, -0.123, robot_mode, normal, 
26/04/2022 15:26:19:494, robot_pos_w_timestamp, 1650983079616, 472.54, 197.92, 234.14, 2.35, -0.06, 3.08, tool_force, -1.11, -0.35, 7.95, actual_rep, 1, curr_step, 54, track_size, 99, robot_vel, 41.51, joints_pos, 18.79, 37.3, 3.62, -101.07, 3.86, 39.82, 63.93, tool_torque, -0.322, 0.524, -0.122, robot_mode, normal, 
26/04/2022 15:26:19:627, robot_pos_w_timestamp, 1650983079766, 472.83, 203.67, 234.85, 2.35, -0.06, 3.07, tool_force, -1.54, -0.32, 7.92, actual_rep, 1, curr_step, 55, track_size, 99, robot_vel, 42.16, joints_pos, 19.47, 37.36, 3.58, -100.8, 3.57, 39.52, 64.94, tool_torque, -0.143, 0.759, -0.152, robot_mode, normal, 
26/04/2022 15:26:19:823, robot_pos_w_timestamp, 1650983079915, 473.63, 209.43, 235.71, 2.34, -0.05, 3.07, tool_force, -1.37, -0.39, 7.6, actual_rep, 1, curr_step, 56, track_size, 99, robot_vel, 36.47, joints_pos, 20.1, 37.51, 3.54, -100.33, 3.41, 39.56, 66.05, tool_torque, -0.308, 0.688, -0.166, robot_mode, normal, 
26/04/2022 15:26:19:927, robot_pos_w_timestamp, 1650983080065, 475.28, 215.23, 236.38, 2.34, -0.05, 3.07, tool_force, -1.5, -0.41, 8.02, actual_rep, 1, curr_step, 57, track_size, 99, robot_vel, 39.43, joints_pos, 20.64, 37.79, 3.53, -99.66, 3.29, 39.83, 66.87, tool_torque, -0.333, 0.601, -0.135, robot_mode, normal, 
26/04/2022 15:26:20:124, robot_pos_w_timestamp, 1650983080224, 477.67, 221.42, 237.04, 2.33, -0.05, 3.06, tool_force, -1.2, -0.51, 7.24, actual_rep, 1, curr_step, 58, track_size, 99, robot_vel, 38.18, joints_pos, 21.28, 38.07, 3.49, -98.98, 2.82, 39.62, 68.39, tool_torque, -0.183, 0.677, -0.15, robot_mode, normal, 
26/04/2022 15:26:20:230, robot_pos_w_timestamp, 1650983080363, 480.09, 226.7, 237.51, 2.32, -0.04, 3.06, tool_force, -1.51, -0.87, 7.32, actual_rep, 1, curr_step, 59, track_size, 99, robot_vel, 46.17, joints_pos, 21.77, 38.4, 3.45, -98.25, 2.63, 39.77, 69.35, tool_torque, -0.354, 0.672, -0.154, robot_mode, normal, 
26/04/2022 15:26:20:420, robot_pos_w_timestamp, 1650983080516, 483.69, 232.79, 237.82, 2.32, -0.04, 3.06, tool_force, -1.6, -0.57, 7.57, actual_rep, 1, curr_step, 60, track_size, 99, robot_vel, 44.63, joints_pos, 22.27, 38.9, 3.43, -97.24, 2.4, 39.99, 70.38, tool_torque, -0.305, 0.792, -0.195, robot_mode, normal, 
26/04/2022 15:26:20:531, robot_pos_w_timestamp, 1650983080661, 487.16, 238.38, 237.95, 2.31, -0.03, 3.05, tool_force, -1.12, -0.31, 7.52, actual_rep, 1, curr_step, 62, track_size, 99, robot_vel, 44.09, joints_pos, 22.77, 39.33, 3.4, -96.41, 1.84, 39.85, 71.56, tool_torque, -0.154, 0.671, -0.17, robot_mode, normal, 
26/04/2022 15:26:20:684, robot_pos_w_timestamp, 1650983080812, 492.0, 244.15, 237.39, 2.3, -0.03, 3.05, tool_force, -1.17, -0.26, 7.77, actual_rep, 1, curr_step, 65, track_size, 99, robot_vel, 56.87, joints_pos, 23.16, 40.08, 3.37, -95.09, 1.67, 40.37, 72.61, tool_torque, -0.29, 0.653, -0.176, robot_mode, normal, 
26/04/2022 15:26:20:833, robot_pos_w_timestamp, 1650983080960, 497.55, 249.97, 236.69, 2.3, -0.03, 3.06, tool_force, -1.15, -0.48, 8.06, actual_rep, 1, curr_step, 68, track_size, 99, robot_vel, 55.8, joints_pos, 23.66, 40.95, 3.29, -93.52, 0.84, 41.22, 73.95, tool_torque, -0.309, 0.658, -0.196, robot_mode, normal, 
26/04/2022 15:26:20:983, robot_pos_w_timestamp, 1650983081108, 503.5, 254.86, 236.39, 2.29, -0.02, 3.06, tool_force, -1.75, -0.73, 7.81, actual_rep, 1, curr_step, 70, track_size, 99, robot_vel, 52.79, joints_pos, 23.94, 41.76, 3.24, -92.05, 0.61, 41.93, 74.8, tool_torque, -0.406, 0.847, -0.233, robot_mode, normal, 
26/04/2022 15:26:21:135, robot_pos_w_timestamp, 1650983081258, 508.56, 258.36, 236.5, 2.28, -0.02, 3.07, tool_force, -1.16, -0.42, 7.71, actual_rep, 1, curr_step, 73, track_size, 99, robot_vel, 36.41, joints_pos, 24.13, 42.48, 3.22, -90.62, 0.22, 43.12, 75.49, tool_torque, -0.312, 0.681, -0.207, robot_mode, normal, 
26/04/2022 15:26:21:281, robot_pos_w_timestamp, 1650983081405, 511.04, 259.62, 236.29, 2.28, -0.02, 3.06, tool_force, -1.57, 0.47, 7.89, actual_rep, 1, curr_step, 76, track_size, 99, robot_vel, 10.96, joints_pos, 24.15, 42.73, 3.24, -90.18, 0.04, 43.12, 75.75, tool_torque, 0.0040, 0.551, -0.121, robot_mode, normal, 
26/04/2022 15:26:21:439, robot_pos_w_timestamp, 1650983081558, 511.86, 259.85, 236.46, 2.28, -0.02, 3.07, tool_force, -0.69, -0.26, 7.62, actual_rep, 1, curr_step, 78, track_size, 99, robot_vel, 11.64, joints_pos, 24.15, 42.88, 3.22, -89.87, 0.05, 43.59, 75.77, tool_torque, -0.251, 0.447, -0.113, robot_mode, normal, 
26/04/2022 15:26:21:590, robot_pos_w_timestamp, 1650983081707, 512.18, 259.87, 236.81, 2.28, -0.01, 3.07, tool_force, -1.61, 0.45, 7.73, actual_rep, 1, curr_step, 81, track_size, 99, robot_vel, 7.1, joints_pos, 24.3, 42.84, 3.17, -89.86, -0.75, 43.53, 76.45, tool_torque, -0.028, 0.801, -0.219, robot_mode, normal, 
26/04/2022 15:26:21:739, robot_pos_w_timestamp, 1650983081858, 511.93, 260.23, 236.73, 2.28, -0.01, 3.06, tool_force, -0.19, 0.98, 7.62, actual_rep, 1, curr_step, 84, track_size, 99, robot_vel, 3.53, joints_pos, 24.26, 42.76, 3.24, -90.03, -0.57, 43.06, 76.35, tool_torque, 0.248, -0.015, 0.187, robot_mode, normal, 
