22/03/2022 14:59:27: File Created!
22/03/2022 14:59:27:083, robot_pos_w_timestamp, 1647957485777, 536.65, 303.05, 194.85, 2.29, 0.04, 3.08, tool_force, 0.35, 0.86, 6.04, actual_rep, 1, curr_step, 1, track_size, 95, robot_vel, 8.22, joints_pos, 42.3, 53.01, -19.5, -81.07, 19.7, 45.28, 65.88, tool_torque, 0.0090, -0.304, 0.287, tool_momentum, 0.012, -0.303, 0.286, robot_mode, rotation_overlay, 
22/03/2022 14:59:32:395, robot_pos_w_timestamp, 1647957490988, 580.74, 202.14, 192.14, 2.46, 0.09, 3.1, tool_force, 0.72, 1.97, 5.81, actual_rep, 1, curr_step, 17, track_size, 95, robot_vel, 9.1, joints_pos, 32.85, 53.15, -20.11, -81.61, 18.34, 43.98, 47.1, tool_torque, 0.421, -0.395, 0.38, tool_momentum, 0.422, -0.403, 0.38, robot_mode, rotation_overlay, 
22/03/2022 14:59:32:548, robot_pos_w_timestamp, 1647957491137, 580.98, 200.87, 192.35, 2.48, 0.09, 3.11, tool_force, 0.72, 1.62, 6.03, actual_rep, 1, curr_step, 17, track_size, 95, robot_vel, 9.23, joints_pos, 32.87, 53.16, -20.3, -81.61, 18.37, 44.09, 46.05, tool_torque, 0.185, -0.369, 0.33, tool_momentum, 0.188, -0.373, 0.33, robot_mode, rotation_overlay, 
22/03/2022 14:59:32:699, robot_pos_w_timestamp, 1647957491267, 580.92, 200.74, 191.87, 2.48, 0.09, 3.11, tool_force, 0.79, 1.16, 5.71, actual_rep, 1, curr_step, 17, track_size, 95, robot_vel, 8.75, joints_pos, 32.89, 53.22, -20.34, -81.61, 18.43, 44.1, 46.02, tool_torque, 0.116, -0.261, 0.222, tool_momentum, 0.112, -0.246, 0.216, robot_mode, rotation_overlay, 
22/03/2022 14:59:32:849, robot_pos_w_timestamp, 1647957491416, 581.66, 199.56, 190.8, 2.45, 0.09, 3.1, tool_force, 0.71, 1.34, 6.09, actual_rep, 1, curr_step, 17, track_size, 95, robot_vel, 12.31, joints_pos, 32.75, 53.36, -20.39, -81.55, 18.84, 44.03, 47.27, tool_torque, 0.141, -0.22, 0.015, tool_momentum, 0.121, -0.217, 0.013, robot_mode, rotation_overlay, 
22/03/2022 14:59:33:000, robot_pos_w_timestamp, 1647957491564, 581.93, 198.26, 190.94, 2.39, 0.08, 3.1, tool_force, 0.24, 0.78, 6.12, actual_rep, 1, curr_step, 17, track_size, 95, robot_vel, 8.53, joints_pos, 32.77, 53.38, -20.63, -81.57, 19.09, 44.12, 50.43, tool_torque, -0.091, -0.136, -0.036, tool_momentum, -0.086, -0.155, -0.038, robot_mode, rotation_overlay, 
22/03/2022 14:59:33:150, robot_pos_w_timestamp, 1647957491714, 581.97, 196.96, 191.13, 2.29, 0.08, 3.1, tool_force, -0.32, 0.45, 6.45, actual_rep, 1, curr_step, 17, track_size, 95, robot_vel, 8.45, joints_pos, 32.88, 53.42, -20.94, -81.56, 19.19, 44.36, 55.88, tool_torque, -0.241, 0.084, -0.088, tool_momentum, -0.24, 0.082, -0.088, robot_mode, rotation_overlay, 
22/03/2022 14:59:33:303, robot_pos_w_timestamp, 1647957491862, 582.3, 195.86, 191.34, 2.19, 0.08, 3.09, tool_force, -0.18, 0.22, 6.34, actual_rep, 1, curr_step, 18, track_size, 95, robot_vel, 7.75, joints_pos, 32.98, 53.5, -21.22, -81.47, 19.14, 44.65, 62.0, tool_torque, -0.33, 0.171, -0.126, tool_momentum, -0.346, 0.208, -0.126, robot_mode, rotation_overlay, 
22/03/2022 14:59:33:454, robot_pos_w_timestamp, 1647957492011, 582.53, 194.91, 191.55, 2.1, 0.08, 3.09, tool_force, 0.39, 0.23, 6.25, actual_rep, 1, curr_step, 18, track_size, 95, robot_vel, 6.43, joints_pos, 32.94, 53.51, -21.28, -81.42, 18.96, 44.8, 66.76, tool_torque, -0.269, 0.023, -0.052, tool_momentum, -0.268, 0.024, -0.052, robot_mode, rotation_overlay, 
22/03/2022 14:59:33:612, robot_pos_w_timestamp, 1647957492168, 582.86, 193.77, 191.91, 2.05, 0.07, 3.09, tool_force, 1.04, 0.69, 6.14, actual_rep, 1, curr_step, 18, track_size, 95, robot_vel, 7.2, joints_pos, 32.79, 53.46, -21.21, -81.43, 18.88, 44.83, 69.38, tool_torque, -0.092, -0.342, 0.045, tool_momentum, -0.092, -0.337, 0.045, robot_mode, rotation_overlay, 
22/03/2022 14:59:33:761, robot_pos_w_timestamp, 1647957492316, 583.04, 192.76, 192.29, 2.04, 0.07, 3.08, tool_force, 1.3, 1.1, 5.76, actual_rep, 1, curr_step, 18, track_size, 95, robot_vel, 4.99, joints_pos, 32.59, 53.36, -21.06, -81.5, 18.87, 44.76, 69.92, tool_torque, 0.158, -0.462, 0.162, tool_momentum, 0.158, -0.454, 0.162, robot_mode, rotation_overlay, 
22/03/2022 14:59:33:911, robot_pos_w_timestamp, 1647957492445, 582.68, 192.45, 191.88, 2.04, 0.07, 3.09, tool_force, 1.58, 1.63, 5.84, actual_rep, 1, curr_step, 18, track_size, 95, robot_vel, 9.81, joints_pos, 32.53, 53.35, -20.97, -81.57, 18.72, 44.71, 69.84, tool_torque, 0.331, -0.625, 0.325, tool_momentum, 0.359, -0.634, 0.336, robot_mode, rotation_overlay, 
22/03/2022 14:59:34:064, robot_pos_w_timestamp, 1647957492595, 583.04, 191.72, 191.05, 2.08, 0.08, 3.09, tool_force, 2.13, 0.78, 5.73, actual_rep, 1, curr_step, 18, track_size, 95, robot_vel, 5.31, joints_pos, 32.5, 53.49, -21.0, -81.45, 18.5, 44.81, 68.04, tool_torque, 0.093, -0.773, 0.491, tool_momentum, 0.09, -0.772, 0.49, robot_mode, rotation_overlay, 
22/03/2022 14:59:34:210, robot_pos_w_timestamp, 1647957492743, 583.64, 190.74, 191.09, 2.14, 0.08, 3.1, tool_force, 2.08, 0.82, 5.43, actual_rep, 1, curr_step, 18, track_size, 95, robot_vel, 8.32, joints_pos, 32.37, 53.51, -20.97, -81.39, 18.44, 44.86, 64.26, tool_torque, 0.142, -0.833, 0.546, tool_momentum, 0.156, -0.823, 0.547, robot_mode, rotation_overlay, 
22/03/2022 14:59:34:366, robot_pos_w_timestamp, 1647957492892, 584.01, 189.73, 191.46, 2.24, 0.08, 3.1, tool_force, 1.58, 1.93, 5.89, actual_rep, 1, curr_step, 18, track_size, 95, robot_vel, 8.09, joints_pos, 32.12, 53.41, -20.78, -81.44, 18.44, 44.77, 58.1, tool_torque, 0.509, -0.768, 0.565, tool_momentum, 0.527, -0.782, 0.565, robot_mode, rotation_overlay, 
22/03/2022 14:59:34:513, robot_pos_w_timestamp, 1647957493040, 584.28, 188.45, 191.86, 2.35, 0.08, 3.11, tool_force, 0.93, 2.21, 5.4, actual_rep, 1, curr_step, 19, track_size, 95, robot_vel, 10.25, joints_pos, 31.81, 53.27, -20.53, -81.55, 18.51, 44.59, 51.89, tool_torque, 0.672, -0.543, 0.534, tool_momentum, 0.673, -0.537, 0.534, robot_mode, rotation_overlay, 
22/03/2022 14:59:34:668, robot_pos_w_timestamp, 1647957493192, 584.55, 187.15, 192.09, 2.43, 0.08, 3.11, tool_force, 0.89, 2.52, 5.58, actual_rep, 1, curr_step, 19, track_size, 95, robot_vel, 7.81, joints_pos, 31.65, 53.21, -20.48, -81.61, 18.62, 44.54, 47.34, tool_torque, 0.71, -0.497, 0.478, tool_momentum, 0.704, -0.488, 0.478, robot_mode, rotation_overlay, 
22/03/2022 14:59:34:813, robot_pos_w_timestamp, 1647957493337, 584.77, 185.97, 192.31, 2.47, 0.09, 3.12, tool_force, 0.53, 2.29, 5.93, actual_rep, 1, curr_step, 19, track_size, 95, robot_vel, 7.96, joints_pos, 31.64, 53.2, -20.62, -81.65, 18.66, 44.54, 44.93, tool_torque, 0.481, -0.301, 0.39, tool_momentum, 0.478, -0.3, 0.389, robot_mode, rotation_overlay, 
22/03/2022 14:59:34:996, robot_pos_w_timestamp, 1647957493487, 584.88, 184.92, 192.57, 2.48, 0.09, 3.12, tool_force, -0.21, 1.44, 6.05, actual_rep, 1, curr_step, 19, track_size, 95, robot_vel, 9.12, joints_pos, 31.71, 53.2, -20.82, -81.68, 18.66, 44.6, 44.35, tool_torque, 0.137, -0.1, 0.293, tool_momentum, 0.145, -0.107, 0.293, robot_mode, rotation_overlay, 
22/03/2022 14:59:35:113, robot_pos_w_timestamp, 1647957493617, 584.89, 184.52, 191.67, 2.47, 0.09, 3.12, tool_force, 0.8, 1.97, 5.78, actual_rep, 1, curr_step, 19, track_size, 95, robot_vel, 13.61, joints_pos, 31.66, 53.29, -20.82, -81.68, 18.83, 44.55, 44.53, tool_torque, 0.354, -0.249, 0.152, tool_momentum, 0.343, -0.238, 0.147, robot_mode, normal, 
22/03/2022 14:59:35:268, robot_pos_w_timestamp, 1647957493769, 585.7, 182.56, 191.62, 2.44, 0.08, 3.11, tool_force, -0.18, 1.12, 5.88, actual_rep, 1, curr_step, 19, track_size, 95, robot_vel, 14.74, joints_pos, 31.54, 53.33, -20.98, -81.67, 19.15, 44.55, 46.31, tool_torque, 0.141, -0.053, -0.022, tool_momentum, 0.151, -0.067, -0.022, robot_mode, normal, 
22/03/2022 14:59:35:417, robot_pos_w_timestamp, 1647957493916, 585.71, 180.97, 191.79, 2.37, 0.08, 3.11, tool_force, -0.38, 1.05, 6.1, actual_rep, 1, curr_step, 19, track_size, 95, robot_vel, 13.96, joints_pos, 31.59, 53.32, -21.26, -81.75, 19.32, 44.61, 50.04, tool_torque, -0.047, 0.081, -0.09, tool_momentum, -0.048, 0.079, -0.09, robot_mode, normal, 
22/03/2022 14:59:35:572, robot_pos_w_timestamp, 1647957494065, 585.98, 177.16, 192.72, 2.3, 0.08, 3.11, tool_force, 0.47, 1.29, 6.37, actual_rep, 1, curr_step, 20, track_size, 95, robot_vel, 33.67, joints_pos, 31.58, 53.28, -21.7, -81.84, 19.34, 44.89, 53.51, tool_torque, -0.162, -0.0010, -0.101, tool_momentum, -0.183, 0.026, -0.103, robot_mode, normal, 
22/03/2022 14:59:35:719, robot_pos_w_timestamp, 1647957494216, 586.14, 172.04, 193.76, 2.26, 0.08, 3.11, tool_force, 1.09, 1.62, 6.22, actual_rep, 1, curr_step, 21, track_size, 95, robot_vel, 34.99, joints_pos, 31.22, 53.09, -21.8, -82.06, 19.35, 45.06, 54.9, tool_torque, 0.067, -0.458, 0.03, tool_momentum, 0.065, -0.461, 0.031, robot_mode, normal, 
22/03/2022 14:59:35:909, robot_pos_w_timestamp, 1647957494362, 586.21, 166.32, 195.03, 2.26, 0.08, 3.11, tool_force, 1.17, 1.76, 5.76, actual_rep, 1, curr_step, 22, track_size, 95, robot_vel, 40.56, joints_pos, 30.54, 52.79, -21.58, -82.33, 19.43, 45.2, 54.55, tool_torque, 0.256, -0.708, 0.403, tool_momentum, 0.259, -0.717, 0.406, robot_mode, normal, 
22/03/2022 14:59:36:023, robot_pos_w_timestamp, 1647957494514, 585.9, 160.05, 196.58, 2.25, 0.07, 3.12, tool_force, 1.16, 1.91, 6.19, actual_rep, 1, curr_step, 22, track_size, 95, robot_vel, 42.93, joints_pos, 29.93, 52.46, -21.47, -82.63, 19.21, 45.48, 54.34, tool_torque, 0.258, -0.697, 0.439, tool_momentum, 0.243, -0.692, 0.435, robot_mode, normal, 
22/03/2022 14:59:36:173, robot_pos_w_timestamp, 1647957494661, 585.17, 154.63, 198.37, 2.25, 0.07, 3.12, tool_force, 1.47, 1.88, 6.04, actual_rep, 1, curr_step, 23, track_size, 95, robot_vel, 38.47, joints_pos, 29.46, 52.16, -21.45, -82.86, 19.04, 46.04, 54.14, tool_torque, 0.27, -0.78, 0.494, tool_momentum, 0.269, -0.777, 0.494, robot_mode, normal, 
22/03/2022 14:59:36:324, robot_pos_w_timestamp, 1647957494811, 584.44, 148.68, 200.32, 2.25, 0.06, 3.13, tool_force, 1.05, 2.34, 6.41, actual_rep, 1, curr_step, 24, track_size, 95, robot_vel, 40.26, joints_pos, 28.95, 51.86, -21.46, -83.09, 18.89, 46.63, 53.71, tool_torque, 0.298, -0.659, 0.479, tool_momentum, 0.264, -0.662, 0.479, robot_mode, normal, 
