26/04/2022 13:37:08: File Created!
26/04/2022 13:37:08:092, robot_pos_w_timestamp, 1650976527119, 603.16, 290.02, 234.99, 2.44, -0.01, 3.06, tool_force, -0.15, -0.22, 0.31, actual_rep, 1, curr_step, 1, track_size, 77, robot_vel, 0.0, joints_pos, 43.01, 58.34, -32.91, -68.57, -144.01, -58.88, -133.8, tool_torque, 0.492, -0.187, 0.211, tool_momentum, 0.492, -0.187, 0.211, robot_mode, normal, 
26/04/2022 13:37:15:767, robot_pos_w_timestamp, 1650976534771, 488.79, 233.33, 359.17, 2.38, -0.06, 3.1, tool_force, -1.02, -0.13, 0.06, actual_rep, 1, curr_step, 45, track_size, 77, robot_vel, 41.82, joints_pos, 51.41, 34.16, -37.54, -91.42, -152.46, -62.65, -130.66, tool_torque, 0.487, 0.278, 0.04, tool_momentum, 0.475, 0.285, 0.039, robot_mode, normal, 
26/04/2022 13:37:16:059, robot_pos_w_timestamp, 1650976535068, 487.35, 240.53, 357.83, 2.38, -0.01, 3.11, tool_force, -0.47, -0.45, -0.36, actual_rep, 1, curr_step, 50, track_size, 77, robot_vel, 11.34, joints_pos, 53.37, 34.63, -38.38, -91.26, -154.99, -61.45, -128.33, tool_torque, 0.434, 0.289, 0.016, tool_momentum, 0.42, 0.309, 0.016, robot_mode, normal, 
26/04/2022 13:37:16:206, robot_pos_w_timestamp, 1650976535217, 489.37, 241.64, 358.88, 2.37, 0.0, 3.11, tool_force, -0.53, 0.12, -0.03, actual_rep, 1, curr_step, 53, track_size, 77, robot_vel, 19.1, joints_pos, 54.01, 35.01, -39.3, -90.91, -154.7, -61.37, -127.91, tool_torque, 0.456, 0.259, 0.014, tool_momentum, 0.446, 0.264, 0.017, robot_mode, normal, 
26/04/2022 13:37:16:360, robot_pos_w_timestamp, 1650976535365, 490.35, 241.88, 358.8, 2.37, 0.0, 3.11, tool_force, -0.44, 0.12, 1.01, actual_rep, 1, curr_step, 55, track_size, 77, robot_vel, 4.8, joints_pos, 54.38, 35.34, -39.98, -90.75, -154.15, -61.55, -128.21, tool_torque, 0.276, -0.071, 0.322, tool_momentum, 0.27, -0.065, 0.322, robot_mode, normal, 
26/04/2022 13:37:16:512, robot_pos_w_timestamp, 1650976535513, 489.96, 242.01, 359.76, 2.37, 0.0, 3.11, tool_force, -0.13, -0.03, 0.6, actual_rep, 1, curr_step, 58, track_size, 77, robot_vel, 6.3, joints_pos, 54.67, 35.34, -40.34, -90.74, -154.11, -61.72, -128.28, tool_torque, 0.255, -0.131, 0.327, tool_momentum, 0.262, -0.118, 0.33, robot_mode, normal, 
26/04/2022 13:37:16:661, robot_pos_w_timestamp, 1650976535665, 489.82, 241.84, 359.79, 2.37, 0.0, 3.11, tool_force, -0.11, 0.16, 0.6, actual_rep, 1, curr_step, 61, track_size, 77, robot_vel, 0.6, joints_pos, 54.72, 35.34, -40.41, -90.77, -154.09, -61.74, -128.33, tool_torque, 0.305, -0.158, 0.354, tool_momentum, 0.308, -0.16, 0.355, robot_mode, normal, 
26/04/2022 13:37:16:811, robot_pos_w_timestamp, 1650976535812, 489.82, 241.87, 359.79, 2.37, 0.0, 3.11, tool_force, 0.11, 0.17, 0.54, actual_rep, 1, curr_step, 64, track_size, 77, robot_vel, 0.23, joints_pos, 54.72, 35.34, -40.41, -90.77, -154.07, -61.75, -128.34, tool_torque, 0.318, -0.193, 0.357, tool_momentum, 0.316, -0.193, 0.357, robot_mode, normal, 
26/04/2022 13:37:16:965, robot_pos_w_timestamp, 1650976535962, 489.83, 241.88, 359.78, 2.37, 0.0, 3.11, tool_force, 0.24, -0.07, 0.47, actual_rep, 1, curr_step, 66, track_size, 77, robot_vel, 0.28, joints_pos, 54.72, 35.35, -40.41, -90.76, -154.07, -61.75, -128.34, tool_torque, 0.294, -0.216, 0.349, tool_momentum, 0.293, -0.216, 0.349, robot_mode, normal, 
26/04/2022 13:37:17:115, robot_pos_w_timestamp, 1650976536112, 489.85, 241.89, 359.77, 2.37, 0.0, 3.11, tool_force, 0.28, -0.07, 0.48, actual_rep, 1, curr_step, 69, track_size, 77, robot_vel, 0.12, joints_pos, 54.72, 35.35, -40.41, -90.76, -154.06, -61.75, -128.34, tool_torque, 0.295, -0.217, 0.347, tool_momentum, 0.294, -0.217, 0.348, robot_mode, normal, 
26/04/2022 13:37:17:266, robot_pos_w_timestamp, 1650976536261, 489.86, 241.89, 359.77, 2.37, 0.0, 3.11, tool_force, 0.29, -0.11, 0.45, actual_rep, 1, curr_step, 71, track_size, 77, robot_vel, 0.08, joints_pos, 54.72, 35.35, -40.42, -90.76, -154.06, -61.75, -128.34, tool_torque, 0.289, -0.219, 0.351, tool_momentum, 0.29, -0.219, 0.351, robot_mode, normal, 
26/04/2022 13:37:17:417, robot_pos_w_timestamp, 1650976536408, 489.87, 241.89, 359.77, 2.37, 0.0, 3.11, tool_force, 0.28, -0.07, 0.46, actual_rep, 1, curr_step, 74, track_size, 77, robot_vel, 0.02, joints_pos, 54.72, 35.35, -40.42, -90.76, -154.06, -61.75, -128.34, tool_torque, 0.294, -0.215, 0.35, tool_momentum, 0.294, -0.214, 0.35, robot_mode, normal, 
26/04/2022 13:37:17:565, robot_pos_w_timestamp, 1650976536558, 489.87, 241.88, 359.77, 2.37, 0.0, 3.11, tool_force, 0.2, -0.05, 0.48, actual_rep, 1, curr_step, 77, track_size, 77, robot_vel, 0.09, joints_pos, 54.72, 35.36, -40.42, -90.76, -154.06, -61.75, -128.35, tool_torque, 0.292, -0.198, 0.347, tool_momentum, 0.293, -0.197, 0.347, robot_mode, normal, 
26/04/2022 13:37:17:718, robot_pos_w_timestamp, 1650976536706, 489.88, 241.87, 359.77, 2.37, 0.0, 3.11, tool_force, 0.13, -0.05, 0.48, actual_rep, 1, curr_step, 77, track_size, 77, robot_vel, 0.11, joints_pos, 54.72, 35.36, -40.42, -90.76, -154.05, -61.75, -128.35, tool_torque, 0.287, -0.178, 0.343, tool_momentum, 0.287, -0.177, 0.343, robot_mode, normal, 
26/04/2022 13:37:17:911, robot_pos_w_timestamp, 1650976536855, 489.9, 241.86, 359.77, 2.37, 0.0, 3.11, tool_force, 0.05, -0.02, 0.52, actual_rep, 1, curr_step, 77, track_size, 77, robot_vel, 0.16, joints_pos, 54.72, 35.36, -40.43, -90.76, -154.05, -61.76, -128.36, tool_torque, 0.279, -0.157, 0.338, tool_momentum, 0.28, -0.157, 0.338, robot_mode, normal, 
26/04/2022 13:37:18:034, robot_pos_w_timestamp, 1650976537004, 489.9, 241.87, 359.76, 2.37, 0.0, 3.11, tool_force, 0.05, -0.04, 0.52, actual_rep, 1, curr_step, 77, track_size, 77, robot_vel, 0.01, joints_pos, 54.72, 35.36, -40.43, -90.76, -154.04, -61.76, -128.36, tool_torque, 0.287, -0.168, 0.341, tool_momentum, 0.289, -0.168, 0.342, robot_mode, normal, 
26/04/2022 13:37:18:206, robot_pos_w_timestamp, 1650976537155, 489.89, 241.88, 359.76, 2.37, 0.0, 3.11, tool_force, 0.07, -0.02, 0.51, actual_rep, 1, curr_step, 77, track_size, 77, robot_vel, 0.03, joints_pos, 54.72, 35.36, -40.43, -90.75, -154.04, -61.76, -128.36, tool_torque, 0.293, -0.175, 0.345, tool_momentum, 0.293, -0.177, 0.345, robot_mode, normal, 
26/04/2022 13:37:18:319, robot_pos_w_timestamp, 1650976537303, 489.89, 241.88, 359.76, 2.37, 0.0, 3.11, tool_force, 0.08, -0.02, 0.51, actual_rep, 1, curr_step, 77, track_size, 77, robot_vel, 0.07, joints_pos, 54.72, 35.36, -40.43, -90.75, -154.04, -61.76, -128.36, tool_torque, 0.292, -0.178, 0.346, tool_momentum, 0.292, -0.177, 0.346, robot_mode, normal, 
26/04/2022 13:37:18:518, robot_pos_w_timestamp, 1650976537453, 489.89, 241.87, 359.77, 2.37, 0.0, 3.11, tool_force, 0.13, -0.02, 0.5, actual_rep, 1, curr_step, 77, track_size, 77, robot_vel, 0.08, joints_pos, 54.72, 35.36, -40.43, -90.75, -154.05, -61.76, -128.36, tool_torque, 0.291, -0.188, 0.349, tool_momentum, 0.293, -0.189, 0.349, robot_mode, normal, 
26/04/2022 13:37:18:625, robot_pos_w_timestamp, 1650976537601, 489.88, 241.86, 359.78, 2.37, 0.0, 3.11, tool_force, 0.19, 0.01, 0.51, actual_rep, 1, curr_step, 77, track_size, 77, robot_vel, 0.28, joints_pos, 54.72, 35.36, -40.43, -90.76, -154.05, -61.77, -128.36, tool_torque, 0.294, -0.205, 0.349, tool_momentum, 0.296, -0.205, 0.349, robot_mode, normal, 
26/04/2022 13:37:18:809, robot_pos_w_timestamp, 1650976537751, 489.88, 241.87, 359.82, 2.37, 0.0, 3.11, tool_force, -0.04, 0.06, 0.44, actual_rep, 1, curr_step, 77, track_size, 77, robot_vel, 0.61, joints_pos, 54.72, 35.35, -40.43, -90.76, -154.05, -61.76, -128.37, tool_torque, 0.325, -0.128, 0.348, tool_momentum, 0.328, -0.135, 0.348, robot_mode, normal, 
26/04/2022 13:37:18:929, robot_pos_w_timestamp, 1650976537896, 490.03, 241.83, 359.27, 2.37, 0.0, 3.11, tool_force, 0.34, 0.17, -0.09, actual_rep, 1, curr_step, 77, track_size, 77, robot_vel, 6.79, joints_pos, 54.7, 35.41, -40.43, -90.78, -153.92, -61.67, -128.37, tool_torque, 0.582, -0.178, 0.387, tool_momentum, 0.585, -0.178, 0.387, robot_mode, normal, 
