26/04/2022 13:39:04: File Created!
26/04/2022 13:39:04:693, robot_pos_w_timestamp, 1650976643244, 536.68, 303.04, 194.88, 2.29, 0.04, 3.08, tool_force, 0.75, -0.19, 0.5, actual_rep, 1, curr_step, 1, track_size, 95, robot_vel, 10.39, joints_pos, 52.21, 57.29, -35.95, -81.06, -142.13, -49.71, -125.05, tool_torque, 0.5, -0.495, 0.454, tool_momentum, 0.499, -0.495, 0.454, robot_mode, rotation_overlay, 
26/04/2022 13:39:06:333, robot_pos_w_timestamp, 1650976644876, 564.95, 248.77, 195.04, 2.28, 0.08, 3.08, tool_force, 1.77, 0.71, 0.03, actual_rep, 1, curr_step, 12, track_size, 95, robot_vel, 43.91, joints_pos, 47.48, 57.58, -36.89, -81.19, -143.12, -48.55, -129.28, tool_torque, 0.918, -0.667, 0.568, tool_momentum, 0.922, -0.658, 0.564, robot_mode, rotation_overlay, 
26/04/2022 13:39:06:485, robot_pos_w_timestamp, 1650976645026, 566.91, 243.04, 194.85, 2.28, 0.08, 3.08, tool_force, 1.69, 0.95, -0.02, actual_rep, 1, curr_step, 12, track_size, 95, robot_vel, 38.56, joints_pos, 46.92, 57.55, -36.87, -81.29, -143.12, -48.51, -129.8, tool_torque, 1.054, -0.604, 0.573, tool_momentum, 1.058, -0.613, 0.573, robot_mode, rotation_overlay, 
26/04/2022 13:39:06:668, robot_pos_w_timestamp, 1650976645176, 568.85, 237.22, 194.54, 2.28, 0.08, 3.08, tool_force, 1.84, 0.92, -0.12, actual_rep, 1, curr_step, 13, track_size, 95, robot_vel, 40.73, joints_pos, 46.37, 57.54, -36.86, -81.37, -143.11, -48.51, -130.32, tool_torque, 1.042, -0.703, 0.581, tool_momentum, 1.027, -0.691, 0.581, robot_mode, rotation_overlay, 
26/04/2022 13:39:06:811, robot_pos_w_timestamp, 1650976645345, 570.95, 230.57, 194.21, 2.28, 0.08, 3.09, tool_force, 1.92, 0.25, 0.22, actual_rep, 1, curr_step, 14, track_size, 95, robot_vel, 45.0, joints_pos, 45.76, 57.57, -36.88, -81.39, -143.22, -48.66, -130.85, tool_torque, 0.692, -0.771, 0.533, tool_momentum, 0.714, -0.79, 0.537, robot_mode, rotation_overlay, 
26/04/2022 13:39:06:975, robot_pos_w_timestamp, 1650976645478, 572.48, 226.69, 194.03, 2.28, 0.08, 3.09, tool_force, 1.67, -0.49, 0.06, actual_rep, 1, curr_step, 14, track_size, 95, robot_vel, 34.92, joints_pos, 45.33, 57.6, -36.83, -81.31, -143.33, -48.81, -131.11, tool_torque, 0.532, -0.603, 0.501, tool_momentum, 0.506, -0.579, 0.501, robot_mode, rotation_overlay, 
26/04/2022 13:39:07:084, robot_pos_w_timestamp, 1650976645611, 572.69, 226.7, 193.32, 2.28, 0.08, 3.09, tool_force, 1.65, -0.88, -0.02, actual_rep, 1, curr_step, 14, track_size, 95, robot_vel, 6.55, joints_pos, 45.24, 57.67, -36.72, -81.23, -143.51, -48.82, -131.14, tool_torque, 0.564, -0.678, 0.458, tool_momentum, 0.578, -0.685, 0.461, robot_mode, rotation_overlay, 
26/04/2022 13:39:07:234, robot_pos_w_timestamp, 1650976645761, 573.5, 225.06, 193.11, 2.31, 0.09, 3.1, tool_force, 2.02, 0.14, 0.47, actual_rep, 1, curr_step, 14, track_size, 95, robot_vel, 10.33, joints_pos, 45.25, 57.81, -36.95, -81.15, -143.63, -48.89, -133.07, tool_torque, 0.619, -0.625, 0.492, tool_momentum, 0.621, -0.627, 0.493, robot_mode, rotation_overlay, 
26/04/2022 13:39:07:383, robot_pos_w_timestamp, 1650976645910, 574.08, 223.15, 193.2, 2.38, 0.09, 3.1, tool_force, 1.77, 0.42, 0.04, actual_rep, 1, curr_step, 14, track_size, 95, robot_vel, 11.95, joints_pos, 45.13, 57.8, -37.02, -81.22, -143.57, -48.8, -137.01, tool_torque, 0.925, -0.521, 0.531, tool_momentum, 0.93, -0.523, 0.531, robot_mode, rotation_overlay, 
26/04/2022 13:39:07:536, robot_pos_w_timestamp, 1650976646061, 574.72, 221.0, 193.5, 2.44, 0.09, 3.11, tool_force, 1.18, 1.01, -0.07, actual_rep, 1, curr_step, 15, track_size, 95, robot_vel, 17.34, joints_pos, 44.94, 57.71, -37.02, -81.35, -143.4, -48.61, -141.23, tool_torque, 1.12, -0.321, 0.509, tool_momentum, 1.126, -0.323, 0.509, robot_mode, rotation_overlay, 
26/04/2022 13:39:07:683, robot_pos_w_timestamp, 1650976646211, 575.3, 218.86, 193.73, 2.48, 0.1, 3.11, tool_force, 1.04, 1.39, 0.26, actual_rep, 1, curr_step, 15, track_size, 95, robot_vel, 14.85, joints_pos, 44.83, 57.69, -37.12, -81.43, -143.4, -48.54, -143.39, tool_torque, 1.169, -0.298, 0.503, tool_momentum, 1.169, -0.299, 0.503, robot_mode, rotation_overlay, 
26/04/2022 13:39:07:858, robot_pos_w_timestamp, 1650976646347, 575.66, 217.72, 193.76, 2.49, 0.1, 3.11, tool_force, 0.46, 0.55, -0.03, actual_rep, 1, curr_step, 15, track_size, 95, robot_vel, 11.68, joints_pos, 44.83, 57.73, -37.25, -81.45, -143.41, -48.52, -143.77, tool_torque, 0.975, -0.214, 0.458, tool_momentum, 0.982, -0.221, 0.458, robot_mode, rotation_overlay, 
26/04/2022 13:39:08:015, robot_pos_w_timestamp, 1650976646495, 575.85, 217.41, 192.82, 2.48, 0.1, 3.11, tool_force, 0.92, 1.02, 0.71, actual_rep, 1, curr_step, 15, track_size, 95, robot_vel, 9.6, joints_pos, 44.76, 57.83, -37.25, -81.44, -143.12, -48.48, -143.45, tool_torque, 0.967, -0.095, 0.154, tool_momentum, 0.826, -0.173, 0.158, robot_mode, rotation_overlay, 
26/04/2022 13:39:08:141, robot_pos_w_timestamp, 1650976646646, 576.46, 215.75, 192.74, 2.44, 0.1, 3.1, tool_force, 1.38, 0.2, -0.32, actual_rep, 1, curr_step, 15, track_size, 95, robot_vel, 8.01, joints_pos, 44.71, 57.89, -37.48, -81.51, -142.58, -48.46, -141.55, tool_torque, 0.79, -0.229, 0.095, tool_momentum, 0.792, -0.237, 0.096, robot_mode, rotation_overlay, 
26/04/2022 13:39:08:289, robot_pos_w_timestamp, 1650976646795, 576.65, 214.45, 192.86, 2.36, 0.09, 3.1, tool_force, -0.19, -0.48, 1.28, actual_rep, 1, curr_step, 15, track_size, 95, robot_vel, 9.63, joints_pos, 44.79, 57.99, -37.82, -81.53, -142.25, -48.68, -137.62, tool_torque, 0.376, -0.095, 0.012, tool_momentum, 0.369, -0.096, 0.011, robot_mode, rotation_overlay, 
26/04/2022 13:39:08:437, robot_pos_w_timestamp, 1650976646945, 577.14, 213.25, 192.96, 2.26, 0.09, 3.09, tool_force, 0.08, -0.82, 0.93, actual_rep, 1, curr_step, 16, track_size, 95, robot_vel, 8.19, joints_pos, 44.89, 58.17, -38.21, -81.44, -142.13, -48.96, -131.53, tool_torque, 0.225, -0.097, -0.0020, tool_momentum, 0.217, -0.087, -0.0020, robot_mode, rotation_overlay, 
26/04/2022 13:39:08:591, robot_pos_w_timestamp, 1650976647094, 577.59, 212.08, 193.05, 2.15, 0.09, 3.09, tool_force, 0.35, -0.89, 0.75, actual_rep, 1, curr_step, 16, track_size, 95, robot_vel, 7.52, joints_pos, 44.95, 58.29, -38.48, -81.38, -142.14, -49.14, -125.71, tool_torque, 0.196, -0.173, 0.038, tool_momentum, 0.197, -0.176, 0.038, robot_mode, rotation_overlay, 
26/04/2022 13:39:08:740, robot_pos_w_timestamp, 1650976647247, 577.91, 210.9, 193.2, 2.08, 0.08, 3.08, tool_force, 1.32, -0.86, 0.54, actual_rep, 1, curr_step, 16, track_size, 95, robot_vel, 7.71, joints_pos, 44.89, 58.29, -38.53, -81.39, -142.21, -49.16, -121.85, tool_torque, 0.31, -0.445, 0.141, tool_momentum, 0.314, -0.448, 0.142, robot_mode, rotation_overlay, 
26/04/2022 13:39:08:892, robot_pos_w_timestamp, 1650976647395, 578.29, 209.77, 193.44, 2.05, 0.08, 3.08, tool_force, 1.79, -0.07, 0.19, actual_rep, 1, curr_step, 16, track_size, 95, robot_vel, 7.84, joints_pos, 44.74, 58.2, -38.44, -81.46, -142.2, -49.01, -120.03, tool_torque, 0.673, -0.632, 0.224, tool_momentum, 0.676, -0.64, 0.226, robot_mode, rotation_overlay, 
26/04/2022 13:39:09:086, robot_pos_w_timestamp, 1650976647534, 578.53, 208.95, 193.6, 2.04, 0.08, 3.07, tool_force, 1.57, 0.35, -0.2, actual_rep, 1, curr_step, 16, track_size, 95, robot_vel, 6.27, joints_pos, 44.57, 58.09, -38.3, -81.54, -142.12, -48.84, -119.88, tool_torque, 0.874, -0.806, 0.392, tool_momentum, 0.871, -0.808, 0.391, robot_mode, rotation_overlay, 
26/04/2022 13:39:09:216, robot_pos_w_timestamp, 1650976647705, 578.61, 208.31, 192.86, 2.05, 0.08, 3.08, tool_force, 1.67, -0.13, 0.1, actual_rep, 1, curr_step, 16, track_size, 95, robot_vel, 12.46, joints_pos, 44.57, 58.23, -38.37, -81.46, -142.33, -48.97, -120.64, tool_torque, 0.591, -0.704, 0.579, tool_momentum, 0.592, -0.707, 0.581, robot_mode, rotation_overlay, 
26/04/2022 13:39:09:344, robot_pos_w_timestamp, 1650976647832, 579.12, 207.57, 192.75, 2.09, 0.08, 3.08, tool_force, 2.51, -0.47, 0.2, actual_rep, 1, curr_step, 16, track_size, 95, robot_vel, 8.49, joints_pos, 44.53, 58.33, -38.48, -81.36, -142.3, -49.16, -122.94, tool_torque, 0.541, -0.942, 0.646, tool_momentum, 0.538, -0.941, 0.646, robot_mode, rotation_overlay, 
26/04/2022 13:39:09:494, robot_pos_w_timestamp, 1650976647981, 579.48, 206.42, 192.78, 2.17, 0.09, 3.09, tool_force, 2.55, 0.02, 0.17, actual_rep, 1, curr_step, 16, track_size, 95, robot_vel, 7.29, joints_pos, 44.37, 58.3, -38.46, -81.39, -142.06, -49.17, -127.82, tool_torque, 0.727, -0.926, 0.63, tool_momentum, 0.733, -0.923, 0.63, robot_mode, rotation_overlay, 
26/04/2022 13:39:09:644, robot_pos_w_timestamp, 1650976648132, 579.83, 205.17, 192.96, 2.28, 0.09, 3.1, tool_force, 2.04, 0.75, -0.17, actual_rep, 1, curr_step, 17, track_size, 95, robot_vel, 8.6, joints_pos, 44.13, 58.19, -38.32, -81.48, -141.75, -49.1, -134.46, tool_torque, 1.09, -0.82, 0.626, tool_momentum, 1.133, -0.848, 0.629, robot_mode, rotation_overlay, 
26/04/2022 13:39:09:797, robot_pos_w_timestamp, 1650976648284, 580.23, 203.75, 193.11, 2.38, 0.09, 3.1, tool_force, 1.33, 1.15, -0.14, actual_rep, 1, curr_step, 17, track_size, 95, robot_vel, 8.41, joints_pos, 43.91, 58.11, -38.25, -81.56, -141.4, -49.05, -140.53, tool_torque, 1.226, -0.585, 0.584, tool_momentum, 1.231, -0.592, 0.584, robot_mode, rotation_overlay, 
26/04/2022 13:39:09:948, robot_pos_w_timestamp, 1650976648436, 580.5, 202.51, 193.2, 2.44, 0.09, 3.1, tool_force, 1.1, 0.93, 0.05, actual_rep, 1, curr_step, 17, track_size, 95, robot_vel, 9.37, joints_pos, 43.84, 58.11, -38.34, -81.61, -141.18, -49.08, -144.44, tool_torque, 1.082, -0.482, 0.509, tool_momentum, 1.076, -0.485, 0.508, robot_mode, rotation_overlay, 
26/04/2022 13:39:10:101, robot_pos_w_timestamp, 1650976648587, 580.79, 201.19, 193.19, 2.47, 0.09, 3.11, tool_force, 1.23, 0.31, 0.34, actual_rep, 1, curr_step, 17, track_size, 95, robot_vel, 8.82, joints_pos, 43.84, 58.18, -38.54, -81.62, -141.08, -49.16, -146.22, tool_torque, 0.804, -0.494, 0.44, tool_momentum, 0.802, -0.497, 0.439, robot_mode, rotation_overlay, 
26/04/2022 13:39:10:251, robot_pos_w_timestamp, 1650976648720, 580.94, 200.78, 193.18, 2.48, 0.09, 3.11, tool_force, 0.66, 0.59, 1.48, actual_rep, 1, curr_step, 17, track_size, 95, robot_vel, 5.7, joints_pos, 43.87, 58.24, -38.64, -81.59, -141.05, -49.26, -146.38, tool_torque, 0.722, -0.354, 0.364, tool_momentum, 0.697, -0.34, 0.36, robot_mode, rotation_overlay, 
26/04/2022 13:39:10:420, robot_pos_w_timestamp, 1650976648885, 581.44, 199.55, 192.28, 2.46, 0.09, 3.11, tool_force, 1.24, -0.94, 0.23, actual_rep, 1, curr_step, 17, track_size, 95, robot_vel, 9.21, joints_pos, 43.85, 58.43, -38.9, -81.59, -140.49, -49.29, -145.68, tool_torque, 0.397, -0.36, 0.08, tool_momentum, 0.397, -0.357, 0.08, robot_mode, rotation_overlay, 
26/04/2022 13:39:10:556, robot_pos_w_timestamp, 1650976649021, 581.55, 198.61, 192.35, 2.41, 0.09, 3.1, tool_force, -0.13, -1.16, 0.75, actual_rep, 1, curr_step, 17, track_size, 95, robot_vel, 7.56, joints_pos, 43.91, 58.52, -39.17, -81.59, -140.19, -49.51, -143.26, tool_torque, 0.199, -0.057, -0.0090, tool_momentum, 0.223, -0.091, -0.0040, robot_mode, rotation_overlay, 
26/04/2022 13:39:10:706, robot_pos_w_timestamp, 1650976649171, 581.82, 197.38, 192.46, 2.33, 0.08, 3.1, tool_force, 0.2, -0.92, 0.91, actual_rep, 1, curr_step, 18, track_size, 95, robot_vel, 10.37, joints_pos, 43.97, 58.64, -39.48, -81.56, -140.04, -49.75, -138.54, tool_torque, 0.195, -0.124, -0.012, tool_momentum, 0.192, -0.12, -0.012, robot_mode, rotation_overlay, 
26/04/2022 13:39:10:857, robot_pos_w_timestamp, 1650976649321, 582.14, 196.2, 192.54, 2.22, 0.08, 3.1, tool_force, 0.45, -1.08, 0.73, actual_rep, 1, curr_step, 18, track_size, 95, robot_vel, 9.83, joints_pos, 44.03, 58.78, -39.76, -81.47, -140.07, -50.03, -132.26, tool_torque, 0.119, -0.157, 0.014, tool_momentum, 0.117, -0.151, 0.014, robot_mode, rotation_overlay, 
26/04/2022 13:39:11:008, robot_pos_w_timestamp, 1650976649473, 582.36, 195.17, 192.69, 2.12, 0.08, 3.09, tool_force, 0.51, -0.94, 0.96, actual_rep, 1, curr_step, 18, track_size, 95, robot_vel, 7.64, joints_pos, 44.04, 58.85, -39.9, -81.41, -140.25, -50.21, -126.9, tool_torque, 0.118, -0.211, 0.068, tool_momentum, 0.117, -0.215, 0.068, robot_mode, rotation_overlay, 
26/04/2022 13:39:11:159, robot_pos_w_timestamp, 1650976649623, 582.64, 194.05, 192.84, 2.07, 0.07, 3.09, tool_force, 1.4, -1.12, 0.57, actual_rep, 1, curr_step, 18, track_size, 95, robot_vel, 8.14, joints_pos, 43.93, 58.83, -39.9, -81.42, -140.31, -50.24, -123.74, tool_torque, 0.198, -0.527, 0.145, tool_momentum, 0.199, -0.526, 0.145, robot_mode, rotation_overlay, 
26/04/2022 13:39:11:307, robot_pos_w_timestamp, 1650976649774, 582.8, 192.98, 193.09, 2.04, 0.07, 3.09, tool_force, 1.82, -0.31, 0.22, actual_rep, 1, curr_step, 18, track_size, 95, robot_vel, 7.41, joints_pos, 43.78, 58.73, -39.81, -81.49, -140.3, -50.17, -122.57, tool_torque, 0.572, -0.696, 0.246, tool_momentum, 0.574, -0.699, 0.246, robot_mode, rotation_overlay, 
26/04/2022 13:39:11:458, robot_pos_w_timestamp, 1650976649905, 582.82, 192.78, 193.13, 2.04, 0.07, 3.09, tool_force, 2.03, -0.14, 0.01, actual_rep, 1, curr_step, 18, track_size, 95, robot_vel, 0.97, joints_pos, 43.68, 58.67, -39.69, -81.51, -140.3, -50.14, -122.55, tool_torque, 0.701, -0.772, 0.326, tool_momentum, 0.708, -0.776, 0.326, robot_mode, rotation_overlay, 
26/04/2022 13:39:11:608, robot_pos_w_timestamp, 1650976650055, 583.03, 191.94, 192.49, 2.06, 0.08, 3.09, tool_force, 1.81, 0.04, 0.73, actual_rep, 1, curr_step, 18, track_size, 95, robot_vel, 5.16, joints_pos, 43.69, 58.83, -39.8, -81.41, -140.54, -50.27, -123.51, tool_torque, 0.539, -0.707, 0.575, tool_momentum, 0.536, -0.705, 0.575, robot_mode, rotation_overlay, 
26/04/2022 13:39:11:758, robot_pos_w_timestamp, 1650976650203, 583.44, 190.98, 192.5, 2.11, 0.08, 3.1, tool_force, 2.62, -0.57, 0.03, actual_rep, 1, curr_step, 18, track_size, 95, robot_vel, 8.5, joints_pos, 43.66, 58.89, -39.91, -81.36, -140.54, -50.37, -126.64, tool_torque, 0.46, -0.89, 0.608, tool_momentum, 0.454, -0.883, 0.607, robot_mode, rotation_overlay, 
26/04/2022 13:39:11:907, robot_pos_w_timestamp, 1650976650352, 583.72, 189.92, 192.73, 2.2, 0.08, 3.1, tool_force, 2.56, 0.14, 0.06, actual_rep, 1, curr_step, 18, track_size, 95, robot_vel, 7.58, joints_pos, 43.53, 58.83, -39.88, -81.41, -140.43, -50.34, -131.84, tool_torque, 0.794, -0.884, 0.624, tool_momentum, 0.8, -0.888, 0.624, robot_mode, rotation_overlay, 
26/04/2022 13:39:12:059, robot_pos_w_timestamp, 1650976650501, 583.99, 188.69, 192.98, 2.31, 0.08, 3.11, tool_force, 1.72, 0.93, -0.33, actual_rep, 1, curr_step, 19, track_size, 95, robot_vel, 9.3, joints_pos, 43.32, 58.71, -39.76, -81.52, -140.17, -50.2, -138.7, tool_torque, 1.22, -0.669, 0.615, tool_momentum, 1.226, -0.668, 0.615, robot_mode, rotation_overlay, 
26/04/2022 13:39:12:211, robot_pos_w_timestamp, 1650976650649, 584.23, 187.5, 193.14, 2.4, 0.08, 3.11, tool_force, 1.25, 1.22, -0.14, actual_rep, 1, curr_step, 19, track_size, 95, robot_vel, 8.04, joints_pos, 43.21, 58.66, -39.77, -81.61, -139.94, -50.14, -143.95, tool_torque, 1.249, -0.462, 0.554, tool_momentum, 1.251, -0.463, 0.554, robot_mode, rotation_overlay, 
26/04/2022 13:39:12:360, robot_pos_w_timestamp, 1650976650799, 584.42, 186.31, 193.34, 2.45, 0.09, 3.12, tool_force, 1.15, 1.05, -0.14, actual_rep, 1, curr_step, 19, track_size, 95, robot_vel, 8.52, joints_pos, 43.19, 58.67, -39.92, -81.67, -139.78, -50.14, -147.32, tool_torque, 1.096, -0.285, 0.475, tool_momentum, 1.091, -0.284, 0.475, robot_mode, rotation_overlay, 
26/04/2022 13:39:12:513, robot_pos_w_timestamp, 1650976650947, 584.64, 185.06, 193.39, 2.48, 0.09, 3.12, tool_force, 0.8, 0.55, 0.28, actual_rep, 1, curr_step, 19, track_size, 95, robot_vel, 8.4, joints_pos, 43.2, 58.73, -40.09, -81.69, -139.76, -50.18, -148.55, tool_torque, 0.839, -0.238, 0.399, tool_momentum, 0.836, -0.239, 0.399, robot_mode, rotation_overlay, 
26/04/2022 13:39:12:675, robot_pos_w_timestamp, 1650976651079, 584.62, 184.85, 193.03, 2.48, 0.09, 3.12, tool_force, 0.69, -0.45, -0.63, actual_rep, 1, curr_step, 19, track_size, 95, robot_vel, 5.02, joints_pos, 43.23, 58.8, -40.15, -81.68, -139.76, -50.21, -148.6, tool_torque, 0.567, -0.19, 0.291, tool_momentum, 0.578, -0.19, 0.292, robot_mode, normal, 
26/04/2022 13:39:12:813, robot_pos_w_timestamp, 1650976651224, 585.06, 183.34, 192.8, 2.46, 0.09, 3.12, tool_force, 1.03, -0.57, 0.31, actual_rep, 1, curr_step, 19, track_size, 95, robot_vel, 14.78, joints_pos, 43.2, 58.9, -40.4, -81.71, -139.28, -50.27, -147.99, tool_torque, 0.555, -0.378, 0.086, tool_momentum, 0.554, -0.379, 0.086, robot_mode, normal, 
26/04/2022 13:39:12:962, robot_pos_w_timestamp, 1650976651376, 585.22, 181.78, 192.93, 2.41, 0.09, 3.11, tool_force, -0.42, -0.76, 0.9, actual_rep, 1, curr_step, 19, track_size, 95, robot_vel, 8.76, joints_pos, 43.27, 58.98, -40.74, -81.8, -138.9, -50.34, -145.43, tool_torque, 0.252, -0.059, -0.012, tool_momentum, 0.253, -0.064, -0.012, robot_mode, normal, 
26/04/2022 13:39:13:116, robot_pos_w_timestamp, 1650976651523, 585.44, 178.71, 193.62, 2.33, 0.09, 3.11, tool_force, 0.66, -0.67, 0.43, actual_rep, 1, curr_step, 20, track_size, 95, robot_vel, 33.89, joints_pos, 43.3, 59.07, -41.21, -81.87, -138.82, -50.65, -141.34, tool_torque, 0.185, -0.2, 0.0040, tool_momentum, 0.188, -0.204, 0.0040, robot_mode, normal, 
26/04/2022 13:39:13:265, robot_pos_w_timestamp, 1650976651672, 585.8, 174.27, 194.31, 2.28, 0.08, 3.11, tool_force, 1.87, -0.59, 0.39, actual_rep, 1, curr_step, 21, track_size, 95, robot_vel, 32.25, joints_pos, 43.11, 59.07, -41.49, -81.98, -138.81, -50.88, -138.8, tool_torque, 0.404, -0.64, 0.098, tool_momentum, 0.407, -0.639, 0.098, robot_mode, normal, 
26/04/2022 13:39:13:413, robot_pos_w_timestamp, 1650976651819, 585.99, 168.79, 195.52, 2.26, 0.08, 3.11, tool_force, 1.1, -0.44, 0.44, actual_rep, 1, curr_step, 21, track_size, 95, robot_vel, 41.76, joints_pos, 42.66, 58.85, -41.55, -82.23, -138.7, -51.08, -138.32, tool_torque, 0.483, -0.587, 0.218, tool_momentum, 0.49, -0.605, 0.223, robot_mode, normal, 
26/04/2022 13:39:13:567, robot_pos_w_timestamp, 1650976651969, 585.82, 162.85, 196.77, 2.26, 0.07, 3.11, tool_force, 1.41, 0.36, 0.75, actual_rep, 1, curr_step, 22, track_size, 95, robot_vel, 42.35, joints_pos, 42.1, 58.53, -41.43, -82.52, -138.79, -51.29, -138.75, tool_torque, 0.723, -0.807, 0.495, tool_momentum, 0.718, -0.84, 0.497, robot_mode, normal, 
26/04/2022 13:39:13:719, robot_pos_w_timestamp, 1650976652121, 585.26, 157.1, 198.4, 2.25, 0.07, 3.12, tool_force, 1.1, 0.36, 0.85, actual_rep, 1, curr_step, 23, track_size, 95, robot_vel, 37.5, joints_pos, 41.66, 58.24, -41.43, -82.78, -139.19, -51.66, -138.84, tool_torque, 0.662, -0.683, 0.495, tool_momentum, 0.645, -0.674, 0.493, robot_mode, normal, 
26/04/2022 13:39:13:874, robot_pos_w_timestamp, 1650976652271, 584.62, 151.3, 200.34, 2.25, 0.06, 3.13, tool_force, 1.9, 0.45, 0.32, actual_rep, 1, curr_step, 24, track_size, 95, robot_vel, 39.98, joints_pos, 41.15, 57.93, -41.43, -82.99, -139.47, -52.26, -139.19, tool_torque, 0.685, -0.758, 0.54, tool_momentum, 0.706, -0.761, 0.542, robot_mode, normal, 
