26/04/2022 13:53:44: File Created!
26/04/2022 13:53:44:399, robot_pos_w_timestamp, 1650977523266, 601.79, 292.07, 235.91, 2.44, -0.02, 3.06, tool_force, -0.28, -0.83, 0.73, actual_rep, 1, curr_step, 1, track_size, 77, robot_vel, 0.03, joints_pos, 49.99, 63.32, -47.75, -68.59, -129.22, -64.54, -140.33, tool_torque, 0.245, -0.229, 0.234, tool_momentum, 0.243, -0.229, 0.234, robot_mode, rotation_overlay, 
26/04/2022 13:53:47:222, robot_pos_w_timestamp, 1650977526069, 608.47, 187.8, 246.06, 2.38, 0.02, 3.11, tool_force, 1.31, 0.29, 0.27, actual_rep, 1, curr_step, 15, track_size, 77, robot_vel, 45.38, joints_pos, 44.65, 59.89, -49.05, -75.34, -132.85, -63.37, -145.81, tool_torque, 0.699, -0.553, 0.517, tool_momentum, 0.716, -0.554, 0.517, robot_mode, rotation_overlay, 
26/04/2022 13:53:47:324, robot_pos_w_timestamp, 1650977526219, 605.94, 181.99, 246.49, 2.38, 0.01, 3.11, tool_force, 1.15, 0.57, 0.1, actual_rep, 1, curr_step, 15, track_size, 77, robot_vel, 39.19, joints_pos, 44.51, 59.46, -49.09, -76.24, -132.85, -63.18, -146.54, tool_torque, 0.867, -0.387, 0.499, tool_momentum, 0.874, -0.392, 0.499, robot_mode, rotation_overlay, 
26/04/2022 13:53:47:523, robot_pos_w_timestamp, 1650977526367, 603.04, 176.34, 246.89, 2.38, 0.01, 3.11, tool_force, 1.55, 0.37, 0.12, actual_rep, 1, curr_step, 16, track_size, 77, robot_vel, 43.08, joints_pos, 44.41, 59.04, -49.15, -77.14, -132.89, -63.08, -147.41, tool_torque, 0.756, -0.505, 0.492, tool_momentum, 0.758, -0.505, 0.492, robot_mode, rotation_overlay, 
26/04/2022 13:53:47:627, robot_pos_w_timestamp, 1650977526519, 599.98, 170.47, 247.43, 2.39, 0.0, 3.12, tool_force, 1.14, 0.24, 0.52, actual_rep, 1, curr_step, 17, track_size, 77, robot_vel, 41.85, joints_pos, 44.22, 58.61, -49.16, -77.96, -133.06, -63.22, -148.36, tool_torque, 0.601, -0.579, 0.477, tool_momentum, 0.6, -0.58, 0.477, robot_mode, rotation_overlay, 
26/04/2022 13:53:47:816, robot_pos_w_timestamp, 1650977526666, 596.38, 164.67, 248.26, 2.39, 0.0, 3.12, tool_force, 0.53, 0.21, 0.42, actual_rep, 1, curr_step, 18, track_size, 77, robot_vel, 50.24, joints_pos, 44.04, 58.05, -49.12, -78.96, -133.07, -63.24, -149.56, tool_torque, 0.656, -0.508, 0.483, tool_momentum, 0.656, -0.52, 0.482, robot_mode, rotation_overlay, 
26/04/2022 13:53:47:931, robot_pos_w_timestamp, 1650977526816, 592.14, 158.89, 249.57, 2.4, -0.01, 3.12, tool_force, 1.11, 0.05, 0.36, actual_rep, 1, curr_step, 18, track_size, 77, robot_vel, 47.24, joints_pos, 43.9, 57.4, -49.1, -80.04, -133.06, -63.3, -150.54, tool_torque, 0.648, -0.582, 0.49, tool_momentum, 0.651, -0.577, 0.49, robot_mode, rotation_overlay, 
26/04/2022 13:53:48:086, robot_pos_w_timestamp, 1650977526964, 587.13, 152.97, 251.59, 2.4, -0.02, 3.12, tool_force, 0.13, 0.69, 0.4, actual_rep, 1, curr_step, 19, track_size, 77, robot_vel, 60.31, joints_pos, 43.88, 56.58, -49.16, -81.35, -133.13, -63.19, -151.46, tool_torque, 0.676, -0.226, 0.437, tool_momentum, 0.651, -0.217, 0.437, robot_mode, rotation_overlay, 
26/04/2022 13:53:48:232, robot_pos_w_timestamp, 1650977527116, 581.13, 148.85, 254.42, 2.4, -0.03, 3.12, tool_force, 0.05, 1.23, 0.05, actual_rep, 1, curr_step, 21, track_size, 77, robot_vel, 50.0, joints_pos, 44.0, 55.62, -49.11, -82.66, -133.35, -63.12, -152.08, tool_torque, 0.763, -0.245, 0.444, tool_momentum, 0.779, -0.247, 0.444, robot_mode, rotation_overlay, 
26/04/2022 13:53:48:430, robot_pos_w_timestamp, 1650977527263, 575.47, 146.19, 257.49, 2.39, -0.04, 3.12, tool_force, -0.74, 0.44, 0.48, actual_rep, 1, curr_step, 22, track_size, 77, robot_vel, 50.43, joints_pos, 44.11, 54.66, -49.0, -83.81, -133.57, -63.27, -152.13, tool_torque, 0.516, -0.219, 0.328, tool_momentum, 0.516, -0.212, 0.328, robot_mode, rotation_overlay, 
26/04/2022 13:53:48:534, robot_pos_w_timestamp, 1650977527414, 569.67, 144.79, 261.19, 2.39, -0.05, 3.12, tool_force, -1.44, 0.42, 0.68, actual_rep, 1, curr_step, 23, track_size, 77, robot_vel, 44.29, joints_pos, 44.3, 53.7, -48.92, -84.84, -133.75, -63.53, -152.24, tool_torque, 0.469, -0.087, 0.304, tool_momentum, 0.449, -0.086, 0.304, robot_mode, rotation_overlay, 
26/04/2022 13:53:48:733, robot_pos_w_timestamp, 1650977527564, 563.87, 144.16, 265.65, 2.38, -0.06, 3.11, tool_force, -1.12, 0.95, 0.86, actual_rep, 1, curr_step, 24, track_size, 77, robot_vel, 52.95, joints_pos, 44.54, 52.55, -48.82, -86.05, -133.48, -63.52, -152.34, tool_torque, 0.742, -0.143, 0.376, tool_momentum, 0.737, -0.13, 0.376, robot_mode, rotation_overlay, 
26/04/2022 13:53:48:834, robot_pos_w_timestamp, 1650977527712, 558.5, 144.63, 270.29, 2.38, -0.06, 3.11, tool_force, -1.2, 0.46, 1.27, actual_rep, 1, curr_step, 25, track_size, 77, robot_vel, 47.26, joints_pos, 45.05, 51.54, -48.88, -87.02, -133.88, -63.44, -152.18, tool_torque, 0.66, -0.052, 0.205, tool_momentum, 0.663, -0.055, 0.205, robot_mode, rotation_overlay, 
26/04/2022 13:53:49:036, robot_pos_w_timestamp, 1650977527862, 553.01, 145.32, 275.56, 2.38, -0.07, 3.1, tool_force, -2.38, 0.18, 0.7, actual_rep, 1, curr_step, 27, track_size, 77, robot_vel, 54.66, joints_pos, 45.47, 50.39, -48.91, -88.06, -133.84, -63.46, -152.36, tool_torque, 0.513, 0.146, 0.258, tool_momentum, 0.482, 0.147, 0.258, robot_mode, rotation_overlay, 
26/04/2022 13:53:49:137, robot_pos_w_timestamp, 1650977528012, 547.51, 147.06, 281.52, 2.39, -0.07, 3.1, tool_force, -1.39, 0.78, 1.24, actual_rep, 1, curr_step, 28, track_size, 77, robot_vel, 55.3, joints_pos, 46.17, 49.27, -49.01, -88.89, -134.75, -63.45, -152.21, tool_torque, 0.596, 0.093, 0.215, tool_momentum, 0.58, 0.1, 0.214, robot_mode, rotation_overlay, 
26/04/2022 13:53:49:338, robot_pos_w_timestamp, 1650977528163, 542.26, 148.43, 287.28, 2.4, -0.07, 3.1, tool_force, -1.91, 0.71, 0.71, actual_rep, 1, curr_step, 29, track_size, 77, robot_vel, 49.28, joints_pos, 46.74, 48.18, -49.04, -89.64, -135.58, -63.52, -152.33, tool_torque, 0.545, -0.013, 0.317, tool_momentum, 0.548, -0.022, 0.317, robot_mode, rotation_overlay, 
26/04/2022 13:53:49:439, robot_pos_w_timestamp, 1650977528315, 537.39, 150.08, 293.12, 2.41, -0.07, 3.11, tool_force, -1.53, 0.02, 0.88, actual_rep, 1, curr_step, 30, track_size, 77, robot_vel, 45.85, joints_pos, 47.35, 47.15, -49.05, -90.2, -136.84, -63.68, -152.09, tool_torque, 0.301, 0.0080, 0.071, tool_momentum, 0.305, 0.016, 0.071, robot_mode, rotation_overlay, 
26/04/2022 13:53:49:641, robot_pos_w_timestamp, 1650977528461, 532.98, 152.13, 298.86, 2.42, -0.06, 3.11, tool_force, -2.47, 0.45, 1.28, actual_rep, 1, curr_step, 31, track_size, 77, robot_vel, 54.78, joints_pos, 48.02, 46.12, -49.09, -90.79, -138.0, -63.53, -151.65, tool_torque, 0.478, 0.235, 0.037, tool_momentum, 0.465, 0.239, 0.037, robot_mode, rotation_overlay, 
